"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"INDUSINDBK","02-May-2017","25-May-2017","1458.5","1461.05","1445.75","1454.95","1457.05","1454.95","2572","22465.88","6492000","216600","       1445.80"
"INDUSINDBK","02-May-2017","29-Jun-2017","1456","1456.5","1456","1456.5","1456.5","1460.9","2","17.48","12600","600","       1445.80"
"INDUSINDBK","02-May-2017","27-Jul-2017","0","0","0","1494.9","0","1468.25","0","0","0","0","       1445.80"
"INDUSINDBK","03-May-2017","25-May-2017","1461.6","1461.6","1437.6","1444.65","1442","1444.65","2711","23525.88","6382200","-109800","       1438.45"
"INDUSINDBK","03-May-2017","29-Jun-2017","1440.05","1447","1440","1445","1445","1445","8","69.26","13200","600","       1438.45"
"INDUSINDBK","03-May-2017","27-Jul-2017","0","0","0","1494.9","0","1460.6","0","0","0","0","       1438.45"
"INDUSINDBK","04-May-2017","25-May-2017","1435.15","1437.85","1416.75","1428.85","1431.55","1428.85","3909","33474.82","6811800","429600","       1420.25"
"INDUSINDBK","04-May-2017","29-Jun-2017","1430.05","1431.6","1420","1420","1420","1434.65","36","308.39","21600","8400","       1420.25"
"INDUSINDBK","04-May-2017","27-Jul-2017","0","0","0","1494.9","0","1441.9","0","0","0","0","       1420.25"
"INDUSINDBK","05-May-2017","25-May-2017","1421.2","1435","1411","1415.9","1416","1415.9","3468","29533.69","7120800","309000","       1408.05"
"INDUSINDBK","05-May-2017","29-Jun-2017","1431.95","1431.95","1412.8","1417.15","1419.65","1417.15","18","153.27","26400","4800","       1408.05"
"INDUSINDBK","05-May-2017","27-Jul-2017","0","0","0","1494.9","0","1429.3","0","0","0","0","       1408.05"
"INDUSINDBK","08-May-2017","25-May-2017","1408.25","1439.9","1407.3","1430.1","1438.45","1430.1","2883","24545.45","7187400","66600","       1424.85"
"INDUSINDBK","08-May-2017","29-Jun-2017","1416.75","1435.6","1411.05","1430.95","1435.6","1430.95","28","238.48","32400","6000","       1424.85"
"INDUSINDBK","08-May-2017","27-Jul-2017","0","0","0","1494.9","0","1445.5","0","0","0","0","       1424.85"
"INDUSINDBK","09-May-2017","25-May-2017","1431.75","1432.45","1422.75","1426.95","1425.65","1426.95","1655","14172.91","7203000","15600","       1420.90"
"INDUSINDBK","09-May-2017","29-Jun-2017","1426.05","1429","1424","1427","1427","1434","22","188.3","37200","4800","       1420.90"
"INDUSINDBK","09-May-2017","27-Jul-2017","0","0","0","1494.9","0","1441.25","0","0","0","0","       1420.90"
"INDUSINDBK","10-May-2017","25-May-2017","1429","1435.95","1422.8","1433.75","1434.95","1433.75","2044","17539.15","7266600","63600","       1431.90"
"INDUSINDBK","10-May-2017","29-Jun-2017","1429.5","1433.55","1424.6","1431","1431","1444.85","30","257.37","46800","9600","       1431.90"
"INDUSINDBK","10-May-2017","27-Jul-2017","0","0","0","1494.9","0","1452.15","0","0","0","0","       1431.90"
"INDUSINDBK","11-May-2017","25-May-2017","1439.25","1439.25","1423.05","1427.25","1423.25","1427.25","1905","16335.57","7350000","83400","       1426.30"
"INDUSINDBK","11-May-2017","29-Jun-2017","1430","1434","1425","1426.3","1425","1426.3","17","145.8","50400","3600","       1426.30"
"INDUSINDBK","11-May-2017","27-Jul-2017","0","0","0","1494.9","0","1446.2","0","0","0","0","       1426.30"
"INDUSINDBK","12-May-2017","25-May-2017","1422.8","1425.25","1408.95","1414.6","1415.5","1414.6","3826","32552.52","7095600","-254400","       1411.75"
"INDUSINDBK","12-May-2017","29-Jun-2017","1417","1422.45","1410","1414.5","1415.95","1414.5","24","204.09","54600","4200","       1411.75"
"INDUSINDBK","12-May-2017","27-Jul-2017","0","0","0","1494.9","0","1431.2","0","0","0","0","       1411.75"
"INDUSINDBK","15-May-2017","25-May-2017","1416.55","1423","1408.3","1416.65","1418.55","1416.65","3330","28286.57","7134600","39000","       1416.20"
"INDUSINDBK","15-May-2017","29-Jun-2017","1415.25","1423.65","1411","1416.6","1416.9","1416.6","22","186.92","63600","9000","       1416.20"
"INDUSINDBK","15-May-2017","27-Jul-2017","0","0","0","1494.9","0","1434.9","0","0","0","0","       1416.20"
"INDUSINDBK","16-May-2017","25-May-2017","1417.75","1439.8","1411.5","1437.2","1437.05","1437.2","3171","27190.06","7033200","-101400","       1436.95"
"INDUSINDBK","16-May-2017","29-Jun-2017","1423.6","1440.3","1423.6","1438.75","1440.3","1438.75","54","464.75","72600","9000","       1436.95"
"INDUSINDBK","16-May-2017","27-Jul-2017","0","0","0","1494.9","0","1455.7","0","0","0","0","       1436.95"
"INDUSINDBK","17-May-2017","25-May-2017","1437.25","1446.8","1423","1426.65","1425","1426.65","2506","21538.18","7050600","17400","       1425.45"
"INDUSINDBK","17-May-2017","29-Jun-2017","1435.9","1446.9","1424","1427.6","1425.8","1427.6","64","550","97800","25200","       1425.45"
"INDUSINDBK","17-May-2017","27-Jul-2017","0","0","0","1494.9","0","1443.8","0","0","0","0","       1425.45"
"INDUSINDBK","18-May-2017","25-May-2017","1421.55","1424","1392.3","1407.2","1408","1407.2","3618","30559.13","6863400","-187200","       1406.60"
"INDUSINDBK","18-May-2017","29-Jun-2017","1415.35","1418","1395","1408.1","1408.5","1408.1","206","1739.86","139800","42000","       1406.60"
"INDUSINDBK","18-May-2017","27-Jul-2017","0","0","0","1494.9","0","1424.45","0","0","0","0","       1406.60"
"INDUSINDBK","19-May-2017","25-May-2017","1411","1413.25","1384.3","1392.55","1392","1392.55","5165","43263.51","6360000","-503400","       1389.25"
"INDUSINDBK","19-May-2017","29-Jun-2017","1412.05","1413.85","1387.4","1395.6","1392","1395.6","458","3844.48","195000","55200","       1389.25"
"INDUSINDBK","19-May-2017","27-Jul-2017","0","0","0","1494.9","0","1406.6","0","0","0","0","       1389.25"
"INDUSINDBK","22-May-2017","25-May-2017","1391.1","1400.9","1378.6","1390.35","1394","1390.35","4548","37924.22","6027000","-333000","       1389.30"
"INDUSINDBK","22-May-2017","29-Jun-2017","1393.3","1403.85","1382.8","1395.15","1399.65","1395.15","1800","15048.54","728400","533400","       1389.30"
"INDUSINDBK","22-May-2017","27-Jul-2017","0","0","0","1494.9","0","1405.9","0","0","0","0","       1389.30"
"INDUSINDBK","23-May-2017","25-May-2017","1390.3","1398.3","1377.2","1391.05","1393.2","1391.05","6462","53775.54","4862400","-1164600","       1393.95"
"INDUSINDBK","23-May-2017","29-Jun-2017","1399.95","1404","1382.1","1397.35","1400.55","1397.35","4704","39306.67","2654400","1926000","       1393.95"
"INDUSINDBK","23-May-2017","27-Jul-2017","0","0","0","1494.9","0","1410.35","0","0","0","0","       1393.95"
