"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"INFRATEL","02-May-2018","31-May-2018","312.75","318.6","312.75","315.6","316.2","315.6","1295","6961.42","7167200","-1700","        313.80"
"INFRATEL","02-May-2018","28-Jun-2018","315.25","316.15","313","315.65","315.65","317.25","10","53.58","646000","3400","        313.80"
"INFRATEL","02-May-2018","26-Jul-2018","0","0","0","321.65","0","319","0","0","0","0","        313.80"
"INFRATEL","03-May-2018","31-May-2018","315.7","327.2","315.7","325.35","323.6","325.35","2441","13448.07","7041400","-125800","        324.95"
"INFRATEL","03-May-2018","28-Jun-2018","316.5","325.6","316.5","324.8","324","324.8","27","147.82","661300","15300","        324.95"
"INFRATEL","03-May-2018","26-Jul-2018","316.05","320.5","315.85","320.5","320.5","320.5","6","32.31","8500","8500","        324.95"
"INFRATEL","04-May-2018","31-May-2018","321.75","325.7","319.95","322.35","321.45","322.35","1286","7053.82","7106000","64600","        322.45"
"INFRATEL","04-May-2018","28-Jun-2018","322.55","323.25","320.5","321.3","320.5","321.3","12","65.67","659600","-1700","        322.45"
"INFRATEL","04-May-2018","26-Jul-2018","315.9","316.05","315.9","316.05","316.05","327.65","3","16.12","11900","3400","        322.45"
"INFRATEL","07-May-2018","31-May-2018","324.05","324.4","319","321","321.1","321","606","3301.89","7058400","-47600","        320.65"
"INFRATEL","07-May-2018","28-Jun-2018","319.95","319.95","319.95","319.95","319.95","319.95","2","10.88","663000","3400","        320.65"
"INFRATEL","07-May-2018","26-Jul-2018","312","312","312","312","312","325.7","1","5.3","13600","1700","        320.65"
"INFRATEL","08-May-2018","31-May-2018","331.9","331.9","318.3","319.3","319.25","319.3","618","3362.55","7046500","-11900","        321.00"
"INFRATEL","08-May-2018","28-Jun-2018","321.95","321.95","318.1","317.8","318.1","317.8","7","37.94","664700","1700","        321.00"
"INFRATEL","08-May-2018","26-Jul-2018","0","0","0","312","312","326","0","0","13600","0","        321.00"
"INFRATEL","09-May-2018","31-May-2018","322.85","328.45","321.25","324.6","324.1","324.6","1793","9939.65","7060100","13600","        324.85"
"INFRATEL","09-May-2018","28-Jun-2018","322.5","327","322.5","324.35","324.25","324.35","35","193.39","664700","0","        324.85"
"INFRATEL","09-May-2018","26-Jul-2018","316.75","318.15","316.75","318.15","318.15","329.85","3","16.18","17000","3400","        324.85"
"INFRATEL","10-May-2018","31-May-2018","325.55","327.8","318.2","320.6","319.65","320.6","867","4752.8","7022700","-37400","        320.70"
"INFRATEL","10-May-2018","28-Jun-2018","324.3","325.8","317.25","320.45","320.45","323.85","15","81.78","669800","5100","        320.70"
"INFRATEL","10-May-2018","26-Jul-2018","314","314","314","314","314","314","5","26.69","25500","8500","        320.70"
"INFRATEL","11-May-2018","31-May-2018","322.35","322.35","315.65","320.6","320","320.6","1029","5579.66","7031200","8500","        319.85"
"INFRATEL","11-May-2018","28-Jun-2018","318.5","319.95","315","319.05","319","319.05","35","188.83","668100","-1700","        319.85"
"INFRATEL","11-May-2018","26-Jul-2018","313.1","313.1","311.85","312","312.1","312","5","26.54","34000","8500","        319.85"
"INFRATEL","14-May-2018","31-May-2018","319.55","323.7","314.4","316.2","314.75","316.2","1086","5892.52","7041400","10200","        316.00"
"INFRATEL","14-May-2018","28-Jun-2018","322","322","313.75","313.7","313.75","313.7","16","86.51","678300","10200","        316.00"
"INFRATEL","14-May-2018","26-Jul-2018","0","0","0","312","312.1","320.65","0","0","34000","0","        316.00"
"INFRATEL","15-May-2018","31-May-2018","313.55","317.1","311.7","313.4","314.05","313.4","1323","7068.4","6959800","-81600","        312.45"
"INFRATEL","15-May-2018","28-Jun-2018","313.5","315.3","311.3","311.8","311.8","315.25","25","133.32","681700","3400","        312.45"
"INFRATEL","15-May-2018","26-Jul-2018","303.85","303.85","303.85","303.85","303.85","303.85","1","5.17","34000","0","        312.45"
"INFRATEL","16-May-2018","31-May-2018","311.9","322.55","308.8","314.9","314.9","314.9","1261","6768.55","7019300","59500","        315.20"
"INFRATEL","16-May-2018","28-Jun-2018","310.7","320.35","310.7","317.05","317.05","317.95","19","101.78","680000","-1700","        315.20"
"INFRATEL","16-May-2018","26-Jul-2018","303","303","303","303","303","319.75","1","5.15","35700","1700","        315.20"
"INFRATEL","17-May-2018","31-May-2018","313.75","321.85","312","319.65","318.65","319.65","1183","6416.01","7107700","88400","        321.75"
"INFRATEL","17-May-2018","28-Jun-2018","311.5","319.95","311.5","317.25","317.25","317.25","24","129.34","680000","0","        321.75"
"INFRATEL","17-May-2018","26-Jul-2018","0","0","0","303","303","326.4","0","0","35700","0","        321.75"
"INFRATEL","18-May-2018","31-May-2018","307.65","320.5","307.65","313.55","314","313.55","1834","9886.71","6830600","-277100","        316.15"
"INFRATEL","18-May-2018","28-Jun-2018","314.7","319.1","312","312.2","312.65","312.2","23","123.56","688500","8500","        316.15"
"INFRATEL","18-May-2018","26-Jul-2018","0","0","0","303","303","320.7","0","0","35700","0","        316.15"
"INFRATEL","21-May-2018","31-May-2018","313","321.8","313","320.4","319.2","320.4","1122","6083.4","6616400","-214200","        321.70"
"INFRATEL","21-May-2018","28-Jun-2018","316.25","320.5","316.25","319.8","319","319.8","35","189.76","673200","-15300","        321.70"
"INFRATEL","21-May-2018","26-Jul-2018","0","0","0","303","303","326.15","0","0","35700","0","        321.70"
"INFRATEL","22-May-2018","31-May-2018","319.05","319.5","313.65","314.85","315","314.85","1237","6637.62","6869700","253300","        315.85"
"INFRATEL","22-May-2018","28-Jun-2018","317","317","313","314","314.1","314","61","326.25","697000","23800","        315.85"
"INFRATEL","22-May-2018","26-Jul-2018","0","0","0","303","303","320.15","0","0","35700","0","        315.85"
"INFRATEL","23-May-2018","31-May-2018","310.95","317","310.9","316.25","315.35","316.25","642","3445.45","6837400","-32300","        317.30"
"INFRATEL","23-May-2018","28-Jun-2018","310.8","315.75","310.8","315.05","314.7","315.05","39","208.62","695300","-1700","        317.30"
"INFRATEL","23-May-2018","26-Jul-2018","0","0","0","303","303","321.6","0","0","35700","0","        317.30"
"INFRATEL","24-May-2018","31-May-2018","313.9","319.85","313.35","318.9","318.1","318.9","911","4894.33","6624900","-212500","        318.35"
"INFRATEL","24-May-2018","28-Jun-2018","313.75","318.05","312.65","317.3","316.25","317.3","133","712.44","705500","10200","        318.35"
"INFRATEL","24-May-2018","26-Jul-2018","0","0","0","303","303","322.6","0","0","35700","0","        318.35"
"INFRATEL","25-May-2018","31-May-2018","318.15","318.15","312.7","315.75","315","315.75","1173","6282.28","6397100","-227800","        314.85"
"INFRATEL","25-May-2018","28-Jun-2018","314.5","315.05","311.4","314","313.85","314","232","1235.08","759900","54400","        314.85"
"INFRATEL","25-May-2018","26-Jul-2018","307.45","307.45","303.15","306","306","306","16","83.04","62900","27200","        314.85"
"INFRATEL","28-May-2018","31-May-2018","316.95","318.7","310.2","311.45","311.95","311.45","1191","6351.23","6346100","-51000","        310.70"
"INFRATEL","28-May-2018","28-Jun-2018","314.25","315.35","308.75","309.85","310","309.85","462","2448.56","996200","236300","        310.70"
"INFRATEL","28-May-2018","26-Jul-2018","305.95","307.85","301.05","302.1","302.1","302.1","27","139.9","93500","30600","        310.70"
"INFRATEL","29-May-2018","31-May-2018","313.2","313.2","303.8","305.75","306","305.75","2647","13790.96","6040100","-306000","        304.90"
"INFRATEL","29-May-2018","28-Jun-2018","311","311","303.05","304.8","305.55","304.8","1434","7434.13","2249100","1252900","        304.90"
"INFRATEL","29-May-2018","26-Jul-2018","300","301.8","296","297","297","297","17","86.12","119000","25500","        304.90"
"INFRATEL","30-May-2018","31-May-2018","305.6","305.6","299.1","302.05","301.85","302.05","3008","15444.05","4646100","-1394000","        301.15"
"INFRATEL","30-May-2018","28-Jun-2018","299.9","303.35","298","299.75","300.45","299.75","2184","11150.45","3617600","1368500","        301.15"
"INFRATEL","30-May-2018","26-Jul-2018","293.2","295.9","290.25","294.95","294.95","294.95","33","164.72","151300","32300","        301.15"
"INFRATEL","31-May-2018","31-May-2018","304.1","304.1","293.45","297.5","298.7","298.65","3467","17685.97","3216400","-1429700","        298.65"
"INFRATEL","31-May-2018","28-Jun-2018","300.3","300.8","292.9","298.1","299.95","298.1","3666","18555.94","5989100","2371500","        298.65"
"INFRATEL","31-May-2018","26-Jul-2018","292","292","287","289.65","289.3","289.65","27","133","171700","20400","        298.65"
"INFRATEL","01-Jun-2018","28-Jun-2018","297.1","301.45","296.25","298.55","298.5","298.55","968","4907.99","6261100","272000","        300.65"
"INFRATEL","01-Jun-2018","26-Jul-2018","290","291.3","289","291.25","291.25","291.25","20","98.52","180200","8500","        300.65"
"INFRATEL","01-Jun-2018","30-Aug-2018","0","0","0","304.4","0","306.4","0","0","0","0","        300.65"
"INFRATEL","04-Jun-2018","28-Jun-2018","299.95","300.3","288.95","291","290.7","291","1417","7055.41","6222000","-39100","        295.15"
"INFRATEL","04-Jun-2018","26-Jul-2018","292","294.05","281.8","282.85","283.45","282.85","66","321.42","241400","61200","        295.15"
"INFRATEL","04-Jun-2018","30-Aug-2018","0","0","0","304.4","0","300.6","0","0","0","0","        295.15"
"INFRATEL","05-Jun-2018","28-Jun-2018","288.2","295.55","285.85","294.85","294.85","294.85","1226","6061.92","6242400","20400","        294.65"
"INFRATEL","05-Jun-2018","26-Jul-2018","283.45","287.85","279.15","286.6","287.85","286.6","40","192.36","261800","20400","        294.65"
"INFRATEL","05-Jun-2018","30-Aug-2018","0","0","0","304.4","0","300.05","0","0","0","0","        294.65"
"INFRATEL","06-Jun-2018","28-Jun-2018","292.65","295.5","291.15","293.25","293.4","293.25","1131","5642.58","6176100","-66300","        294.60"
"INFRATEL","06-Jun-2018","26-Jul-2018","291.2","291.2","285.85","286.9","286.9","286.9","17","82.84","273700","11900","        294.60"
"INFRATEL","06-Jun-2018","30-Aug-2018","0","0","0","304.4","0","299.95","0","0","0","0","        294.60"
"INFRATEL","07-Jun-2018","28-Jun-2018","294.35","295.55","292.55","294.5","294.3","294.5","973","4866.58","6361400","185300","        293.80"
"INFRATEL","07-Jun-2018","26-Jul-2018","287.5","288","285.7","288","288","296.85","12","58.5","282200","8500","        293.80"
"INFRATEL","07-Jun-2018","30-Aug-2018","0","0","0","304.4","0","299.05","0","0","0","0","        293.80"
"INFRATEL","08-Jun-2018","28-Jun-2018","292.7","298.6","292.7","297.55","297.45","297.55","951","4802.95","6446400","85000","        298.40"
"INFRATEL","08-Jun-2018","26-Jul-2018","290","291.05","288","290.15","290.45","290.15","23","113.4","294100","11900","        298.40"
"INFRATEL","08-Jun-2018","30-Aug-2018","0","0","0","304.4","0","303.6","0","0","0","0","        298.40"
"INFRATEL","11-Jun-2018","28-Jun-2018","295.2","300.3","295.2","298.05","297.95","298.05","996","5057.84","6301900","-144500","        300.00"
"INFRATEL","11-Jun-2018","26-Jul-2018","292","293.15","290.1","291","291.7","291","33","163.79","316200","22100","        300.00"
"INFRATEL","11-Jun-2018","30-Aug-2018","290.05","290.05","290.05","290.05","290.05","305.05","2","9.86","3400","3400","        300.00"
"INFRATEL","12-Jun-2018","28-Jun-2018","301.8","301.8","297.25","298.1","298.8","298.1","493","2499.31","6342700","40800","        299.75"
"INFRATEL","12-Jun-2018","26-Jul-2018","290.1","291.4","290.1","290.5","290.5","290.5","14","69.21","309400","-6800","        299.75"
"INFRATEL","12-Jun-2018","30-Aug-2018","0","0","0","290.05","290.05","304.7","0","0","3400","0","        299.75"
"INFRATEL","13-Jun-2018","28-Jun-2018","294","299.65","293.55","298.4","298.3","298.4","1089","5504.64","6511000","168300","        300.50"
"INFRATEL","13-Jun-2018","26-Jul-2018","290.05","290.8","287.15","290.35","290.2","290.35","31","152.69","314500","5100","        300.50"
"INFRATEL","13-Jun-2018","30-Aug-2018","0","0","0","290.05","290.05","305.4","0","0","3400","0","        300.50"
"INFRATEL","14-Jun-2018","28-Jun-2018","296.35","298.5","293.75","296.65","297.25","296.65","877","4411.56","6689500","178500","        296.50"
"INFRATEL","14-Jun-2018","26-Jul-2018","288.45","288.9","285.35","287.65","287.95","287.65","67","326.46","348500","34000","        296.50"
"INFRATEL","14-Jun-2018","30-Aug-2018","0","0","0","290.05","290.05","301.25","0","0","3400","0","        296.50"
"INFRATEL","15-Jun-2018","28-Jun-2018","295.3","296.95","290.55","293.4","293.3","293.4","1430","7114.11","6971700","282200","        293.60"
"INFRATEL","15-Jun-2018","26-Jul-2018","287","287","281.45","284.45","283.9","284.45","97","467.66","418200","69700","        293.60"
"INFRATEL","15-Jun-2018","30-Aug-2018","0","0","0","290.05","290.05","298.25","0","0","3400","0","        293.60"
"INFRATEL","18-Jun-2018","28-Jun-2018","290.2","292.45","288.35","291.6","291.4","291.6","1036","5119.96","7072000","100300","        291.30"
"INFRATEL","18-Jun-2018","26-Jul-2018","283.8","283.8","280.4","283.1","283","283.1","37","177.45","442000","23800","        291.30"
"INFRATEL","18-Jun-2018","30-Aug-2018","0","0","0","290.05","290.05","295.7","0","0","3400","0","        291.30"
"INFRATEL","19-Jun-2018","28-Jun-2018","290","292.35","286.25","288.15","289.4","288.15","870","4273.68","7009100","-62900","        287.75"
"INFRATEL","19-Jun-2018","26-Jul-2018","281.15","282.4","280","281.6","281.95","281.6","62","296.37","479400","37400","        287.75"
"INFRATEL","19-Jun-2018","30-Aug-2018","0","0","0","290.05","290.05","292.05","0","0","3400","0","        287.75"
"INFRATEL","20-Jun-2018","28-Jun-2018","291.75","291.75","285.55","286.35","286.3","286.35","1209","5925.41","6951300","-57800","        285.30"
"INFRATEL","20-Jun-2018","26-Jul-2018","281.8","283","278.4","279.4","279.6","279.4","118","562.46","595000","115600","        285.30"
"INFRATEL","20-Jun-2018","30-Aug-2018","0","0","0","290.05","290.05","289.45","0","0","3400","0","        285.30"
"INFRATEL","21-Jun-2018","28-Jun-2018","285.3","286.4","275.65","280.4","278.65","280.4","2821","13415.21","6827200","-124100","        279.60"
"INFRATEL","21-Jun-2018","26-Jul-2018","276.8","277.8","269.1","272","270.5","272","228","1055.72","708900","113900","        279.60"
"INFRATEL","21-Jun-2018","30-Aug-2018","268.2","270.25","268.15","270.05","270","270.05","6","27.45","11900","8500","        279.60"
"INFRATEL","22-Jun-2018","28-Jun-2018","278","288","276.15","286.65","286.45","286.65","1494","7224.97","6449800","-377400","        286.00"
"INFRATEL","22-Jun-2018","26-Jul-2018","269.95","279.6","269.95","278.7","278.05","278.7","160","751.2","736100","27200","        286.00"
"INFRATEL","22-Jun-2018","30-Aug-2018","272.3","278.3","272.3","278.3","278.3","290.05","2","9.36","11900","0","        286.00"
"INFRATEL","25-Jun-2018","28-Jun-2018","284.5","292.1","283.2","291.05","290.3","291.05","2453","11994.99","6560300","110500","        291.95"
"INFRATEL","25-Jun-2018","26-Jul-2018","276.3","283.45","275.95","282.8","282.3","282.8","757","3601.37","1256300","520200","        291.95"
"INFRATEL","25-Jun-2018","30-Aug-2018","0","0","0","278.3","278.3","295.9","0","0","11900","0","        291.95"
"INFRATEL","26-Jun-2018","28-Jun-2018","287.6","293.8","281.95","292.7","292.3","292.7","2057","10151.48","6028200","-532100","        292.95"
"INFRATEL","26-Jun-2018","26-Jul-2018","279.05","284.75","274.6","283","282.2","283","748","3580.03","1467100","210800","        292.95"
"INFRATEL","26-Jun-2018","30-Aug-2018","0","0","0","278.3","278.3","296.9","0","0","11900","0","        292.95"
"INFRATEL","27-Jun-2018","28-Jun-2018","285.55","301.95","285.55","299.05","298.35","299.05","3639","18444.65","5205400","-822800","        299.55"
"INFRATEL","27-Jun-2018","26-Jul-2018","280.15","289.8","280.15","287.4","288.1","287.4","2444","11905.41","2847500","1380400","        299.55"
"INFRATEL","27-Jun-2018","30-Aug-2018","284.6","287.2","282.5","286.5","286.5","286.5","24","116.29","34000","22100","        299.55"
"INFRATEL","28-Jun-2018","28-Jun-2018","299.25","299.9","294.1","297.3","298","297.95","3217","16267.64","3646500","-1558900","        297.95"
"INFRATEL","28-Jun-2018","26-Jul-2018","287.35","290.1","281","286.15","286.6","286.15","3319","16102.42","4936800","2089300","        297.95"
"INFRATEL","28-Jun-2018","30-Aug-2018","283.25","286.45","278.2","285.25","286.45","285.25","26","124.29","68000","34000","        297.95"
"INFRATEL","29-Jun-2018","26-Jul-2018","293.4","295.7","287.8","289.2","289.4","289.2","1726","8544.51","5210500","273700","        300.55"
"INFRATEL","29-Jun-2018","30-Aug-2018","287.85","292.3","285.1","286.95","286.3","286.95","269","1321.38","294100","226100","        300.55"
"INFRATEL","29-Jun-2018","27-Sep-2018","0","0","0","303.55","0","306.05","0","0","0","0","        300.55"
