"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"INFY","04-May-2015","28-May-2015","1970.15","2009.45","1960.6","2002.65","2003.15","2002.65","18843","46733.95","8101375","-449625","       1993.10"
"INFY","04-May-2015","25-Jun-2015","1967.4","1994","1949","1990.25","1991.15","1990.25","256","630.56","548125","7375","       1993.10"
"INFY","04-May-2015","30-Jul-2015","1984.55","1984.55","1984.55","1984.55","1984.55","2033.1","1","2.48","125","125","       1993.10"
"INFY","05-May-2015","28-May-2015","2008.6","2009.8","1965.25","1976.7","1978.5","1976.7","17723","43935.99","7908250","-193125","       1962.75"
"INFY","05-May-2015","25-Jun-2015","1982.65","1990","1951.8","1963.15","1964.2","1963.15","533","1310.57","542625","-5500","       1962.75"
"INFY","05-May-2015","30-Jul-2015","1982","1982","1972.9","1979.7","1979.7","1979.7","15","37.07","2000","1875","       1962.75"
"INFY","06-May-2015","28-May-2015","1981.5","1984","1925","1930.95","1931.35","1930.95","23871","57947.19","7647750","-260500","       1922.05"
"INFY","06-May-2015","25-Jun-2015","1964.05","1969","1911","1915.7","1917.1","1915.7","960","2312.01","537250","-5375","       1922.05"
"INFY","06-May-2015","30-Jul-2015","1980","1985","1930","1930","1930","1930","51","125.11","8125","6125","       1922.05"
"INFY","07-May-2015","28-May-2015","1937.55","1974","1920.05","1952.45","1950","1952.45","20663","50377.08","7469250","-178500","       1944.00"
"INFY","07-May-2015","25-Jun-2015","1913.55","1958.95","1904.5","1938","1934","1938","718","1736.46","540875","3625","       1944.00"
"INFY","07-May-2015","30-Jul-2015","1926","1970","1926","1955","1955","1955","48","116.38","4625","-3500","       1944.00"
"INFY","08-May-2015","28-May-2015","1960.3","1974","1952.25","1963.75","1968","1963.75","13466","33041.69","7302125","-167125","       1957.95"
"INFY","08-May-2015","25-Jun-2015","1955.1","1958","1938.25","1948.7","1954.6","1948.7","506","1231.55","538375","-2500","       1957.95"
"INFY","08-May-2015","30-Jul-2015","1957.75","1965.25","1955","1965.25","1965.25","1995.35","24","58.86","7250","2625","       1957.95"
"INFY","11-May-2015","28-May-2015","1970.7","2004.6","1957","1997.65","1999","1997.65","17498","43424.86","7362125","60000","       1993.65"
