"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"IOC","04-Jan-2010","28-Jan-2010","308.1","316.3","307.65","315.1","315.2","315.1","954","3595.95","2853600","-31200","        314.65"
"IOC","04-Jan-2010","25-Feb-2010","316","316.5","316","316.5","316.5","316.7","2","7.59","7200","2400","        314.65"
"IOC","04-Jan-2010","25-Mar-2010","0","0","0","309.05","0","317.8","0","0","0","0","        314.65"
"IOC","05-Jan-2010","28-Jan-2010","318.5","318.7","313.65","315.95","316","315.95","725","2750.95","2737200","-116400","        315.85"
"IOC","05-Jan-2010","25-Feb-2010","323.85","323.85","315","315.55","315.55","317.9","7","26.69","10800","3600","        315.85"
"IOC","05-Jan-2010","25-Mar-2010","0","0","0","309.05","0","319","0","0","0","0","        315.85"
"IOC","06-Jan-2010","28-Jan-2010","316.45","317.7","311.55","315.6","315.45","315.6","534","2014.16","2632800","-104400","        315.40"
"IOC","06-Jan-2010","25-Feb-2010","313.55","314.8","313.55","314.8","314.8","317.4","2","7.54","12000","1200","        315.40"
"IOC","06-Jan-2010","25-Mar-2010","0","0","0","309.05","0","318.5","0","0","0","0","        315.40"
"IOC","07-Jan-2010","28-Jan-2010","314.7","315.7","308","310.95","311","310.95","459","1713.89","2704800","72000","        310.45"
"IOC","07-Jan-2010","25-Feb-2010","315.5","315.5","309","312","312","312","46","172.08","61200","49200","        310.45"
"IOC","07-Jan-2010","25-Mar-2010","0","0","0","309.05","0","313.45","0","0","0","0","        310.45"
"IOC","08-Jan-2010","28-Jan-2010","311.5","319.75","311.3","316.2","316","316.2","831","3155.58","2727600","22800","        315.75"
"IOC","08-Jan-2010","25-Feb-2010","315.9","318.95","315.8","316.05","316.05","317.65","11","41.88","62400","1200","        315.75"
"IOC","08-Jan-2010","25-Mar-2010","0","0","0","309.05","0","318.75","0","0","0","0","        315.75"
"IOC","11-Jan-2010","28-Jan-2010","318.9","322.65","317.15","318.95","318.9","318.95","830","3189.75","2647200","-80400","        318.85"
"IOC","11-Jan-2010","25-Feb-2010","322.95","323.1","319.2","319.75","319.75","319.75","10","38.54","68400","6000","        318.85"
"IOC","11-Jan-2010","25-Mar-2010","0","0","0","309.05","0","321.8","0","0","0","0","        318.85"
"IOC","12-Jan-2010","28-Jan-2010","322.5","322.5","316","317.9","317","317.9","617","2356.6","2611200","-36000","        317.95"
"IOC","12-Jan-2010","25-Feb-2010","318.15","319.15","317.35","319.15","319.15","319.7","4","15.27","69600","1200","        317.95"
"IOC","12-Jan-2010","25-Mar-2010","0","0","0","309.05","0","320.85","0","0","0","0","        317.95"
"IOC","13-Jan-2010","28-Jan-2010","318","325.9","314.6","323.45","323.5","323.45","1315","5071.66","2476800","-134400","        323.70"
"IOC","13-Jan-2010","25-Feb-2010","322.9","326","318.5","323.5","325.05","323.5","35","135.03","78000","8400","        323.70"
"IOC","13-Jan-2010","25-Mar-2010","0","0","0","309.05","0","326.65","0","0","0","0","        323.70"
"IOC","14-Jan-2010","28-Jan-2010","326.9","331.5","325","326.7","327","326.7","1094","4306.64","2343600","-133200","        325.85"
"IOC","14-Jan-2010","25-Feb-2010","328","330.7","327.5","327.5","327.5","327.6","13","51.31","80400","2400","        325.85"
"IOC","14-Jan-2010","25-Mar-2010","0","0","0","309.05","0","328.8","0","0","0","0","        325.85"
"IOC","15-Jan-2010","28-Jan-2010","326.95","329.6","321.35","325.3","325.85","325.3","298","1163.86","2370000","26400","        324.35"
"IOC","15-Jan-2010","25-Feb-2010","327","327","319.6","324.9","324.9","326.05","6","23.36","81600","1200","        324.35"
"IOC","15-Jan-2010","25-Mar-2010","0","0","0","309.05","0","327.2","0","0","0","0","        324.35"
