"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"IOC","01-Jul-2008","31-Jul-2008","333","334","300","316.2","310.5","316.2","394","766.65","1513200","-65400","        314.60"
"IOC","01-Jul-2008","28-Aug-2008","309.9","309.9","309","309.45","309","309.45","2","3.71","1800","600","        314.60"
"IOC","01-Jul-2008","25-Sep-2008","0","0","0","360.45","0","322.05","0","0","0","0","        314.60"
"IOC","02-Jul-2008","31-Jul-2008","315","332","303","325.2","330","325.2","384","725.01","1518600","5400","        323.55"
"IOC","02-Jul-2008","28-Aug-2008","327.9","328","327.9","327.95","328","327.95","2","3.94","3000","1200","        323.55"
"IOC","02-Jul-2008","25-Sep-2008","0","0","0","360.45","0","331.1","0","0","0","0","        323.55"
"IOC","03-Jul-2008","31-Jul-2008","325","346.7","315.35","339.8","334.5","339.8","937","1834.23","1396800","-121800","        339.60"
"IOC","03-Jul-2008","28-Aug-2008","341.55","341.55","341.55","341.55","341.55","341.55","1","2.05","3000","0","        339.60"
"IOC","03-Jul-2008","25-Sep-2008","0","0","0","360.45","0","347.3","0","0","0","0","        339.60"
"IOC","04-Jul-2008","31-Jul-2008","345","348","332","342.35","341","342.35","323","659.88","1394400","-2400","        341.55"
"IOC","04-Jul-2008","28-Aug-2008","0","0","0","341.55","341.55","346.65","0","0","3000","0","        341.55"
"IOC","04-Jul-2008","25-Sep-2008","0","0","0","360.45","0","349.25","0","0","0","0","        341.55"
"IOC","07-Jul-2008","31-Jul-2008","344.3","354","344","348.7","350.8","348.7","309","648.65","1357200","-37200","        348.75"
"IOC","07-Jul-2008","28-Aug-2008","0","0","0","341.55","341.55","353.65","0","0","3000","0","        348.75"
"IOC","07-Jul-2008","25-Sep-2008","0","0","0","360.45","0","356.35","0","0","0","0","        348.75"
"IOC","08-Jul-2008","31-Jul-2008","345","362","344.5","353.8","353.35","353.8","447","947.08","1351800","-5400","        352.05"
"IOC","08-Jul-2008","28-Aug-2008","0","0","0","341.55","341.55","357","0","0","3000","0","        352.05"
"IOC","08-Jul-2008","25-Sep-2008","0","0","0","360.45","0","359.75","0","0","0","0","        352.05"
"IOC","09-Jul-2008","31-Jul-2008","360","368","358","361.55","362","361.55","435","944.91","1376400","24600","        359.75"
"IOC","09-Jul-2008","28-Aug-2008","376.4","376.4","376.4","376.4","376.4","364.7","1","2.26","3000","0","        359.75"
"IOC","09-Jul-2008","25-Sep-2008","0","0","0","360.45","0","367.45","0","0","0","0","        359.75"
"IOC","10-Jul-2008","31-Jul-2008","362.5","368.55","358","363.45","364","363.45","387","846.06","1375200","-1200","        361.75"
"IOC","10-Jul-2008","28-Aug-2008","0","0","0","376.4","376.4","366.6","0","0","3000","0","        361.75"
"IOC","10-Jul-2008","25-Sep-2008","0","0","0","360.45","0","369.4","0","0","0","0","        361.75"
"IOC","11-Jul-2008","31-Jul-2008","355","357.75","341.25","345","344.1","345","320","671.82","1362000","-13200","        344.75"
"IOC","11-Jul-2008","28-Aug-2008","353","353","346.05","346.05","346.05","349.3","15","31.63","11400","8400","        344.75"
"IOC","11-Jul-2008","25-Sep-2008","0","0","0","360.45","0","351.95","0","0","0","0","        344.75"
"IOC","14-Jul-2008","31-Jul-2008","344","353.4","341.5","349.75","352","349.75","228","476.17","1337400","-24600","        349.00"
