"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"IOC","03-Nov-2008","27-Nov-2008","340.2","357.35","336","353.65","357.35","353.65","366","762.12","382800","-6000","        351.30"
"IOC","03-Nov-2008","25-Dec-2008","0","0","0","400.75","0","357.2","0","0","0","0","        351.30"
"IOC","03-Nov-2008","29-Jan-2009","0","0","0","357.85","0","361.45","0","0","0","0","        351.30"
"IOC","04-Nov-2008","27-Nov-2008","355.25","366","353.3","363.1","362","363.1","318","688.32","404400","21600","        360.60"
"IOC","04-Nov-2008","25-Dec-2008","0","0","0","400.75","0","366.55","0","0","0","0","        360.60"
"IOC","04-Nov-2008","29-Jan-2009","0","0","0","357.85","0","370.85","0","0","0","0","        360.60"
"IOC","05-Nov-2008","27-Nov-2008","365","367.95","350","353.4","351","353.4","206","441.91","400200","-4200","        352.70"
"IOC","05-Nov-2008","25-Dec-2008","0","0","0","400.75","0","358.4","0","0","0","0","        352.70"
"IOC","05-Nov-2008","29-Jan-2009","0","0","0","357.85","0","362.65","0","0","0","0","        352.70"
"IOC","06-Nov-2008","27-Nov-2008","353.7","359.85","341.05","343.1","345.45","343.1","344","719.84","412200","12000","        341.90"
"IOC","06-Nov-2008","25-Dec-2008","348","348","348","348","348","347.2","1","2.09","600","600","        341.90"
"IOC","06-Nov-2008","29-Jan-2009","0","0","0","357.85","0","351.25","0","0","0","0","        341.90"
"IOC","07-Nov-2008","27-Nov-2008","349.3","371.8","349.2","369.2","371.8","369.2","546","1191.38","435600","23400","        368.05"
"IOC","07-Nov-2008","25-Dec-2008","359","368","359","368","368","373.5","9","19.6","4800","4200","        368.05"
"IOC","07-Nov-2008","29-Jan-2009","0","0","0","357.85","0","377.75","0","0","0","0","        368.05"
"IOC","10-Nov-2008","27-Nov-2008","370.5","379.45","362","369.65","369.4","369.65","389","868.28","421800","-13800","        368.95"
