"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"IOC","03-Sep-2007","27-Sep-2007","377.25","383.7","377.25","381.45","382.15","381.45","264","604.7","1644600","4800","        391.10"
"IOC","03-Sep-2007","25-Oct-2007","385.5","385.5","384","384","384","384","3","6.93","2400","1200","        391.10"
"IOC","03-Sep-2007","29-Nov-2007","0","0","0","391.85","0","398.9","0","0","0","0","        391.10"
"IOC","04-Sep-2007","27-Sep-2007","382.5","393.75","381","389.6","388.5","389.6","952","2211.93","1575600","-69000","        401.45"
"IOC","04-Sep-2007","25-Oct-2007","385","385","385","385","385","406.15","1","2.31","3000","600","        401.45"
"IOC","04-Sep-2007","29-Nov-2007","0","0","0","391.85","0","409.45","0","0","0","0","        401.45"
"IOC","05-Sep-2007","27-Sep-2007","390.05","394","384.25","387.45","389","387.45","441","1028.4","1545600","-30000","        398.75"
"IOC","05-Sep-2007","25-Oct-2007","0","0","0","385","385","403.35","0","0","3000","0","        398.75"
"IOC","05-Sep-2007","29-Nov-2007","0","0","0","391.85","0","406.55","0","0","0","0","        398.75"
"IOC","06-Sep-2007","27-Sep-2007","390","393.5","386.1","389.4","390.4","389.4","591","1383.12","1498800","-46800","        400.00"
"IOC","06-Sep-2007","25-Oct-2007","395","395","390.5","392.5","392.5","404.45","5","11.79","4800","1800","        400.00"
"IOC","06-Sep-2007","29-Nov-2007","0","0","0","391.85","0","407.65","0","0","0","0","        400.00"
"IOC","07-Sep-2007","27-Sep-2007","394.4","396.3","390.5","392.85","394.3","392.85","523","1235.55","1489800","-9000","        405.00"
"IOC","07-Sep-2007","25-Oct-2007","394","399","394","397","397","397","7","16.68","7200","2400","        405.00"
"IOC","07-Sep-2007","29-Nov-2007","0","0","0","391.85","0","412.7","0","0","0","0","        405.00"
"IOC","10-Sep-2007","27-Sep-2007","390","406.9","390","405.3","406","405.3","724","1738.56","1380000","-109800","        403.95"
"IOC","10-Sep-2007","25-Oct-2007","397.6","409.5","397.6","409.5","409.5","409.5","7","16.89","7200","0","        403.95"
"IOC","10-Sep-2007","29-Nov-2007","0","0","0","391.85","0","411.45","0","0","0","0","        403.95"
"IOC","11-Sep-2007","27-Sep-2007","407.95","416.6","402.1","406.1","406.5","406.1","1949","4796","1620000","240000","        403.45"
"IOC","11-Sep-2007","25-Oct-2007","424.05","424.05","406.5","409.3","408.85","409.3","21","51.84","14400","7200","        403.45"
"IOC","11-Sep-2007","29-Nov-2007","0","0","0","391.85","0","410.75","0","0","0","0","        403.45"
"IOC","12-Sep-2007","27-Sep-2007","405","411.75","398","399.95","398.9","399.95","726","1768.61","1664400","44400","        394.70"
"IOC","12-Sep-2007","25-Oct-2007","410.5","410.8","402","402","402","402","14","34.17","20400","6000","        394.70"
"IOC","12-Sep-2007","29-Nov-2007","0","0","0","391.85","0","401.75","0","0","0","0","        394.70"
"IOC","13-Sep-2007","27-Sep-2007","398","406","397","398.05","398.1","398.05","655","1575.77","1765800","101400","        395.15"
"IOC","13-Sep-2007","25-Oct-2007","402.05","409.5","401.1","402.05","402.95","402.05","40","96.99","40200","19800","        395.15"
"IOC","13-Sep-2007","29-Nov-2007","0","0","0","391.85","0","402.05","0","0","0","0","        395.15"
"IOC","14-Sep-2007","27-Sep-2007","400.85","404.45","394.15","395.4","396","395.4","578","1384.36","1812600","46800","        392.40"
"IOC","14-Sep-2007","25-Oct-2007","404.5","408.2","398","398.05","398","398.05","18","43.5","46800","6600","        392.40"
"IOC","14-Sep-2007","29-Nov-2007","0","0","0","391.85","0","399.2","0","0","0","0","        392.40"
"IOC","17-Sep-2007","27-Sep-2007","398.8","398.8","390.1","390.6","390.95","390.6","235","554.05","1790400","-22200","        389.25"
"IOC","17-Sep-2007","25-Oct-2007","385","397.6","385","393","393","393","21","49.82","49800","3000","        389.25"
"IOC","17-Sep-2007","29-Nov-2007","0","0","0","391.85","0","395.8","0","0","0","0","        389.25"
"IOC","18-Sep-2007","27-Sep-2007","388","394.45","388","392.5","392","392.5","261","613.79","1788000","-2400","        389.90"
"IOC","18-Sep-2007","25-Oct-2007","391","397","391","395.8","395.6","395.8","15","35.61","55800","6000","        389.90"
"IOC","18-Sep-2007","29-Nov-2007","0","0","0","391.85","0","396.35","0","0","0","0","        389.90"
"IOC","19-Sep-2007","27-Sep-2007","394","397","390.7","392.4","392.85","392.4","279","658.43","1788600","600","        388.15"
"IOC","19-Sep-2007","25-Oct-2007","397","397.9","394","395.5","397.75","395.5","101","240.13","104400","48600","        388.15"
"IOC","19-Sep-2007","29-Nov-2007","0","0","0","391.85","0","394.5","0","0","0","0","        388.15"
"IOC","20-Sep-2007","27-Sep-2007","393.95","407","391.25","404.1","406.5","404.1","1607","3861.26","1782600","-6000","        400.60"
"IOC","20-Sep-2007","25-Oct-2007","397","409.9","397","407.2","409","407.2","281","677.47","178200","73800","        400.60"
"IOC","20-Sep-2007","29-Nov-2007","0","0","0","391.85","0","407.05","0","0","0","0","        400.60"
"IOC","21-Sep-2007","27-Sep-2007","405","410.9","403","406.9","408","406.9","955","2331.03","1630800","-151800","        406.25"
"IOC","21-Sep-2007","25-Oct-2007","414","415","406.1","410.65","410","410.65","237","583.39","250200","72000","        406.25"
"IOC","21-Sep-2007","29-Nov-2007","0","0","0","391.85","0","412.75","0","0","0","0","        406.25"
"IOC","24-Sep-2007","27-Sep-2007","409.9","416","405.35","407.1","406.7","407.1","854","2106.2","1545000","-85800","        404.10"
"IOC","24-Sep-2007","25-Oct-2007","417","417.9","409","410.6","409","410.6","479","1188.15","462600","212400","        404.10"
"IOC","24-Sep-2007","29-Nov-2007","0","0","0","391.85","0","410.3","0","0","0","0","        404.10"
"IOC","25-Sep-2007","27-Sep-2007","410","439.5","409.9","436.3","435","436.3","3280","8354.97","1068600","-476400","        435.60"
"IOC","25-Sep-2007","25-Oct-2007","417","443","414","440.8","439","440.8","2033","5241.68","1014600","552000","        435.60"
"IOC","25-Sep-2007","29-Nov-2007","0","0","0","391.85","0","442.1","0","0","0","0","        435.60"
"IOC","26-Sep-2007","27-Sep-2007","441","484","438.05","466.85","471.95","466.85","2662","7337.34","573000","-495600","        468.15"
"IOC","26-Sep-2007","25-Oct-2007","444","487.5","442.25","472.15","475.5","472.15","3039","8446.84","1560600","546000","        468.15"
"IOC","26-Sep-2007","29-Nov-2007","0","0","0","391.85","0","475.15","0","0","0","0","        468.15"
"IOC","27-Sep-2007","27-Sep-2007","478.8","478.8","449.05","453.75","451.35","451.5","1012","2805.85","274200","-298800","        451.50"
"IOC","27-Sep-2007","25-Oct-2007","483.9","483.9","455.1","457.7","456.75","457.7","1537","4292.47","1874400","313800","        451.50"
"IOC","27-Sep-2007","29-Nov-2007","0","0","0","391.85","0","458","0","0","0","0","        451.50"
"IOC","28-Sep-2007","25-Oct-2007","458","476","450.2","474.2","474","474.2","1343","3750.56","1894200","19800","        470.45"
"IOC","28-Sep-2007","29-Nov-2007","0","0","0","391.85","0","477.25","0","0","0","0","        470.45"
"IOC","28-Sep-2007","27-Dec-2007","0","0","0","460.95","0","480.35","0","0","0","0","        470.45"
