"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ITC","01-Jan-2013","31-Jan-2013","290.4","291.9","289.6","290.45","290.5","290.45","2875","8354.96","26015000","775000","        287.25"
"ITC","01-Jan-2013","28-Feb-2013","293.5","293.5","292.15","292.5","292.5","292.5","7","20.49","147000","5000","        287.25"
"ITC","01-Jan-2013","28-Mar-2013","295","295","295","295","295","293.35","2","5.9","4000","2000","        287.25"
"ITC","02-Jan-2013","31-Jan-2013","291.15","292.3","287.15","288.05","288.1","288.05","3808","11010.26","26471000","456000","        285.40"
"ITC","02-Jan-2013","28-Feb-2013","294.3","294.3","289.35","289.8","290.25","289.8","64","186.09","187000","40000","        285.40"
"ITC","02-Jan-2013","28-Mar-2013","0","0","0","295","295","291.35","0","0","4000","0","        285.40"
"ITC","03-Jan-2013","31-Jan-2013","288.45","288.75","285.25","285.65","285.25","285.65","4135","11831.82","26129000","-342000","        283.55"
"ITC","03-Jan-2013","28-Feb-2013","290.25","290.25","287.2","287.7","287.55","287.7","106","305.6","223000","36000","        283.55"
"ITC","03-Jan-2013","28-Mar-2013","0","0","0","295","295","289.45","0","0","4000","0","        283.55"
"ITC","04-Jan-2013","31-Jan-2013","285.9","286.55","282.5","284.45","283.85","284.45","4080","11581.42","25999000","-130000","        282.40"
"ITC","04-Jan-2013","28-Feb-2013","286","286.75","284.6","286.5","286.05","286.5","97","277.13","289000","66000","        282.40"
"ITC","04-Jan-2013","28-Mar-2013","0","0","0","295","295","288.15","0","0","4000","0","        282.40"
"ITC","07-Jan-2013","31-Jan-2013","284.95","286.75","281.05","281.45","281.5","281.45","4522","12833.54","26316000","317000","        279.05"
"ITC","07-Jan-2013","28-Feb-2013","286.5","288.65","283.1","283.4","283.2","283.4","183","521.92","343000","54000","        279.05"
"ITC","07-Jan-2013","28-Mar-2013","290.65","290.65","286","286","286","284.5","4","11.52","8000","4000","        279.05"
"ITC","08-Jan-2013","31-Jan-2013","281.35","288.4","281","287.6","286.7","287.6","7901","22535.28","25106000","-1210000","        285.70"
"ITC","08-Jan-2013","28-Feb-2013","282","290.2","282","289.6","288.95","289.6","295","847.1","465000","122000","        285.70"
"ITC","08-Jan-2013","28-Mar-2013","293.9","293.9","293.8","293.8","293.8","291.15","2","5.88","10000","2000","        285.70"
"ITC","09-Jan-2013","31-Jan-2013","286.5","287.5","281","281.6","281","281.6","5383","15263.9","26197000","1091000","        279.50"
"ITC","09-Jan-2013","28-Feb-2013","288.95","289","283.1","283.65","283.4","283.65","306","873.95","627000","162000","        279.50"
"ITC","09-Jan-2013","28-Mar-2013","286","286","286","286","286","286","1","2.86","11000","1000","        279.50"
"ITC","10-Jan-2013","31-Jan-2013","282","283.95","280.55","283.2","282.9","283.2","6055","17102.44","27342000","1145000","        281.00"
"ITC","10-Jan-2013","28-Feb-2013","284.2","285.9","282.95","285.05","285","285.05","226","643.07","688000","61000","        281.00"
"ITC","10-Jan-2013","28-Mar-2013","290.7","290.7","290.7","290.7","290.7","286.25","1","2.91","12000","1000","        281.00"
"ITC","11-Jan-2013","31-Jan-2013","282.4","282.4","274","275","274.7","275","6016","16669.13","27531000","189000","        273.40"
"ITC","11-Jan-2013","28-Feb-2013","283.4","283.4","276.1","276.9","276.5","276.9","631","1756.38","1023000","335000","        273.40"
"ITC","11-Jan-2013","28-Mar-2013","283.55","283.6","278.5","278.5","278.5","278.5","44","123.82","49000","37000","        273.40"
"ITC","14-Jan-2013","31-Jan-2013","275.7","279.95","275.7","279.3","279.55","279.3","4282","11911.16","26247000","-1284000","        277.90"
"ITC","14-Jan-2013","28-Feb-2013","278.8","281.9","278.25","281.65","281.65","281.65","148","415.47","1062000","39000","        277.90"
"ITC","14-Jan-2013","28-Mar-2013","280.95","283.25","280.95","283.25","283.25","282.8","3","8.46","52000","3000","        277.90"
"ITC","15-Jan-2013","31-Jan-2013","279.2","285.8","276","284.7","284.8","284.7","11521","32434.57","23733000","-2514000","        284.10"
"ITC","15-Jan-2013","28-Feb-2013","279.4","287.7","278.45","286.85","287.2","286.85","418","1185.91","1175000","113000","        284.10"
"ITC","15-Jan-2013","28-Mar-2013","281.05","293.5","281.05","293.5","293.5","293.5","7","20.01","54000","2000","        284.10"
"ITC","16-Jan-2013","31-Jan-2013","285.05","286.4","283.1","284.45","284.55","284.45","4983","14193.21","23529000","-204000","        284.00"
"ITC","16-Jan-2013","28-Feb-2013","287.8","288.25","285.5","286.65","286.6","286.65","230","660.26","1151000","-24000","        284.00"
"ITC","16-Jan-2013","28-Mar-2013","0","0","0","293.5","293.5","288.9","0","0","54000","0","        284.00"
"ITC","17-Jan-2013","31-Jan-2013","284.1","287.4","281.8","285.7","285.3","285.7","5434","15485.93","23344000","-185000","        285.30"
"ITC","17-Jan-2013","28-Feb-2013","286.7","289.45","284.05","287.95","287.6","287.95","251","721.49","1183000","32000","        285.30"
"ITC","17-Jan-2013","28-Mar-2013","286.95","290.4","286.7","290","290","290","9","26.04","56000","2000","        285.30"
"ITC","18-Jan-2013","31-Jan-2013","287","289.7","284.4","287.75","287.45","287.75","16604","47742.73","22853000","-491000","        287.45"
