"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ITC","03-Jul-2017","27-Jul-2017","348.9","354.75","341.4","343.25","344.25","343.25","20180","167130.09","48194400","5572800","        342.50"
"ITC","03-Jul-2017","31-Aug-2017","342","352.75","342","345.1","346","345.1","267","2216.17","487200","199200","        342.50"
"ITC","03-Jul-2017","28-Sep-2017","0","0","0","316.75","0","347.9","0","0","0","0","        342.50"
"ITC","04-Jul-2017","27-Jul-2017","344.45","344.45","337.35","338.95","339.65","338.95","7156","58412.93","47299200","-895200","        337.25"
"ITC","04-Jul-2017","31-Aug-2017","344.5","344.5","339.05","340.4","341.3","340.4","137","1123.77","508800","21600","        337.25"
"ITC","04-Jul-2017","28-Sep-2017","0","0","0","316.75","0","342.5","0","0","0","0","        337.25"
"ITC","05-Jul-2017","27-Jul-2017","339.25","339.7","332.4","333","333.85","333","6273","50436.57","48849600","1550400","        331.05"
"ITC","05-Jul-2017","31-Aug-2017","338.3","339.95","334.05","334.75","335.6","334.75","110","888.76","530400","21600","        331.05"
"ITC","05-Jul-2017","28-Sep-2017","338.4","338.4","335.7","335.7","335.7","335.7","2","16.18","4800","4800","        331.05"
"ITC","06-Jul-2017","27-Jul-2017","334.25","339.4","332.6","337.8","337.75","337.8","7300","59000.81","48916800","67200","        337.10"
"ITC","06-Jul-2017","31-Aug-2017","336.45","340.25","335","339.35","339.25","339.35","108","878.19","604800","74400","        337.10"
"ITC","06-Jul-2017","28-Sep-2017","0","0","0","335.7","335.7","342.2","0","0","4800","0","        337.10"
"ITC","07-Jul-2017","27-Jul-2017","339.2","339.2","334.5","335.45","336.2","335.45","4676","37686.38","49593600","676800","        334.30"
"ITC","07-Jul-2017","31-Aug-2017","338.95","339","336","337.1","337.3","337.1","40","323.75","650400","45600","        334.30"
"ITC","07-Jul-2017","28-Sep-2017","0","0","0","335.7","335.7","339.35","0","0","4800","0","        334.30"
"ITC","10-Jul-2017","27-Jul-2017","337.05","337.15","331.5","335","334.65","335","3357","26916.54","49718400","124800","        333.30"
"ITC","10-Jul-2017","31-Aug-2017","337.5","338.15","333.8","336.7","336.5","336.7","53","426.89","717600","67200","        333.30"
"ITC","10-Jul-2017","28-Sep-2017","0","0","0","335.7","335.7","338.15","0","0","4800","0","        333.30"
"ITC","11-Jul-2017","27-Jul-2017","337","337","331.6","332.05","331.95","332.05","4352","34768.07","51160800","1442400","        330.40"
"ITC","11-Jul-2017","31-Aug-2017","335.4","336.65","333.5","333.75","333.55","333.75","84","674.89","804000","86400","        330.40"
"ITC","11-Jul-2017","28-Sep-2017","0","0","0","335.7","335.7","335.15","0","0","4800","0","        330.40"
"ITC","12-Jul-2017","27-Jul-2017","333.45","334.8","328.7","330.35","330.9","330.35","4903","38951.32","51847200","686400","        328.85"
"ITC","12-Jul-2017","31-Aug-2017","332.4","336.2","330.55","332","332.25","332","215","1714.33","1080000","276000","        328.85"
"ITC","12-Jul-2017","28-Sep-2017","333","333","333","332.55","333","332.55","3","23.95","12000","7200","        328.85"
