"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ITC","01-Mar-2019","28-Mar-2019","278.7","280.5","278","279.75","279.7","279.75","4347","29122.2","61845600","1166400","        278.20"
"ITC","01-Mar-2019","25-Apr-2019","280.75","281.75","279.65","281.1","281","281.1","39","262.57","237600","26400","        278.20"
"ITC","01-Mar-2019","30-May-2019","279.4","279.95","279.3","279.3","279.3","283.4","4","26.83","9600","9600","        278.20"
"ITC","05-Mar-2019","28-Mar-2019","279.35","285.25","277.35","284","285.25","284","9426","63715.41","61538400","-307200","        282.55"
"ITC","05-Mar-2019","25-Apr-2019","279.5","286.45","279","285.65","286.15","285.65","135","916.8","352800","115200","        282.55"
"ITC","05-Mar-2019","30-May-2019","279.1","285.5","278.7","285.5","285.5","285.5","7","47.2","26400","16800","        282.55"
"ITC","06-Mar-2019","28-Mar-2019","285.7","289.65","285.7","286.6","286.95","286.6","9975","68842.36","59896800","-1641600","        285.75"
"ITC","06-Mar-2019","25-Apr-2019","288.8","290.3","287.1","288.35","288.3","288.35","72","499.02","374400","21600","        285.75"
"ITC","06-Mar-2019","30-May-2019","289.35","290.35","287.7","287.7","287.7","290.8","3","20.82","28800","2400","        285.75"
"ITC","07-Mar-2019","28-Mar-2019","287","292.5","286.4","291.8","291.25","291.8","8000","55704.47","58574400","-1322400","        290.10"
"ITC","07-Mar-2019","25-Apr-2019","289.45","293.7","288.8","293.05","292.65","293.05","97","678.38","393600","19200","        290.10"
"ITC","07-Mar-2019","30-May-2019","288.7","292.85","288.7","291.85","291.85","291.85","8","55.72","40800","12000","        290.10"
"ITC","08-Mar-2019","28-Mar-2019","291.75","294.3","291.05","293.9","293.65","293.9","7615","53551.58","58423200","-151200","        292.00"
"ITC","08-Mar-2019","25-Apr-2019","293.6","295.5","292.6","295.15","295","295.15","76","537.11","446400","52800","        292.00"
"ITC","08-Mar-2019","30-May-2019","294.2","294.7","293.25","293.6","293.6","297.05","4","28.22","45600","4800","        292.00"
"ITC","11-Mar-2019","28-Mar-2019","293.55","295.8","292.25","294.5","294.5","294.5","5893","41622.71","57451200","-972000","        292.95"
"ITC","11-Mar-2019","25-Apr-2019","294.35","296.85","294","296.05","296","296.05","92","652.79","482400","36000","        292.95"
"ITC","11-Mar-2019","30-May-2019","294.2","295.1","294.2","295.1","295.1","297.85","5","35.38","45600","0","        292.95"
"ITC","12-Mar-2019","28-Mar-2019","295.55","297.3","294.7","296.25","296.2","296.25","6971","49515.44","58512000","1060800","        294.50"
"ITC","12-Mar-2019","25-Apr-2019","296.85","298.5","296.3","298.1","297.75","298.1","410","2927.39","1084800","602400","        294.50"
"ITC","12-Mar-2019","30-May-2019","297.35","297.35","296.95","296.95","296.95","299.35","7","49.91","52800","7200","        294.50"
"ITC","13-Mar-2019","28-Mar-2019","297.2","298.55","295.7","296.45","296.5","296.45","5405","38514.96","59608800","1096800","        294.90"
"ITC","13-Mar-2019","25-Apr-2019","298.85","300","297.5","298","297.7","298","239","1710.4","1238400","153600","        294.90"
"ITC","13-Mar-2019","30-May-2019","299.05","299.05","297.1","297.7","297.65","297.7","10","71.45","69600","16800","        294.90"
"ITC","14-Mar-2019","28-Mar-2019","296.05","297.35","291.5","296.8","297.25","296.8","6031","42685.36","57782400","-1826400","        295.50"
"ITC","14-Mar-2019","25-Apr-2019","297.25","298.85","293.7","298.4","298.6","298.4","502","3581.89","2035200","796800","        295.50"
"ITC","14-Mar-2019","30-May-2019","294.3","294.3","294.3","294.3","294.3","300.25","5","35.32","57600","-12000","        295.50"
"ITC","15-Mar-2019","28-Mar-2019","297.25","297.7","290.85","292.25","292.9","292.25","12481","87995.24","56587200","-1195200","        290.80"
"ITC","15-Mar-2019","25-Apr-2019","298.9","298.95","292.35","293.65","294.35","293.65","3975","28159.72","9391200","7356000","        290.80"
"ITC","15-Mar-2019","30-May-2019","295.3","296.2","295.3","296.2","296.2","295.4","3","21.3","64800","7200","        290.80"
"ITC","18-Mar-2019","28-Mar-2019","293","295.5","292.5","295","294.85","295","5155","36406.96","56856000","268800","        293.75"
"ITC","18-Mar-2019","25-Apr-2019","296.1","297","294.1","296.55","296.2","296.55","1026","7275.66","11037600","1646400","        293.75"
"ITC","18-Mar-2019","30-May-2019","295.7","295.7","294.8","295.05","295.05","298.2","7","49.59","81600","16800","        293.75"
"ITC","19-Mar-2019","28-Mar-2019","295.05","301.5","294.45","300.85","301.35","300.85","9319","66855.73","55365600","-1490400","        299.45"
"ITC","19-Mar-2019","25-Apr-2019","296.5","302.95","296.3","302.4","302.8","302.4","1779","12826.28","13812000","2774400","        299.45"
"ITC","19-Mar-2019","30-May-2019","298.55","302.1","298.5","302.1","302.1","302.1","11","79.32","76800","-4800","        299.45"
"ITC","20-Mar-2019","28-Mar-2019","301.25","303.65","297.85","299.85","299.8","299.85","6520","46951.56","56491200","1125600","        298.90"
"ITC","20-Mar-2019","25-Apr-2019","305.1","305.5","299.5","301.45","301.35","301.45","853","6179.3","14690400","878400","        298.90"
"ITC","20-Mar-2019","30-May-2019","301.45","301.9","299","301.9","301.9","303.3","18","129.85","86400","9600","        298.90"
"ITC","22-Mar-2019","28-Mar-2019","301.05","301.05","297.2","298.75","298.8","298.75","5659","40579.62","54136800","-2354400","        298.20"
"ITC","22-Mar-2019","25-Apr-2019","302","302.25","298.8","300.45","300.6","300.45","1965","14160.15","17882400","3192000","        298.20"
"ITC","22-Mar-2019","30-May-2019","300.55","301.75","299","300.1","300.3","300.1","24","172.78","108000","21600","        298.20"
"ITC","25-Mar-2019","28-Mar-2019","296.1","297.4","294","295.6","295","295.6","8130","57616.44","48093600","-6043200","        295.05"
"ITC","25-Mar-2019","25-Apr-2019","298.2","299.05","295.6","297.25","296.8","297.25","5547","39512.86","28348800","10466400","        295.05"
"ITC","25-Mar-2019","30-May-2019","296.1","296.6","295.35","296.5","296.5","296.5","11","78.16","132000","24000","        295.05"
"ITC","26-Mar-2019","28-Mar-2019","293.65","296.8","291.75","294.2","294.75","294.2","13191","92981.19","36360000","-11733600","        293.40"
"ITC","26-Mar-2019","25-Apr-2019","296","298.3","293.5","296.1","296.6","296.1","10303","73028.8","43884000","15535200","        293.40"
"ITC","26-Mar-2019","30-May-2019","296.7","298.1","293.2","295.95","296.35","295.95","45","319.27","194400","62400","        293.40"
"ITC","27-Mar-2019","28-Mar-2019","295.05","296.9","292.05","293.3","293.1","293.3","9743","68979.82","23964000","-12396000","        293.10"
"ITC","27-Mar-2019","25-Apr-2019","296.65","298.8","294.2","295.4","295.5","295.4","7855","55991.45","53524800","9640800","        293.10"
"ITC","27-Mar-2019","30-May-2019","297","298.25","294.65","295.7","295.5","295.7","30","213.76","232800","38400","        293.10"
"ITC","28-Mar-2019","28-Mar-2019","293.85","300.1","292.9","299.45","300","300","7844","55810.93","17301600","-6662400","        300.00"
