"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ITC","02-May-2005","26-May-2005","1414.8","1430","1400.3","1406.05","1405","1406.05","2006","4252.17","854250","-17700","       1408.95"
"ITC","02-May-2005","30-Jun-2005","1420","1420","1404.1","1411.95","1413.9","1411.95","6","12.72","5100","300","       1408.95"
"ITC","02-May-2005","28-Jul-2005","0","0","0","1471.65","0","1429.2","0","0","0","0","       1408.95"
"ITC","03-May-2005","26-May-2005","1405.1","1420.8","1405","1409.95","1408","1409.95","1257","2665.54","876600","22350","       1413.70"
"ITC","03-May-2005","30-Jun-2005","1410","1415","1410","1415","1415","1427.25","2","4.24","5250","150","       1413.70"
"ITC","03-May-2005","28-Jul-2005","0","0","0","1471.65","0","1433.85","0","0","0","0","       1413.70"
"ITC","04-May-2005","26-May-2005","1406","1431","1406","1426.15","1429.5","1426.15","1942","4137.66","924600","48000","       1426.40"
"ITC","04-May-2005","30-Jun-2005","1415","1425","1408.5","1423.95","1425","1423.95","21","44.73","7500","2250","       1426.40"
"ITC","04-May-2005","28-Jul-2005","0","0","0","1471.65","0","1446.55","0","0","0","0","       1426.40"
"ITC","05-May-2005","26-May-2005","1430.1","1430.1","1412.15","1415.55","1418.5","1415.55","1335","2848.11","941250","16650","       1416.20"
"ITC","05-May-2005","30-Jun-2005","1419","1419","1412","1413.4","1412","1413.4","5","10.61","7500","0","       1416.20"
"ITC","05-May-2005","28-Jul-2005","0","0","0","1471.65","0","1435.9","0","0","0","0","       1416.20"
"ITC","06-May-2005","26-May-2005","1425","1447","1414","1441.85","1444.05","1441.85","3810","8198.01","1003650","62400","       1441.00"
"ITC","06-May-2005","30-Jun-2005","1417.25","1440","1417.25","1440","1440","1440","21","45.28","9900","2400","       1441.00"
"ITC","06-May-2005","28-Jul-2005","0","0","0","1471.65","0","1460.7","0","0","0","0","       1441.00"
"ITC","09-May-2005","26-May-2005","1446.7","1479","1440.2","1476.1","1475","1476.1","3613","7929.9","1018500","14850","       1483.00"
"ITC","09-May-2005","30-Jun-2005","1440","1469","1440","1469","1469","1469","67","146.29","17250","7350","       1483.00"
"ITC","09-May-2005","28-Jul-2005","0","0","0","1471.65","0","1502.6","0","0","0","0","       1483.00"
"ITC","10-May-2005","26-May-2005","1471","1475","1452.1","1459.55","1463.7","1459.55","1832","4022.82","1030050","11550","       1472.05"
"ITC","10-May-2005","30-Jun-2005","1454","1464.95","1447.5","1449.75","1452","1449.75","12","26.19","17250","0","       1472.05"
"ITC","10-May-2005","28-Jul-2005","0","0","0","1471.65","0","1491.4","0","0","0","0","       1472.05"
"ITC","11-May-2005","26-May-2005","1457","1474.2","1445","1470.2","1464.05","1470.2","2475","5413.45","1052550","22500","       1476.25"
"ITC","11-May-2005","30-Jun-2005","1449.5","1465","1441","1463.75","1459.2","1463.75","56","122.35","21150","3900","       1476.25"
"ITC","11-May-2005","28-Jul-2005","0","0","0","1471.65","0","1495.5","0","0","0","0","       1476.25"
"ITC","12-May-2005","26-May-2005","1469","1484.75","1457","1464.95","1465.2","1464.95","2092","4612.72","1058100","5550","       1467.00"
"ITC","12-May-2005","30-Jun-2005","1462","1473","1450","1454.15","1454.15","1478.85","21","45.94","21300","150","       1467.00"
"ITC","12-May-2005","28-Jul-2005","0","0","0","1471.65","0","1485.65","0","0","0","0","       1467.00"
"ITC","13-May-2005","26-May-2005","1453.3","1473.7","1453.3","1470.8","1471","1470.8","1774","3904.31","1101600","43500","       1480.05"
"ITC","13-May-2005","30-Jun-2005","1455","1465","1452.5","1465","1465","1491.75","8","17.53","21600","300","       1480.05"
"ITC","13-May-2005","28-Jul-2005","0","0","0","1471.65","0","1498.6","0","0","0","0","       1480.05"
"ITC","16-May-2005","26-May-2005","1469","1493","1468","1485.9","1485.5","1485.9","2588","5757.73","1153350","51750","       1487.25"
"ITC","16-May-2005","30-Jun-2005","1468","1479.8","1455.1","1475.3","1474.9","1475.3","45","99.28","25650","4050","       1487.25"
"ITC","16-May-2005","28-Jul-2005","0","0","0","1471.65","0","1505.05","0","0","0","0","       1487.25"
"ITC","17-May-2005","26-May-2005","1486.1","1488.9","1465","1469.7","1468","1469.7","1973","4362.3","1101900","-51450","       1478.80"
"ITC","17-May-2005","30-Jun-2005","1471.6","1471.6","1460","1461.35","1462.5","1461.35","33","72.54","26100","450","       1478.80"
"ITC","17-May-2005","28-Jul-2005","0","0","0","1471.65","0","1496.15","0","0","0","0","       1478.80"
"ITC","18-May-2005","26-May-2005","1467","1493","1460.1","1486.85","1485.25","1486.85","3659","8130.14","1103250","1350","       1485.50"
"ITC","18-May-2005","30-Jun-2005","1462","1485","1460","1479.4","1477.05","1479.4","175","387.23","36000","9900","       1485.50"
"ITC","18-May-2005","28-Jul-2005","0","0","0","1471.65","0","1502.65","0","0","0","0","       1485.50"
"ITC","19-May-2005","26-May-2005","1489.95","1520","1489.4","1500.45","1495","1500.45","4075","9202.9","1167600","64350","       1498.75"
"ITC","19-May-2005","30-Jun-2005","1485","1510","1485","1495.5","1488.15","1495.5","413","928","64650","28650","       1498.75"
"ITC","19-May-2005","28-Jul-2005","1489","1489","1489","1489","1489","1515.75","1","2.23","150","150","       1498.75"
"ITC","20-May-2005","26-May-2005","1502","1505.9","1490.5","1500.95","1497.55","1500.95","1944","4368.35","1173750","6150","       1497.65"
"ITC","20-May-2005","30-Jun-2005","1493","1498","1481.1","1494.4","1491","1494.4","142","317.39","70350","5700","       1497.65"
"ITC","20-May-2005","28-Jul-2005","0","0","0","1489","1489","1514.4","0","0","150","0","       1497.65"
"ITC","23-May-2005","26-May-2005","1493","1499","1488.6","1493.45","1494.5","1493.45","1610","3608.13","1083450","-90300","       1491.85"
"ITC","23-May-2005","30-Jun-2005","1492.05","1495.05","1481.15","1490.6","1491","1490.6","511","1142.6","116400","46050","       1491.85"
"ITC","23-May-2005","28-Jul-2005","0","0","0","1489","1489","1507.8","0","0","150","0","       1491.85"
"ITC","24-May-2005","26-May-2005","1499.7","1517.95","1491.5","1503.9","1502","1503.9","2799","6319.2","977850","-105600","       1502.55"
"ITC","24-May-2005","30-Jun-2005","1491","1516.7","1490","1504","1501.35","1504","1096","2472.02","207150","90750","       1502.55"
"ITC","24-May-2005","28-Jul-2005","1492","1505","1492","1505","1505","1518.35","3","6.73","600","450","       1502.55"
"ITC","25-May-2005","26-May-2005","1491.1","1522.75","1491.1","1516.55","1519.25","1516.55","3183","7212.02","745800","-232050","       1516.00"
"ITC","25-May-2005","30-Jun-2005","1503","1518","1497.1","1512.25","1514.1","1512.25","2497","5649.13","450000","242850","       1516.00"
"ITC","25-May-2005","28-Jul-2005","1505","1507","1505","1507","1507","1507","3","6.78","900","300","       1516.00"
"ITC","27-May-2005","30-Jun-2005","1535","1608","1530","1573.75","1572","1573.75","13753","32382.23","1028250","268500","       1570.70"
