"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ITC","01-Nov-2018","29-Nov-2018","279.8","282.45","275.65","278.75","278.45","278.75","6707","44754.49","66355200","2676000","        277.40"
"ITC","01-Nov-2018","27-Dec-2018","282.1","283.5","277.05","280.25","280","280.25","70","470.82","621600","12000","        277.40"
"ITC","01-Nov-2018","31-Jan-2019","281.95","281.95","281.95","281.95","281.95","282.7","1","6.77","4800","2400","        277.40"
"ITC","02-Nov-2018","29-Nov-2018","279.55","286.25","279.1","283.55","284.05","283.55","7844","53345.18","65268000","-1087200","        283.25"
"ITC","02-Nov-2018","27-Dec-2018","281.8","287.55","281.8","285.1","285.05","285.1","101","690.49","600000","-21600","        283.25"
"ITC","02-Nov-2018","31-Jan-2019","284.6","285.5","284.6","285.5","285.5","288.6","2","13.68","4800","0","        283.25"
"ITC","05-Nov-2018","29-Nov-2018","284.7","285.45","279.15","280.65","280.9","280.65","4639","31366.78","67560000","2292000","        279.60"
"ITC","05-Nov-2018","27-Dec-2018","286.55","286.55","280.75","282.2","282","282.2","87","590.15","693600","93600","        279.60"
"ITC","05-Nov-2018","31-Jan-2019","288.85","288.85","288.85","288.85","288.85","284.7","1","6.93","7200","2400","        279.60"
"ITC","06-Nov-2018","29-Nov-2018","281.45","282.5","277.55","278.3","277.8","278.3","5071","33985.13","69103200","1543200","        277.30"
"ITC","06-Nov-2018","27-Dec-2018","283","283.45","279.35","279.7","279.4","279.7","103","692.75","782400","88800","        277.30"
"ITC","06-Nov-2018","31-Jan-2019","281.2","283.45","281.2","283.45","283.45","282.3","2","13.55","9600","2400","        277.30"
"ITC","07-Nov-2018","29-Nov-2018","279.75","280.9","279","280.4","280.9","280.4","805","5412.36","68320800","-782400","        280.05"
"ITC","07-Nov-2018","27-Dec-2018","281.1","282","281.1","281.8","282","281.8","13","87.87","782400","0","        280.05"
"ITC","07-Nov-2018","31-Jan-2019","283.5","283.5","283.05","281.8","283.05","281.8","4","27.13","16800","7200","        280.05"
"ITC","09-Nov-2018","29-Nov-2018","279.1","280.75","277.1","278.65","278.25","278.65","4931","32980.16","70430400","2109600","        277.25"
"ITC","09-Nov-2018","27-Dec-2018","279.75","282","278.55","279.9","279.4","279.9","232","1558.49","1168800","386400","        277.25"
