"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"JSWSTEEL","01-Mar-2017","30-Mar-2017","188.55","193.7","187.4","191.05","191","191.05","6962","39916.12","42165000","405000","        189.80"
"JSWSTEEL","01-Mar-2017","27-Apr-2017","189.75","194.15","188.9","191.9","191.75","191.9","95","546.12","465000","-21000","        189.80"
"JSWSTEEL","01-Mar-2017","25-May-2017","0","0","0","189.95","0","192.75","0","0","0","0","        189.80"
"JSWSTEEL","02-Mar-2017","30-Mar-2017","191.7","191.95","182.55","183.95","183.7","183.95","5636","31597","42198000","33000","        183.50"
"JSWSTEEL","02-Mar-2017","27-Apr-2017","192","192","184.2","185.15","185","185.15","101","566.28","516000","51000","        183.50"
"JSWSTEEL","02-Mar-2017","25-May-2017","0","0","0","189.95","0","186.3","0","0","0","0","        183.50"
"JSWSTEEL","03-Mar-2017","30-Mar-2017","182.95","185.6","182.5","185","184.75","185","2828","15627.8","42519000","321000","        184.00"
"JSWSTEEL","03-Mar-2017","27-Apr-2017","183.2","186.4","183.2","186","186","186","17","94.52","516000","0","        184.00"
"JSWSTEEL","03-Mar-2017","25-May-2017","0","0","0","189.95","0","186.8","0","0","0","0","        184.00"
"JSWSTEEL","06-Mar-2017","30-Mar-2017","185.45","186.95","183.55","185.6","185.3","185.6","2581","14346.63","42783000","264000","        184.85"
"JSWSTEEL","06-Mar-2017","27-Apr-2017","186","187.75","184.6","186.45","186.3","186.45","59","329.18","543000","27000","        184.85"
"JSWSTEEL","06-Mar-2017","25-May-2017","0","0","0","189.95","0","187.55","0","0","0","0","        184.85"
"JSWSTEEL","07-Mar-2017","30-Mar-2017","185.95","185.95","181.35","181.9","181.8","181.9","2444","13402.44","43401000","618000","        181.45"
"JSWSTEEL","07-Mar-2017","27-Apr-2017","185.55","186.3","182.8","183.1","182.8","183.1","58","320.38","597000","54000","        181.45"
"JSWSTEEL","07-Mar-2017","25-May-2017","0","0","0","189.95","0","184.05","0","0","0","0","        181.45"
"JSWSTEEL","08-Mar-2017","30-Mar-2017","182","182.75","177.3","179.05","179.1","179.05","5246","28221.19","44181000","780000","        178.05"
"JSWSTEEL","08-Mar-2017","27-Apr-2017","183.5","183.5","178.05","180.05","179.95","180.05","494","2671.29","1641000","1044000","        178.05"
"JSWSTEEL","08-Mar-2017","25-May-2017","0","0","0","189.95","0","180.55","0","0","0","0","        178.05"
"JSWSTEEL","09-Mar-2017","30-Mar-2017","177.1","179.65","176.25","177.35","176.75","177.35","2996","15957.83","44166000","-15000","        176.85"
"JSWSTEEL","09-Mar-2017","27-Apr-2017","180.3","180.45","177.5","178.4","177.55","178.4","406","2172.58","2721000","1080000","        176.85"
"JSWSTEEL","09-Mar-2017","25-May-2017","0","0","0","189.95","0","179.3","0","0","0","0","        176.85"
"JSWSTEEL","10-Mar-2017","30-Mar-2017","177.8","179.4","176","176.7","176.15","176.7","2011","10714.58","44145000","-21000","        176.25"
"JSWSTEEL","10-Mar-2017","27-Apr-2017","180.3","180.3","177.1","177.65","177.1","177.65","56","299.94","2730000","9000","        176.25"
"JSWSTEEL","10-Mar-2017","25-May-2017","0","0","0","189.95","0","178.65","0","0","0","0","        176.25"
"JSWSTEEL","14-Mar-2017","30-Mar-2017","179.8","183.8","177.8","182.05","181.7","182.05","3481","18972.97","42690000","-1455000","        181.90"
"JSWSTEEL","14-Mar-2017","27-Apr-2017","180","184.7","179.35","182.9","182.9","182.9","43","235.68","2727000","-3000","        181.90"
"JSWSTEEL","14-Mar-2017","25-May-2017","0","0","0","189.95","0","184.25","0","0","0","0","        181.90"
"JSWSTEEL","15-Mar-2017","30-Mar-2017","181","185.4","180.55","183.9","184","183.9","2836","15626.92","42852000","162000","        183.50"
"JSWSTEEL","15-Mar-2017","27-Apr-2017","183.55","186.05","183","184.9","184.9","184.9","48","265.85","2673000","-54000","        183.50"
"JSWSTEEL","15-Mar-2017","25-May-2017","0","0","0","189.95","0","185.85","0","0","0","0","        183.50"
"JSWSTEEL","16-Mar-2017","30-Mar-2017","186","194.85","185.35","193.1","193","193.1","7882","45156.98","40638000","-2214000","        192.45"
"JSWSTEEL","16-Mar-2017","27-Apr-2017","187.3","196","187.3","194","193.65","194","502","2899.03","3306000","633000","        192.45"
"JSWSTEEL","16-Mar-2017","25-May-2017","0","0","0","189.95","0","194.9","0","0","0","0","        192.45"
"JSWSTEEL","17-Mar-2017","30-Mar-2017","193.45","196.4","190.3","192.55","192.5","192.55","3934","22818.5","41112000","474000","        192.00"
"JSWSTEEL","17-Mar-2017","27-Apr-2017","193.45","197","191.5","193.8","193.95","193.8","79","459.91","3351000","45000","        192.00"
"JSWSTEEL","17-Mar-2017","25-May-2017","0","0","0","189.95","0","194.4","0","0","0","0","        192.00"
"JSWSTEEL","20-Mar-2017","30-Mar-2017","192.75","195.35","190.5","194.25","193.9","194.25","2584","14999.52","40782000","-330000","        194.10"
"JSWSTEEL","20-Mar-2017","27-Apr-2017","193.3","196","192","194.95","194.25","194.95","94","548.9","3441000","90000","        194.10"
"JSWSTEEL","20-Mar-2017","25-May-2017","0","0","0","189.95","0","196.45","0","0","0","0","        194.10"
