"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"JSWSTEEL","02-May-2013","30-May-2013","699.7","715.6","696.7","703.2","701.45","703.2","4663","16481.92","7352000","4500","        701.15"
"JSWSTEEL","02-May-2013","27-Jun-2013","707.05","709.9","700","704.55","705","704.55","32","112.85","30500","9000","        701.15"
"JSWSTEEL","02-May-2013","25-Jul-2013","0","0","0","690","690","715.35","0","0","500","0","        701.15"
"JSWSTEEL","03-May-2013","30-May-2013","705.95","729.9","690.7","712.35","711","712.35","7663","27359.49","7439000","87000","        709.60"
"JSWSTEEL","03-May-2013","27-Jun-2013","697.7","728","692","714.9","712.5","714.9","42","149.85","35000","4500","        709.60"
"JSWSTEEL","03-May-2013","25-Jul-2013","0","0","0","690","690","723.1","0","0","500","0","        709.60"
"JSWSTEEL","06-May-2013","30-May-2013","713.65","729","711.25","723.8","723.5","723.8","5247","18916.69","7469500","30500","        720.60"
"JSWSTEEL","06-May-2013","27-Jun-2013","720.1","727","709.35","724","724","729.25","52","187.8","50500","15500","        720.60"
"JSWSTEEL","06-May-2013","25-Jul-2013","0","0","0","690","690","734","0","0","500","0","        720.60"
"JSWSTEEL","07-May-2013","30-May-2013","725.6","732.4","716.1","723.85","722.95","723.85","5269","19113.34","7723500","254000","        720.95"
"JSWSTEEL","07-May-2013","27-Jun-2013","727.35","730","715.3","721.85","721.85","721.85","42","152.13","54500","4000","        720.95"
"JSWSTEEL","07-May-2013","25-Jul-2013","722.1","722.1","722.05","722.1","722.1","734.25","13","46.93","2500","2000","        720.95"
"JSWSTEEL","08-May-2013","30-May-2013","725","730.7","708.75","713.4","713.8","713.4","4860","17472.24","7957000","233500","        710.80"
"JSWSTEEL","08-May-2013","27-Jun-2013","724","724","708.65","709.8","711","709.8","90","321.02","70500","16000","        710.80"
"JSWSTEEL","08-May-2013","25-Jul-2013","0","0","0","722.1","722.1","723.8","0","0","2500","0","        710.80"
"JSWSTEEL","09-May-2013","30-May-2013","714.2","718.5","702","704.8","702.05","704.8","5011","17804.07","8090500","133500","        702.25"
"JSWSTEEL","09-May-2013","27-Jun-2013","712","714","698","699.7","700","699.7","133","469.07","110500","40000","        702.25"
"JSWSTEEL","09-May-2013","25-Jul-2013","697.55","697.55","697.55","697.55","697.55","697.55","1","3.49","3000","500","        702.25"
"JSWSTEEL","10-May-2013","30-May-2013","707.4","710.4","695.05","698.25","695.1","698.25","5488","19244.38","8238500","148000","        694.55"
"JSWSTEEL","10-May-2013","27-Jun-2013","701","705","692.65","695.1","692.65","695.1","121","421.64","131500","21000","        694.55"
"JSWSTEEL","10-May-2013","25-Jul-2013","695","695","695","695","695","706.75","2","6.95","4000","1000","        694.55"
"JSWSTEEL","11-May-2013","30-May-2013","699.25","701.75","697.5","698.65","698.25","698.65","313","1094.62","8241000","2500","        695.25"
"JSWSTEEL","11-May-2013","27-Jun-2013","697","697.75","695","695.8","695","695.8","39","135.81","138000","6500","        695.25"
"JSWSTEEL","11-May-2013","25-Jul-2013","0","0","0","695","695","707.3","0","0","4000","0","        695.25"
"JSWSTEEL","13-May-2013","30-May-2013","700","706.55","672","677.8","674.9","677.8","4537","15659.15","8380500","139500","        677.10"
"JSWSTEEL","13-May-2013","27-Jun-2013","693.85","698","668.5","671.85","670.15","671.85","194","665.23","188000","50000","        677.10"
"JSWSTEEL","13-May-2013","25-Jul-2013","0","0","0","695","695","688.55","0","0","4000","0","        677.10"
"JSWSTEEL","14-May-2013","30-May-2013","677","686.7","672.55","679.55","681","679.55","3283","11166.66","8336500","-44000","        677.45"
"JSWSTEEL","14-May-2013","27-Jun-2013","672","680","669.1","673.25","674.8","673.25","161","543.1","214000","26000","        677.45"
"JSWSTEEL","14-May-2013","25-Jul-2013","679.9","679.9","676","676","676","688.75","8","27","5500","1500","        677.45"
"JSWSTEEL","15-May-2013","30-May-2013","681.7","701.5","681.7","694.65","691.25","694.65","4096","14202.19","8293500","-43000","        692.75"
"JSWSTEEL","15-May-2013","27-Jun-2013","678.85","692.95","676.35","688.05","685.5","688.05","155","532.75","225500","11500","        692.75"
"JSWSTEEL","15-May-2013","25-Jul-2013","686.6","686.6","686.6","686.6","686.6","704.1","1","3.43","5500","0","        692.75"
"JSWSTEEL","16-May-2013","30-May-2013","691.5","715.25","685","707.2","707","707.2","7773","27294.64","8317000","23500","        703.70"
"JSWSTEEL","16-May-2013","27-Jun-2013","690","708.8","681.8","702.05","702.45","702.05","211","736.76","261000","35500","        703.70"
"JSWSTEEL","16-May-2013","25-Jul-2013","0","0","0","686.6","686.6","715.1","0","0","5500","0","        703.70"
"JSWSTEEL","17-May-2013","30-May-2013","709","716.3","699.1","708.9","707.35","708.9","4933","17483.06","8208000","-109000","        707.00"
"JSWSTEEL","17-May-2013","27-Jun-2013","705.5","710.9","695","704.05","705.6","704.05","90","316.3","266500","5500","        707.00"
"JSWSTEEL","17-May-2013","25-Jul-2013","0","0","0","686.6","686.6","718.3","0","0","5500","0","        707.00"
"JSWSTEEL","20-May-2013","30-May-2013","708.6","724.15","700","702.45","700.5","702.45","5897","21067.7","8194000","-14000","        700.20"
"JSWSTEEL","20-May-2013","27-Jun-2013","712.6","718.8","695.6","698","696.5","698","306","1088.05","338000","71500","        700.20"
"JSWSTEEL","20-May-2013","25-Jul-2013","713","713","713","713","713","710.9","2","7.13","6000","500","        700.20"
"JSWSTEEL","21-May-2013","30-May-2013","702.9","706.95","691","693.2","692.6","693.2","3402","11871.14","8208000","14000","        691.20"
"JSWSTEEL","21-May-2013","27-Jun-2013","698","702.35","688.65","690.2","690.5","690.2","189","655.53","371500","33500","        691.20"
"JSWSTEEL","21-May-2013","25-Jul-2013","0","0","0","713","713","701.65","0","0","6000","0","        691.20"
"JSWSTEEL","22-May-2013","30-May-2013","695","701.25","680","685.85","680.1","685.85","3743","12932.53","8282000","74000","        684.80"
"JSWSTEEL","22-May-2013","27-Jun-2013","695","696","681","686.05","681","686.05","314","1084.82","435000","63500","        684.80"
