"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"JSWSTEEL","01-Nov-2016","24-Nov-2016","1668.55","1692","1647.85","1668","1666.7","1668","6558","32883.67","6297300","-49800","       1662.90"
"JSWSTEEL","01-Nov-2016","29-Dec-2016","1672.15","1699","1664","1676.7","1678","1676.7","25","126.16","27600","300","       1662.90"
"JSWSTEEL","01-Nov-2016","25-Jan-2017","0","0","0","1664.25","0","1689","0","0","0","0","       1662.90"
"JSWSTEEL","02-Nov-2016","24-Nov-2016","1649.95","1656.6","1630","1637.9","1637.6","1637.9","4294","21158.55","6216300","-81000","       1634.00"
"JSWSTEEL","02-Nov-2016","29-Dec-2016","1644.1","1662","1641.05","1647.55","1645.75","1647.55","48","237.6","28800","1200","       1634.00"
"JSWSTEEL","02-Nov-2016","25-Jan-2017","0","0","0","1664.25","0","1659.35","0","0","0","0","       1634.00"
"JSWSTEEL","03-Nov-2016","24-Nov-2016","1632.75","1659.6","1593.95","1602.4","1595.7","1602.4","6388","31179.27","6126300","-90000","       1599.15"
"JSWSTEEL","03-Nov-2016","29-Dec-2016","1649.9","1665","1607.2","1610.6","1614.5","1610.6","59","288.93","30900","2100","       1599.15"
"JSWSTEEL","03-Nov-2016","25-Jan-2017","1655","1655","1655","1655","1655","1623.7","1","4.97","300","300","       1599.15"
"JSWSTEEL","04-Nov-2016","24-Nov-2016","1600","1611.95","1569.2","1593.35","1593","1593.35","6421","30664.84","6179700","53400","       1591.35"
"JSWSTEEL","04-Nov-2016","29-Dec-2016","1619.15","1619.15","1577.2","1599","1598.4","1599","48","230.24","31500","600","       1591.35"
"JSWSTEEL","04-Nov-2016","25-Jan-2017","0","0","0","1655","1655","1615.5","0","0","300","0","       1591.35"
"JSWSTEEL","07-Nov-2016","24-Nov-2016","1610.25","1625","1600","1606.6","1603.7","1606.6","3746","18144.73","6262500","82800","       1600.50"
"JSWSTEEL","07-Nov-2016","29-Dec-2016","1625.55","1633","1610.1","1613.3","1612.5","1613.3","25","121.55","31800","300","       1600.50"
"JSWSTEEL","07-Nov-2016","25-Jan-2017","0","0","0","1655","1655","1623.85","0","0","300","0","       1600.50"
"JSWSTEEL","08-Nov-2016","24-Nov-2016","1608.95","1669","1608.6","1660.95","1655.85","1660.95","8330","40917.97","6240600","-21900","       1656.90"
"JSWSTEEL","08-Nov-2016","29-Dec-2016","1633","1675.5","1630","1666.65","1665","1666.65","61","301.05","36000","4200","       1656.90"
