"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"KOTAKBANK","02-Jul-2018","26-Jul-2018","1340.4","1350.8","1328.5","1333.9","1335.45","1333.9","5304","56867.15","10992800","450400","       1337.95"
"KOTAKBANK","02-Jul-2018","30-Aug-2018","1342.95","1353.7","1332.8","1336.55","1338.7","1336.55","55","591.12","40000","20800","       1337.95"
"KOTAKBANK","02-Jul-2018","27-Sep-2018","0","0","0","1364.1","0","1361.6","0","0","0","0","       1337.95"
"KOTAKBANK","03-Jul-2018","26-Jul-2018","1336","1353.1","1328.25","1350.8","1352.5","1350.8","4773","51248.86","11108000","115200","       1353.15"
"KOTAKBANK","03-Jul-2018","30-Aug-2018","1334.9","1354.55","1332","1354.05","1354.5","1354.05","34","366.07","59200","19200","       1353.15"
"KOTAKBANK","03-Jul-2018","27-Sep-2018","0","0","0","1364.1","0","1376.65","0","0","0","0","       1353.15"
"KOTAKBANK","04-Jul-2018","26-Jul-2018","1350.7","1365.55","1343.05","1361","1361.6","1361","4513","48912.07","11409600","301600","       1365.25"
"KOTAKBANK","04-Jul-2018","30-Aug-2018","1348","1366.45","1346.55","1362","1363.85","1362","41","445.34","76000","16800","       1365.25"
"KOTAKBANK","04-Jul-2018","27-Sep-2018","0","0","0","1364.1","0","1388.65","0","0","0","0","       1365.25"
"KOTAKBANK","05-Jul-2018","26-Jul-2018","1365.65","1375","1361.65","1363.25","1363.9","1363.25","5153","56382.77","11827200","417600","       1365.00"
"KOTAKBANK","05-Jul-2018","30-Aug-2018","1365.5","1375.3","1365","1366.3","1365.8","1366.3","85","932.26","121600","45600","       1365.00"
"KOTAKBANK","05-Jul-2018","27-Sep-2018","0","0","0","1364.1","0","1388.1","0","0","0","0","       1365.00"
"KOTAKBANK","06-Jul-2018","26-Jul-2018","1361.45","1372.95","1358.15","1368.9","1369","1368.9","3612","39511.31","11822400","-4800","       1371.20"
"KOTAKBANK","06-Jul-2018","30-Aug-2018","1368.7","1374.95","1366","1372.15","1371.2","1372.15","38","416.72","139200","17600","       1371.20"
"KOTAKBANK","06-Jul-2018","27-Sep-2018","0","0","0","1364.1","0","1394.15","0","0","0","0","       1371.20"
"KOTAKBANK","09-Jul-2018","26-Jul-2018","1370.25","1383.2","1366","1380.6","1381.35","1380.6","4970","54674.39","12432800","610400","       1385.10"
"KOTAKBANK","09-Jul-2018","30-Aug-2018","1375.2","1385","1370.5","1382.75","1384.05","1382.75","63","694.05","161600","22400","       1385.10"
