"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"KOTAKBANK","02-May-2012","31-May-2012","584.95","596.9","584.95","588.25","588","588.25","1449","4284.09","3417000","25000","        586.60"
"KOTAKBANK","02-May-2012","28-Jun-2012","594.7","598.85","590.75","590.75","590.75","590.75","5","14.89","52000","1000","        586.60"
"KOTAKBANK","02-May-2012","26-Jul-2012","0","0","0","596.95","0","600","0","0","0","0","        586.60"
"KOTAKBANK","03-May-2012","31-May-2012","584.5","591","579.25","581.85","581.5","581.85","2698","7894.41","3394000","-23000","        582.15"
"KOTAKBANK","03-May-2012","28-Jun-2012","592.4","592.4","584.1","585.4","584.1","585.4","11","32.28","53000","1000","        582.15"
"KOTAKBANK","03-May-2012","26-Jul-2012","0","0","0","596.95","0","595.25","0","0","0","0","        582.15"
"KOTAKBANK","04-May-2012","31-May-2012","578","578.8","562.1","564.75","563.1","564.75","2767","7860.54","3274500","-119500","        564.05"
"KOTAKBANK","04-May-2012","28-Jun-2012","578.3","578.3","567.9","568","568","568","27","77.1","54500","1500","        564.05"
"KOTAKBANK","04-May-2012","26-Jul-2012","570","570","570","570","570","570","1","2.85","500","500","        564.05"
"KOTAKBANK","07-May-2012","31-May-2012","560.35","581.05","555","578.95","579.5","578.95","3605","10247.91","3125000","-149500","        577.10"
"KOTAKBANK","07-May-2012","28-Jun-2012","560.7","582.75","560.7","582.65","582.5","582.65","42","119.31","58500","4000","        577.10"
"KOTAKBANK","07-May-2012","26-Jul-2012","0","0","0","570","570","589.5","0","0","500","0","        577.10"
"KOTAKBANK","08-May-2012","31-May-2012","579.75","579.95","548.75","554.4","550","554.4","6841","19364.47","3250500","125500","        555.50"
"KOTAKBANK","08-May-2012","28-Jun-2012","580.15","580.15","552.35","556.5","552.35","556.5","67","190.3","62500","4000","        555.50"
"KOTAKBANK","08-May-2012","26-Jul-2012","0","0","0","570","570","567.35","0","0","500","0","        555.50"
"KOTAKBANK","09-May-2012","31-May-2012","549.85","549.85","528.45","535","535.5","535","3976","10747.02","3213500","-37000","        533.55"
"KOTAKBANK","09-May-2012","28-Jun-2012","548","550.7","532.65","538.15","538.15","540.7","66","179.19","64500","2000","        533.55"
"KOTAKBANK","09-May-2012","26-Jul-2012","0","0","0","570","570","544.75","0","0","500","0","        533.55"
"KOTAKBANK","10-May-2012","31-May-2012","533","552.4","533","540.9","542.05","540.9","2589","7023.09","3358500","145000","        541.65"
"KOTAKBANK","10-May-2012","28-Jun-2012","547.9","554.9","539.35","540.45","542","540.45","103","281.5","79500","15000","        541.65"
"KOTAKBANK","10-May-2012","26-Jul-2012","0","0","0","570","570","552.95","0","0","500","0","        541.65"
"KOTAKBANK","11-May-2012","31-May-2012","536.45","552","531.5","542.9","543.85","542.9","2227","6039.54","3415000","56500","        542.15"
"KOTAKBANK","11-May-2012","28-Jun-2012","541.65","553","535.5","545.05","546.35","545.05","45","122.28","84500","5000","        542.15"
"KOTAKBANK","11-May-2012","26-Jul-2012","0","0","0","570","570","553.45","0","0","500","0","        542.15"
"KOTAKBANK","14-May-2012","31-May-2012","542.05","545","530.2","539.75","537.4","539.75","1882","5061.71","3508000","93000","        537.00"
"KOTAKBANK","14-May-2012","28-Jun-2012","539.15","549.9","534.65","541.3","540.9","541.3","74","199.6","97500","13000","        537.00"
"KOTAKBANK","14-May-2012","26-Jul-2012","0","0","0","570","570","551.6","0","0","500","0","        537.00"
"KOTAKBANK","15-May-2012","31-May-2012","535.65","548","535.25","545.75","544.05","545.75","2066","5606.19","3637500","129500","        544.45"
"KOTAKBANK","15-May-2012","28-Jun-2012","542.2","550","539.65","549.95","548.15","549.95","40","108.74","104000","6500","        544.45"
"KOTAKBANK","15-May-2012","26-Jul-2012","0","0","0","570","570","555.15","0","0","500","0","        544.45"
"KOTAKBANK","16-May-2012","31-May-2012","538.05","559","532.1","552.75","550.95","552.75","4044","11007.37","4140000","502500","        553.20"
"KOTAKBANK","16-May-2012","28-Jun-2012","539.4","559.75","537.1","553.55","553.1","553.55","71","193.96","124500","20500","        553.20"
"KOTAKBANK","16-May-2012","26-Jul-2012","0","0","0","570","570","563.9","0","0","500","0","        553.20"
"KOTAKBANK","17-May-2012","31-May-2012","556.95","561.05","537.5","541.4","538.25","541.4","3093","8516.12","4049500","-90500","        542.40"
"KOTAKBANK","17-May-2012","28-Jun-2012","557.4","562","540.8","543.65","540.8","543.65","64","177","123500","-1000","        542.40"
"KOTAKBANK","17-May-2012","26-Jul-2012","0","0","0","570","570","552.65","0","0","500","0","        542.40"
"KOTAKBANK","18-May-2012","31-May-2012","532.7","556.9","532.7","552.8","555","552.8","2891","7880.34","4298000","248500","        551.10"
"KOTAKBANK","18-May-2012","28-Jun-2012","539.1","557","537.4","556","556.05","556","84","229.34","136000","12500","        551.10"
"KOTAKBANK","18-May-2012","26-Jul-2012","0","0","0","570","570","561.4","0","0","500","0","        551.10"
"KOTAKBANK","21-May-2012","31-May-2012","554.85","565.8","552.2","560.9","560.15","560.9","2395","6722.83","4468500","170500","        563.70"
"KOTAKBANK","21-May-2012","28-Jun-2012","554.3","568","554.3","563.3","562","563.3","173","488.16","181500","45500","        563.70"
"KOTAKBANK","21-May-2012","26-Jul-2012","569.35","570.55","568.35","568.95","568.95","568.95","9","25.61","5000","4500","        563.70"
"KOTAKBANK","22-May-2012","31-May-2012","564.95","566.85","546.8","549.2","548.5","549.2","3441","9564.17","4674000","205500","        551.15"
"KOTAKBANK","22-May-2012","28-Jun-2012","566","566","549","551.15","551.75","551.15","441","1227.81","289000","107500","        551.15"
"KOTAKBANK","22-May-2012","26-Jul-2012","559.6","582.7","535.15","582.7","582.7","582.7","7","19.33","7000","2000","        551.15"
"KOTAKBANK","23-May-2012","31-May-2012","545.15","547.15","531.85","534.85","532.5","534.85","3244","8732.17","4558500","-115500","        532.80"
"KOTAKBANK","23-May-2012","28-Jun-2012","547.5","548.9","534.3","537.4","534.3","537.4","467","1262.33","400500","111500","        532.80"
"KOTAKBANK","23-May-2012","26-Jul-2012","527.55","527.55","527.55","527.55","527.55","542.05","1","2.64","6500","-500","        532.80"
"KOTAKBANK","24-May-2012","31-May-2012","534.75","549.9","530.1","547.05","549.9","547.05","3080","8309.94","4513000","-45500","        545.10"
"KOTAKBANK","24-May-2012","28-Jun-2012","534.65","552","533.1","549.25","550.9","549.25","386","1047.27","462000","61500","        545.10"
"KOTAKBANK","24-May-2012","26-Jul-2012","543.15","543.15","543.15","543.15","543.15","554.45","1","2.72","6500","0","        545.10"
"KOTAKBANK","25-May-2012","31-May-2012","545.95","550.75","539.6","545.8","546.1","545.8","2283","6234.35","4209000","-304000","        544.15"
"KOTAKBANK","25-May-2012","28-Jun-2012","546","552.65","543.8","548.85","549.05","548.85","762","2090.45","679500","217500","        544.15"
"KOTAKBANK","25-May-2012","26-Jul-2012","0","0","0","543.15","543.15","553.3","0","0","6500","0","        544.15"
"KOTAKBANK","28-May-2012","31-May-2012","547.7","559.5","543.3","556.5","558.95","556.5","4260","11677.39","3452500","-756500","        554.85"
"KOTAKBANK","28-May-2012","28-Jun-2012","550.45","561.05","545.05","558.3","561","558.3","2684","7368.44","1387500","708000","        554.85"
"KOTAKBANK","28-May-2012","26-Jul-2012","550","550","548","548","548","563.7","2","5.49","7500","1000","        554.85"
"KOTAKBANK","29-May-2012","31-May-2012","553.35","562.9","551.4","559.9","558.7","559.9","3609","10053.03","2936000","-516500","        559.45"
"KOTAKBANK","29-May-2012","28-Jun-2012","558.75","564","552.9","561.75","560.05","561.75","2588","7225.59","2018000","630500","        559.45"
"KOTAKBANK","29-May-2012","26-Jul-2012","562.9","562.9","562.9","562.9","562.9","568.25","1","2.81","8000","500","        559.45"
"KOTAKBANK","30-May-2012","31-May-2012","557.65","558","548.5","550.75","549.7","550.75","3169","8750.09","2171500","-764500","        551.55"
"KOTAKBANK","30-May-2012","28-Jun-2012","556","557.85","550.2","552.8","551.25","552.8","2484","6877.01","2913000","895000","        551.55"
"KOTAKBANK","30-May-2012","26-Jul-2012","0","0","0","562.9","562.9","560.1","0","0","8000","0","        551.55"
"KOTAKBANK","31-May-2012","31-May-2012","547.3","565.55","541.45","563.5","563.4","563.5","3677","10148.31","1465500","-706000","        563.50"
"KOTAKBANK","31-May-2012","28-Jun-2012","548.1","565.9","544","563.6","564","563.6","4091","11363.92","3810000","897000","        563.50"
"KOTAKBANK","31-May-2012","26-Jul-2012","549.2","567","549.2","566","566","572.05","8","22.45","9500","1500","        563.50"
"KOTAKBANK","01-Jun-2012","28-Jun-2012","560.4","563.35","541","543.25","541","543.25","2394","6593.12","3591500","-218500","        543.05"
"KOTAKBANK","01-Jun-2012","26-Jul-2012","564.2","564.2","543.75","544.55","544.05","544.55","41","113.77","18500","9000","        543.05"
"KOTAKBANK","01-Jun-2012","30-Aug-2012","0","0","0","577.45","0","556.2","0","0","0","0","        543.05"
"KOTAKBANK","04-Jun-2012","28-Jun-2012","539.95","550","531.45","548.25","547.05","548.25","2533","6841.88","3728500","137000","        547.15"
"KOTAKBANK","04-Jun-2012","26-Jul-2012","536.8","550.7","536.5","550.7","550.7","550.7","26","70.38","19000","500","        547.15"
"KOTAKBANK","04-Jun-2012","30-Aug-2012","0","0","0","577.45","0","560","0","0","0","0","        547.15"
"KOTAKBANK","05-Jun-2012","28-Jun-2012","548.25","555","540.1","547.15","546.5","547.15","1989","5457.04","3820000","91500","        548.15"
"KOTAKBANK","05-Jun-2012","26-Jul-2012","554.85","554.85","544.05","548.9","547.75","548.9","15","41.19","19500","500","        548.15"
"KOTAKBANK","05-Jun-2012","30-Aug-2012","0","0","0","577.45","0","560.85","0","0","0","0","        548.15"
"KOTAKBANK","06-Jun-2012","28-Jun-2012","550","566.9","550","565.2","566","565.2","3120","8714.63","4172000","352000","        567.45"
"KOTAKBANK","06-Jun-2012","26-Jul-2012","553.7","567","553.7","565.9","565.35","565.9","25","69.94","22500","3000","        567.45"
"KOTAKBANK","06-Jun-2012","30-Aug-2012","0","0","0","577.45","0","580.45","0","0","0","0","        567.45"
"KOTAKBANK","07-Jun-2012","28-Jun-2012","569.25","569.8","560.05","566.6","566.9","566.6","2093","5898.72","4270000","98000","        565.30"
"KOTAKBANK","07-Jun-2012","26-Jul-2012","566.35","569.85","562","569.15","569.85","569.15","13","36.82","23500","1000","        565.30"
"KOTAKBANK","07-Jun-2012","30-Aug-2012","0","0","0","577.45","0","578.05","0","0","0","0","        565.30"
"KOTAKBANK","08-Jun-2012","28-Jun-2012","562.35","577","557","573.1","576.7","573.1","2587","7303.98","4314000","44000","        574.10"
"KOTAKBANK","08-Jun-2012","26-Jul-2012","562","577","559","574.6","577","574.6","60","169.55","42000","18500","        574.10"
"KOTAKBANK","08-Jun-2012","30-Aug-2012","565.95","565.95","565.95","565.95","565.95","586.8","1","2.83","500","500","        574.10"
"KOTAKBANK","11-Jun-2012","28-Jun-2012","577.2","583.05","568.4","571.9","572","571.9","2742","7923.95","4380500","66500","        576.85"
"KOTAKBANK","11-Jun-2012","26-Jul-2012","579.7","584","571.1","573.4","571.1","573.4","56","162.2","51000","9000","        576.85"
"KOTAKBANK","11-Jun-2012","30-Aug-2012","587.15","587.15","585.8","585.8","585.8","589.2","3","8.8","2000","1500","        576.85"
"KOTAKBANK","12-Jun-2012","28-Jun-2012","571","589.8","566.4","587.45","588","587.45","3046","8844.33","4513500","133000","        586.60"
"KOTAKBANK","12-Jun-2012","26-Jul-2012","584.05","590","572.25","588.35","590","588.35","51","148.26","57500","6500","        586.60"
"KOTAKBANK","12-Jun-2012","30-Aug-2012","583.45","586.95","583","586.95","586.95","599","3","8.77","3500","1500","        586.60"
"KOTAKBANK","13-Jun-2012","28-Jun-2012","586.25","591.25","582.75","585.1","584","585.1","2417","7093.26","4564000","50500","        585.75"
"KOTAKBANK","13-Jun-2012","26-Jul-2012","587","592.3","584.15","586.9","586.6","586.9","50","147.16","66500","9000","        585.75"
"KOTAKBANK","13-Jun-2012","30-Aug-2012","594.4","595.1","594.4","595.1","595.1","597.95","2","5.95","4500","1000","        585.75"
"KOTAKBANK","14-Jun-2012","28-Jun-2012","583.35","587.35","568","570.15","568.55","570.15","2608","7517.97","4450000","-114000","        568.20"
"KOTAKBANK","14-Jun-2012","26-Jul-2012","581.5","589","570.25","572.15","571.85","572.15","68","196.13","79000","12500","        568.20"
"KOTAKBANK","14-Jun-2012","30-Aug-2012","0","0","0","595.1","595.1","579.85","0","0","4500","0","        568.20"
"KOTAKBANK","15-Jun-2012","28-Jun-2012","574","587","572.8","583.55","583.85","583.55","2031","5889.75","4556500","106500","        581.10"
"KOTAKBANK","15-Jun-2012","26-Jul-2012","578","588.5","576.1","585.75","587.75","585.75","106","308.85","113000","34000","        581.10"
"KOTAKBANK","15-Jun-2012","30-Aug-2012","0","0","0","595.1","595.1","592.9","0","0","4500","0","        581.10"
"KOTAKBANK","18-Jun-2012","28-Jun-2012","589.35","589.85","566","569","568.2","569","2907","8330.68","4553000","-3500","        569.25"
"KOTAKBANK","18-Jun-2012","26-Jul-2012","588.05","589.6","569.4","570.6","570.25","570.6","106","304.01","127000","14000","        569.25"
