"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"LT","04-Jan-2010","28-Jan-2010","1692.95","1701.8","1686","1696.3","1696.5","1696.3","3722","12621.63","3001600","67200","       1691.40"
"LT","04-Jan-2010","25-Feb-2010","1694.85","1702.35","1693.45","1699.85","1700","1699.85","23","78.1","5000","1400","       1691.40"
"LT","04-Jan-2010","25-Mar-2010","1706.15","1706.15","1699","1699","1699","1708.2","11","37.49","2200","2200","       1691.40"
"LT","05-Jan-2010","28-Jan-2010","1706","1712.5","1690.15","1698.6","1695.25","1698.6","4467","15198.67","2975600","-26000","       1694.40"
"LT","05-Jan-2010","25-Feb-2010","1712.5","1712.5","1694","1702.25","1702.15","1702.25","28","95.32","8000","3000","       1694.40"
"LT","05-Jan-2010","25-Mar-2010","0","0","0","1699","1699","1711.1","0","0","2200","0","       1694.40"
"LT","06-Jan-2010","28-Jan-2010","1708","1708.05","1675","1681.25","1682","1681.25","5368","18124.21","2985400","9800","       1675.65"
"LT","06-Jan-2010","25-Feb-2010","1706.9","1706.9","1680","1684.8","1687","1684.8","36","121.69","11800","3800","       1675.65"
"LT","06-Jan-2010","25-Mar-2010","0","0","0","1699","1699","1692.05","0","0","2200","0","       1675.65"
"LT","07-Jan-2010","28-Jan-2010","1680","1690","1663","1673.5","1671.1","1673.5","4431","14834.52","3044400","59000","       1667.60"
"LT","07-Jan-2010","25-Feb-2010","1687.7","1688","1668","1675.8","1676","1675.8","42","140.75","15000","3200","       1667.60"
"LT","07-Jan-2010","25-Mar-2010","0","0","0","1699","1699","1683.65","0","0","2200","0","       1667.60"
"LT","08-Jan-2010","28-Jan-2010","1679.9","1701.8","1675","1683.3","1682.4","1683.3","6475","21881.32","2959400","-85000","       1678.15"
"LT","08-Jan-2010","25-Feb-2010","1665.5","1702","1665.5","1685.6","1685.9","1685.6","43","145.5","17600","2600","       1678.15"
"LT","08-Jan-2010","25-Mar-2010","0","0","0","1699","1699","1694.05","0","0","2200","0","       1678.15"
"LT","11-Jan-2010","28-Jan-2010","1687.3","1705.4","1676.1","1679.6","1680.95","1679.6","5042","17052.85","3145800","186400","       1677.30"
