"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"LT","02-Jul-2007","26-Jul-2007","2190","2276","2190","2238.7","2245.1","2238.7","8302","37354.34","2459200","73600","       2235.45"
"LT","02-Jul-2007","30-Aug-2007","2235","2277","2150","2198.55","2252","2198.55","31","139.52","5200","1200","       2235.45"
"LT","02-Jul-2007","27-Sep-2007","0","0","0","2205.15","0","2285.6","0","0","0","0","       2235.45"
"LT","03-Jul-2007","26-Jul-2007","2264.1","2289.95","2247","2259.1","2262.35","2259.1","7773","35350.27","2477000","17800","       2261.00"
"LT","03-Jul-2007","30-Aug-2007","2280","2287","2250","2262.2","2260","2262.2","39","177.41","6200","1000","       2261.00"
"LT","03-Jul-2007","27-Sep-2007","0","0","0","2205.15","0","2310.1","0","0","0","0","       2261.00"
"LT","04-Jul-2007","26-Jul-2007","2335","2335","2240.7","2289.8","2309.8","2289.8","7570","34417.05","2508000","31000","       2293.25"
"LT","04-Jul-2007","30-Aug-2007","2271","2305.1","2245.25","2295.3","2305.1","2295.3","46","209.16","8000","1800","       2293.25"
"LT","04-Jul-2007","27-Sep-2007","0","0","0","2205.15","0","2340.15","0","0","0","0","       2293.25"
"LT","05-Jul-2007","26-Jul-2007","2315","2360","2301.5","2339.35","2337","2339.35","11704","54654.85","2607800","99800","       2331.15"
"LT","05-Jul-2007","30-Aug-2007","2310","2359.8","2310","2339.65","2332","2339.65","57","266.57","10000","2000","       2331.15"
"LT","05-Jul-2007","27-Sep-2007","0","0","0","2205.15","0","2378.05","0","0","0","0","       2331.15"
"LT","06-Jul-2007","26-Jul-2007","2340","2384.05","2331","2356.85","2359.9","2356.85","8166","38556.53","2625400","17600","       2364.65"
"LT","06-Jul-2007","30-Aug-2007","2338","2385.7","2338","2358.55","2355.45","2358.55","56","265.41","14600","4600","       2364.65"
"LT","06-Jul-2007","27-Sep-2007","0","0","0","2205.15","0","2410.75","0","0","0","0","       2364.65"
"LT","09-Jul-2007","26-Jul-2007","2366","2414.7","2365.05","2403.7","2403","2403.7","8371","40136.74","2691400","66000","       2415.95"
"LT","09-Jul-2007","30-Aug-2007","2381","2414","2381","2402","2400.5","2402","78","374.81","16400","1800","       2415.95"
"LT","09-Jul-2007","27-Sep-2007","2415","2415","2415","2415","2415","2415","1","4.83","200","200","       2415.95"
"LT","10-Jul-2007","26-Jul-2007","2410","2418","2377.4","2397.9","2385.4","2397.9","7944","38137.22","2766200","74800","       2389.20"
"LT","10-Jul-2007","30-Aug-2007","2410","2419","2378","2402.85","2391","2402.85","140","672.73","23600","7200","       2389.20"
"LT","10-Jul-2007","27-Sep-2007","2415","2415","2410","2410","2410","2431.05","4","19.29","800","600","       2389.20"
"LT","11-Jul-2007","26-Jul-2007","2354","2412.7","2351","2390.2","2394.75","2390.2","5220","25035.22","2832400","66200","       2381.40"
"LT","11-Jul-2007","30-Aug-2007","2398","2415","2388.1","2394.05","2398.5","2394.05","109","523.64","32000","8400","       2381.40"
"LT","11-Jul-2007","27-Sep-2007","2411","2411","2410","2410","2410","2423.4","2","9.64","1000","200","       2381.40"
"LT","12-Jul-2007","26-Jul-2007","2404.9","2415","2377.1","2386.6","2390","2386.6","4679","22433.16","2790800","-41600","       2377.85"
"LT","12-Jul-2007","30-Aug-2007","2412","2415.1","2385","2389.85","2398","2389.85","64","307.58","36000","4000","       2377.85"
"LT","12-Jul-2007","27-Sep-2007","2370","2370","2370","2370","2370","2419.35","1","4.74","1200","200","       2377.85"
"LT","13-Jul-2007","26-Jul-2007","2401.15","2460","2401.15","2408.95","2410.05","2408.95","9701","47121.14","2833600","42800","       2399.65"
"LT","13-Jul-2007","30-Aug-2007","2413","2465","2412","2415.25","2417","2415.25","148","719.31","44200","8200","       2399.65"
