"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"LT","01-Mar-2017","30-Mar-2017","1478.6","1492.2","1477.55","1484.8","1485","1484.8","3843","28545.71","8065500","71000","       1476.15"
"LT","01-Mar-2017","27-Apr-2017","1492","1498.7","1488","1492","1488.8","1492","61","455.06","69500","17500","       1476.15"
"LT","01-Mar-2017","25-May-2017","1500","1500","1500","1500","1500","1498.8","1","7.5","500","-500","       1476.15"
"LT","02-Mar-2017","30-Mar-2017","1488.75","1499.6","1475","1478.6","1479","1478.6","6681","49761.97","8049500","-16000","       1473.95"
"LT","02-Mar-2017","27-Apr-2017","1494.2","1506","1481.45","1484.55","1484.05","1484.55","156","1165.06","103000","33500","       1473.95"
"LT","02-Mar-2017","25-May-2017","1511.95","1512","1490","1490.05","1490","1490.05","6","45.03","1000","500","       1473.95"
"LT","03-Mar-2017","30-Mar-2017","1474.6","1483.7","1462.5","1474.25","1475","1474.25","4223","31087.8","7967000","-82500","       1470.35"
"LT","03-Mar-2017","27-Apr-2017","1486.35","1486.35","1471","1483","1483","1483","65","479.97","109000","6000","       1470.35"
"LT","03-Mar-2017","25-May-2017","1490","1490","1490","1490","1490","1492.45","2","14.9","2000","1000","       1470.35"
"LT","06-Mar-2017","30-Mar-2017","1478.1","1492.9","1475.25","1489.65","1486.9","1489.65","4055","30116.05","7970000","3000","       1485.60"
"LT","06-Mar-2017","27-Apr-2017","1484","1499.05","1484","1497.05","1494.1","1497.05","96","715.42","125000","16000","       1485.60"
"LT","06-Mar-2017","25-May-2017","0","0","0","1490","1490","1507.1","0","0","2000","0","       1485.60"
"LT","07-Mar-2017","30-Mar-2017","1487.5","1497.65","1485","1493.45","1491","1493.45","3170","23648.46","8000000","30000","       1486.40"
"LT","07-Mar-2017","27-Apr-2017","1492.35","1501","1492.35","1499.75","1499","1499.75","32","239.82","130000","5000","       1486.40"
"LT","07-Mar-2017","25-May-2017","0","0","0","1490","1490","1507.6","0","0","2000","0","       1486.40"
"LT","08-Mar-2017","30-Mar-2017","1491.55","1502.35","1477.1","1484.4","1484.55","1484.4","5704","42458.23","7978000","-22000","       1476.30"
"LT","08-Mar-2017","27-Apr-2017","1499","1509.25","1485.05","1492","1491","1492","61","455.94","141000","11000","       1476.30"
"LT","08-Mar-2017","25-May-2017","1515.1","1515.15","1500","1500","1500","1497.05","8","60.45","4000","2000","       1476.30"
"LT","09-Mar-2017","30-Mar-2017","1486","1489","1472.1","1483.95","1484.5","1483.95","3247","24035.13","8030000","52000","       1476.90"
"LT","09-Mar-2017","27-Apr-2017","1485.2","1491.95","1480","1488.9","1490.35","1488.9","71","527.57","151000","10000","       1476.90"
"LT","09-Mar-2017","25-May-2017","1499","1499","1499","1499","1499","1497.3","1","7.5","4500","500","       1476.90"
"LT","10-Mar-2017","30-Mar-2017","1488.2","1502.05","1488.2","1495.7","1496.7","1495.7","5471","40894.12","8046000","16000","       1491.60"
"LT","10-Mar-2017","27-Apr-2017","1498","1508.9","1497","1504","1500","1504","72","540.45","160000","9000","       1491.60"
"LT","10-Mar-2017","25-May-2017","1509.95","1515","1505.35","1510.3","1508.1","1510.3","11","83.14","8000","3500","       1491.60"
"LT","14-Mar-2017","30-Mar-2017","1520","1575.65","1520","1563.75","1559.85","1563.75","16958","131845.52","8619000","573000","       1558.10"
"LT","14-Mar-2017","27-Apr-2017","1525","1582","1525","1570.25","1567.5","1570.25","279","2178.07","199500","39500","       1558.10"
"LT","14-Mar-2017","25-May-2017","1550","1585","1550","1575.2","1574.8","1575.2","20","157.36","13000","5000","       1558.10"
"LT","15-Mar-2017","30-Mar-2017","1561.85","1566","1547.25","1554.9","1555","1554.9","5993","46607.38","8584500","-34500","       1548.90"
