"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"LT","03-May-2007","31-May-2007","1719.9","1755","1711","1748.2","1749","1748.2","3382","11791.34","1206200","200","       1743.20"
"LT","03-May-2007","28-Jun-2007","1765","1765","1757","1757","1757","1772.25","2","7.04","5000","400","       1743.20"
"LT","03-May-2007","26-Jul-2007","0","0","0","1762.7","0","1786.95","0","0","0","0","       1743.20"
"LT","04-May-2007","31-May-2007","1759.1","1759.9","1706.25","1711.8","1715.2","1711.8","3597","12419.25","1372200","166000","       1697.75"
"LT","04-May-2007","28-Jun-2007","1730.1","1730.1","1712.55","1721.5","1729","1721.5","10","34.45","6400","1400","       1697.75"
"LT","04-May-2007","26-Jul-2007","0","0","0","1762.7","0","1739.45","0","0","0","0","       1697.75"
"LT","07-May-2007","31-May-2007","1734","1736","1700.4","1705.7","1710","1705.7","2383","8192.86","1405800","33600","       1697.55"
"LT","07-May-2007","28-Jun-2007","1729.5","1740","1711.5","1711.5","1711.5","1723.7","9","31.06","6400","0","       1697.55"
"LT","07-May-2007","26-Jul-2007","0","0","0","1762.7","0","1737.95","0","0","0","0","       1697.55"
"LT","08-May-2007","31-May-2007","1710","1730","1696","1701.75","1704","1701.75","2231","7636.8","1385000","-20800","       1699.50"
"LT","08-May-2007","28-Jun-2007","1730","1730","1710","1710","1710","1710","3","10.3","6400","0","       1699.50"
"LT","08-May-2007","26-Jul-2007","0","0","0","1762.7","0","1739.2","0","0","0","0","       1699.50"
"LT","09-May-2007","31-May-2007","1705","1730","1679.95","1721.95","1730","1721.95","2230","7590.49","1347000","-38000","       1713.15"
"LT","09-May-2007","28-Jun-2007","1700","1733","1700","1728.75","1733","1728.75","11","37.97","6400","0","       1713.15"
"LT","09-May-2007","26-Jul-2007","0","0","0","1762.7","0","1752.3","0","0","0","0","       1713.15"
"LT","10-May-2007","31-May-2007","1730","1738","1683.5","1690.65","1686","1690.65","2758","9471.25","1440800","93800","       1690.45"
"LT","10-May-2007","28-Jun-2007","1739","1740","1696.35","1698.7","1696.35","1698.7","9","30.96","7000","600","       1690.45"
"LT","10-May-2007","26-Jul-2007","0","0","0","1762.7","0","1728.4","0","0","0","0","       1690.45"
"LT","11-May-2007","31-May-2007","1640","1703","1640","1691.35","1698","1691.35","3100","10423.66","1478800","38000","       1688.00"
"LT","11-May-2007","28-Jun-2007","1680","1705","1679","1696","1696","1711.2","23","77.57","9600","2600","       1688.00"
"LT","11-May-2007","26-Jul-2007","0","0","0","1762.7","0","1724.85","0","0","0","0","       1688.00"
"LT","14-May-2007","31-May-2007","1712","1724","1690","1700.95","1704.95","1700.95","2082","7112.16","1510800","32000","       1687.95"
"LT","14-May-2007","28-Jun-2007","1710","1716.9","1701.15","1701.15","1701.15","1710.05","12","41.08","10400","800","       1687.95"
"LT","14-May-2007","26-Jul-2007","0","0","0","1762.7","0","1723.9","0","0","0","0","       1687.95"
"LT","15-May-2007","31-May-2007","1700","1712","1680","1684.95","1683.25","1684.95","2109","7135.48","1536400","25600","       1673.60"
"LT","15-May-2007","28-Jun-2007","1701.65","1711","1690","1694.9","1694.9","1695.1","22","74.7","13600","3200","       1673.60"
"LT","15-May-2007","26-Jul-2007","0","0","0","1762.7","0","1708.9","0","0","0","0","       1673.60"
"LT","16-May-2007","31-May-2007","1692","1729","1682","1722","1729","1722","2692","9174.57","1476400","-60000","       1714.10"
"LT","16-May-2007","28-Jun-2007","1694.25","1734","1693","1730.05","1734","1730.05","19","65.23","13400","-200","       1714.10"
"LT","16-May-2007","26-Jul-2007","0","0","0","1762.7","0","1749.95","0","0","0","0","       1714.10"
"LT","17-May-2007","31-May-2007","1735","1742.8","1721.1","1729.15","1723.5","1729.15","2871","9959.94","1406400","-70000","       1724.55"
"LT","17-May-2007","28-Jun-2007","1745","1750","1720","1730","1730","1745.35","32","111.67","17000","3600","       1724.55"
"LT","17-May-2007","26-Jul-2007","0","0","0","1762.7","0","1759.35","0","0","0","0","       1724.55"
"LT","18-May-2007","31-May-2007","1711.55","1749","1710","1738.25","1735","1738.25","2452","8511.67","1431200","24800","       1731.75"
"LT","18-May-2007","28-Jun-2007","1742","1753.5","1730.5","1744.5","1746","1744.5","29","101.03","18600","1600","       1731.75"
"LT","18-May-2007","26-Jul-2007","0","0","0","1762.7","0","1766.3","0","0","0","0","       1731.75"
"LT","21-May-2007","31-May-2007","1749.35","1752","1730","1734.75","1733.5","1734.75","2099","7303.19","1386600","-44600","       1736.10"
"LT","21-May-2007","28-Jun-2007","1750.2","1752.9","1740","1743.85","1742","1743.85","62","216.36","23000","4400","       1736.10"
"LT","21-May-2007","26-Jul-2007","0","0","0","1762.7","0","1769.1","0","0","0","0","       1736.10"
"LT","22-May-2007","31-May-2007","1738","1749","1706.5","1734.25","1729.5","1734.25","3826","13242.31","1361400","-25200","       1733.80"
"LT","22-May-2007","28-Jun-2007","1745","1755.95","1710","1731.55","1734","1731.55","1041","3596.61","173800","150800","       1733.80"
"LT","22-May-2007","26-Jul-2007","0","0","0","1762.7","0","1766.25","0","0","0","0","       1733.80"
"LT","23-May-2007","31-May-2007","1735","1773.5","1718.1","1724.45","1723.5","1724.45","5694","19872.89","1320400","-41000","       1723.85"
"LT","23-May-2007","28-Jun-2007","1744","1770","1720","1724.75","1722.5","1724.75","1230","4292.53","327600","153800","       1723.85"
"LT","23-May-2007","26-Jul-2007","0","0","0","1762.7","0","1755.4","0","0","0","0","       1723.85"
"LT","24-May-2007","31-May-2007","1715.6","1731","1696.3","1706.9","1700","1706.9","2484","8515.15","1302000","-18400","       1703.95"
"LT","24-May-2007","28-Jun-2007","1715.1","1735","1692","1704.05","1695","1704.05","881","3017.67","438000","110400","       1703.95"
"LT","24-May-2007","26-Jul-2007","0","0","0","1762.7","0","1734.6","0","0","0","0","       1703.95"
"LT","25-May-2007","31-May-2007","1670.15","1748","1670.15","1743.75","1740.1","1743.75","4512","15584.12","1149800","-152200","       1738.85"
"LT","25-May-2007","28-Jun-2007","1670","1748","1670","1743.75","1742","1743.75","2133","7358.52","665800","227800","       1738.85"
"LT","25-May-2007","26-Jul-2007","1485.1","1485.1","1485.1","1485.1","1485.1","1485.1","2","5.94","400","400","       1738.85"
"LT","28-May-2007","31-May-2007","1749","1788.3","1749","1780.8","1785.8","1780.8","5912","20959.58","1030000","-119800","       1783.65"
"LT","28-May-2007","28-Jun-2007","1750","1788.75","1750","1780.6","1784.9","1780.6","2507","8885.63","836600","170800","       1783.65"
"LT","28-May-2007","26-Jul-2007","0","0","0","1485.1","1485.1","1813.45","0","0","400","0","       1783.65"
"LT","29-May-2007","31-May-2007","1785","1859","1774.1","1848.2","1848","1848.2","14624","53077.96","851200","-178800","       1856.15"
"LT","29-May-2007","28-Jun-2007","1788.1","1864","1749","1851.05","1852","1851.05","8538","31095.19","1152200","315600","       1856.15"
"LT","29-May-2007","26-Jul-2007","1845","1845","1800","1800","1800","1886.5","2","7.29","800","400","       1856.15"
"LT","30-May-2007","31-May-2007","1835.55","1999","1835.55","1981.35","1970","1981.35","18404","72060.55","729800","-121400","       1994.85"
