"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"LT","01-Nov-2006","30-Nov-2006","1321","1342","1308.2","1333.3","1341.9","1333.3","8292","22018.44","3196600","199200","       1321.65"
"LT","01-Nov-2006","28-Dec-2006","1305","1351","1305","1338.4","1351","1338.4","18","47.9","5200","1000","       1321.65"
"LT","01-Nov-2006","25-Jan-2007","0","0","0","1293.8","0","1345.7","0","0","0","0","       1321.65"
"LT","02-Nov-2006","30-Nov-2006","1341.8","1358.8","1335","1345.95","1343","1345.95","10759","29044.83","3139600","-57000","       1338.75"
"LT","02-Nov-2006","28-Dec-2006","1350.1","1364.45","1350","1353","1350","1353","23","62.53","6800","1600","       1338.75"
"LT","02-Nov-2006","25-Jan-2007","0","0","0","1293.8","0","1362.75","0","0","0","0","       1338.75"
"LT","03-Nov-2006","30-Nov-2006","1347","1355","1337.1","1346.35","1342.25","1346.35","6783","18265.17","3186000","46400","       1340.65"
"LT","03-Nov-2006","28-Dec-2006","1350.2","1360","1347","1358.25","1358.75","1358.25","11","29.81","8000","1200","       1340.65"
"LT","03-Nov-2006","25-Jan-2007","0","0","0","1293.8","0","1364.4","0","0","0","0","       1340.65"
"LT","06-Nov-2006","30-Nov-2006","1347.4","1362.5","1344","1350.05","1349","1350.05","6475","17517.14","3170800","-15200","       1343.55"
"LT","06-Nov-2006","28-Dec-2006","1366","1367","1357.85","1357.85","1357.85","1357.85","7","19.05","8400","400","       1343.55"
"LT","06-Nov-2006","25-Jan-2007","0","0","0","1293.8","0","1366.45","0","0","0","0","       1343.55"
"LT","07-Nov-2006","30-Nov-2006","1354","1360","1320.1","1326.5","1320.35","1326.5","5473","14672.25","3078200","-92600","       1322.15"
"LT","07-Nov-2006","28-Dec-2006","1350","1351","1330","1334.95","1330","1334.95","51","136.91","9400","1000","       1322.15"
"LT","07-Nov-2006","25-Jan-2007","0","0","0","1293.8","0","1344.35","0","0","0","0","       1322.15"
"LT","08-Nov-2006","30-Nov-2006","1324.8","1338","1295","1321.05","1319.75","1321.05","5170","13626.91","3043400","-34800","       1312.45"
"LT","08-Nov-2006","28-Dec-2006","1337","1344","1306","1331.85","1333","1331.85","38","100.43","12000","2600","       1312.45"
"LT","08-Nov-2006","25-Jan-2007","0","0","0","1293.8","0","1334.35","0","0","0","0","       1312.45"
"LT","09-Nov-2006","30-Nov-2006","1327.7","1329","1305","1315.7","1317","1315.7","3136","8255.8","3046800","3400","       1310.80"
"LT","09-Nov-2006","28-Dec-2006","1321","1329.4","1317","1323.75","1326.75","1323.75","15","39.68","13200","1200","       1310.80"
"LT","09-Nov-2006","25-Jan-2007","0","0","0","1293.8","0","1332.25","0","0","0","0","       1310.80"
