"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"LT","01-Sep-2014","25-Sep-2014","1541.45","1588.4","1538.95","1584.4","1585.35","1584.4","13895","54651.61","6471000","-117750","       1577.35"
"LT","01-Sep-2014","30-Oct-2014","1560","1595","1560","1593","1592.4","1593","411","1628.96","100750","60000","       1577.35"
"LT","01-Sep-2014","27-Nov-2014","1600","1600","1600","1600","1600","1600","1","4","250","250","       1577.35"
"LT","02-Sep-2014","25-Sep-2014","1585.35","1603.85","1560.75","1584","1582.3","1584","16486","65217.98","6338750","-132250","       1579.35"
"LT","02-Sep-2014","30-Oct-2014","1585.4","1612.65","1570.45","1591.4","1590.7","1591.4","188","747.7","102750","2000","       1579.35"
"LT","02-Sep-2014","27-Nov-2014","1615","1618.7","1601.45","1601.45","1601.45","1601.45","9","36.27","2500","2250","       1579.35"
"LT","03-Sep-2014","25-Sep-2014","1589.85","1612.6","1583","1601.45","1600.95","1601.45","17571","70195.2","5830000","-508750","       1598.20"
"LT","03-Sep-2014","30-Oct-2014","1604.6","1621.25","1592.4","1610.25","1608.75","1610.25","257","1032.33","112500","9750","       1598.20"
"LT","03-Sep-2014","27-Nov-2014","1610","1616","1610","1616","1616","1631.75","6","24.21","3250","750","       1598.20"
"LT","04-Sep-2014","25-Sep-2014","1600.15","1607.9","1576.2","1593.75","1593.95","1593.75","9980","39607.77","5713000","-117000","       1589.95"
"LT","04-Sep-2014","30-Oct-2014","1600","1604.95","1586","1603.15","1603.35","1603.15","131","523.07","119250","6750","       1589.95"
"LT","04-Sep-2014","27-Nov-2014","1614.05","1615","1601","1615","1615","1615","3","12.08","3500","250","       1589.95"
"LT","05-Sep-2014","25-Sep-2014","1597","1624","1584.85","1615.15","1616","1615.15","15436","62164.67","5441750","-271250","       1612.60"
"LT","05-Sep-2014","30-Oct-2014","1605","1631.7","1603.5","1624.8","1626.2","1624.8","210","850.38","131000","11750","       1612.60"
"LT","05-Sep-2014","27-Nov-2014","1625","1628","1624.05","1628","1628","1645.55","7","28.47","3500","0","       1612.60"
"LT","08-Sep-2014","25-Sep-2014","1623","1634.3","1619.3","1631.05","1629","1631.05","10622","43225.08","5322250","-119500","       1629.40"
"LT","08-Sep-2014","30-Oct-2014","1630.05","1642","1627.55","1640","1638.2","1640","104","425.47","132500","1500","       1629.40"
"LT","08-Sep-2014","27-Nov-2014","1638.45","1650","1637.05","1644.7","1644.7","1644.7","9","36.98","3750","250","       1629.40"
"LT","09-Sep-2014","25-Sep-2014","1629","1630.95","1608.2","1612.7","1614","1612.7","8120","32802.98","5449250","127000","       1605.25"
"LT","09-Sep-2014","30-Oct-2014","1642","1642","1617.65","1621.3","1621","1621.3","435","1765.51","187000","54500","       1605.25"
"LT","09-Sep-2014","27-Nov-2014","1638","1638","1631","1636.6","1636.6","1636.5","7","28.6","4750","1000","       1605.25"
"LT","10-Sep-2014","25-Sep-2014","1601.45","1605.2","1586.25","1593.25","1594.6","1593.25","8800","35093.07","5804750","355500","       1585.10"
"LT","10-Sep-2014","30-Oct-2014","1604.35","1613","1595.8","1601.5","1601.5","1601.5","1000","4007.31","374500","187500","       1585.10"
"LT","10-Sep-2014","27-Nov-2014","1616.9","1618.2","1608","1612.2","1613.5","1612.2","18","72.58","6500","1750","       1585.10"
"LT","11-Sep-2014","25-Sep-2014","1598","1613","1590.8","1600.2","1601","1600.2","10966","43913.45","5757000","-47750","       1595.15"
"LT","11-Sep-2014","30-Oct-2014","1605","1622.95","1600","1610.25","1610.2","1610.25","267","1075.86","378250","3750","       1595.15"
"LT","11-Sep-2014","27-Nov-2014","1622","1626","1612","1621.25","1621.25","1625.45","7","28.35","6250","-250","       1595.15"
"LT","12-Sep-2014","25-Sep-2014","1601.4","1610","1582.1","1586.55","1587.85","1586.55","10336","41142.76","5946750","189750","       1578.70"
"LT","12-Sep-2014","30-Oct-2014","1604.95","1618","1592","1596.35","1595.25","1596.35","295","1179.15","379500","1250","       1578.70"
"LT","12-Sep-2014","27-Nov-2014","1612","1612","1601","1603.05","1603.05","1603.05","9","36.14","7500","1250","       1578.70"
