"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"M&amp;M","02-May-2019","30-May-2019","651.4","664.7","637.65","648.9","648.75","648.9","5406","35238.11","18665000","191000","        645.90"
"M&amp;M","02-May-2019","27-Jun-2019","644.15","667.55","644.15","653.15","653.1","653.15","69","452.64","123000","26000","        645.90"
"M&amp;M","02-May-2019","25-Jul-2019","658","658","651","651","651","651","4","26.17","4000","1000","        645.90"
"M&amp;M","03-May-2019","30-May-2019","650","655.7","646.25","650.5","649.5","650.5","2154","14008.16","18682000","17000","        645.80"
"M&amp;M","03-May-2019","27-Jun-2019","653.1","658.35","650.55","654.05","654.05","654.05","14","91.46","127000","4000","        645.80"
"M&amp;M","03-May-2019","25-Jul-2019","651.85","651.85","651.85","651.85","651.85","656.4","1","6.52","5000","1000","        645.80"
"M&amp;M","06-May-2019","30-May-2019","647.85","649.15","639.35","641.3","640.5","641.3","2288","14724.65","18666000","-16000","        638.50"
"M&amp;M","06-May-2019","27-Jun-2019","642","651.6","642","645.35","645.4","645.35","36","232.55","138000","11000","        638.50"
"M&amp;M","06-May-2019","25-Jul-2019","653","653","640.5","640.5","640.5","648.6","15","96.59","14000","9000","        638.50"
"M&amp;M","07-May-2019","30-May-2019","643","645.2","637","638.1","637","638.1","3041","19473.2","18846000","180000","        636.00"
"M&amp;M","07-May-2019","27-Jun-2019","648.05","648.05","641.95","642.4","642.2","642.4","26","167.63","145000","7000","        636.00"
"M&amp;M","07-May-2019","25-Jul-2019","644","644","641.7","641.7","641.7","645.9","4","25.7","14000","0","        636.00"
"M&amp;M","08-May-2019","30-May-2019","639.65","640.4","623","625.35","626.75","625.35","2648","16731.43","19228000","382000","        621.65"
"M&amp;M","08-May-2019","27-Jun-2019","641","644.65","627.95","629.1","629.1","629.1","122","775.5","191000","46000","        621.65"
"M&amp;M","08-May-2019","25-Jul-2019","638.5","638.5","638.5","638.5","638.5","631.2","1","6.39","14000","0","        621.65"
"M&amp;M","09-May-2019","30-May-2019","625.8","632.2","620","629.3","629.9","629.3","2641","16529.76","19306000","78000","        625.45"
"M&amp;M","09-May-2019","27-Jun-2019","629.75","635.7","624.8","633.6","634","633.6","117","736.71","206000","15000","        625.45"
"M&amp;M","09-May-2019","25-Jul-2019","623.2","629.1","623.2","629.1","629.1","634.95","3","18.81","16000","2000","        625.45"
"M&amp;M","10-May-2019","30-May-2019","630.5","634.9","621.65","630.3","628.35","630.3","3430","21506.97","18972000","-334000","        628.75"
"M&amp;M","10-May-2019","27-Jun-2019","637","638.5","626.15","634.7","634.3","634.7","83","523.67","234000","28000","        628.75"
"M&amp;M","10-May-2019","25-Jul-2019","633","633","621.65","630","630","630","14","87.57","23000","7000","        628.75"
"M&amp;M","13-May-2019","30-May-2019","630","630","616.25","618.7","619","618.7","2011","12516.52","18740000","-232000","        617.60"
"M&amp;M","13-May-2019","27-Jun-2019","631.2","631.2","620.8","622.75","623.85","622.75","98","613.92","287000","53000","        617.60"
"M&amp;M","13-May-2019","25-Jul-2019","626","626","612.3","617.1","620.15","617.1","10","62.19","25000","2000","        617.60"
"M&amp;M","14-May-2019","30-May-2019","615.95","622","613.35","617.3","617.75","617.3","3224","19910.81","18776000","36000","        614.25"
"M&amp;M","14-May-2019","27-Jun-2019","623.05","625.35","617.85","621.65","621.2","621.65","325","2023.28","464000","177000","        614.25"
"M&amp;M","14-May-2019","25-Jul-2019","622.15","622.15","615.05","617.45","617.4","617.45","21","129.8","41000","16000","        614.25"
"M&amp;M","15-May-2019","30-May-2019","620.55","630.3","609.5","612.3","609.5","612.3","4750","29542.44","19004000","228000","        609.65"
"M&amp;M","15-May-2019","27-Jun-2019","623","633.8","613","615.1","613","615.1","220","1365.04","577000","113000","        609.65"
"M&amp;M","15-May-2019","25-Jul-2019","623.85","627.9","610","610.35","610","610.35","14","87.14","50000","9000","        609.65"
"M&amp;M","16-May-2019","30-May-2019","611.95","614.65","599.35","607.6","608.65","607.6","3272","19821.92","18847000","-157000","        605.25"
"M&amp;M","16-May-2019","27-Jun-2019","615.35","617.6","603.25","611.8","612.15","611.8","276","1681.92","720000","143000","        605.25"
"M&amp;M","16-May-2019","25-Jul-2019","610.55","610.55","599.7","608.1","608.1","613.6","22","133.14","63000","13000","        605.25"
"M&amp;M","17-May-2019","30-May-2019","609.95","623.5","608.65","621.7","622.5","621.7","3943","24395.49","18449000","-398000","        619.65"
"M&amp;M","17-May-2019","27-Jun-2019","612.55","627","612.55","625.4","625","625.4","146","909.1","757000","37000","        619.65"
"M&amp;M","17-May-2019","25-Jul-2019","616.45","622","616.45","621.3","620.9","621.3","12","74.39","64000","1000","        619.65"
"M&amp;M","20-May-2019","30-May-2019","630.9","665.4","630.9","656","656.8","656","8201","53551.23","19317000","868000","        653.25"
"M&amp;M","20-May-2019","27-Jun-2019","643.25","668.95","643.25","660.15","661","660.15","588","3861.96","1013000","256000","        653.25"
"M&amp;M","20-May-2019","25-Jul-2019","631.5","663.3","631.5","652.15","652.15","661.75","28","181.9","63000","-1000","        653.25"
"M&amp;M","21-May-2019","30-May-2019","661.9","664.35","637.25","641.1","642.5","641.1","3503","22718.25","19318000","1000","        639.15"
"M&amp;M","21-May-2019","27-Jun-2019","663.55","667.25","641","645","644.35","645","332","2158.52","1081000","68000","        639.15"
"M&amp;M","21-May-2019","25-Jul-2019","661.7","663.1","639.3","640.4","641.45","640.4","19","123.76","65000","2000","        639.15"
"M&amp;M","22-May-2019","30-May-2019","640.75","645.25","633.15","641.75","642","641.75","2950","18860.61","19130000","-188000","        640.55"
"M&amp;M","22-May-2019","27-Jun-2019","645","648.9","637.05","645.85","647","645.85","228","1466.82","1121000","40000","        640.55"
"M&amp;M","22-May-2019","25-Jul-2019","640.55","644","636","641.45","641.45","648.6","17","108.63","65000","0","        640.55"
"M&amp;M","23-May-2019","30-May-2019","651.95","656.8","637.35","640.55","640","640.55","3638","23521.47","19163000","33000","        639.50"
"M&amp;M","23-May-2019","27-Jun-2019","652.6","660.4","641.6","644.55","645.5","644.55","801","5207.66","1346000","225000","        639.50"
"M&amp;M","23-May-2019","25-Jul-2019","650.45","655.55","638.6","641.3","641.45","641.3","22","142.31","70000","5000","        639.50"
"M&amp;M","24-May-2019","30-May-2019","643.85","668.2","639.05","665.85","666.55","665.85","4955","32604.97","18772000","-391000","        665.45"
"M&amp;M","24-May-2019","27-Jun-2019","646.6","672","646.6","669.9","670.95","669.9","1141","7552.97","1613000","267000","        665.45"
"M&amp;M","24-May-2019","25-Jul-2019","644.4","667.5","644.35","667.15","667.4","667.15","73","483.97","111000","41000","        665.45"
"M&amp;M","27-May-2019","30-May-2019","667.65","682.6","666","678.7","676.95","678.7","8381","56521.77","15243000","-3529000","        679.35"
"M&amp;M","27-May-2019","27-Jun-2019","670.75","686.15","670.5","682.6","681.15","682.6","4846","32865.61","5380000","3767000","        679.35"
"M&amp;M","27-May-2019","25-Jul-2019","668","682.2","668","680","679.95","680","27","183.29","122000","11000","        679.35"
"M&amp;M","28-May-2019","30-May-2019","679.95","682.1","667.45","671.85","671","671.85","7561","50939.65","10934000","-4309000","        670.55"
"M&amp;M","28-May-2019","27-Jun-2019","682","685.75","671.25","675.55","675.25","675.55","5768","39077.84","9568000","4188000","        670.55"
"M&amp;M","28-May-2019","25-Jul-2019","681","682","670","673.5","673.5","673.5","31","209.68","137000","15000","        670.55"
"M&amp;M","29-May-2019","30-May-2019","669.75","678.5","660.15","673.1","672.8","673.1","14433","96659.76","6117000","-4817000","        672.15"
"M&amp;M","29-May-2019","27-Jun-2019","675","681.9","663.6","676.7","676.95","676.7","9613","64650.3","14605000","5037000","        672.15"
"M&amp;M","29-May-2019","25-Jul-2019","674","676.5","661.75","672.5","673.3","672.5","111","741.99","174000","37000","        672.15"
"M&amp;M","30-May-2019","30-May-2019","661.15","667.2","657.7","662.45","661.65","661.7","8938","59107.33","1779000","-4338000","        661.70"
