"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NESTLEIND","01-Sep-2017","28-Sep-2017","7130.05","7142.2","7051.05","7060.1","7065","7060.1","174","1233.83","131100","4300","       7015.30"
"NESTLEIND","01-Sep-2017","26-Oct-2017","0","0","0","6909.2","0","7081.9","0","0","0","0","       7015.30"
"NESTLEIND","01-Sep-2017","30-Nov-2017","0","0","0","7233.65","0","7124.6","0","0","0","0","       7015.30"
"NESTLEIND","04-Sep-2017","28-Sep-2017","7065.05","7081.2","6890","6905.3","6915.95","6905.3","324","2257.62","128100","-3000","       6864.80"
"NESTLEIND","04-Sep-2017","26-Oct-2017","0","0","0","6909.2","0","6926.5","0","0","0","0","       6864.80"
"NESTLEIND","04-Sep-2017","30-Nov-2017","0","0","0","7233.65","0","6968.35","0","0","0","0","       6864.80"
"NESTLEIND","05-Sep-2017","28-Sep-2017","6922.45","7070","6919.95","7057.8","7046","7057.8","286","2007.39","123600","-4500","       7027.75"
"NESTLEIND","05-Sep-2017","26-Oct-2017","0","0","0","6909.2","0","7089.7","2","14.1","200","200","       7027.75"
"NESTLEIND","05-Sep-2017","30-Nov-2017","0","0","0","7233.65","0","7132.55","0","0","0","0","       7027.75"
"NESTLEIND","06-Sep-2017","28-Sep-2017","6974.55","7025","6959.95","6995.1","6990.1","6995.1","147","1028.26","121800","-1800","       6973.55"
"NESTLEIND","06-Sep-2017","26-Oct-2017","0","0","0","6909.2","0","7033.9","1","7.03","100","-100","       6973.55"
"NESTLEIND","06-Sep-2017","30-Nov-2017","0","0","0","7233.65","0","7076.45","0","0","0","0","       6973.55"
"NESTLEIND","07-Sep-2017","28-Sep-2017","6972.5","7197","6947.65","7158.9","7196.95","7158.9","762","5408.04","119400","-2400","       7132.55"
"NESTLEIND","07-Sep-2017","26-Oct-2017","0","0","0","6909.2","0","7193.05","0","0","100","0","       7132.55"
"NESTLEIND","07-Sep-2017","30-Nov-2017","0","0","0","7233.65","0","7236.55","0","0","0","0","       7132.55"
"NESTLEIND","08-Sep-2017","28-Sep-2017","7213.25","7247","7165","7208.05","7215","7208.05","696","5016.17","112200","-7200","       7201.40"
