"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NTPC","04-May-2015","28-May-2015","150.15","153.75","150.15","153.1","153.35","153.1","1959","5947.41","30312000","318000","        152.35"
"NTPC","04-May-2015","25-Jun-2015","152.4","152.4","151.6","151.6","151.6","154.2","2","6.08","58000","2000","        152.35"
"NTPC","04-May-2015","30-Jul-2015","0","0","0","153.35","0","155.45","0","0","0","0","        152.35"
"NTPC","05-May-2015","28-May-2015","152.3","152.7","149.1","151.25","151.4","151.25","1933","5843.28","30096000","-216000","        150.50"
"NTPC","05-May-2015","25-Jun-2015","153.1","153.1","150","151.9","151.6","151.9","14","42.47","68000","10000","        150.50"
"NTPC","05-May-2015","30-Jul-2015","0","0","0","153.35","0","153.5","0","0","0","0","        150.50"
"NTPC","06-May-2015","28-May-2015","150.3","150.55","143.65","145.05","145.45","145.05","2900","8451.72","29158000","-938000","        144.60"
"NTPC","06-May-2015","25-Jun-2015","150.5","150.7","145","145.9","146","145.9","62","181.82","150000","82000","        144.60"
"NTPC","06-May-2015","30-Jul-2015","147.5","147.5","147.5","147.5","147.5","147.45","2","5.9","4000","4000","        144.60"
"NTPC","07-May-2015","28-May-2015","144.8","145.65","142.7","143.3","143","143.3","1768","5105.44","28426000","-732000","        142.50"
"NTPC","07-May-2015","25-Jun-2015","145.8","146.3","144","144.55","144.15","144.55","48","139.34","198000","48000","        142.50"
"NTPC","07-May-2015","30-Jul-2015","0","0","0","147.5","147.5","145.3","0","0","4000","0","        142.50"
"NTPC","08-May-2015","28-May-2015","144.35","145.15","142.3","142.65","142.8","142.65","1864","5354.95","28164000","-262000","        142.00"
"NTPC","08-May-2015","25-Jun-2015","145.05","146","143.6","143.7","143.6","143.7","39","112.88","226000","28000","        142.00"
"NTPC","08-May-2015","30-Jul-2015","0","0","0","147.5","147.5","144.75","0","0","4000","0","        142.00"
"NTPC","11-May-2015","28-May-2015","143.3","146.15","142.2","145.65","145.5","145.65","1880","5434.64","28328000","164000","        144.95"
"NTPC","11-May-2015","25-Jun-2015","143.45","147","143.45","146.8","146.7","146.8","55","159.99","224000","-2000","        144.95"
"NTPC","11-May-2015","30-Jul-2015","0","0","0","147.5","147.5","147.65","0","0","4000","0","        144.95"
"NTPC","12-May-2015","28-May-2015","145.05","145.7","140.6","141.9","142.55","141.9","2161","6158.51","28002000","-326000","        141.65"
"NTPC","12-May-2015","25-Jun-2015","145.3","145.6","141.75","142.85","143.4","142.85","126","361.6","380000","156000","        141.65"
"NTPC","12-May-2015","30-Jul-2015","0","0","0","147.5","147.5","144.25","0","0","4000","0","        141.65"
"NTPC","13-May-2015","28-May-2015","142.65","142.65","134.1","138.15","138.3","138.15","9165","25229.4","29544000","1542000","        138.40"
"NTPC","13-May-2015","25-Jun-2015","140","140.5","135.1","138.95","139.25","138.95","752","2082.98","822000","442000","        138.40"
"NTPC","13-May-2015","30-Jul-2015","140.5","141.45","136.5","139.4","139.4","140.9","14","38.93","32000","28000","        138.40"
"NTPC","14-May-2015","28-May-2015","139.05","141.25","137.35","138.9","139.15","138.9","3914","10920.46","30514000","970000","        139.05"
"NTPC","14-May-2015","25-Jun-2015","140","141.95","138.05","139.6","140","139.6","243","682.51","944000","122000","        139.05"
"NTPC","14-May-2015","30-Jul-2015","140.95","140.95","140.95","140.95","140.95","141.55","1","2.82","30000","-2000","        139.05"
"NTPC","15-May-2015","28-May-2015","139.5","140.85","135.5","136.25","136.15","136.25","2638","7258.81","31856000","1342000","        136.10"
"NTPC","15-May-2015","25-Jun-2015","140","141.35","136.25","136.85","136.8","136.85","233","643.54","1148000","204000","        136.10"
"NTPC","15-May-2015","30-Jul-2015","138.5","138.5","138.5","138.5","138.5","138.5","5","13.85","40000","10000","        136.10"
"NTPC","18-May-2015","28-May-2015","136.55","137.3","135","136.15","136.25","136.15","2059","5600.4","32764000","908000","        136.15"
"NTPC","18-May-2015","25-Jun-2015","136.65","137.75","135.8","136.95","137.15","136.95","177","483.94","1342000","194000","        136.15"
"NTPC","18-May-2015","30-Jul-2015","137.95","138","136","138","138","138.45","4","10.96","48000","8000","        136.15"
"NTPC","19-May-2015","28-May-2015","136.2","137.1","135.1","135.8","135.7","135.8","2826","7698.11","32700000","-64000","        136.10"
"NTPC","19-May-2015","25-Jun-2015","137","137.95","136","136.8","136.5","136.8","892","2447.51","2820000","1478000","        136.10"
"NTPC","19-May-2015","30-Jul-2015","0","0","0","138","138","138.35","0","0","48000","0","        136.10"
"NTPC","20-May-2015","28-May-2015","136.25","137.4","135.4","135.95","135.95","135.95","2343","6397.82","33164000","464000","        136.15"
"NTPC","20-May-2015","25-Jun-2015","137.45","138.3","136.35","136.8","136.9","136.8","555","1526.77","3426000","606000","        136.15"
"NTPC","20-May-2015","30-Jul-2015","137.4","137.4","137.4","137.4","137.4","138.4","1","2.75","50000","2000","        136.15"
"NTPC","21-May-2015","28-May-2015","136.5","136.5","134.55","134.95","134.75","134.95","2373","6412.64","33712000","548000","        134.95"
"NTPC","21-May-2015","25-Jun-2015","136.85","137.05","135.25","135.6","135.4","135.6","903","2453.22","4124000","698000","        134.95"
"NTPC","21-May-2015","30-Jul-2015","136.8","137.9","136.05","136.25","136.4","136.25","12","32.84","74000","24000","        134.95"
"NTPC","22-May-2015","28-May-2015","135","136.1","134.4","135.45","135.5","135.45","2892","7825.32","32686000","-1026000","        135.35"
"NTPC","22-May-2015","25-Jun-2015","135","136.65","135","136.1","136.3","136.1","1577","4286.85","5618000","1494000","        135.35"
"NTPC","22-May-2015","30-Jul-2015","136.6","137","136.55","137","137","137.5","6","16.41","86000","12000","        135.35"
"NTPC","25-May-2015","28-May-2015","135.15","135.95","133.6","134.1","134.2","134.1","4523","12173.9","29792000","-2894000","        134.25"
"NTPC","25-May-2015","25-Jun-2015","136.2","136.65","134.4","134.85","135.15","134.85","3600","9741.59","11324000","5706000","        134.25"
"NTPC","25-May-2015","30-Jul-2015","135.7","136.05","135.7","136.05","136.05","136.3","5","13.58","94000","8000","        134.25"
"NTPC","26-May-2015","28-May-2015","133.95","134","131.7","132.1","132","132.1","5595","14819.66","26244000","-3548000","        132.50"
"NTPC","26-May-2015","25-Jun-2015","134.75","134.75","132.5","132.9","133","132.9","4009","10682.78","15358000","4034000","        132.50"
"NTPC","26-May-2015","30-Jul-2015","135","136.85","133.75","133.85","133.9","133.85","15","40.35","116000","22000","        132.50"
"NTPC","27-May-2015","28-May-2015","132","134.65","131.25","134.15","134.65","134.15","11014","29444.24","13970000","-12274000","        134.25"
"NTPC","27-May-2015","25-Jun-2015","132.65","135.25","132.05","134.7","135.25","134.7","10425","28009.57","25250000","9892000","        134.25"
"NTPC","27-May-2015","30-Jul-2015","134","136","134","135.7","136","135.7","33","89.35","178000","62000","        134.25"
"NTPC","28-May-2015","28-May-2015","134.25","135.45","133.8","134.75","134.6","134.65","6827","18371.74","7528000","-6442000","        134.65"
"NTPC","28-May-2015","25-Jun-2015","134.5","136.2","134.5","135.3","135.65","135.3","7260","19654.71","33102000","7852000","        134.65"
"NTPC","28-May-2015","30-Jul-2015","135.7","136.9","135.7","136.35","136","136.35","24","65.41","216000","38000","        134.65"
"NTPC","29-May-2015","25-Jun-2015","135.1","139.5","134.9","137.65","138.4","137.65","16638","45730.59","36858000","3756000","        136.55"
"NTPC","29-May-2015","30-Jul-2015","136","140.05","136","138.8","139.05","138.8","114","315.72","256000","40000","        136.55"
"NTPC","29-May-2015","27-Aug-2015","138.45","138.45","137.1","138.4","138.4","138.4","12","33.17","0","0","        136.55"
"NTPC","01-Jun-2015","25-Jun-2015","138","139.85","137.7","139.1","139.35","139.1","2805","7792.15","35592000","-1266000","        138.55"
"NTPC","01-Jun-2015","30-Jul-2015","139.05","140.35","138.35","139.55","139.6","139.55","40","111.46","292000","36000","        138.55"
"NTPC","01-Jun-2015","27-Aug-2015","139.2","139.6","138.45","139.6","139.6","141.3","17","47.32","34000","34000","        138.55"
"NTPC","02-Jun-2015","25-Jun-2015","138.95","139.35","137.15","138.3","138.4","138.3","2178","6022.39","34218000","-1374000","        137.95"
"NTPC","02-Jun-2015","30-Jul-2015","138.7","139.05","138.3","138.95","138.85","138.95","20","55.53","296000","4000","        137.95"
"NTPC","02-Jun-2015","27-Aug-2015","138.8","139.15","138.7","138.7","138.7","140.6","4","11.11","42000","8000","        137.95"
"NTPC","03-Jun-2015","25-Jun-2015","138.05","139.95","136.4","138.7","139.25","138.7","4159","11525.22","31426000","-2792000","        138.45"
"NTPC","03-Jun-2015","30-Jul-2015","137.5","140.5","137.15","139","139","139","81","224.91","354000","58000","        138.45"
"NTPC","03-Jun-2015","27-Aug-2015","139.85","140.65","139.6","140.2","140.2","141.1","22","61.62","80000","38000","        138.45"
"NTPC","04-Jun-2015","25-Jun-2015","138.6","139.6","136.5","137.15","136.9","137.15","2106","5793.81","31208000","-218000","        136.90"
"NTPC","04-Jun-2015","30-Jul-2015","138.7","139.8","137.3","137.75","137.6","137.75","41","113.37","384000","30000","        136.90"
"NTPC","04-Jun-2015","27-Aug-2015","138.35","138.35","137.9","138","138.05","138","5","13.81","80000","0","        136.90"
"NTPC","05-Jun-2015","25-Jun-2015","136.15","141.15","136.1","140.2","140.25","140.2","2621","7311.27","29806000","-1402000","        140.05"
"NTPC","05-Jun-2015","30-Jul-2015","137.9","141.6","137.9","140.85","140.8","140.85","36","100.99","378000","-6000","        140.05"
"NTPC","05-Jun-2015","27-Aug-2015","138.85","141.2","138.85","141.2","141.2","142.65","3","8.43","82000","2000","        140.05"
"NTPC","08-Jun-2015","25-Jun-2015","139.85","140.75","138.5","139.05","138.95","139.05","2299","6411.34","29636000","-170000","        138.45"
"NTPC","08-Jun-2015","30-Jul-2015","141","141","139.3","139.75","139.75","140.05","21","58.84","400000","22000","        138.45"
"NTPC","08-Jun-2015","27-Aug-2015","141.1","141.1","140","140","140","140.9","3","8.44","84000","2000","        138.45"
"NTPC","09-Jun-2015","25-Jun-2015","138.55","139.85","137.05","139.55","139.45","139.55","2315","6444.2","29554000","-82000","        139.00"
"NTPC","09-Jun-2015","30-Jul-2015","138.65","140.55","138.2","140.35","140.35","140.35","25","69.68","414000","14000","        139.00"
"NTPC","09-Jun-2015","27-Aug-2015","139.35","140.7","139.25","140.7","140.7","141.45","4","11.19","88000","4000","        139.00"
"NTPC","10-Jun-2015","25-Jun-2015","139.55","141.25","139.25","140.4","140.15","140.4","2106","5915.41","28900000","-654000","        140.00"
"NTPC","10-Jun-2015","30-Jul-2015","140.95","141.4","140.3","141","141","141","15","42.28","414000","0","        140.00"
"NTPC","10-Jun-2015","27-Aug-2015","0","0","0","140.7","140.7","142.4","0","0","88000","0","        140.00"
"NTPC","11-Jun-2015","25-Jun-2015","140.5","140.5","136.65","137.1","137.4","137.1","2288","6323.05","28514000","-386000","        136.55"
"NTPC","11-Jun-2015","30-Jul-2015","140.85","140.85","137.6","137.85","137.75","137.85","53","147.4","472000","58000","        136.55"
"NTPC","11-Jun-2015","27-Aug-2015","141.05","141.05","138.9","138.9","138.9","138.9","11","30.77","104000","16000","        136.55"
"NTPC","12-Jun-2015","25-Jun-2015","136.45","138","136.15","137.05","137.25","137.05","2202","6040.25","28276000","-238000","        136.50"
"NTPC","12-Jun-2015","30-Jul-2015","137.3","138.65","137.2","137.9","137.9","137.9","34","93.87","492000","20000","        136.50"
"NTPC","12-Jun-2015","27-Aug-2015","137.55","138.75","137.55","138.4","138.4","138.4","11","30.47","104000","0","        136.50"
"NTPC","15-Jun-2015","25-Jun-2015","136.6","136.6","135.05","135.9","136.05","135.9","1281","3478.65","28126000","-150000","        135.85"
"NTPC","15-Jun-2015","30-Jul-2015","137","137.25","135.9","136.65","136.9","136.65","120","327.41","636000","144000","        135.85"
"NTPC","15-Jun-2015","27-Aug-2015","136.75","136.75","136.55","136.55","136.55","138.05","12","32.77","128000","24000","        135.85"
"NTPC","16-Jun-2015","25-Jun-2015","135.65","137.9","135.1","137.6","137.4","137.6","1203","3285.42","27808000","-318000","        137.65"
"NTPC","16-Jun-2015","30-Jul-2015","136.6","138.45","136.5","138.35","138.1","138.35","70","192.52","656000","20000","        137.65"
"NTPC","16-Jun-2015","27-Aug-2015","138.8","138.8","138.8","138.8","138.8","138.8","1","2.78","128000","0","        137.65"
"NTPC","17-Jun-2015","25-Jun-2015","137.85","137.85","136.5","137","137","137","1412","3873.16","27346000","-462000","        137.00"
"NTPC","17-Jun-2015","30-Jul-2015","138","138.65","137.4","137.75","137.7","137.75","114","314.52","774000","118000","        137.00"
"NTPC","17-Jun-2015","27-Aug-2015","137.8","138.6","137.8","138.2","138.2","138.2","17","46.87","114000","-14000","        137.00"
"NTPC","18-Jun-2015","25-Jun-2015","137","137.85","136.4","136.7","136.4","136.7","1128","3090.32","27674000","328000","        136.60"
"NTPC","18-Jun-2015","30-Jul-2015","138.35","138.6","137.25","137.5","137.25","137.5","341","940.62","1212000","438000","        136.60"
"NTPC","18-Jun-2015","27-Aug-2015","138.2","138.2","137.8","138","138","138.75","4","11.04","110000","-4000","        136.60"
"NTPC","19-Jun-2015","25-Jun-2015","136.6","137.45","135.8","136.45","136.65","136.45","1441","3937.6","27538000","-136000","        136.05"
