"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NTPC","01-Nov-2018","29-Nov-2018","159.7","159.7","156.7","157.7","157.5","157.7","1534","9672.19","32596000","1044000","        157.00"
"NTPC","01-Nov-2018","27-Dec-2018","158.75","159","157.5","158.4","158.4","158.85","26","164.41","320000","24000","        157.00"
"NTPC","01-Nov-2018","31-Jan-2019","0","0","0","165.6","0","160","0","0","0","0","        157.00"
"NTPC","02-Nov-2018","29-Nov-2018","157.85","160.15","156.4","158.85","158.85","158.85","5457","34540.13","32056000","-540000","        158.00"
"NTPC","02-Nov-2018","27-Dec-2018","159","160.05","157","159.6","159.4","159.6","78","494.9","340000","20000","        158.00"
"NTPC","02-Nov-2018","31-Jan-2019","0","0","0","165.6","0","161","0","0","0","0","        158.00"
"NTPC","05-Nov-2018","29-Nov-2018","158","158","152.35","154.15","154","154.15","5461","33596.8","31276000","-780000","        153.50"
"NTPC","05-Nov-2018","27-Dec-2018","157.65","157.65","153","154.85","154.85","154.85","92","568.01","448000","108000","        153.50"
"NTPC","05-Nov-2018","31-Jan-2019","154","154","153","153.5","153.5","156.3","3","18.42","8000","8000","        153.50"
"NTPC","06-Nov-2018","29-Nov-2018","153.75","155.2","152.55","154.7","154.7","154.7","2517","15488.31","31768000","492000","        154.15"
"NTPC","06-Nov-2018","27-Dec-2018","154.25","155.4","153.2","155.05","155.1","155.05","180","1110.37","884000","436000","        154.15"
"NTPC","06-Nov-2018","31-Jan-2019","154.3","154.3","154.3","154.3","154.3","156.95","1","6.17","12000","4000","        154.15"
"NTPC","07-Nov-2018","29-Nov-2018","155.35","155.5","154.95","155.25","155.3","155.25","146","906.62","31568000","-200000","        154.85"
"NTPC","07-Nov-2018","27-Dec-2018","155.6","155.6","155.6","155.6","155.6","155.6","1","6.22","880000","-4000","        154.85"
"NTPC","07-Nov-2018","31-Jan-2019","0","0","0","154.3","154.3","157.6","0","0","12000","0","        154.85"
"NTPC","09-Nov-2018","29-Nov-2018","155.8","155.8","154.15","155.05","154.9","155.05","1563","9679","32500000","932000","        154.45"
"NTPC","09-Nov-2018","27-Dec-2018","155.85","155.85","154.8","155.4","155.4","155.4","38","235.97","916000","36000","        154.45"
"NTPC","09-Nov-2018","31-Jan-2019","154.75","154.75","154.75","154.75","154.75","157.15","1","6.19","12000","0","        154.45"
"NTPC","12-Nov-2018","29-Nov-2018","155.4","155.7","152.75","153","153.1","153","1922","11845.83","33676000","1176000","        152.80"
