"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NTPC","01-Sep-2009","24-Sep-2009","213.4","214.25","207.25","209.65","209.4","209.65","2826","9713.62","12389000","-393250","        209.65"
"NTPC","01-Sep-2009","29-Oct-2009","213.95","214.5","208","210.1","209.85","210.1","28","95.8","69875","16250","        209.65"
"NTPC","01-Sep-2009","26-Nov-2009","0","0","0","213.9","0","211.95","0","0","0","0","        209.65"
"NTPC","02-Sep-2009","24-Sep-2009","210","210.75","207.15","207.35","207.5","207.35","2323","7885.1","12840750","451750","        207.05"
"NTPC","02-Sep-2009","29-Oct-2009","208.45","210.75","207.5","207.65","207.9","207.65","44","149.46","105625","35750","        207.05"
"NTPC","02-Sep-2009","26-Nov-2009","0","0","0","213.9","0","209.3","0","0","0","0","        207.05"
"NTPC","03-Sep-2009","24-Sep-2009","208.5","208.9","204.2","205.9","204.9","205.9","1624","5463.92","13060125","219375","        205.60"
"NTPC","03-Sep-2009","29-Oct-2009","209","209","204.8","205.8","204.8","205.8","27","90.88","123500","17875","        205.60"
"NTPC","03-Sep-2009","26-Nov-2009","0","0","0","213.9","0","207.8","0","0","0","0","        205.60"
"NTPC","04-Sep-2009","24-Sep-2009","205.3","208.45","204.6","207.55","207.35","207.55","1632","5478.25","13177125","117000","        206.30"
"NTPC","04-Sep-2009","29-Oct-2009","205.75","208.5","205.5","207.9","207.5","207.9","32","107.68","141375","17875","        206.30"
"NTPC","04-Sep-2009","26-Nov-2009","0","0","0","213.9","0","208.5","0","0","0","0","        206.30"
"NTPC","07-Sep-2009","24-Sep-2009","208","208.9","207","208.3","208.75","208.3","1319","4462.91","13156000","-21125","        207.15"
"NTPC","07-Sep-2009","29-Oct-2009","208.35","209.05","207.65","208.6","208.95","208.6","34","115.22","170625","29250","        207.15"
"NTPC","07-Sep-2009","26-Nov-2009","0","0","0","213.9","0","209.25","0","0","0","0","        207.15"
"NTPC","08-Sep-2009","24-Sep-2009","208.6","210.7","206.2","207.05","206.6","207.05","2620","8876.39","13307125","151125","        206.20"
"NTPC","08-Sep-2009","29-Oct-2009","208.7","210.9","206.8","207.2","206.8","207.2","49","166.3","190125","19500","        206.20"
"NTPC","08-Sep-2009","26-Nov-2009","0","0","0","213.9","0","208.3","0","0","0","0","        206.20"
"NTPC","09-Sep-2009","24-Sep-2009","206.9","207.35","205.4","206","206","206","1350","4526.58","13557375","250250","        205.20"
"NTPC","09-Sep-2009","29-Oct-2009","206.9","207.4","205.9","206.35","206.4","206.35","55","184.83","224250","34125","        205.20"
"NTPC","09-Sep-2009","26-Nov-2009","0","0","0","213.9","0","207.25","0","0","0","0","        205.20"
"NTPC","10-Sep-2009","24-Sep-2009","207.3","208.15","205.7","206","205.8","206","1697","5704.25","13416000","-141375","        205.20"
"NTPC","10-Sep-2009","29-Oct-2009","207.5","208.5","206.2","206.4","206.4","206.4","53","178.64","238875","14625","        205.20"
"NTPC","10-Sep-2009","26-Nov-2009","0","0","0","213.9","0","207.25","0","0","0","0","        205.20"
"NTPC","11-Sep-2009","24-Sep-2009","207","207.45","205.75","206.3","206.75","206.3","1333","4473.72","13294125","-121875","        205.20"
"NTPC","11-Sep-2009","29-Oct-2009","207","207.95","206.6","207","207","207","29","97.6","263250","24375","        205.20"
"NTPC","11-Sep-2009","26-Nov-2009","208","208","208","208","208","207.2","1","3.38","1625","1625","        205.20"
"NTPC","14-Sep-2009","24-Sep-2009","206.25","206.6","204.55","205.95","206","205.95","1982","6614.62","12311000","-983125","        205.10"
"NTPC","14-Sep-2009","29-Oct-2009","206.2","206.65","205","206.35","206.5","206.35","823","2748.7","1361750","1098500","        205.10"
"NTPC","14-Sep-2009","26-Nov-2009","0","0","0","208","208","207","0","0","1625","0","        205.10"
"NTPC","15-Sep-2009","24-Sep-2009","206.55","210.9","206.5","210.3","210.2","210.3","5297","17950.2","10952500","-1358500","        209.50"
"NTPC","15-Sep-2009","29-Oct-2009","208","211","207.1","210.6","210.5","210.6","2220","7506.24","4465500","3103750","        209.50"
"NTPC","15-Sep-2009","26-Nov-2009","0","0","0","208","208","211.4","0","0","1625","0","        209.50"
"NTPC","16-Sep-2009","24-Sep-2009","212","212","208.3","210.4","210.4","210.4","2356","8049.9","10538125","-414375","        209.90"
"NTPC","16-Sep-2009","29-Oct-2009","212.05","212.05","209.1","210.75","210.75","210.75","418","1430.69","4816500","351000","        209.90"
"NTPC","16-Sep-2009","26-Nov-2009","0","0","0","208","208","211.8","0","0","1625","0","        209.90"
"NTPC","17-Sep-2009","24-Sep-2009","212","212","208.45","209.55","209.2","209.55","3962","13497.27","10231000","-307125","        208.45"
"NTPC","17-Sep-2009","29-Oct-2009","211.6","211.8","208.75","209.8","209.3","209.8","2147","7315.42","6792500","1976000","        208.45"
"NTPC","17-Sep-2009","26-Nov-2009","0","0","0","208","208","210.3","0","0","1625","0","        208.45"
"NTPC","18-Sep-2009","24-Sep-2009","209.8","209.8","206.2","208.3","208.3","208.3","2278","7690.66","9790625","-440375","        207.65"
"NTPC","18-Sep-2009","29-Oct-2009","209.25","209.8","207.1","208.65","208.7","208.65","662","2239.55","6903000","110500","        207.65"
"NTPC","18-Sep-2009","26-Nov-2009","0","0","0","208","208","209.5","0","0","1625","0","        207.65"
"NTPC","22-Sep-2009","24-Sep-2009","208.05","211.15","207.75","209.75","209.95","209.75","3529","12039.12","6924125","-2866500","        209.00"
"NTPC","22-Sep-2009","29-Oct-2009","208.75","211.75","208.4","210.5","210.6","210.5","2688","9198.4","8407750","1504750","        209.00"
"NTPC","22-Sep-2009","26-Nov-2009","0","0","0","208","208","210.75","0","0","1625","0","        209.00"
"NTPC","23-Sep-2009","24-Sep-2009","210.2","211.25","207.5","208.95","208.95","208.95","3099","10560.69","4613375","-2310750","        208.80"
"NTPC","23-Sep-2009","29-Oct-2009","211.05","212","207.9","209.7","209.65","209.7","2408","8228.36","9888125","1480375","        208.80"
"NTPC","23-Sep-2009","26-Nov-2009","0","0","0","208","208","210.5","0","0","1625","0","        208.80"
"NTPC","24-Sep-2009","24-Sep-2009","208","214.05","207.5","212.3","212.3","212.4","3854","13258.64","2431000","-2182375","        212.40"
"NTPC","24-Sep-2009","29-Oct-2009","208.3","214.9","208.3","213.6","213.25","213.6","4234","14640.7","11726000","1837875","        212.40"
"NTPC","24-Sep-2009","26-Nov-2009","214.85","214.85","214.85","214.85","214.85","214.1","2","6.98","1625","0","        212.40"
"NTPC","25-Sep-2009","29-Oct-2009","211.9","215.7","211.9","213.8","213.8","213.8","2300","8008.28","11626875","-99125","        213.15"
"NTPC","25-Sep-2009","26-Nov-2009","215.25","215.25","213.95","213.95","213.95","214.85","8","27.87","13000","11375","        213.15"
"NTPC","25-Sep-2009","31-Dec-2009","0","0","0","215.1","0","215.8","0","0","0","0","        213.15"
"NTPC","29-Sep-2009","29-Oct-2009","214","215.9","211.55","212.9","212.6","212.9","1866","6476.52","11519625","-107250","        212.50"
"NTPC","29-Sep-2009","26-Nov-2009","216","216.2","212","213.05","213.05","213.05","27","93.93","40625","27625","        212.50"
"NTPC","29-Sep-2009","31-Dec-2009","0","0","0","215.1","0","215.05","0","0","0","0","        212.50"
"NTPC","30-Sep-2009","29-Oct-2009","213.25","214.6","211.3","214","214.25","214","1843","6383.09","11137750","-381875","        213.75"
"NTPC","30-Sep-2009","26-Nov-2009","212.55","214.9","212.1","214.15","213.75","214.15","24","83.24","58500","17875","        213.75"
"NTPC","30-Sep-2009","31-Dec-2009","0","0","0","215.1","0","216.3","0","0","0","0","        213.75"
"NTPC","01-Oct-2009","29-Oct-2009","212.9","214.5","209.05","210.45","210.4","210.45","3004","10272.64","12257375","1119625","        210.50"
"NTPC","01-Oct-2009","26-Nov-2009","213.4","213.4","209.7","210.75","210.8","210.75","43","147.54","99125","40625","        210.50"
"NTPC","01-Oct-2009","31-Dec-2009","0","0","0","215.1","0","212.95","0","0","0","0","        210.50"
"NTPC","05-Oct-2009","29-Oct-2009","209.1","209.9","207.9","209.15","209.25","209.15","1407","4776.17","11938875","-318500","        209.05"
"NTPC","05-Oct-2009","26-Nov-2009","213.85","213.85","209","209.4","209.5","209.4","29","98.83","115375","16250","        209.05"
"NTPC","05-Oct-2009","31-Dec-2009","0","0","0","215.1","0","211.35","0","0","0","0","        209.05"
"NTPC","06-Oct-2009","29-Oct-2009","210.4","210.55","205.1","209.7","209.8","209.7","1624","5506.08","11847875","-91000","        208.75"
"NTPC","06-Oct-2009","26-Nov-2009","209","210.8","206","209.9","210","209.9","42","142.17","139750","24375","        208.75"
"NTPC","06-Oct-2009","31-Dec-2009","0","0","0","215.1","0","211","0","0","0","0","        208.75"
"NTPC","07-Oct-2009","29-Oct-2009","210.5","211.3","208.3","208.95","209","208.95","1570","5346.91","11810500","-37375","        209.00"
"NTPC","07-Oct-2009","26-Nov-2009","210.25","211","209.1","209.1","209.1","209.1","19","64.84","143000","3250","        209.00"
"NTPC","07-Oct-2009","31-Dec-2009","0","0","0","215.1","0","211.25","0","0","0","0","        209.00"
"NTPC","08-Oct-2009","29-Oct-2009","210.4","213.2","210.15","212","211.4","212","2342","8065.07","11860875","50375","        211.90"
"NTPC","08-Oct-2009","26-Nov-2009","211.85","213.5","211.25","212.05","211.7","212.05","37","127.67","143000","0","        211.90"
"NTPC","08-Oct-2009","31-Dec-2009","0","0","0","215.1","0","214.2","0","0","0","0","        211.90"
"NTPC","09-Oct-2009","29-Oct-2009","212.3","212.3","209.1","209.75","209.7","209.75","1095","3747.2","11787750","-73125","        209.95"
"NTPC","09-Oct-2009","26-Nov-2009","211","212.5","209.9","210.2","210","210.2","41","140.53","183625","40625","        209.95"
"NTPC","09-Oct-2009","31-Dec-2009","211","211","211","211","211","211","1","3.43","1625","1625","        209.95"
"NTPC","12-Oct-2009","29-Oct-2009","208.6","213.7","208.55","211.2","210.6","211.2","1792","6163.56","12374375","586625","        210.40"
"NTPC","12-Oct-2009","26-Nov-2009","210","213.85","210","211.35","210.9","211.35","38","130.79","199875","16250","        210.40"
"NTPC","12-Oct-2009","31-Dec-2009","0","0","0","211","211","212.5","0","0","1625","0","        210.40"
"NTPC","14-Oct-2009","29-Oct-2009","211.8","216.7","211.35","215.2","214.8","215.2","3929","13702.81","13549250","1174875","        214.40"
"NTPC","14-Oct-2009","26-Nov-2009","212.4","216.9","212.4","215.4","215.1","215.4","195","681.87","354250","154375","        214.40"
"NTPC","14-Oct-2009","31-Dec-2009","0","0","0","211","211","216.5","0","0","1625","0","        214.40"
"NTPC","15-Oct-2009","29-Oct-2009","218","220.65","215.4","217.35","217.9","217.35","4602","16321.88","13864500","315250","        216.95"
"NTPC","15-Oct-2009","26-Nov-2009","216.9","220.6","215.7","217.7","217.75","217.7","150","532.42","429000","74750","        216.95"
"NTPC","15-Oct-2009","31-Dec-2009","0","0","0","211","211","219","0","0","1625","0","        216.95"
"NTPC","16-Oct-2009","29-Oct-2009","218","219.5","214.25","215.7","215.6","215.7","1841","6491.83","13931125","66625","        214.95"
"NTPC","16-Oct-2009","26-Nov-2009","219.3","219.9","214.8","216","215.85","216","166","584.43","570375","141375","        214.95"
"NTPC","16-Oct-2009","31-Dec-2009","0","0","0","211","211","217.05","0","0","1625","0","        214.95"
"NTPC","17-Oct-2009","29-Oct-2009","215","216","213.1","214.05","213.4","214.05","552","1923.48","13856375","-74750","        213.60"
"NTPC","17-Oct-2009","26-Nov-2009","215.65","215.65","214","214.55","214","214.55","38","132.61","588250","17875","        213.60"
"NTPC","17-Oct-2009","31-Dec-2009","0","0","0","211","211","215.65","0","0","1625","0","        213.60"
"NTPC","20-Oct-2009","29-Oct-2009","219.2","219.7","214.8","215.8","215.7","215.8","5558","19568.57","12939875","-916500","        216.00"
"NTPC","20-Oct-2009","26-Nov-2009","219","219.95","215.5","216.1","216.1","216.1","1846","6484.27","2809625","2221375","        216.00"
"NTPC","20-Oct-2009","31-Dec-2009","216","216.5","215.5","216.5","216.5","216.5","7","24.59","8125","6500","        216.00"
"NTPC","21-Oct-2009","29-Oct-2009","213.5","218.25","213.5","216.15","216.15","216.15","4476","15724.16","11087375","-1852500","        216.20"
"NTPC","21-Oct-2009","26-Nov-2009","216.5","218.3","215.25","216.4","216.5","216.4","2704","9486.37","6277375","3467750","        216.20"
"NTPC","21-Oct-2009","31-Dec-2009","216.7","216.7","216.7","216.7","216.7","218.15","1","3.52","8125","0","        216.20"
"NTPC","22-Oct-2009","29-Oct-2009","216.35","216.7","212.65","213.2","213.25","213.2","1879","6547.23","10851750","-235625","        212.85"
"NTPC","22-Oct-2009","26-Nov-2009","216.6","216.6","213.2","213.55","213.8","213.55","486","1697.86","6306625","29250","        212.85"
"NTPC","22-Oct-2009","31-Dec-2009","215","215","214.3","214.3","214.3","214.75","2","6.98","9750","1625","        212.85"
"NTPC","23-Oct-2009","29-Oct-2009","214.8","216.7","212.5","214.4","214.7","214.4","4877","17009.06","9080500","-1771250","        214.85"
"NTPC","23-Oct-2009","26-Nov-2009","215.9","216.9","213","214.3","214.5","214.3","2684","9362.38","8887125","2580500","        214.85"
"NTPC","23-Oct-2009","31-Dec-2009","217","217","213.9","213.9","213.9","216.7","4","14","13000","3250","        214.85"
"NTPC","26-Oct-2009","29-Oct-2009","214.75","220.25","213.3","217.1","216.85","217.1","3483","12310.43","7821125","-1259375","        216.95"
"NTPC","26-Oct-2009","26-Nov-2009","213.7","220.4","213.45","217.2","216.7","217.2","1224","4325.09","9317750","430625","        216.95"
"NTPC","26-Oct-2009","31-Dec-2009","218.2","220","217.5","217.5","217.5","217.5","5","17.79","8125","-4875","        216.95"
"NTPC","27-Oct-2009","29-Oct-2009","215.9","219.25","215","217.3","217","217.3","2535","8951.2","7013500","-807625","        217.50"
"NTPC","27-Oct-2009","26-Nov-2009","216","219.3","215.15","217.4","216.9","217.4","1538","5433.83","9481875","164125","        217.50"
"NTPC","27-Oct-2009","31-Dec-2009","217.5","218.5","217.5","217.55","217.55","219.3","5","17.71","9750","1625","        217.50"
"NTPC","28-Oct-2009","29-Oct-2009","216.9","218.5","213.05","213.55","213.5","213.55","3397","11914.04","4158375","-2855125","        213.55"
"NTPC","28-Oct-2009","26-Nov-2009","217","218.65","213.5","214.2","214.2","214.2","2746","9641.33","10806250","1324375","        213.55"
"NTPC","28-Oct-2009","31-Dec-2009","218.4","218.4","214.75","214.75","214.75","215.25","4","14.08","14625","4875","        213.55"
"NTPC","29-Oct-2009","29-Oct-2009","211.9","212.85","207.85","208.2","208.2","208.15","2841","9732.62","2346500","-1811875","        208.15"
"NTPC","29-Oct-2009","26-Nov-2009","212.9","213","207.2","209.35","207.8","209.35","3791","12994.57","14033500","3227250","        208.15"
"NTPC","29-Oct-2009","31-Dec-2009","212.1","213.85","208","210.35","208","210.35","18","61.74","35750","21125","        208.15"
"NTPC","30-Oct-2009","26-Nov-2009","210.4","213","209","211.9","210.6","211.9","2413","8287.96","13242125","-791375","        212.40"
"NTPC","30-Oct-2009","31-Dec-2009","209.7","213.05","209.7","212.5","213","212.5","51","175.54","82875","47125","        212.40"
"NTPC","30-Oct-2009","28-Jan-2010","0","0","0","210.55","0","214.8","0","0","0","0","        212.40"
