"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ONGC","03-Nov-2003","27-Nov-2003","607","618.25","603","614.45","617.1","614.45","2207","8078.37","2436000","30600","        609.45"
"ONGC","03-Nov-2003","24-Dec-2003","0","0","0","605","605","613.8","0","0","1800","0","        609.45"
"ONGC","03-Nov-2003","29-Jan-2004","0","0","0","580.45","0","616.9","0","0","0","0","        609.45"
"ONGC","04-Nov-2003","27-Nov-2003","619.9","637","604","632.55","636","632.55","5331","19956.01","2494200","58200","        625.70"
"ONGC","04-Nov-2003","24-Dec-2003","0","0","0","605","605","630.15","0","0","1800","0","        625.70"
"ONGC","04-Nov-2003","29-Jan-2004","0","0","0","580.45","0","633.35","0","0","0","0","        625.70"
"ONGC","05-Nov-2003","27-Nov-2003","637.9","656.5","632","644.75","645.15","644.75","5557","21523.18","2445600","-48600","        638.90"
"ONGC","05-Nov-2003","24-Dec-2003","640","640.05","640","640","640","643.35","3","11.52","2400","600","        638.90"
"ONGC","05-Nov-2003","29-Jan-2004","0","0","0","580.45","0","646.6","0","0","0","0","        638.90"
"ONGC","06-Nov-2003","27-Nov-2003","652.9","655","637","642.1","640","642.1","2756","10671.45","2394000","-51600","        639.70"
"ONGC","06-Nov-2003","24-Dec-2003","645","645","645","645","645","643.95","2","7.74","3600","1200","        639.70"
"ONGC","06-Nov-2003","29-Jan-2004","0","0","0","580.45","0","647.1","0","0","0","0","        639.70"
"ONGC","07-Nov-2003","27-Nov-2003","646","654","637","644.9","646.25","644.9","3337","12942.75","2364600","-29400","        640.30"
"ONGC","07-Nov-2003","24-Dec-2003","640","662","640","649","648","649","24","93.69","6600","3000","        640.30"
"ONGC","07-Nov-2003","29-Jan-2004","0","0","0","580.45","0","647.6","0","0","0","0","        640.30"
"ONGC","10-Nov-2003","27-Nov-2003","645","669","641","666.4","666.75","666.4","3063","12122.66","2441400","76800","        658.90"
"ONGC","10-Nov-2003","24-Dec-2003","558","660","558","656.05","656.05","662.9","4","15.18","6600","0","        658.90"
"ONGC","10-Nov-2003","29-Jan-2004","0","0","0","580.45","0","666.2","0","0","0","0","        658.90"
