"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ONGC","03-Sep-2018","27-Sep-2018","179.05","179.65","176.1","176.7","176.75","176.7","2288","15277.29","44797500","56250","        177.30"
"ONGC","03-Sep-2018","25-Oct-2018","178.6","180","177.45","177.65","177.5","177.65","26","174.4","285000","37500","        177.30"
"ONGC","03-Sep-2018","29-Nov-2018","178.8","178.8","176.3","176.35","176.35","176.35","11","73.51","45000","37500","        177.30"
"ONGC","04-Sep-2018","27-Sep-2018","176.3","177.35","173.55","174.05","174.05","174.05","2503","16475.6","45011250","213750","        174.35"
"ONGC","04-Sep-2018","25-Oct-2018","176.5","177.5","174.3","174.8","174.85","174.8","44","290","318750","33750","        174.35"
"ONGC","04-Sep-2018","29-Nov-2018","175.5","175.5","174.2","174.2","174.2","177.45","5","32.82","48750","3750","        174.35"
"ONGC","05-Sep-2018","27-Sep-2018","173.8","174","170.35","173.1","173","173.1","2503","16160.21","45555000","543750","        173.70"
"ONGC","05-Sep-2018","25-Oct-2018","173.95","174.8","170.95","173.9","174.8","173.9","67","434.37","311250","-7500","        173.70"
"ONGC","05-Sep-2018","29-Nov-2018","171.6","172.55","171","172.1","172.1","176.75","10","64.34","78750","30000","        173.70"
"ONGC","06-Sep-2018","27-Sep-2018","172.55","175.15","170.15","174.05","173.1","174.05","3061","19787.02","46293750","738750","        174.50"
"ONGC","06-Sep-2018","25-Oct-2018","172.7","175.9","170.95","174.55","173.75","174.55","68","440.86","393750","82500","        174.50"
"ONGC","06-Sep-2018","29-Nov-2018","172.85","173.1","170.3","171.5","171.5","177.5","34","218.91","138750","60000","        174.50"
"ONGC","07-Sep-2018","27-Sep-2018","173.95","173.95","170.25","171.6","171.65","171.6","3116","20071.37","47490000","1196250","        171.90"
"ONGC","07-Sep-2018","25-Oct-2018","172.85","174.1","171.45","172.35","172.45","172.35","65","420.48","438750","45000","        171.90"
"ONGC","07-Sep-2018","29-Nov-2018","172","172","170.3","171.6","171.6","171.6","23","147.62","176250","37500","        171.90"
"ONGC","10-Sep-2018","27-Sep-2018","169.8","170.5","167.65","168.35","168.15","168.35","2226","14110.65","48206250","716250","        168.65"
"ONGC","10-Sep-2018","25-Oct-2018","170.85","171","168.9","169.15","169.3","169.15","58","369.35","461250","22500","        168.65"
