"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"POWERGRID","01-Jul-2010","29-Jul-2010","103.25","103.7","102.6","103.4","103.65","103.4","948","1955.78","9098000","204000","        103.25"
"POWERGRID","01-Jul-2010","26-Aug-2010","103.2","103.25","102.3","103","103.15","103","226","464.08","1142000","346000","        103.25"
"POWERGRID","01-Jul-2010","30-Sep-2010","0","0","0","102.1","102.1","104.95","0","0","8000","0","        103.25"
"POWERGRID","02-Jul-2010","29-Jul-2010","103.4","104.5","103.4","103.95","104","103.95","1061","2206.99","9112000","14000","        103.55"
"POWERGRID","02-Jul-2010","26-Aug-2010","103.3","104","103.3","103.5","103.3","103.5","80","165.73","1228000","86000","        103.55"
"POWERGRID","02-Jul-2010","30-Sep-2010","0","0","0","102.1","102.1","105.25","0","0","8000","0","        103.55"
"POWERGRID","05-Jul-2010","29-Jul-2010","103.1","103.1","101.7","102.5","102.45","102.5","681","1395.18","9408000","296000","        102.10"
"POWERGRID","05-Jul-2010","26-Aug-2010","101.75","102.45","101.7","102.15","102.15","102.15","62","126.67","1266000","38000","        102.10"
"POWERGRID","05-Jul-2010","30-Sep-2010","0","0","0","102.1","102.1","103.7","0","0","8000","0","        102.10"
"POWERGRID","06-Jul-2010","29-Jul-2010","102.1","102.75","102.1","102.65","102.6","102.65","660","1353.7","9424000","16000","        102.05"
"POWERGRID","06-Jul-2010","26-Aug-2010","101.95","102.45","101.95","102.35","102.35","102.35","172","351.56","1548000","282000","        102.05"
"POWERGRID","06-Jul-2010","30-Sep-2010","0","0","0","102.1","102.1","103.6","0","0","8000","0","        102.05"
"POWERGRID","07-Jul-2010","29-Jul-2010","103.1","104.55","102.7","102.85","102.9","102.85","1789","3706","9578000","154000","        102.70"
"POWERGRID","07-Jul-2010","26-Aug-2010","105.3","105.3","102.4","102.55","102.5","102.55","101","208.34","1616000","68000","        102.70"
"POWERGRID","07-Jul-2010","30-Sep-2010","103.4","103.4","102.75","102.75","102.75","104.25","3","6.19","14000","6000","        102.70"
"POWERGRID","08-Jul-2010","29-Jul-2010","103.5","103.7","102.35","102.5","102.5","102.5","842","1733.79","9806000","228000","        102.00"
"POWERGRID","08-Jul-2010","26-Aug-2010","103.25","103.25","102.1","102.2","102.15","102.2","100","205.17","1762000","146000","        102.00"
"POWERGRID","08-Jul-2010","30-Sep-2010","102.5","102.5","102.5","102.5","102.5","103.5","1","2.05","12000","-2000","        102.00"
"POWERGRID","09-Jul-2010","29-Jul-2010","102.8","102.95","102.2","102.4","102.35","102.4","912","1871.14","10164000","358000","        101.95"
"POWERGRID","09-Jul-2010","26-Aug-2010","102.4","102.55","102","102.15","102","102.15","140","286.37","1910000","148000","        101.95"
"POWERGRID","09-Jul-2010","30-Sep-2010","0","0","0","102.5","102.5","103.5","0","0","12000","0","        101.95"
"POWERGRID","12-Jul-2010","29-Jul-2010","102.6","102.8","101.15","101.65","101.65","101.65","1485","3027.11","11228000","1064000","        100.95"
"POWERGRID","12-Jul-2010","26-Aug-2010","102.6","102.6","101.05","101.3","101.3","101.3","195","396.21","2134000","224000","        100.95"
"POWERGRID","12-Jul-2010","30-Sep-2010","102.5","102.5","101","101.5","101.5","101.5","5","10.16","20000","8000","        100.95"
"POWERGRID","13-Jul-2010","29-Jul-2010","101.4","101.85","100.95","101.65","101.7","101.65","1093","2218.55","11660000","432000","        101.00"
"POWERGRID","13-Jul-2010","26-Aug-2010","101.25","101.6","100.8","101.4","101.45","101.4","214","433.17","2420000","286000","        101.00"
"POWERGRID","13-Jul-2010","30-Sep-2010","101.6","101.6","100.95","101.4","101.4","101.4","12","24.27","40000","20000","        101.00"
"POWERGRID","14-Jul-2010","29-Jul-2010","101.95","102.4","101.05","101.25","101.15","101.25","1226","2496.73","11958000","298000","        100.70"
"POWERGRID","14-Jul-2010","26-Aug-2010","101.5","102.15","100.8","101","101.1","101","344","699.73","2926000","506000","        100.70"
"POWERGRID","14-Jul-2010","30-Sep-2010","101.5","101.85","101.5","101.85","101.85","102.15","2","4.07","42000","2000","        100.70"
"POWERGRID","15-Jul-2010","29-Jul-2010","101.25","102","101.1","101.25","101.15","101.25","776","1574.75","11922000","-36000","        100.75"
"POWERGRID","15-Jul-2010","26-Aug-2010","101.45","101.7","100.9","100.95","100.9","100.95","115","232.7","3108000","182000","        100.75"
"POWERGRID","15-Jul-2010","30-Sep-2010","101.3","101.3","101","101.2","101.2","102.15","4","8.09","50000","8000","        100.75"
"POWERGRID","16-Jul-2010","29-Jul-2010","101.15","101.2","100.25","100.75","100.9","100.75","874","1759.78","12192000","270000","        100.35"
"POWERGRID","16-Jul-2010","26-Aug-2010","100.9","101.25","99.9","100.45","100.55","100.45","323","647.96","3504000","396000","        100.35"
"POWERGRID","16-Jul-2010","30-Sep-2010","100","100.35","100","100.35","100.35","100.35","5","10.02","60000","10000","        100.35"
"POWERGRID","19-Jul-2010","29-Jul-2010","100.45","101.65","99.5","100.55","100.6","100.55","2023","4068.56","12316000","124000","        100.05"
"POWERGRID","19-Jul-2010","26-Aug-2010","100.2","101.15","99","100.2","100.2","100.2","787","1570.74","4234000","730000","        100.05"
"POWERGRID","19-Jul-2010","30-Sep-2010","99","100.85","99","99.8","99.8","99.8","27","53.67","88000","28000","        100.05"
"POWERGRID","20-Jul-2010","29-Jul-2010","101","101","99.85","100.1","99.85","100.1","1515","3043.51","11904000","-412000","         99.85"
"POWERGRID","20-Jul-2010","26-Aug-2010","100.4","100.55","99.6","99.75","99.6","99.75","993","1986.03","5356000","1122000","         99.85"
"POWERGRID","20-Jul-2010","30-Sep-2010","100.4","100.4","99.5","99.55","99.55","99.55","7","13.98","102000","14000","         99.85"
"POWERGRID","21-Jul-2010","29-Jul-2010","100.15","100.7","99.8","100.05","100","100.05","1176","2356.5","12224000","320000","         99.90"
"POWERGRID","21-Jul-2010","26-Aug-2010","100.65","100.65","99.75","99.9","99.85","99.9","458","916.56","5728000","372000","         99.90"
"POWERGRID","21-Jul-2010","30-Sep-2010","100.1","100.1","99.7","99.85","99.85","99.85","5","9.99","108000","6000","         99.90"
"POWERGRID","22-Jul-2010","29-Jul-2010","100.3","102.6","100.2","101.7","101.55","101.7","4780","9683.65","9914000","-2310000","        101.45"
"POWERGRID","22-Jul-2010","26-Aug-2010","100","102.25","100","101.5","101.4","101.5","2271","4572.17","6252000","524000","        101.45"
"POWERGRID","22-Jul-2010","30-Sep-2010","100.75","101.95","100.75","101","101","102.75","14","28.35","128000","20000","        101.45"
"POWERGRID","23-Jul-2010","29-Jul-2010","102","102.1","100.85","101.05","100.9","101.05","2271","4603.41","8328000","-1586000","        101.00"
"POWERGRID","23-Jul-2010","26-Aug-2010","101.95","101.95","100.45","100.7","100.6","100.7","1875","3787.75","7784000","1532000","        101.00"
"POWERGRID","23-Jul-2010","30-Sep-2010","102.35","102.35","100.35","101","101","102.25","8","16.15","140000","12000","        101.00"
"POWERGRID","26-Jul-2010","29-Jul-2010","100.75","101.2","100.4","100.9","100.85","100.9","1818","3663.31","7116000","-1212000","        101.00"
"POWERGRID","26-Jul-2010","26-Aug-2010","100.6","100.95","100.05","100.55","100.6","100.55","1528","3067.45","8794000","1010000","        101.00"
"POWERGRID","26-Jul-2010","30-Sep-2010","100.3","100.6","100","100.45","100.45","102.2","9","18.04","144000","4000","        101.00"
"POWERGRID","27-Jul-2010","29-Jul-2010","100.65","101.65","100.45","101","101.1","101","2267","4578.73","6020000","-1096000","        101.15"
"POWERGRID","27-Jul-2010","26-Aug-2010","100.45","101.3","100.2","100.8","100.75","100.8","2067","4158.81","9694000","900000","        101.15"
"POWERGRID","27-Jul-2010","30-Sep-2010","100.1","100.45","100.1","100.45","100.45","102.35","2","4.01","146000","2000","        101.15"
"POWERGRID","28-Jul-2010","29-Jul-2010","101.6","102.25","100.6","101","100.9","101","1961","3986.36","4178000","-1842000","        101.25"
"POWERGRID","28-Jul-2010","26-Aug-2010","101.4","101.8","100.4","100.7","100.65","100.7","1735","3515.54","10764000","1070000","        101.25"
"POWERGRID","28-Jul-2010","30-Sep-2010","101.25","101.6","101","101","101","102.45","41","83.05","196000","50000","        101.25"
"POWERGRID","29-Jul-2010","29-Jul-2010","101.1","102.35","100.25","100.35","100.35","100.35","3112","6296.17","1628000","-2550000","        100.35"
"POWERGRID","29-Jul-2010","26-Aug-2010","100.9","101.3","100.1","100.4","100.2","100.4","3115","6269.75","12156000","1392000","        100.35"
"POWERGRID","29-Jul-2010","30-Sep-2010","100.95","101.15","100","100.05","100","100.05","18","36.19","224000","28000","        100.35"
"POWERGRID","30-Jul-2010","26-Aug-2010","100.5","100.75","99.9","100.05","100.05","100.05","844","1693.24","12298000","142000","        100.40"
"POWERGRID","30-Jul-2010","30-Sep-2010","100.5","100.5","99.75","99.9","99.75","99.9","100","200.51","392000","168000","        100.40"
"POWERGRID","30-Jul-2010","28-Oct-2010","100.2","100.2","100","100","100","102.05","3","6.01","6000","6000","        100.40"
"POWERGRID","02-Aug-2010","26-Aug-2010","100.6","100.75","100","100.15","100.15","100.15","718","1439.15","12594000","296000","        100.55"
"POWERGRID","02-Aug-2010","30-Sep-2010","100.5","100.5","99.7","99.8","99.85","99.8","149","298.03","620000","228000","        100.55"
"POWERGRID","02-Aug-2010","28-Oct-2010","99.8","99.9","99.75","99.75","99.75","99.75","5","9.98","16000","10000","        100.55"
"POWERGRID","03-Aug-2010","26-Aug-2010","100.05","100.4","99.4","99.5","99.45","99.5","859","1714.74","12766000","172000","         99.90"
"POWERGRID","03-Aug-2010","30-Sep-2010","99.85","100","99.1","99.15","99.1","99.15","114","227.1","806000","186000","         99.90"
