"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"POWERGRID","03-Nov-2008","27-Nov-2008","73.8","73.85","69.15","72.25","72.7","72.25","1934","2651.38","11176550","186725","         72.00"
"POWERGRID","03-Nov-2008","25-Dec-2008","70.8","72.45","70.4","72.45","72.4","72.45","10","13.71","78925","9625","         72.00"
"POWERGRID","03-Nov-2008","29-Jan-2009","0","0","0","67.7","0","74.1","0","0","0","0","         72.00"
"POWERGRID","04-Nov-2008","27-Nov-2008","71","76.15","70.8","75.55","76.15","75.55","2196","3078.54","11755975","579425","         75.15"
"POWERGRID","04-Nov-2008","25-Dec-2008","71.45","76","71.45","75","76","75","17","24.18","78925","0","         75.15"
"POWERGRID","04-Nov-2008","29-Jan-2009","0","0","0","67.7","0","77.3","0","0","0","0","         75.15"
"POWERGRID","05-Nov-2008","27-Nov-2008","77.3","79.15","71.05","72.5","71.6","72.5","2465","3547.69","11721325","-34650","         72.40"
"POWERGRID","05-Nov-2008","25-Dec-2008","76","76.4","71.5","72.9","71.5","72.9","35","50.21","92400","13475","         72.40"
"POWERGRID","05-Nov-2008","29-Jan-2009","0","0","0","67.7","0","74.45","0","0","0","0","         72.40"
"POWERGRID","06-Nov-2008","27-Nov-2008","70.1","74.95","68.7","69.95","70.3","69.95","2335","3187.9","11344025","-377300","         70.00"
"POWERGRID","06-Nov-2008","25-Dec-2008","69.65","74.95","68.95","69.85","70.05","69.85","42","57.5","111650","19250","         70.00"
"POWERGRID","06-Nov-2008","29-Jan-2009","71.45","71.45","71.45","71.45","71.45","71.95","1","1.38","1925","1925","         70.00"
"POWERGRID","07-Nov-2008","27-Nov-2008","70.7","77.75","69.3","75.6","77.5","75.6","2768","3882.25","12185250","841225","         75.45"
"POWERGRID","07-Nov-2008","25-Dec-2008","71.75","75.45","69.25","75.45","75.45","75.45","36","49.42","144375","32725","         75.45"
"POWERGRID","07-Nov-2008","29-Jan-2009","76","76","76","76","76","76","1","1.46","1925","0","         75.45"
"POWERGRID","10-Nov-2008","27-Nov-2008","77.5","78.45","75.65","77.7","77.75","77.7","1548","2305.97","12818575","633325","         77.15"
"POWERGRID","10-Nov-2008","25-Dec-2008","76.8","78.4","76","76.9","76.9","78.25","18","26.77","152075","7700","         77.15"
"POWERGRID","10-Nov-2008","29-Jan-2009","80","80","78","78","78","79.15","2","3.04","5775","3850","         77.15"
"POWERGRID","11-Nov-2008","27-Nov-2008","76.5","79.75","74.35","76","75.3","76","3565","5294.3","11700150","-1118425","         76.25"
"POWERGRID","11-Nov-2008","25-Dec-2008","79.25","79.8","74.7","76.3","75.5","76.3","47","69.79","192500","40425","         76.25"
"POWERGRID","11-Nov-2008","29-Jan-2009","80.45","80.45","80.45","80.45","80.45","78.2","1","1.55","7700","1925","         76.25"
"POWERGRID","12-Nov-2008","27-Nov-2008","75.9","77.4","72.2","73.2","72.7","73.2","2930","4224.9","11586575","-113575","         73.05"
"POWERGRID","12-Nov-2008","25-Dec-2008","75","77.2","72.5","73.25","73","73.25","32","46.2","209825","17325","         73.05"
"POWERGRID","12-Nov-2008","29-Jan-2009","73","73","73","73","73","74.9","1","1.41","5775","-1925","         73.05"
"POWERGRID","14-Nov-2008","27-Nov-2008","73.9","75.5","71.25","72.6","73.1","72.6","2662","3747.52","12214125","627550","         72.80"
"POWERGRID","14-Nov-2008","25-Dec-2008","73.3","75","71.3","72.8","72.7","72.8","94","131.5","321475","111650","         72.80"
"POWERGRID","14-Nov-2008","29-Jan-2009","0","0","0","73","73","74.6","0","0","5775","0","         72.80"
"POWERGRID","17-Nov-2008","27-Nov-2008","74.9","77.1","68.5","75.7","75.15","75.7","3047","4265.68","13411475","1197350","         75.80"
"POWERGRID","17-Nov-2008","25-Dec-2008","73.4","77","68.55","75.65","74.9","75.65","162","222.09","504350","182875","         75.80"
"POWERGRID","17-Nov-2008","29-Jan-2009","70.05","70.05","70.05","70.05","70.05","77.55","1","1.35","5775","0","         75.80"
"POWERGRID","18-Nov-2008","27-Nov-2008","74","74","69.6","70.9","71","70.9","2967","4087.42","12581800","-829675","         71.70"
"POWERGRID","18-Nov-2008","25-Dec-2008","74.05","74.05","69.75","70.8","70.8","70.8","320","441.19","935550","431200","         71.70"
"POWERGRID","18-Nov-2008","29-Jan-2009","69.6","69.6","69.6","69.6","69.6","73.4","1","1.34","5775","0","         71.70"
"POWERGRID","19-Nov-2008","27-Nov-2008","69.15","74.5","68.7","69.85","69","69.85","2686","3721.4","12743500","161700","         69.95"
"POWERGRID","19-Nov-2008","25-Dec-2008","71.35","73.75","69","69.6","69","69.6","167","231.36","1124200","188650","         69.95"
"POWERGRID","19-Nov-2008","29-Jan-2009","72.6","72.6","70.25","70.25","70.25","70.25","2","2.75","7700","1925","         69.95"
"POWERGRID","20-Nov-2008","27-Nov-2008","66.85","69.95","65.8","68.65","69.1","68.65","2255","2937.93","12356575","-386925","         69.20"
"POWERGRID","20-Nov-2008","25-Dec-2008","67.5","69.5","65.7","68.6","69","68.6","334","434.21","1437975","313775","         69.20"
"POWERGRID","20-Nov-2008","29-Jan-2009","67.5","69.3","67.5","69.3","69.3","69.3","4","5.25","11550","3850","         69.20"
"POWERGRID","21-Nov-2008","27-Nov-2008","69","76.45","67.05","74","75.8","74","3872","5282.61","13388375","1031800","         73.60"
"POWERGRID","21-Nov-2008","25-Dec-2008","78","78","67.05","74.1","75.85","74.1","598","814.83","1905750","467775","         73.60"
"POWERGRID","21-Nov-2008","29-Jan-2009","69","69.9","68.6","68.6","68.6","75.2","3","3.99","15400","3850","         73.60"
"POWERGRID","24-Nov-2008","27-Nov-2008","73.8","76.9","71.6","75.65","75.15","75.65","2736","3909.62","12739650","-648725","         75.45"
"POWERGRID","24-Nov-2008","25-Dec-2008","73.8","77.5","72.1","76.05","75.75","76.05","1217","1742.92","2814350","908600","         75.45"
"POWERGRID","24-Nov-2008","29-Jan-2009","72.5","76.8","72.5","76.8","76.8","76.8","4","5.73","17325","1925","         75.45"
"POWERGRID","25-Nov-2008","27-Nov-2008","77.5","77.5","73.3","73.9","73.35","73.9","5426","7919.85","8198575","-4541075","         73.60"
"POWERGRID","25-Nov-2008","25-Dec-2008","77.25","77.25","72.35","72.8","72.65","72.8","4506","6515.46","7794325","4979975","         73.60"
"POWERGRID","25-Nov-2008","29-Jan-2009","76.5","76.5","72.7","72.8","72.7","72.8","18","25.88","40425","23100","         73.60"
"POWERGRID","26-Nov-2008","27-Nov-2008","74.5","76.9","73.1","75.7","75","75.7","2435","3488.11","7066675","-1131900","         75.25"
"POWERGRID","26-Nov-2008","25-Dec-2008","73.6","76.75","72.85","75.8","74.75","75.8","2701","3853.18","8939700","1145375","         75.25"
"POWERGRID","26-Nov-2008","29-Jan-2009","73.7","76","73.5","75.95","75.95","76.65","11","15.89","53900","13475","         75.25"
"POWERGRID","28-Nov-2008","27-Nov-2008","73.3","75.6","70.95","73.7","74.05","74.05","3821","5377.98","5305300","-1761375","         74.05"
"POWERGRID","28-Nov-2008","25-Dec-2008","74.2","75.9","71.4","74.65","75.55","74.65","3365","4773.75","11975425","3035725","         74.05"
"POWERGRID","28-Nov-2008","29-Jan-2009","73.15","75.4","72.7","74.8","75.4","74.8","7","9.95","53900","0","         74.05"
"POWERGRID","01-Dec-2008","25-Dec-2008","75.9","77.2","73.05","73.4","73.25","73.4","2611","3781.03","11705925","-269500","         73.45"
"POWERGRID","01-Dec-2008","29-Jan-2009","76.75","76.85","74.05","74.1","74.1","74.7","26","37.79","73150","19250","         73.45"
"POWERGRID","01-Dec-2008","26-Feb-2009","0","0","0","76","0","75.3","0","0","0","0","         73.45"
"POWERGRID","02-Dec-2008","25-Dec-2008","71.55","73.05","70.25","72.25","72.8","72.25","2871","3958.81","11653950","-51975","         72.80"
"POWERGRID","02-Dec-2008","29-Jan-2009","71.7","72.6","70.6","72.5","72.5","74.05","57","78.69","148225","75075","         72.80"
"POWERGRID","02-Dec-2008","26-Feb-2009","0","0","0","76","0","74.65","0","0","0","0","         72.80"
"POWERGRID","03-Dec-2008","25-Dec-2008","73.2","74.8","70.65","74.05","73.55","74.05","2734","3804.6","12158300","504350","         75.00"
"POWERGRID","03-Dec-2008","29-Jan-2009","71","74","70.9","73.55","73.05","73.55","186","257.63","340725","192500","         75.00"
"POWERGRID","03-Dec-2008","26-Feb-2009","0","0","0","76","0","76.85","0","0","0","0","         75.00"
"POWERGRID","04-Dec-2008","25-Dec-2008","73.6","78.8","73","78.35","78.55","78.35","2183","3185.06","12672275","513975","         78.60"
"POWERGRID","04-Dec-2008","29-Jan-2009","73.3","78.05","72.95","77.8","77.55","77.8","33","47.52","350350","9625","         78.60"
"POWERGRID","04-Dec-2008","26-Feb-2009","0","0","0","76","0","80.45","0","0","0","0","         78.60"
"POWERGRID","05-Dec-2008","25-Dec-2008","77.9","81.25","77.2","77.55","77.35","77.55","2723","4138.33","13016850","344575","         77.65"
"POWERGRID","05-Dec-2008","29-Jan-2009","79","80.9","76.7","77.35","77.05","77.35","54","81.96","369600","19250","         77.65"
"POWERGRID","05-Dec-2008","26-Feb-2009","0","0","0","76","0","79.45","0","0","0","0","         77.65"
"POWERGRID","08-Dec-2008","25-Dec-2008","80.5","81.25","74.55","78.05","78.25","78.05","4499","6775.06","15132425","2115575","         77.85"
"POWERGRID","08-Dec-2008","29-Jan-2009","80.45","80.45","74.75","77.8","78.2","77.8","67","99.7","394625","25025","         77.85"
"POWERGRID","08-Dec-2008","26-Feb-2009","0","0","0","76","0","79.55","0","0","0","0","         77.85"
"POWERGRID","10-Dec-2008","25-Dec-2008","79.4","80.4","75.85","77.05","77","77.05","3821","5697","16930375","1797950","         76.60"
"POWERGRID","10-Dec-2008","29-Jan-2009","79","79","75.65","77","76.8","77","121","179.82","519750","125125","         76.60"
"POWERGRID","10-Dec-2008","26-Feb-2009","76","77.65","76","77.65","77.65","77.65","3","4.42","1925","1925","         76.60"
"POWERGRID","11-Dec-2008","25-Dec-2008","77.25","77.4","74.85","76.15","76.3","76.15","2294","3356.07","17068975","138600","         75.75"
"POWERGRID","11-Dec-2008","29-Jan-2009","76","76.5","74.8","75.9","76","75.9","86","125.48","562100","42350","         75.75"
"POWERGRID","11-Dec-2008","26-Feb-2009","0","0","0","77.65","77.65","77.25","0","0","1925","0","         75.75"
"POWERGRID","12-Dec-2008","25-Dec-2008","74","74.15","72.05","73.65","73.7","73.65","2681","3771.6","17240300","171325","         73.40"
"POWERGRID","12-Dec-2008","29-Jan-2009","73.85","73.85","72.05","73.45","73.25","73.45","68","95.4","625625","63525","         73.40"
"POWERGRID","12-Dec-2008","26-Feb-2009","0","0","0","77.65","77.65","74.85","0","0","1925","0","         73.40"
"POWERGRID","15-Dec-2008","25-Dec-2008","74","76.65","74","74.95","75","74.95","2484","3593.9","16905350","-334950","         74.60"
"POWERGRID","15-Dec-2008","29-Jan-2009","74.5","76.45","74.3","74.9","74.95","74.9","108","156.09","725725","100100","         74.60"
"POWERGRID","15-Dec-2008","26-Feb-2009","0","0","0","77.65","77.65","76.05","0","0","1925","0","         74.60"
"POWERGRID","16-Dec-2008","25-Dec-2008","74.1","78.7","74.1","77.9","78.5","77.9","3420","5025.63","17571400","666050","         77.45"
"POWERGRID","16-Dec-2008","29-Jan-2009","74.5","78.8","74.05","77.95","78.8","77.95","294","432.01","995225","269500","         77.45"
"POWERGRID","16-Dec-2008","26-Feb-2009","75.55","75.55","75.55","75.55","75.55","78.9","1","1.45","3850","1925","         77.45"
"POWERGRID","17-Dec-2008","25-Dec-2008","78.65","78.8","75.5","77.45","76.95","77.45","4453","6619.07","16031400","-1540000","         77.35"
