"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"POWERGRID","05-Oct-2007","25-Oct-2007","99.7","110.7","99.7","101.55","100.9","101.55","90855","367919.75","57006950","57006950","        100.60"
"POWERGRID","05-Oct-2007","29-Nov-2007","102.5","111.35","101","102.5","101.85","102.5","1116","4546.51","950950","950950","        100.60"
"POWERGRID","05-Oct-2007","27-Dec-2007","109.95","111.95","102.7","103.7","103.2","103.7","76","313.93","161700","161700","        100.60"
"POWERGRID","08-Oct-2007","25-Oct-2007","102.55","104.35","95.05","95.95","95.55","95.95","23927","91040.9","53923100","-3083850","         95.45"
"POWERGRID","08-Oct-2007","29-Nov-2007","104.7","105","95.85","96.8","96.6","96.8","463","1767.76","1112650","161700","         95.45"
"POWERGRID","08-Oct-2007","27-Dec-2007","102.5","103","87.15","97.4","97","97.4","37","140.5","134750","-26950","         95.45"
"POWERGRID","09-Oct-2007","25-Oct-2007","94.15","103.7","90.55","102.7","102.95","102.7","30078","115462.3","60714500","6791400","        101.95"
"POWERGRID","09-Oct-2007","29-Nov-2007","92.6","104.4","91","103.65","103.8","103.65","523","2020.87","1232000","119350","        101.95"
"POWERGRID","09-Oct-2007","27-Dec-2007","97.35","112.6","97.35","104.6","105","104.6","47","187.16","169400","34650","        101.95"
"POWERGRID","10-Oct-2007","25-Oct-2007","104","105.8","102","103.2","102.9","103.2","16848","67539.54","60533550","-180950","        102.90"
"POWERGRID","10-Oct-2007","29-Nov-2007","105","106.7","103.3","104.05","104","104.05","286","1155.37","1309000","77000","        102.90"
"POWERGRID","10-Oct-2007","27-Dec-2007","107.95","107.95","104.25","104.75","104.75","104.7","19","77.74","184800","15400","        102.90"
"POWERGRID","11-Oct-2007","25-Oct-2007","103.45","116.35","102.6","115.3","116","115.3","63592","272821.24","71494500","10960950","        114.40"
"POWERGRID","11-Oct-2007","29-Nov-2007","104","117.25","104","116.15","117.25","116.15","1298","5614.08","1382150","73150","        114.40"
"POWERGRID","11-Oct-2007","27-Dec-2007","105","118","84.4","117","118","117","78","330.96","157850","-26950","        114.40"
"POWERGRID","12-Oct-2007","25-Oct-2007","114.65","118.55","111.95","113.8","114.5","113.8","35028","156491.86","62986000","-8508500","        113.65"
"POWERGRID","12-Oct-2007","29-Nov-2007","114","119.6","113.15","114.75","115.55","114.75","735","3309.86","2052050","669900","        113.65"
"POWERGRID","12-Oct-2007","27-Dec-2007","115.35","119.9","115","115.95","116.75","115.95","51","231.11","180950","23100","        113.65"
"POWERGRID","15-Oct-2007","25-Oct-2007","114.9","117.25","114.9","116.05","116.2","116.05","13548","60682.45","63012950","26950","        115.15"
"POWERGRID","15-Oct-2007","29-Nov-2007","116.25","118.25","116","117","117.15","117","719","3247.37","2937550","885500","        115.15"
"POWERGRID","15-Oct-2007","27-Dec-2007","118","119","117.55","118.45","117.8","118.45","23","104.9","200200","19250","        115.15"
