"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"RELIANCE","01-Mar-2005","31-Mar-2005","560","561.4","547.1","549.85","548.45","549.85","16572","54794.62","14632200","-550800","        547.55"
"RELIANCE","01-Mar-2005","28-Apr-2005","559","559","551.15","554.5","554","554.5","58","192.88","25200","8400","        547.55"
"RELIANCE","01-Mar-2005","26-May-2005","557.35","557.35","557.35","557.35","557.35","555.35","1","3.34","600","600","        547.55"
"RELIANCE","02-Mar-2005","31-Mar-2005","549.5","554.4","547.5","552.4","553.5","552.4","11038","36518.45","15115200","483000","        549.65"
"RELIANCE","02-Mar-2005","28-Apr-2005","555.1","557","548","555.2","554.3","555.2","37","123.11","31200","6000","        549.65"
"RELIANCE","02-Mar-2005","26-May-2005","0","0","0","557.35","557.35","557.35","0","0","600","0","        549.65"
"RELIANCE","03-Mar-2005","31-Mar-2005","554","565.4","553.5","562.4","562.55","562.4","18434","61957.8","15431400","316200","        558.60"
"RELIANCE","03-Mar-2005","28-Apr-2005","558","568","558","565","565","565","70","236.56","30600","-600","        558.60"
"RELIANCE","03-Mar-2005","26-May-2005","0","0","0","557.35","557.35","566.35","0","0","600","0","        558.60"
"RELIANCE","04-Mar-2005","31-Mar-2005","564.6","574.6","561.55","573.05","573.4","573.05","25306","86273.08","14858400","-573000","        572.05"
"RELIANCE","04-Mar-2005","28-Apr-2005","568.6","577.15","566.5","576.3","577","576.3","123","422.68","51600","21000","        572.05"
"RELIANCE","04-Mar-2005","26-May-2005","0","0","0","557.35","557.35","579.95","0","0","600","0","        572.05"
"RELIANCE","07-Mar-2005","31-Mar-2005","576.35","589.45","575","586.25","584.75","586.25","20445","71451.3","14039400","-819000","        586.90"
"RELIANCE","07-Mar-2005","28-Apr-2005","580","591.9","579.55","590.1","588.6","590.1","202","709.82","105000","53400","        586.90"
"RELIANCE","07-Mar-2005","26-May-2005","582.05","595","582.05","593","595","593","33","117.35","600","0","        586.90"
"RELIANCE","08-Mar-2005","31-Mar-2005","588","592","582.75","590.85","591.55","590.85","19383","68419.42","14145000","105600","        591.10"
"RELIANCE","08-Mar-2005","28-Apr-2005","591.5","596.8","587.1","595.75","596","595.75","150","532.84","121800","16800","        591.10"
"RELIANCE","08-Mar-2005","26-May-2005","0","0","0","593","595","598.8","0","0","600","0","        591.10"
"RELIANCE","09-Mar-2005","31-Mar-2005","593.95","602.4","585.3","588.4","587","588.4","25062","89214.98","13428600","-716400","        587.85"
