"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"RELIANCE","02-May-2014","29-May-2014","941.5","947.4","928.25","930","929.5","930","13771","32214.61","12878500","523750","        928.10"
"RELIANCE","02-May-2014","26-Jun-2014","951","952.4","934.1","935.85","935.15","935.85","1834","4308.38","651000","284250","        928.10"
"RELIANCE","02-May-2014","31-Jul-2014","959","959","959","959","959","949.45","1","2.4","750","250","        928.10"
"RELIANCE","05-May-2014","29-May-2014","927.55","955","841.95","943.85","941.8","943.85","20326","48007.57","12663500","-215000","        946.85"
"RELIANCE","05-May-2014","26-Jun-2014","934.25","961.7","922.1","951.2","948.45","951.2","914","2162.68","678250","27250","        946.85"
"RELIANCE","05-May-2014","31-Jul-2014","945.35","1009.8","943.35","955.5","953.8","955.5","43","104.53","6000","5250","        946.85"
"RELIANCE","06-May-2014","29-May-2014","942.1","962.7","942.1","958.7","960","958.7","15220","36368.63","12409000","-254500","        963.35"
"RELIANCE","06-May-2014","26-Jun-2014","954.05","969.35","953.15","965.45","966.75","965.45","256","615.41","663500","-14750","        963.35"
"RELIANCE","06-May-2014","31-Jul-2014","960.65","981.05","960.65","970","973","970","15","36.43","7750","1750","        963.35"
"RELIANCE","07-May-2014","29-May-2014","958.85","968.65","952.9","956.65","955.05","956.65","17937","43104.68","12544750","135750","        960.85"
"RELIANCE","07-May-2014","26-Jun-2014","965","974.7","959.65","963.15","962","963.15","261","630.95","663500","0","        960.85"
"RELIANCE","07-May-2014","31-Jul-2014","0","0","0","970","973","981.7","0","0","7750","0","        960.85"
"RELIANCE","08-May-2014","29-May-2014","956.3","964.8","947.55","955.4","957","955.4","11683","27960.59","12597750","53000","        960.30"
"RELIANCE","08-May-2014","26-Jun-2014","963","970","954.05","961.25","962.45","961.25","721","1735.31","707750","44250","        960.30"
"RELIANCE","08-May-2014","31-Jul-2014","973","973","973","973","973","980.85","1","2.43","7750","0","        960.30"
"RELIANCE","09-May-2014","29-May-2014","950","995.95","950","994.3","993.65","994.3","26523","65055.15","12931000","333250","        997.60"
"RELIANCE","09-May-2014","26-Jun-2014","961","1002","961","1000.65","1000","1000.65","848","2084.25","800750","93000","        997.60"
"RELIANCE","09-May-2014","31-Jul-2014","980.9","1005.95","980.9","1005.95","1005.95","1018.65","4","9.94","8250","500","        997.60"
"RELIANCE","12-May-2014","29-May-2014","994","1043.05","991.2","1025.3","1023","1025.3","35360","90564.42","13149750","218750","       1028.70"
"RELIANCE","12-May-2014","26-Jun-2014","1000.15","1046.5","1000.15","1031.65","1028.95","1031.65","661","1702.71","800250","-500","       1028.70"
"RELIANCE","12-May-2014","31-Jul-2014","1040","1047.95","1033.55","1034.95","1033.65","1034.95","13","33.74","10250","2000","       1028.70"
"RELIANCE","13-May-2014","29-May-2014","1035.7","1062.05","1027.3","1058","1057.05","1058","36282","94698.94","13065000","-84750","       1063.40"
"RELIANCE","13-May-2014","26-Jun-2014","1021","1068.4","1021","1064.55","1062.25","1064.55","603","1582.73","818750","18500","       1063.40"
"RELIANCE","13-May-2014","31-Jul-2014","1038","1069.85","990.7","1067.85","1069.85","1067.85","46","119.01","8750","-1500","       1063.40"
"RELIANCE","14-May-2014","29-May-2014","1059","1063.9","1038","1042.4","1041.5","1042.4","25249","66183.89","13466500","401500","       1045.50"
"RELIANCE","14-May-2014","26-Jun-2014","1063.8","1069.9","1045.2","1049.2","1047.9","1049.2","517","1363.79","820500","1750","       1045.50"
"RELIANCE","14-May-2014","31-Jul-2014","1065.65","1065.65","1052.75","1057.45","1057.45","1066.2","11","29.11","10250","1500","       1045.50"
"RELIANCE","15-May-2014","29-May-2014","1042.1","1054.15","1036.15","1047.35","1051","1047.35","27440","71734.18","13683000","216500","       1053.40"
"RELIANCE","15-May-2014","26-Jun-2014","1048.45","1065","1043","1054.35","1058","1054.35","1090","2867.62","961500","141000","       1053.40"
"RELIANCE","15-May-2014","31-Jul-2014","1050","1061","1050","1060.55","1061","1060.55","7","18.47","11000","750","       1053.40"
"RELIANCE","16-May-2014","29-May-2014","1075","1148.45","1068","1086.5","1082.4","1086.5","61252","169936.75","15629750","1946750","       1079.25"
"RELIANCE","16-May-2014","26-Jun-2014","1099","1156","1075.3","1093.5","1086.5","1093.5","1985","5541.74","993000","31500","       1079.25"
"RELIANCE","16-May-2014","31-Jul-2014","1137.95","1165.95","1091","1095","1095","1095","58","162.75","14500","3500","       1079.25"
"RELIANCE","19-May-2014","29-May-2014","1109","1127.15","1091.7","1121.9","1118.2","1121.9","34899","96916.42","14422000","-1207750","       1120.05"
"RELIANCE","19-May-2014","26-Jun-2014","1104.8","1133.95","1099.3","1129.15","1126.45","1129.15","1701","4750.78","1122500","129500","       1120.05"
"RELIANCE","19-May-2014","31-Jul-2014","1110.45","1154.4","1110","1134.3","1130","1134.3","68","192.7","23250","8750","       1120.05"
"RELIANCE","20-May-2014","29-May-2014","1125","1132","1082.55","1085.75","1086.35","1085.75","28731","78815.64","15420000","998000","       1079.85"
"RELIANCE","20-May-2014","26-Jun-2014","1136.25","1139","1089","1091.7","1093","1091.7","5023","13856.06","1903750","781250","       1079.85"
"RELIANCE","20-May-2014","31-Jul-2014","1131.5","1131.5","1085.7","1097.4","1096.5","1097.4","67","185.43","23500","250","       1079.85"
"RELIANCE","21-May-2014","29-May-2014","1095","1110","1080.1","1085.05","1082","1085.05","33090","90272.33","16945500","1525500","       1078.40"
"RELIANCE","21-May-2014","26-Jun-2014","1090.05","1115","1087","1091.4","1089.2","1091.4","4322","11839.78","2462500","558750","       1078.40"
"RELIANCE","21-May-2014","31-Jul-2014","1115.85","1116.55","1096","1099.6","1099.6","1099.6","21","57.86","24750","1250","       1078.40"
"RELIANCE","22-May-2014","29-May-2014","1091.85","1118.7","1090","1106.7","1109.35","1106.7","34276","94828.2","16199250","-746250","       1100.80"
"RELIANCE","22-May-2014","26-Jun-2014","1098","1126","1097.25","1114.3","1115.65","1114.3","8242","23013.25","3330500","868000","       1100.80"
"RELIANCE","22-May-2014","31-Jul-2014","1108.9","1131.95","1105","1121.85","1121.85","1121.85","72","201.19","34750","10000","       1100.80"
"RELIANCE","23-May-2014","29-May-2014","1114","1134","1103.3","1130.05","1132.45","1130.05","34088","95467.45","15128750","-1070500","       1127.45"
"RELIANCE","23-May-2014","26-Jun-2014","1119.95","1140.6","1110.75","1136","1137.35","1136","8858","24971.04","4142000","811500","       1127.45"
"RELIANCE","23-May-2014","31-Jul-2014","1118","1146","1118","1143.6","1146","1143.6","46","130.44","41000","6250","       1127.45"
"RELIANCE","26-May-2014","29-May-2014","1135","1141.8","1077.55","1105.3","1103.2","1105.3","45066","126362.75","12075250","-3053500","       1101.70"
"RELIANCE","26-May-2014","26-Jun-2014","1139","1186","1085.85","1112.2","1110","1112.2","23002","65020.86","7457750","3315750","       1101.70"
"RELIANCE","26-May-2014","31-Jul-2014","1154.8","1202.45","1094.4","1119.95","1118.85","1119.95","137","386.49","48500","7500","       1101.70"
"RELIANCE","27-May-2014","29-May-2014","1106","1108.8","1077.9","1090.6","1090.05","1090.6","28976","78732.34","9452000","-2623250","       1087.95"
"RELIANCE","27-May-2014","26-Jun-2014","1109.95","1118.6","1085","1097.2","1097.2","1097.2","21606","59066.36","10967250","3509500","       1087.95"
"RELIANCE","27-May-2014","31-Jul-2014","1119","1119","1090","1104.35","1103","1104.35","73","201.47","44750","-3750","       1087.95"
"RELIANCE","28-May-2014","29-May-2014","1091.2","1107.75","1086","1089.95","1091.6","1089.95","25785","70578.32","7350750","-2101250","       1088.90"
"RELIANCE","28-May-2014","26-Jun-2014","1099.1","1114.95","1093.15","1097.4","1098.55","1097.4","21434","59013.96","13777000","2809750","       1088.90"
"RELIANCE","28-May-2014","31-Jul-2014","1108.75","1121.15","1102.55","1105.2","1104.75","1105.2","67","185.84","54500","9750","       1088.90"
"RELIANCE","29-May-2014","29-May-2014","1095.1","1095.1","1066.4","1072.8","1073.3","1073.55","30640","82634.62","4026000","-3324750","       1073.55"
"RELIANCE","29-May-2014","26-Jun-2014","1100","1101.6","1077.6","1082.05","1085.8","1082.05","30929","83972.49","17448250","3671250","       1073.55"
"RELIANCE","29-May-2014","31-Jul-2014","1107.5","1107.5","1080.3","1089.25","1096","1089.25","199","543.04","80000","25500","       1073.55"
"RELIANCE","30-May-2014","26-Jun-2014","1091","1096.95","1067.1","1071.65","1072","1071.65","18717","50693.49","17664750","216500","       1064.70"
"RELIANCE","30-May-2014","31-Jul-2014","1096.5","1104.6","1076.05","1080","1080.2","1080","559","1524.83","140500","60500","       1064.70"
"RELIANCE","30-May-2014","28-Aug-2014","1091.8","1091.8","1091.8","1091.8","1091.8","1088.65","1","2.73","250","250","       1064.70"
"RELIANCE","02-Jun-2014","26-Jun-2014","1070.55","1094.65","1070.55","1088.7","1089.3","1088.7","17335","46984.91","17498500","-166250","       1082.20"
"RELIANCE","02-Jun-2014","31-Jul-2014","1086.45","1101.6","1079","1097.3","1095","1097.3","223","609.77","163500","23000","       1082.20"
"RELIANCE","02-Jun-2014","28-Aug-2014","1093.5","1093.5","1093.5","1093.5","1093.5","1105.65","1","2.73","500","250","       1082.20"
"RELIANCE","03-Jun-2014","26-Jun-2014","1093.8","1106.8","1082","1100.2","1102.7","1100.2","24540","67276.41","17091250","-407250","       1095.40"
"RELIANCE","03-Jun-2014","31-Jul-2014","1102.5","1114.55","1091.25","1108.3","1111.65","1108.3","329","908.12","189000","25500","       1095.40"
"RELIANCE","03-Jun-2014","28-Aug-2014","0","0","0","1093.5","1093.5","1118.9","0","0","500","0","       1095.40"
"RELIANCE","04-Jun-2014","26-Jun-2014","1102.05","1106.5","1083.6","1085.55","1086.1","1085.55","16808","46006.29","17493500","402250","       1077.50"
"RELIANCE","04-Jun-2014","31-Jul-2014","1110.95","1114.75","1092.85","1094.25","1095.05","1094.25","273","751.94","209500","20500","       1077.50"
"RELIANCE","04-Jun-2014","28-Aug-2014","1118.75","1118.75","1100.75","1101.8","1100.75","1101.8","8","22.12","2000","1500","       1077.50"
"RELIANCE","05-Jun-2014","26-Jun-2014","1089.9","1101.7","1071","1093.9","1096.9","1093.9","36201","98379.98","17796750","303250","       1089.90"
"RELIANCE","05-Jun-2014","31-Jul-2014","1087.3","1110","1080","1101.6","1106.45","1101.6","493","1348.71","250750","41250","       1089.90"
"RELIANCE","05-Jun-2014","28-Aug-2014","1091","1107.8","1091","1107.8","1107.8","1112.6","10","27.44","3750","1750","       1089.90"
"RELIANCE","06-Jun-2014","26-Jun-2014","1112","1137","1108.6","1126","1126.5","1126","53222","149508.25","17635750","-161000","       1122.40"
"RELIANCE","06-Jun-2014","31-Jul-2014","1126.45","1145.4","1117","1134.8","1136","1134.8","893","2527.21","298000","47250","       1122.40"
"RELIANCE","06-Jun-2014","28-Aug-2014","1135.8","1179.65","1125","1142.5","1143","1142.5","49","140.86","10000","6250","       1122.40"
"RELIANCE","09-Jun-2014","26-Jun-2014","1130.55","1134.35","1115.1","1125.55","1126.5","1125.55","24714","69439.66","17459000","-176750","       1122.65"
"RELIANCE","09-Jun-2014","31-Jul-2014","1141.35","1141.35","1124.2","1133.2","1136.7","1133.2","763","2157.3","357000","59000","       1122.65"
"RELIANCE","09-Jun-2014","28-Aug-2014","1129.75","1137.95","1110.2","1137.95","1137.95","1137.95","39","110.06","10250","250","       1122.65"
"RELIANCE","10-Jun-2014","26-Jun-2014","1131.9","1131.9","1102.25","1120.7","1120.4","1120.7","24791","69085.88","17607500","148500","       1118.30"
"RELIANCE","10-Jun-2014","31-Jul-2014","1136.15","1136.15","1111.5","1130.25","1130","1130.25","886","2491.16","447000","90000","       1118.30"
"RELIANCE","10-Jun-2014","28-Aug-2014","1121","1138.3","1121","1137.35","1138.25","1137.35","14","39.69","11500","1250","       1118.30"
"RELIANCE","11-Jun-2014","26-Jun-2014","1120.5","1122.45","1095.5","1103.85","1098.35","1103.85","26430","73225.77","17475000","-132500","       1102.10"
"RELIANCE","11-Jun-2014","31-Jul-2014","1124.15","1130","1105.5","1112.3","1106.15","1112.3","887","2475.2","514500","67500","       1102.10"
"RELIANCE","11-Jun-2014","28-Aug-2014","1124.75","1136.2","1114.25","1121.4","1115","1121.4","74","208.25","21750","10250","       1102.10"
"RELIANCE","12-Jun-2014","26-Jun-2014","1103","1116","1088.4","1099.2","1101.5","1099.2","22669","62564.23","17584000","109000","       1094.15"
"RELIANCE","12-Jun-2014","31-Jul-2014","1110","1125","1097","1107.55","1109.45","1107.55","977","2714.48","570500","56000","       1094.15"
"RELIANCE","12-Jun-2014","28-Aug-2014","1115.9","1132","1105","1112.15","1115.25","1112.15","36","100.61","22750","1000","       1094.15"
"RELIANCE","13-Jun-2014","26-Jun-2014","1095","1109.9","1072","1082.9","1082.8","1082.9","28909","78746.56","16732250","-851750","       1081.90"
"RELIANCE","13-Jun-2014","31-Jul-2014","1117.15","1117.15","1081.65","1091.15","1091.55","1091.15","923","2528.01","664250","93750","       1081.90"
"RELIANCE","13-Jun-2014","28-Aug-2014","1120.85","1120.85","1090.45","1095.6","1095.6","1095.6","59","162.06","29750","7000","       1081.90"
"RELIANCE","16-Jun-2014","26-Jun-2014","1083.6","1084.7","1062.1","1070.5","1070.45","1070.5","22487","60237.06","17019250","287000","       1065.45"
"RELIANCE","16-Jun-2014","31-Jul-2014","1090","1091","1070.9","1078.15","1076.3","1078.15","1714","4623.94","835000","170750","       1065.45"
"RELIANCE","16-Jun-2014","28-Aug-2014","1092","1092.95","1080","1087","1087","1087","22","59.86","30250","500","       1065.45"
"RELIANCE","17-Jun-2014","26-Jun-2014","1067","1098.7","1063.1","1095.85","1098","1095.85","31279","84473.18","17535000","515750","       1090.05"
"RELIANCE","17-Jun-2014","31-Jul-2014","1075","1106.6","1072","1104.05","1106","1104.05","1889","5139.74","1011000","176000","       1090.05"
"RELIANCE","17-Jun-2014","28-Aug-2014","1088","1113.8","1082.15","1110","1110","1110","87","237.36","45000","14750","       1090.05"
"RELIANCE","18-Jun-2014","26-Jun-2014","1091.55","1105","1063.7","1070.2","1065.3","1070.2","44260","120175.55","17888500","353500","       1066.75"
"RELIANCE","18-Jun-2014","31-Jul-2014","1104.5","1113.25","1073.15","1078.85","1074.55","1078.85","3345","9147.6","1280000","269000","       1066.75"
"RELIANCE","18-Jun-2014","28-Aug-2014","1110","1119","1082","1085.95","1082","1085.95","106","291.84","52000","7000","       1066.75"
"RELIANCE","19-Jun-2014","26-Jun-2014","1074.05","1077","1036.6","1046.25","1045.45","1046.25","38784","102145.16","18266000","377500","       1042.10"
"RELIANCE","19-Jun-2014","31-Jul-2014","1082.95","1086","1045","1054.5","1053.55","1054.5","6419","17031.85","2000750","720750","       1042.10"
"RELIANCE","19-Jun-2014","28-Aug-2014","1088.85","1090","1054.4","1061.6","1060.2","1061.6","113","301.47","58000","6000","       1042.10"
"RELIANCE","20-Jun-2014","26-Jun-2014","1050.25","1054","1037.25","1040.4","1042.55","1040.4","20838","54465.14","18184250","-81750","       1036.50"
"RELIANCE","20-Jun-2014","31-Jul-2014","1057.4","1061.9","1046.15","1048.25","1050.5","1048.25","5001","13175.16","2596750","596000","       1036.50"
"RELIANCE","20-Jun-2014","28-Aug-2014","1060","1066.4","1055","1055.35","1055.6","1055.35","24","63.58","59000","1000","       1036.50"
"RELIANCE","23-Jun-2014","26-Jun-2014","1045","1048.6","1027.4","1042.3","1045.1","1042.3","34471","89533.19","15825000","-2359250","       1037.95"
"RELIANCE","23-Jun-2014","31-Jul-2014","1047.25","1056.6","1036.1","1050.9","1053.2","1050.9","20971","54877.15","6208750","3612000","       1037.95"
"RELIANCE","23-Jun-2014","28-Aug-2014","1060","1061.1","1045","1057","1060.15","1057","57","150.13","60750","1750","       1037.95"
"RELIANCE","24-Jun-2014","26-Jun-2014","1051.5","1066","1048.25","1063.5","1064.25","1063.5","39434","104402.84","11956250","-3868750","       1059.85"
"RELIANCE","24-Jun-2014","31-Jul-2014","1058","1074.4","1057","1071.95","1073.85","1071.95","29390","78428.71","10790250","4581500","       1059.85"
"RELIANCE","24-Jun-2014","28-Aug-2014","1071.7","1080.7","1071.05","1078.7","1080.05","1078.7","82","220.65","69500","8750","       1059.85"
"RELIANCE","25-Jun-2014","26-Jun-2014","1059.85","1062.8","1048.5","1051.5","1050.8","1051.5","32940","86796.95","8161750","-3794500","       1051.00"
"RELIANCE","25-Jun-2014","31-Jul-2014","1069.9","1069.9","1058","1060.15","1058.15","1060.15","28718","76275.94","14876500","4086250","       1051.00"
"RELIANCE","25-Jun-2014","28-Aug-2014","1073","1075","1067","1068.05","1067.5","1068.05","77","205.87","79750","10250","       1051.00"
"RELIANCE","26-Jun-2014","26-Jun-2014","1020","1027.5","1006.4","1009.55","1011.8","1011.9","45613","116129.57","3915500","-4246250","       1011.90"
"RELIANCE","26-Jun-2014","31-Jul-2014","1035.35","1038.4","1017.45","1020.7","1025.5","1020.7","54119","138944.27","21037500","6161000","       1011.90"
"RELIANCE","26-Jun-2014","28-Aug-2014","1050","1050","1025.3","1029.1","1035","1029.1","804","2081.56","173750","94000","       1011.90"
"RELIANCE","27-Jun-2014","31-Jul-2014","1024","1031.4","1016","1021.75","1022.9","1021.75","17169","43901.78","21249000","211500","       1012.10"
"RELIANCE","27-Jun-2014","28-Aug-2014","1033.2","1039.25","1025","1029.85","1030.45","1029.85","260","669.92","190750","17000","       1012.10"
"RELIANCE","27-Jun-2014","25-Sep-2014","0","0","0","1034.35","0","1034.35","0","0","0","0","       1012.10"
"RELIANCE","30-Jun-2014","31-Jul-2014","1021.6","1029.5","1007","1025.05","1021.9","1025.05","38851","99061.1","22218250","969250","       1015.40"
"RELIANCE","30-Jun-2014","28-Aug-2014","1028.25","1037","1016","1033.55","1029.9","1033.55","507","1302.67","227250","36500","       1015.40"
"RELIANCE","30-Jun-2014","25-Sep-2014","1037","1038.6","1026","1038.6","1038.6","1038.6","23","59.4","4500","4500","       1015.40"
