"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"RELIANCE","01-Sep-2016","29-Sep-2016","1055","1078","1033.35","1036.3","1035.85","1036.3","52834","279756.82","23413000","2437500","       1029.20"
"RELIANCE","01-Sep-2016","27-Oct-2016","1063","1084","1040","1043","1042.5","1043","544","2890.06","235000","52000","       1029.20"
"RELIANCE","01-Sep-2016","24-Nov-2016","1072","1089.95","1048","1048.2","1048.75","1048.2","57","303.52","32000","500","       1029.20"
"RELIANCE","02-Sep-2016","29-Sep-2016","1037.1","1037.95","1008.4","1019.6","1020.05","1019.6","28995","147971.85","24478500","1065500","       1013.35"
"RELIANCE","02-Sep-2016","27-Oct-2016","1044.15","1044.15","1015.55","1025.2","1026.85","1025.2","1064","5476.68","466000","231000","       1013.35"
"RELIANCE","02-Sep-2016","24-Nov-2016","1039.35","1042","1022","1032.35","1032.35","1032.35","43","221.9","29000","-3000","       1013.35"
"RELIANCE","06-Sep-2016","29-Sep-2016","1024.9","1029.6","1018.8","1024.6","1026","1024.6","12988","66527.78","23913000","-565500","       1019.90"
"RELIANCE","06-Sep-2016","27-Oct-2016","1032.85","1035","1026.5","1031","1032","1031","322","1659.91","474000","8000","       1019.90"
"RELIANCE","06-Sep-2016","24-Nov-2016","1035.5","1039.05","1034.55","1036.9","1039.05","1036.9","11","57.02","29500","500","       1019.90"
"RELIANCE","07-Sep-2016","29-Sep-2016","1025.7","1031","1018","1022.5","1022.95","1022.5","11655","59695.33","23828500","-84500","       1017.65"
"RELIANCE","07-Sep-2016","27-Oct-2016","1032.1","1035.8","1024.55","1028.25","1028.15","1028.25","696","3585.07","636000","162000","       1017.65"
"RELIANCE","07-Sep-2016","24-Nov-2016","1041.95","1041.95","1034","1034.55","1034","1034.55","12","62.16","32500","3000","       1017.65"
"RELIANCE","08-Sep-2016","29-Sep-2016","1027.35","1040.25","1025.3","1037.15","1037.05","1037.15","13707","70913.69","23806500","-22000","       1033.40"
"RELIANCE","08-Sep-2016","27-Oct-2016","1034.9","1045.75","1031.25","1043.05","1043","1043.05","498","2585.52","714500","78500","       1033.40"
"RELIANCE","08-Sep-2016","24-Nov-2016","1039.05","1051.7","1039.05","1046","1046","1048.75","17","89.02","30500","-2000","       1033.40"
"RELIANCE","09-Sep-2016","29-Sep-2016","1035","1056","1033.65","1049.15","1046.9","1049.15","21666","113464.07","24321500","515000","       1044.55"
"RELIANCE","09-Sep-2016","27-Oct-2016","1043","1061","1039.05","1054","1051.8","1054","425","2237.06","741500","27000","       1044.55"
"RELIANCE","09-Sep-2016","24-Nov-2016","1050.4","1065","1049","1062.7","1062.7","1059.75","32","169.23","33500","3000","       1044.55"
"RELIANCE","12-Sep-2016","29-Sep-2016","1030","1057.4","1029.7","1047.75","1047.65","1047.75","20015","104915.88","23106500","-1215000","       1046.50"
"RELIANCE","12-Sep-2016","27-Oct-2016","1039.6","1062.6","1037.3","1053.75","1053.4","1053.75","370","1949.56","748000","6500","       1046.50"
"RELIANCE","12-Sep-2016","24-Nov-2016","1055.95","1065.15","1055.95","1062","1062","1061.15","7","37.15","34000","500","       1046.50"
"RELIANCE","14-Sep-2016","29-Sep-2016","1049.7","1059.8","1046.5","1050.35","1048.4","1050.35","12592","66292.04","23527500","421000","       1044.75"
"RELIANCE","14-Sep-2016","27-Oct-2016","1060","1065.15","1052.2","1054.65","1054.6","1054.65","438","2315.97","802000","54000","       1044.75"
"RELIANCE","14-Sep-2016","24-Nov-2016","1067.95","1067.95","1060","1060","1060","1060","3","15.96","34000","0","       1044.75"
"RELIANCE","15-Sep-2016","29-Sep-2016","1049.9","1071.5","1048.35","1066.85","1067","1066.85","20295","107515.43","22937500","-590000","       1065.00"
"RELIANCE","15-Sep-2016","27-Oct-2016","1055","1077.4","1055","1072.55","1073.25","1072.55","377","2009.22","812000","10000","       1065.00"
"RELIANCE","15-Sep-2016","24-Nov-2016","1070","1083","1070","1077.5","1077.75","1077.5","30","161.82","34000","0","       1065.00"
"RELIANCE","16-Sep-2016","29-Sep-2016","1068.65","1097.5","1063","1078.3","1078","1078.3","35375","191564.48","22685000","-252500","       1075.55"
"RELIANCE","16-Sep-2016","27-Oct-2016","1077","1103","1068.8","1084.15","1082.85","1084.15","876","4772.29","861000","49000","       1075.55"
"RELIANCE","16-Sep-2016","24-Nov-2016","1082","1104","1081.4","1090.8","1088.75","1090.8","59","322.55","39500","5500","       1075.55"
"RELIANCE","19-Sep-2016","29-Sep-2016","1079.35","1089.9","1074.95","1084.15","1084.8","1084.15","10601","57484.08","22640000","-45000","       1082.40"
"RELIANCE","19-Sep-2016","27-Oct-2016","1083.95","1095.3","1081.2","1090","1090.15","1090","467","2546.95","873500","12500","       1082.40"
"RELIANCE","19-Sep-2016","24-Nov-2016","1088.7","1101","1088.7","1094","1094","1096.05","22","120.63","44000","4500","       1082.40"
"RELIANCE","20-Sep-2016","29-Sep-2016","1084.75","1087","1073.75","1078.95","1078.15","1078.95","8726","47122.86","22712500","72500","       1074.20"
"RELIANCE","20-Sep-2016","27-Oct-2016","1089.65","1091.8","1080","1084.55","1084.5","1084.55","608","3299.39","966000","92500","       1074.20"
"RELIANCE","20-Sep-2016","24-Nov-2016","1088.8","1095","1086","1090","1090","1090","34","185.46","51000","7000","       1074.20"
"RELIANCE","21-Sep-2016","29-Sep-2016","1077","1087.65","1072.5","1075.7","1075","1075.7","10245","55291.49","22469500","-243000","       1072.25"
