"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SBIN","02-Jul-2007","26-Jul-2007","1540.3","1561.4","1532.3","1539.55","1538.5","1539.55","20633","79813.88","10203750","-116500","       1530.75"
"SBIN","02-Jul-2007","30-Aug-2007","1549.5","1572","1544","1550","1552","1550","198","771.26","32250","8750","       1530.75"
"SBIN","02-Jul-2007","27-Sep-2007","1577","1577","1555.05","1557.55","1560","1557.55","4","15.67","1000","750","       1530.75"
"SBIN","03-Jul-2007","26-Jul-2007","1545","1604.7","1545","1597.5","1593.2","1597.5","31054","122957.43","10626250","422500","       1581.85"
"SBIN","03-Jul-2007","30-Aug-2007","1565","1614.9","1564.5","1607.65","1605","1607.65","193","770.72","50500","18250","       1581.85"
"SBIN","03-Jul-2007","27-Sep-2007","1595","1595","1595","1595","1595","1616.2","1","3.99","1250","250","       1581.85"
"SBIN","04-Jul-2007","26-Jul-2007","1599","1602.8","1570","1579.5","1578.45","1579.5","18212","71994.44","10653000","26750","       1563.85"
"SBIN","04-Jul-2007","30-Aug-2007","1602","1602","1585","1589.85","1590.5","1589.85","93","369.91","52250","1750","       1563.85"
"SBIN","04-Jul-2007","27-Sep-2007","1520","1520","1520","1520","1520","1520","1","3.8","1500","250","       1563.85"
"SBIN","05-Jul-2007","26-Jul-2007","1584.9","1591.9","1543","1562.7","1560.1","1562.7","23005","89885.69","10884250","231250","       1547.05"
"SBIN","05-Jul-2007","30-Aug-2007","1598","1598","1559.75","1574.25","1573.05","1574.25","135","530.71","55500","3250","       1547.05"
"SBIN","05-Jul-2007","27-Sep-2007","1585","1585","1585","1585","1585","1585","1","3.96","1500","0","       1547.05"
"SBIN","06-Jul-2007","26-Jul-2007","1560","1583.6","1540","1559.9","1559.5","1559.9","21886","85404.21","10689500","-194750","       1550.50"
"SBIN","06-Jul-2007","30-Aug-2007","1572","1594.65","1554","1572.4","1571","1572.4","124","487.38","57750","2250","       1550.50"
"SBIN","06-Jul-2007","27-Sep-2007","1632","1632","1632","1632","1632","1580.75","1","4.08","1250","-250","       1550.50"
"SBIN","09-Jul-2007","26-Jul-2007","1562.1","1592.9","1546.35","1583.85","1586","1583.85","18856","74174.03","10880000","190500","       1570.95"
"SBIN","09-Jul-2007","30-Aug-2007","1577.5","1605","1560","1595.6","1598.5","1595.6","201","796.02","64500","6750","       1570.95"
"SBIN","09-Jul-2007","27-Sep-2007","0","0","0","1632","1632","1598.55","0","0","1250","0","       1570.95"
"SBIN","10-Jul-2007","26-Jul-2007","1586.2","1588.4","1550.1","1560.6","1554.9","1560.6","15920","62589.05","10524250","-355750","       1550.75"
"SBIN","10-Jul-2007","30-Aug-2007","1588","1600","1567.4","1572.3","1567.4","1572.3","211","834.97","69500","5000","       1550.75"
"SBIN","10-Jul-2007","27-Sep-2007","1610","1610","1600","1600","1600","1577.9","4","16.04","1500","250","       1550.75"
"SBIN","11-Jul-2007","26-Jul-2007","1545","1565","1500.3","1552","1554.8","1552","13032","50669.15","10420000","-104250","       1541.30"
"SBIN","11-Jul-2007","30-Aug-2007","1566.9","1576.4","1560","1563.45","1564.15","1563.45","141","552.11","71250","1750","       1541.30"
"SBIN","11-Jul-2007","27-Sep-2007","0","0","0","1600","1600","1568.5","0","0","1500","0","       1541.30"
"SBIN","12-Jul-2007","26-Jul-2007","1563.7","1579.25","1560","1569.35","1567","1569.35","12550","49301.65","10376750","-43250","       1559.20"
"SBIN","12-Jul-2007","30-Aug-2007","1571","1590.1","1571","1583.15","1580","1583.15","109","431.58","75000","3750","       1559.20"
"SBIN","12-Jul-2007","27-Sep-2007","0","0","0","1600","1600","1586.45","0","0","1500","0","       1559.20"
"SBIN","13-Jul-2007","26-Jul-2007","1584","1593.1","1560.1","1565.3","1562","1565.3","14731","58148.84","10213250","-163500","       1559.95"
"SBIN","13-Jul-2007","30-Aug-2007","1599","1602","1574","1579.6","1576","1579.6","131","520.78","78250","3250","       1559.95"
"SBIN","13-Jul-2007","27-Sep-2007","0","0","0","1600","1600","1586.8","0","0","1500","0","       1559.95"
"SBIN","16-Jul-2007","26-Jul-2007","1562.2","1626.7","1552.25","1620.45","1624.6","1620.45","37802","150922.67","10643000","429750","       1611.75"
"SBIN","16-Jul-2007","30-Aug-2007","1570","1643","1566","1634.55","1639","1634.55","2338","9399.87","339250","261000","       1611.75"
"SBIN","16-Jul-2007","27-Sep-2007","1575","1625","1575","1625","1625","1637.95","3","11.94","1250","-250","       1611.75"
"SBIN","17-Jul-2007","26-Jul-2007","1628","1629.7","1584.65","1590.7","1585","1590.7","22522","90530.99","9988000","-655000","       1583.10"
"SBIN","17-Jul-2007","30-Aug-2007","1640","1642.9","1599.9","1607.55","1600","1607.55","3669","14852.66","923500","584250","       1583.10"
"SBIN","17-Jul-2007","27-Sep-2007","1640","1640","1625","1625","1625","1608","4","16.33","1750","500","       1583.10"
"SBIN","18-Jul-2007","26-Jul-2007","1587","1594","1564.1","1580.55","1580.5","1580.55","22714","89718.89","9045250","-942750","       1575.60"
"SBIN","18-Jul-2007","30-Aug-2007","1595.5","1607","1581","1596.85","1595.55","1596.85","7913","31598.9","2588500","1665000","       1575.60"
"SBIN","18-Jul-2007","27-Sep-2007","0","0","0","1625","1625","1598.95","0","0","1750","0","       1575.60"
"SBIN","19-Jul-2007","26-Jul-2007","1579.45","1613.85","1579.45","1600.5","1604","1600.5","20571","82426.79","8602250","-443000","       1595.75"
"SBIN","19-Jul-2007","30-Aug-2007","1596","1630","1596","1616.95","1618.2","1616.95","4893","19825.14","3193250","604750","       1595.75"
"SBIN","19-Jul-2007","27-Sep-2007","1625","1625","1625","1625","1625","1619.45","1","4.06","1750","0","       1595.75"
"SBIN","20-Jul-2007","26-Jul-2007","1609.4","1624","1578.55","1586.55","1587","1586.55","19440","78118.6","8165250","-437000","       1584.25"
"SBIN","20-Jul-2007","30-Aug-2007","1620","1640","1593.1","1603.6","1604.8","1603.6","3542","14390.34","3499250","306000","       1584.25"
"SBIN","20-Jul-2007","27-Sep-2007","1623","1623","1605","1620","1620","1620","3","12.12","2000","250","       1584.25"
"SBIN","23-Jul-2007","26-Jul-2007","1582","1594.4","1572.5","1588.95","1591.7","1588.95","14765","58448.27","7377500","-787750","       1585.25"
"SBIN","23-Jul-2007","30-Aug-2007","1620","1648","1587.35","1602.1","1606","1602.1","4792","19153.12","4088250","589000","       1585.25"
"SBIN","23-Jul-2007","27-Sep-2007","1605","1618.75","1605","1618.75","1618.75","1606.75","2","8.06","2000","0","       1585.25"
"SBIN","24-Jul-2007","26-Jul-2007","1595","1609","1567.1","1576.7","1573.4","1576.7","28326","112784.52","5292500","-2085000","       1575.80"
"SBIN","24-Jul-2007","30-Aug-2007","1609.9","1625.9","1585.5","1593.5","1589.15","1593.5","13729","55245.71","5682250","1594000","       1575.80"
"SBIN","24-Jul-2007","27-Sep-2007","1607.5","1700","1605","1605","1605","1605","9","36.88","2500","500","       1575.80"
"SBIN","25-Jul-2007","26-Jul-2007","1550","1585","1536.35","1568.55","1568.6","1568.55","20401","79665.05","3794000","-1498500","       1569.40"
"SBIN","25-Jul-2007","30-Aug-2007","1576","1601.85","1553.55","1584.5","1583.9","1584.5","10266","40539.37","6772000","1089750","       1569.40"
"SBIN","25-Jul-2007","27-Sep-2007","1595","1600","1571","1593","1600","1593","9","35.72","2750","250","       1569.40"
"SBIN","26-Jul-2007","26-Jul-2007","1574.95","1575.5","1542","1551.25","1551.5","1551.8","19431","75606.49","1521000","-2273000","       1551.80"
"SBIN","26-Jul-2007","30-Aug-2007","1590","1593","1558.1","1569.45","1565.7","1569.45","17657","69498.93","9557000","2785000","       1551.80"
"SBIN","26-Jul-2007","27-Sep-2007","1585","1585","1575","1575","1575","1572.3","2","7.9","3000","250","       1551.80"
"SBIN","27-Jul-2007","30-Aug-2007","1555","1555","1480.5","1513.7","1518.5","1513.7","37385","141312.46","9673750","116750","       1498.75"
"SBIN","27-Jul-2007","27-Sep-2007","1538","1549","1492.6","1525.25","1527","1525.25","97","369.2","12000","9000","       1498.75"
"SBIN","27-Jul-2007","25-Oct-2007","1565","1565","1565","1565","1565","1527.3","1","3.91","250","250","       1498.75"
"SBIN","30-Jul-2007","30-Aug-2007","1532","1629.4","1515","1590.15","1592","1590.15","43947","174568.23","9962500","288750","       1578.05"
