"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SBIN","01-Nov-2012","29-Nov-2012","2123.05","2135","2111.25","2125.8","2126","2125.8","20289","53893.84","5377125","-126875","       2115.50"
"SBIN","01-Nov-2012","27-Dec-2012","2127.85","2142.8","2120","2133.8","2134.55","2133.8","444","1183.59","125625","3750","       2115.50"
"SBIN","01-Nov-2012","31-Jan-2013","2143.65","2150.1","2130.3","2142.9","2142.9","2142.9","21","56.25","20750","1750","       2115.50"
"SBIN","02-Nov-2012","29-Nov-2012","2145","2170.95","2136.6","2165.8","2162","2165.8","27544","74190.27","5246375","-130750","       2152.45"
"SBIN","02-Nov-2012","27-Dec-2012","2155.3","2177.5","2146.15","2172.6","2169.75","2172.6","518","1401.26","128875","3250","       2152.45"
"SBIN","02-Nov-2012","31-Jan-2013","2159.1","2184.05","2158.4","2179.95","2177.95","2179.95","39","105.66","22750","2000","       2152.45"
"SBIN","05-Nov-2012","29-Nov-2012","2156.85","2164.4","2140.7","2156.75","2154","2156.75","16031","43142","5286875","40500","       2144.75"
"SBIN","05-Nov-2012","27-Dec-2012","2163.45","2172.4","2149.95","2164.65","2160.45","2164.65","494","1334.34","141125","12250","       2144.75"
"SBIN","05-Nov-2012","31-Jan-2013","2175","2175","2162","2173.5","2173.5","2189.6","15","40.73","22250","-500","       2144.75"
"SBIN","06-Nov-2012","29-Nov-2012","2144.3","2187.9","2144.15","2185.25","2186.8","2185.25","21615","58744.21","5358375","71500","       2173.15"
"SBIN","06-Nov-2012","27-Dec-2012","2159.7","2195.75","2154.25","2193","2194.25","2193","425","1158.64","138000","-3125","       2173.15"
"SBIN","06-Nov-2012","31-Jan-2013","2166.6","2202","2166.6","2201","2200","2201","18","49.32","21250","-1000","       2173.15"
"SBIN","07-Nov-2012","29-Nov-2012","2182","2239","2174.4","2222.95","2217.95","2222.95","39130","108527.66","5110000","-248375","       2217.00"
