"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SHREECEM","01-Jan-2019","31-Jan-2019","17380","17429.85","16711.5","17107.15","17100","17107.15","472","4027.54","75300","3000","      16973.25"
"SHREECEM","01-Jan-2019","28-Feb-2019","0","0","0","17191.2","17191.2","17175.65","0","0","50","0","      16973.25"
"SHREECEM","01-Jan-2019","28-Mar-2019","0","0","0","17265.55","0","17274.25","0","0","0","0","      16973.25"
"SHREECEM","02-Jan-2019","31-Jan-2019","17100","17289.65","16871.05","17004.85","17025","17004.85","334","2842.58","74500","-800","      16939.95"
"SHREECEM","02-Jan-2019","28-Feb-2019","0","0","0","17191.2","17191.2","17138.75","0","0","50","0","      16939.95"
"SHREECEM","02-Jan-2019","28-Mar-2019","0","0","0","17265.55","0","17237.25","0","0","0","0","      16939.95"
"SHREECEM","03-Jan-2019","31-Jan-2019","16960","17364","16900","16987.9","16949.9","16987.9","404","3451.07","74850","350","      16948.40"
"SHREECEM","03-Jan-2019","28-Feb-2019","0","0","0","17191.2","17191.2","17144.85","0","0","50","0","      16948.40"
"SHREECEM","03-Jan-2019","28-Mar-2019","0","0","0","17265.55","0","17243.9","0","0","0","0","      16948.40"
"SHREECEM","04-Jan-2019","31-Jan-2019","17050","17105","16649.75","16824.4","16849.85","16824.4","577","4853.77","80000","5150","      16737.10"
"SHREECEM","04-Jan-2019","28-Feb-2019","0","0","0","17191.2","17191.2","16927.85","0","0","50","0","      16737.10"
"SHREECEM","04-Jan-2019","28-Mar-2019","0","0","0","17265.55","0","17025.8","0","0","0","0","      16737.10"
"SHREECEM","07-Jan-2019","31-Jan-2019","16910","17079.95","16910","16976.45","16952.75","16976.45","189","1605.41","78600","-1400","      16921.70"
"SHREECEM","07-Jan-2019","28-Feb-2019","0","0","0","17191.2","17191.2","17104.7","0","0","50","0","      16921.70"
"SHREECEM","07-Jan-2019","28-Mar-2019","0","0","0","17265.55","0","17204.05","0","0","0","0","      16921.70"
"SHREECEM","08-Jan-2019","31-Jan-2019","16750.1","16918","16710","16839.25","16750.2","16839.25","263","2210.69","78300","-300","      16753.85"
"SHREECEM","08-Jan-2019","28-Feb-2019","0","0","0","17191.2","17191.2","16931.55","0","0","50","0","      16753.85"
"SHREECEM","08-Jan-2019","28-Mar-2019","0","0","0","17265.55","0","17029.9","0","0","0","0","      16753.85"
"SHREECEM","09-Jan-2019","31-Jan-2019","16974","16974","16280","16404.95","16375","16404.95","602","4965.54","81550","3250","      16345.40"
"SHREECEM","09-Jan-2019","28-Feb-2019","0","0","0","17191.2","17191.2","16516.05","0","0","50","0","      16345.40"
"SHREECEM","09-Jan-2019","28-Mar-2019","0","0","0","17265.55","0","16612.35","0","0","0","0","      16345.40"
