"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SHREECEM","01-Sep-2017","28-Sep-2017","17750","17975","17670","17899.9","17850","17899.9","97","863.89","23600","350","      17795.40"
"SHREECEM","01-Sep-2017","26-Oct-2017","0","0","0","18428.75","18428.75","17964.35","0","0","50","0","      17795.40"
"SHREECEM","01-Sep-2017","30-Nov-2017","0","0","0","17868.65","0","18072.7","0","0","0","0","      17795.40"
"SHREECEM","04-Sep-2017","28-Sep-2017","17799.95","18010","17705","17890.55","17820","17890.55","133","1187.75","22350","-1250","      17864.00"
"SHREECEM","04-Sep-2017","26-Oct-2017","0","0","0","18428.75","18428.75","18024.55","0","0","50","0","      17864.00"
"SHREECEM","04-Sep-2017","30-Nov-2017","0","0","0","17868.65","0","18133.45","0","0","0","0","      17864.00"
"SHREECEM","05-Sep-2017","28-Sep-2017","17840.05","18215","17700","18151.95","18070.5","18151.95","167","1505.79","22700","350","      18058.50"
"SHREECEM","05-Sep-2017","26-Oct-2017","0","0","0","18428.75","18428.75","18217.7","0","0","50","0","      18058.50"
"SHREECEM","05-Sep-2017","30-Nov-2017","0","0","0","17868.65","0","18327.7","0","0","0","0","      18058.50"
"SHREECEM","06-Sep-2017","28-Sep-2017","18020.05","18500","17949.95","18401","18412","18401","264","2420.65","24850","2150","      18342.35"
"SHREECEM","06-Sep-2017","26-Oct-2017","18479.3","18479.3","18479.3","18479.3","18479.3","18479.3","2","18.48","150","100","      18342.35"
"SHREECEM","06-Sep-2017","30-Nov-2017","0","0","0","17868.65","0","18613.05","0","0","0","0","      18342.35"
"SHREECEM","07-Sep-2017","28-Sep-2017","18449.95","18716.95","18382.2","18585.55","18500.5","18585.55","149","1385.59","24700","-150","      18556.75"
"SHREECEM","07-Sep-2017","26-Oct-2017","0","0","0","18479.3","18479.3","18714.15","0","0","150","0","      18556.75"
"SHREECEM","07-Sep-2017","30-Nov-2017","0","0","0","17868.65","0","18827.35","0","0","0","0","      18556.75"
"SHREECEM","08-Sep-2017","28-Sep-2017","18650.05","18839.95","18560.05","18774.8","18733.15","18774.8","136","1272.89","25600","900","      18738.80"
"SHREECEM","08-Sep-2017","26-Oct-2017","18914.25","18914.25","18914.25","18914.25","18914.25","18894.45","1","9.46","200","50","      18738.80"
"SHREECEM","08-Sep-2017","30-Nov-2017","0","0","0","17868.65","0","19008.75","0","0","0","0","      18738.80"
"SHREECEM","11-Sep-2017","28-Sep-2017","18850.05","18928.85","18749.95","18833.8","18829","18833.8","130","1224.48","26250","650","      18797.55"
