"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SUNPHARMA","02-Jan-2007","25-Jan-2007","977","995","977","985.25","984.65","985.25","1320","5864.67","2335050","-31050","        985.55"
"SUNPHARMA","02-Jan-2007","22-Feb-2007","979","989","978.4","979","979","979","16","70.7","10350","4050","        985.55"
"SUNPHARMA","02-Jan-2007","29-Mar-2007","0","0","0","1000.05","0","1008.05","0","0","0","0","        985.55"
"SUNPHARMA","03-Jan-2007","25-Jan-2007","988.9","992.9","975.4","985.5","986.1","985.5","1423","6312.74","2377350","42300","        991.75"
"SUNPHARMA","03-Jan-2007","22-Feb-2007","973.35","984","970.1","978","978","978","8","35.18","12150","1800","        991.75"
"SUNPHARMA","03-Jan-2007","29-Mar-2007","0","0","0","1000.05","0","1012.65","0","0","0","0","        991.75"
"SUNPHARMA","04-Jan-2007","25-Jan-2007","987","994","978","981.1","979.5","981.1","1255","5566.18","2376900","-450","        987.10"
"SUNPHARMA","04-Jan-2007","22-Feb-2007","972","981","972","974","975.5","974","10","43.94","15300","3150","        987.10"
"SUNPHARMA","04-Jan-2007","29-Mar-2007","0","0","0","1000.05","0","1007.85","0","0","0","0","        987.10"
"SUNPHARMA","05-Jan-2007","25-Jan-2007","979.9","984.5","969.25","974.75","974.85","974.75","783","3446","2384100","7200","        980.90"
"SUNPHARMA","05-Jan-2007","22-Feb-2007","977","977","965","967.85","969","967.85","17","74.25","21150","5850","        980.90"
"SUNPHARMA","05-Jan-2007","29-Mar-2007","0","0","0","1000.05","0","1001.6","0","0","0","0","        980.90"
"SUNPHARMA","08-Jan-2007","25-Jan-2007","974","992","955.45","985.65","983","985.65","1383","6072.88","2428200","44100","        988.70"
"SUNPHARMA","08-Jan-2007","22-Feb-2007","958","989.8","950.1","976.65","975.25","976.65","23","100.06","25200","4050","        988.70"
"SUNPHARMA","08-Jan-2007","29-Mar-2007","832","932","832","932","932","1008.85","2","7.94","0","0","        988.70"
"SUNPHARMA","09-Jan-2007","25-Jan-2007","986.9","996.85","972","979.9","977.5","979.9","1598","7085.84","2415150","-13050","        985.65"
"SUNPHARMA","09-Jan-2007","22-Feb-2007","970","988","970","973.4","971.3","973.4","46","202.42","32400","7200","        985.65"
"SUNPHARMA","09-Jan-2007","29-Mar-2007","0","0","0","932","932","1005.55","0","0","0","0","        985.65"
"SUNPHARMA","10-Jan-2007","25-Jan-2007","960","973","960","968.5","965.9","968.5","850","3701.6","2507400","92250","        979.15"
"SUNPHARMA","10-Jan-2007","22-Feb-2007","967.5","967.5","960","961.55","960.3","961.55","18","77.99","38250","5850","        979.15"
"SUNPHARMA","10-Jan-2007","29-Mar-2007","0","0","0","932","932","998.25","0","0","0","0","        979.15"
"SUNPHARMA","11-Jan-2007","25-Jan-2007","963.2","1029","963.2","1015.3","1013","1015.3","3041","13741.3","2582550","75150","       1013.20"
"SUNPHARMA","11-Jan-2007","22-Feb-2007","965","1024.7","962","1010.5","1007","1010.5","214","968.09","92700","54450","       1013.20"
"SUNPHARMA","11-Jan-2007","29-Mar-2007","0","0","0","932","932","1033.2","0","0","0","0","       1013.20"
"SUNPHARMA","12-Jan-2007","25-Jan-2007","1019","1045","1011.35","1025.4","1027","1025.4","2862","13251.31","2668500","85950","       1030.40"
"SUNPHARMA","12-Jan-2007","22-Feb-2007","1011","1038","1010","1021.8","1020","1021.8","79","363.8","92700","0","       1030.40"
"SUNPHARMA","12-Jan-2007","29-Mar-2007","1020","1020","1020","1020","1020","1020","1","4.59","450","450","       1030.40"
"SUNPHARMA","15-Jan-2007","25-Jan-2007","1031.95","1043.9","1026","1034.65","1032.5","1034.65","1533","7143.42","2698200","29700","       1045.95"
"SUNPHARMA","15-Jan-2007","22-Feb-2007","1025.25","1038.4","1024","1029.8","1027","1029.8","86","399.47","107550","14850","       1045.95"
"SUNPHARMA","15-Jan-2007","29-Mar-2007","0","0","0","1020","1020","1065.55","0","0","450","0","       1045.95"
"SUNPHARMA","16-Jan-2007","25-Jan-2007","1038.8","1038.8","1018.5","1025.25","1029","1025.25","776","3586.48","2706300","8100","       1036.85"
"SUNPHARMA","16-Jan-2007","22-Feb-2007","1034","1034","1011.25","1018.7","1023.5","1018.7","158","725.46","111150","3600","       1036.85"
"SUNPHARMA","16-Jan-2007","29-Mar-2007","1019","1019","1019","1019","1019","1056.1","1","4.59","900","450","       1036.85"
"SUNPHARMA","17-Jan-2007","25-Jan-2007","1022","1043.95","1021.5","1035.6","1033","1035.6","1226","5720.65","2645550","-60750","       1044.40"
"SUNPHARMA","17-Jan-2007","22-Feb-2007","1030","1039","1016","1029.4","1027.55","1029.4","236","1093.59","169200","58050","       1044.40"
"SUNPHARMA","17-Jan-2007","29-Mar-2007","0","0","0","1019","1019","1063.4","0","0","900","0","       1044.40"
"SUNPHARMA","18-Jan-2007","25-Jan-2007","1041.7","1057","1031.1","1039.35","1038.5","1039.35","2561","12066.79","2497950","-147600","       1047.85"
"SUNPHARMA","18-Jan-2007","22-Feb-2007","1031","1052","1030","1034.35","1032.3","1034.35","539","2526.46","270000","100800","       1047.85"
"SUNPHARMA","18-Jan-2007","29-Mar-2007","0","0","0","1019","1019","1066.7","0","0","900","0","       1047.85"
"SUNPHARMA","19-Jan-2007","25-Jan-2007","1041.5","1042","1026","1031.2","1033","1031.2","1149","5347.51","2312550","-185400","       1027.95"
"SUNPHARMA","19-Jan-2007","22-Feb-2007","1035","1035","1020","1025.05","1029","1025.05","664","3067.26","472950","202950","       1027.95"
"SUNPHARMA","19-Jan-2007","29-Mar-2007","1140","1140","915","915","915","1046.3","4","18.5","900","0","       1027.95"
"SUNPHARMA","22-Jan-2007","25-Jan-2007","1039.5","1066.45","1026.15","1057.35","1058.75","1057.35","3201","15081.9","1715850","-596700","       1059.80"
"SUNPHARMA","22-Jan-2007","22-Feb-2007","1032","1057","1020","1048.65","1054","1048.65","2289","10684.82","1100700","627750","       1059.80"
"SUNPHARMA","22-Jan-2007","29-Mar-2007","0","0","0","915","915","1077.9","0","0","900","0","       1059.80"
"SUNPHARMA","23-Jan-2007","25-Jan-2007","1062.75","1076.7","1040.5","1047.45","1045.6","1047.45","2269","10804.83","1275750","-440100","       1047.35"
"SUNPHARMA","23-Jan-2007","22-Feb-2007","1057.9","1068","1032","1037.25","1035","1037.25","1576","7433.11","1507950","407250","       1047.35"
"SUNPHARMA","23-Jan-2007","29-Mar-2007","1143","1143","1050","1050","1050","1064.9","14","69.08","900","0","       1047.35"
"SUNPHARMA","24-Jan-2007","25-Jan-2007","1052","1054","1017.15","1025.6","1027.7","1025.6","2166","10102.47","537300","-738450","       1021.35"
"SUNPHARMA","24-Jan-2007","22-Feb-2007","1043","1044","1010","1021.05","1022.5","1021.05","2068","9561.4","2232000","724050","       1021.35"
"SUNPHARMA","24-Jan-2007","29-Mar-2007","0","0","0","1050","1050","1038.05","0","0","900","0","       1021.35"
"SUNPHARMA","25-Jan-2007","25-Jan-2007","1033","1046.5","1028","1038.9","1040","1039.7","869","4065.27","278550","-258750","       1039.70"
"SUNPHARMA","25-Jan-2007","22-Feb-2007","1026","1044","1026","1034.35","1033.5","1034.35","1143","5333","2478150","246150","       1039.70"
"SUNPHARMA","25-Jan-2007","29-Mar-2007","1021","1044","1021","1044","1044","1056.4","4","18.59","900","0","       1039.70"
"SUNPHARMA","29-Jan-2007","22-Feb-2007","1035","1036.95","1015","1021.1","1016","1021.1","1077","4969.44","2545200","67050","       1020.65"
"SUNPHARMA","29-Jan-2007","29-Mar-2007","1035","1035","1013.05","1013.05","1013.05","1013.05","12","55.02","4050","3150","       1020.65"
"SUNPHARMA","29-Jan-2007","26-Apr-2007","0","0","0","1063.9","0","1043.65","0","0","0","0","       1020.65"
"SUNPHARMA","31-Jan-2007","22-Feb-2007","1021.1","1032.75","1012","1017.15","1013","1017.15","822","3770.07","2581650","36450","       1030.55"
"SUNPHARMA","31-Jan-2007","29-Mar-2007","1007","1020.5","1007","1008.2","1008","1008.2","9","40.96","7650","3600","       1030.55"
"SUNPHARMA","31-Jan-2007","26-Apr-2007","1115","1115","1115","1115","1115","1052.85","1","5.02","450","450","       1030.55"
"SUNPHARMA","01-Feb-2007","22-Feb-2007","1020","1037.7","1016.5","1034.1","1031.1","1034.1","976","4522.67","2573550","-8100","       1045.70"
"SUNPHARMA","01-Feb-2007","29-Mar-2007","1019","1036","1019","1029.25","1031","1029.25","10","46.19","8100","450","       1045.70"
"SUNPHARMA","01-Feb-2007","26-Apr-2007","0","0","0","1115","1115","1068.05","0","0","450","0","       1045.70"
"SUNPHARMA","02-Feb-2007","22-Feb-2007","1037","1039.8","1027.5","1032.9","1030.5","1032.9","698","3247.41","2613150","39600","       1043.80"
"SUNPHARMA","02-Feb-2007","29-Mar-2007","1027","1031.9","1027","1031","1031","1058.6","18","83.36","14850","6750","       1043.80"
"SUNPHARMA","02-Feb-2007","26-Apr-2007","0","0","0","1115","1115","1066.25","0","0","450","0","       1043.80"
"SUNPHARMA","05-Feb-2007","22-Feb-2007","1030.3","1048","1026","1043.35","1038","1043.35","935","4370.84","2586150","-27000","       1052.85"
"SUNPHARMA","05-Feb-2007","29-Mar-2007","1029.9","1038","1028.35","1035.35","1034.1","1035.35","23","107.08","20700","5850","       1052.85"
"SUNPHARMA","05-Feb-2007","26-Apr-2007","0","0","0","1115","1115","1074.7","0","0","450","0","       1052.85"
"SUNPHARMA","06-Feb-2007","22-Feb-2007","1042","1048","1031.1","1033.55","1031.15","1033.55","553","2582.48","2597400","11250","       1037.65"
"SUNPHARMA","06-Feb-2007","29-Mar-2007","1030","1034.95","1026.1","1027.2","1028.3","1027.2","11","51.02","23850","3150","       1037.65"
"SUNPHARMA","06-Feb-2007","26-Apr-2007","1030","1030","1025","1025","1025","1025","2","9.25","900","450","       1037.65"
"SUNPHARMA","07-Feb-2007","22-Feb-2007","1038.8","1041","1023","1038.25","1038","1038.25","765","3563.03","2644650","47250","       1048.40"
"SUNPHARMA","07-Feb-2007","29-Mar-2007","1024.95","1034","1024.95","1030.1","1030.1","1062.1","26","120.37","31500","7650","       1048.40"
"SUNPHARMA","07-Feb-2007","26-Apr-2007","0","0","0","1025","1025","1069.85","0","0","900","0","       1048.40"
"SUNPHARMA","08-Feb-2007","22-Feb-2007","1035.1","1044","1027","1043.1","1043","1043.1","661","3089.24","2551950","-92700","       1047.40"
