"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SUNPHARMA","02-Jul-2018","26-Jul-2018","571.85","575.45","561","566.3","565.8","566.3","7815","48810.45","42102500","324500","        563.15"
"SUNPHARMA","02-Jul-2018","30-Aug-2018","568","577.9","564","568.65","568.4","568.65","182","1139.26","410300","139700","        563.15"
"SUNPHARMA","02-Jul-2018","27-Sep-2018","570.25","570.25","570.25","570.25","570.25","570.25","2","12.55","3300","2200","        563.15"
"SUNPHARMA","03-Jul-2018","26-Jul-2018","566.55","579.65","562.95","577.1","576.9","577.1","11552","72875.69","42994600","892100","        573.60"
"SUNPHARMA","03-Jul-2018","30-Aug-2018","569.3","582.15","566","579.5","579.2","579.5","185","1173.18","515900","105600","        573.60"
"SUNPHARMA","03-Jul-2018","27-Sep-2018","0","0","0","570.25","570.25","583.55","0","0","3300","0","        573.60"
"SUNPHARMA","04-Jul-2018","26-Jul-2018","576.65","591","575.1","580.8","579.9","580.8","15842","101698.15","42476500","-518100","        579.30"
"SUNPHARMA","04-Jul-2018","30-Aug-2018","583.4","592","578.5","582.3","582.3","582.3","147","947.31","542300","26400","        579.30"
"SUNPHARMA","04-Jul-2018","27-Sep-2018","589.5","592","585.8","586.5","586.5","589.25","4","25.89","3300","0","        579.30"
"SUNPHARMA","05-Jul-2018","26-Jul-2018","580.8","582.75","565.7","568.2","569","568.2","8035","50794.97","42495200","18700","        566.95"
"SUNPHARMA","05-Jul-2018","30-Aug-2018","581.2","585","569.25","570.9","572","570.9","123","780.88","564300","22000","        566.95"
"SUNPHARMA","05-Jul-2018","27-Sep-2018","0","0","0","586.5","586.5","576.55","0","0","3300","0","        566.95"
"SUNPHARMA","06-Jul-2018","26-Jul-2018","568.55","574.3","558.6","561.15","562.8","561.15","9454","58883.32","42886800","391600","        558.10"
"SUNPHARMA","06-Jul-2018","30-Aug-2018","570","575.6","561.1","563.95","565.45","563.95","218","1361.83","629200","64900","        558.10"
"SUNPHARMA","06-Jul-2018","27-Sep-2018","562.4","562.4","562.4","562.4","562.4","562.4","1","6.19","3300","0","        558.10"
"SUNPHARMA","09-Jul-2018","26-Jul-2018","566.95","575.55","563","571.55","571.5","571.55","7420","46596.15","42846100","-40700","        568.80"
"SUNPHARMA","09-Jul-2018","30-Aug-2018","568.65","577.75","567","574.2","574.2","574.2","146","919.83","677600","48400","        568.80"
"SUNPHARMA","09-Jul-2018","27-Sep-2018","576.5","576.5","576.5","576.5","576.5","578","1","6.34","3300","0","        568.80"
"SUNPHARMA","10-Jul-2018","26-Jul-2018","571.4","573.4","559","565","565.95","565","9646","59937","42394000","-452100","        563.95"
"SUNPHARMA","10-Jul-2018","30-Aug-2018","572.15","574","562","567.35","568.25","567.35","259","1615.33","741400","63800","        563.95"
"SUNPHARMA","10-Jul-2018","27-Sep-2018","569","570.25","565","565","565","572.95","5","31.27","8800","5500","        563.95"
"SUNPHARMA","11-Jul-2018","26-Jul-2018","565.55","570.9","561","562.2","562.5","562.2","7974","49609.67","42566700","172700","        560.75"
"SUNPHARMA","11-Jul-2018","30-Aug-2018","567.55","573.25","563.5","564.45","565.7","564.45","234","1461.95","786500","45100","        560.75"
"SUNPHARMA","11-Jul-2018","27-Sep-2018","572","572.8","566.65","566.65","566.65","566.65","6","37.61","9900","1100","        560.75"
"SUNPHARMA","12-Jul-2018","26-Jul-2018","563.5","573","558.35","565.15","566.1","565.15","8220","51193.84","42530400","-36300","        564.45"
"SUNPHARMA","12-Jul-2018","30-Aug-2018","565.25","575.3","561.6","567.6","568.5","567.6","338","2116.38","845900","59400","        564.45"
"SUNPHARMA","12-Jul-2018","27-Sep-2018","575","575","569","569","569","573.2","3","18.91","13200","3300","        564.45"
"SUNPHARMA","13-Jul-2018","26-Jul-2018","567.5","567.9","557.45","561.3","561.9","561.3","5341","33040.01","42486400","-44000","        559.75"
"SUNPHARMA","13-Jul-2018","30-Aug-2018","569.35","570","560","564","564.3","564","601","3734.73","918500","72600","        559.75"
"SUNPHARMA","13-Jul-2018","27-Sep-2018","569.05","569.05","563","565.7","565.7","565.7","4","24.91","16500","3300","        559.75"
"SUNPHARMA","16-Jul-2018","26-Jul-2018","560.1","561.6","531.2","534.15","534.4","534.15","9720","57987.94","41939700","-546700","        533.95"
"SUNPHARMA","16-Jul-2018","30-Aug-2018","559.6","560.25","533.9","536.5","537.25","536.5","929","5567.33","1032900","114400","        533.95"
"SUNPHARMA","16-Jul-2018","27-Sep-2018","567","567","536.95","538.05","538.35","538.05","44","264.38","38500","22000","        533.95"
"SUNPHARMA","17-Jul-2018","26-Jul-2018","535.55","553.55","533.5","550.2","548.85","550.2","7396","44432.42","41735100","-204600","        548.65"
"SUNPHARMA","17-Jul-2018","30-Aug-2018","540.35","556.5","537","552.85","551.3","552.85","671","4051.44","1270500","237600","        548.65"
