"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SUNPHARMA","01-Nov-2012","29-Nov-2012","697.4","707","692.45","704.65","704.2","704.65","1353","4742.48","3606500","47500","        701.45"
"SUNPHARMA","01-Nov-2012","27-Dec-2012","706.45","709.1","705","707.1","707.1","710.9","7","24.75","11500","1000","        701.45"
"SUNPHARMA","01-Nov-2012","31-Jan-2013","0","0","0","711.35","0","716.85","0","0","0","0","        701.45"
"SUNPHARMA","02-Nov-2012","29-Nov-2012","711.9","711.95","699.15","702.7","704.55","702.7","1852","6520.62","3814500","208000","        696.95"
"SUNPHARMA","02-Nov-2012","27-Dec-2012","710.9","710.9","704.65","708.25","710","708.25","32","113.33","22000","10500","        696.95"
"SUNPHARMA","02-Nov-2012","31-Jan-2013","746.5","746.5","713.7","713.7","713.7","712.05","2","7.3","1000","1000","        696.95"
"SUNPHARMA","05-Nov-2012","29-Nov-2012","704.85","708.8","700.3","703.05","703.6","703.05","623","2192.87","3831500","17000","        697.90"
"SUNPHARMA","05-Nov-2012","27-Dec-2012","709.75","711","706.95","706.95","706.95","706.6","10","35.43","24500","2500","        697.90"
"SUNPHARMA","05-Nov-2012","31-Jan-2013","710","710","710","710","710","712.5","1","3.55","1500","500","        697.90"
"SUNPHARMA","06-Nov-2012","29-Nov-2012","702.7","707.9","697","704.25","706.35","704.25","918","3225.73","3933000","101500","        698.40"
"SUNPHARMA","06-Nov-2012","27-Dec-2012","704.15","710.15","704.15","710.15","710.15","710.15","3","10.62","25500","1000","        698.40"
"SUNPHARMA","06-Nov-2012","31-Jan-2013","0","0","0","710","710","712.85","0","0","1500","0","        698.40"
"SUNPHARMA","07-Nov-2012","29-Nov-2012","706","710.8","702.5","706","707.4","706","1336","4719.47","3990000","57000","        700.35"
"SUNPHARMA","07-Nov-2012","27-Dec-2012","710.25","714","709.2","710.85","710.05","710.85","131","465.39","73000","47500","        700.35"
"SUNPHARMA","07-Nov-2012","31-Jan-2013","0","0","0","710","710","714.55","0","0","1500","0","        700.35"
"SUNPHARMA","08-Nov-2012","29-Nov-2012","705.7","718.7","693.5","698.7","698.95","698.7","6765","23865.32","3930500","-59500","        696.55"
"SUNPHARMA","08-Nov-2012","27-Dec-2012","710","722.35","698.75","703.6","703.55","703.6","81","288.17","76500","3500","        696.55"
"SUNPHARMA","08-Nov-2012","31-Jan-2013","730.85","730.9","709.05","709.05","709.05","709.05","7","25.21","3000","1500","        696.55"
"SUNPHARMA","09-Nov-2012","29-Nov-2012","697.05","709.45","696","698.4","697.55","698.4","1718","6041.36","3941500","11000","        694.20"
"SUNPHARMA","09-Nov-2012","27-Dec-2012","705.9","713","700.25","702.65","702.75","702.65","93","328.02","107500","31000","        694.20"
"SUNPHARMA","09-Nov-2012","31-Jan-2013","0","0","0","709.05","709.05","708.05","0","0","3000","0","        694.20"
"SUNPHARMA","12-Nov-2012","29-Nov-2012","699.45","702.6","688.45","695.1","693.65","695.1","809","2815.91","3947500","6000","        691.95"
"SUNPHARMA","12-Nov-2012","27-Dec-2012","705","705.3","694.65","698.25","698.25","698.25","23","80.45","108500","1000","        691.95"
"SUNPHARMA","12-Nov-2012","31-Jan-2013","709.05","709.05","709.05","709.05","709.05","705.25","1","3.55","2500","-500","        691.95"
"SUNPHARMA","13-Nov-2012","29-Nov-2012","694.05","694.55","686.2","689.9","688.8","689.9","260","897.91","3909500","-38000","        688.60"
"SUNPHARMA","13-Nov-2012","27-Dec-2012","696.65","696.65","692.95","694.45","694.95","694.45","14","48.67","109000","500","        688.60"
"SUNPHARMA","13-Nov-2012","31-Jan-2013","0","0","0","709.05","709.05","701.65","0","0","2500","0","        688.60"
"SUNPHARMA","15-Nov-2012","29-Nov-2012","684.55","689","661","684.85","681.1","684.85","1884","6370.75","3875500","-34000","        684.20"
"SUNPHARMA","15-Nov-2012","27-Dec-2012","670.85","692.7","665.85","688.65","692.7","688.65","71","240.96","117000","8000","        684.20"
"SUNPHARMA","15-Nov-2012","31-Jan-2013","688.35","688.35","688.35","688.35","688.35","696.85","1","3.44","3000","500","        684.20"
"SUNPHARMA","16-Nov-2012","29-Nov-2012","684.05","690.45","675.2","679.25","678","679.25","1481","5056.71","3683000","-192500","        679.00"
"SUNPHARMA","16-Nov-2012","27-Dec-2012","685","694.95","681.55","683.1","682.7","683.1","64","220.3","129500","12500","        679.00"
"SUNPHARMA","16-Nov-2012","31-Jan-2013","695.35","695.35","695.35","695.35","695.35","691.35","1","3.48","2500","-500","        679.00"
"SUNPHARMA","19-Nov-2012","29-Nov-2012","677","685.2","675","681.95","683.9","681.95","582","1978.17","3612500","-70500","        680.45"
"SUNPHARMA","19-Nov-2012","27-Dec-2012","684","687.8","680.25","685.8","687.8","685.8","39","133.24","132000","2500","        680.45"
"SUNPHARMA","19-Nov-2012","31-Jan-2013","687.05","693","687.05","693","693","693","2","6.9","3000","500","        680.45"
"SUNPHARMA","20-Nov-2012","29-Nov-2012","681.95","685.3","672.35","682.6","681.8","682.6","1008","3417.89","3552000","-60500","        683.10"
"SUNPHARMA","20-Nov-2012","27-Dec-2012","684","688.8","677.5","687.2","688","687.2","71","242.13","132000","0","        683.10"
"SUNPHARMA","20-Nov-2012","31-Jan-2013","0","0","0","693","693","694.95","0","0","3000","0","        683.10"
"SUNPHARMA","21-Nov-2012","29-Nov-2012","683","703","680","700.8","701.25","700.8","2387","8309.25","3218500","-333500","        700.45"
"SUNPHARMA","21-Nov-2012","27-Dec-2012","689.9","707","689","705.45","706.95","705.45","523","1837.9","319000","187000","        700.45"
"SUNPHARMA","21-Nov-2012","31-Jan-2013","696","696","696","696","696","712.4","1","3.48","2500","-500","        700.45"
"SUNPHARMA","22-Nov-2012","29-Nov-2012","700.15","702.8","688.85","698.1","695.5","698.1","2037","7074.28","2957000","-261500","        699.20"
"SUNPHARMA","22-Nov-2012","27-Dec-2012","702.45","707","693.7","702.35","700","702.35","762","2654.95","569000","250000","        699.20"
"SUNPHARMA","22-Nov-2012","31-Jan-2013","700","700","700","700","700","711.05","2","7","3500","1000","        699.20"
"SUNPHARMA","23-Nov-2012","29-Nov-2012","695.35","707.8","692.45","705.7","705.5","705.7","1496","5262.8","2968000","11000","        705.30"
"SUNPHARMA","23-Nov-2012","27-Dec-2012","698","712","698","710","708.1","710","252","892.47","616500","47500","        705.30"
"SUNPHARMA","23-Nov-2012","31-Jan-2013","0","0","0","700","700","717.05","0","0","3500","0","        705.30"
"SUNPHARMA","26-Nov-2012","29-Nov-2012","706.3","708.15","694.9","697.05","696","697.05","1715","6004.08","2454000","-514000","        696.80"
"SUNPHARMA","26-Nov-2012","27-Dec-2012","710","710.15","700","701.75","702.45","701.75","1246","4391.06","1121500","505000","        696.80"
"SUNPHARMA","26-Nov-2012","31-Jan-2013","0","0","0","700","700","707.9","0","0","3500","0","        696.80"
"SUNPHARMA","27-Nov-2012","29-Nov-2012","696.35","703","695.3","701.65","702.75","701.65","2171","7598.19","1939500","-514500","        699.95"
"SUNPHARMA","27-Nov-2012","27-Dec-2012","700.95","707.8","700.25","706.5","707.75","706.5","2060","7259.67","1954000","832500","        699.95"
"SUNPHARMA","27-Nov-2012","31-Jan-2013","707","711.35","707","711.35","711.35","711.35","22","78","14000","10500","        699.95"
"SUNPHARMA","29-Nov-2012","29-Nov-2012","701.9","714.8","700","710.25","709.8","709.95","3175","11267.94","1058500","-881000","        709.95"
"SUNPHARMA","29-Nov-2012","27-Dec-2012","709.05","718.8","705","714.25","713.25","714.25","3936","14057.29","3225500","1271500","        709.95"
"SUNPHARMA","29-Nov-2012","31-Jan-2013","720","720.2","717.6","719.1","718.75","719.1","7","25.17","14500","500","        709.95"
"SUNPHARMA","30-Nov-2012","27-Dec-2012","716.55","718.4","710.9","714.35","713.3","714.35","1082","3863.67","3233500","8000","        709.85"
"SUNPHARMA","30-Nov-2012","31-Jan-2013","715.8","719.35","715.8","719.35","719.35","719.35","7","25.11","16000","1500","        709.85"
"SUNPHARMA","30-Nov-2012","28-Feb-2013","0","0","0","725.6","0","725.3","0","0","0","0","        709.85"
"SUNPHARMA","03-Dec-2012","27-Dec-2012","714","714.35","705.4","711.15","710.55","711.15","737","2619.21","3303000","69500","        705.05"
"SUNPHARMA","03-Dec-2012","31-Jan-2013","711.8","718.25","711.65","716","716","716","8","28.56","17000","1000","        705.05"
"SUNPHARMA","03-Dec-2012","28-Feb-2013","0","0","0","725.6","0","719.9","0","0","0","0","        705.05"
"SUNPHARMA","04-Dec-2012","27-Dec-2012","708.35","714.8","707.8","709.7","710","709.7","628","2233.33","3369500","66500","        703.80"
"SUNPHARMA","04-Dec-2012","31-Jan-2013","716","717.85","713.5","713.5","713.5","713.5","9","32.19","18000","1000","        703.80"
"SUNPHARMA","04-Dec-2012","28-Feb-2013","0","0","0","725.6","0","718.4","0","0","0","0","        703.80"
"SUNPHARMA","05-Dec-2012","27-Dec-2012","710.75","715.9","704.2","707.85","709.5","707.85","909","3229.14","3498000","128500","        702.55"
"SUNPHARMA","05-Dec-2012","31-Jan-2013","716.85","718","708.9","714.25","714.25","712.25","8","28.54","21000","3000","        702.55"
"SUNPHARMA","05-Dec-2012","28-Feb-2013","0","0","0","725.6","0","717.05","0","0","0","0","        702.55"
"SUNPHARMA","06-Dec-2012","27-Dec-2012","707","713","697.2","708.5","705.95","708.5","1002","3528.62","3541000","43000","        703.15"
"SUNPHARMA","06-Dec-2012","31-Jan-2013","705.2","715","704.5","712","709.15","712","22","78.23","26000","5000","        703.15"
"SUNPHARMA","06-Dec-2012","28-Feb-2013","0","0","0","725.6","0","717.45","0","0","0","0","        703.15"
"SUNPHARMA","07-Dec-2012","27-Dec-2012","707.05","709.75","699.15","705.05","703.3","705.05","816","2872.57","3568000","27000","        699.90"
"SUNPHARMA","07-Dec-2012","31-Jan-2013","713.05","713.05","704","709.2","708.65","709.2","18","63.63","30500","4500","        699.90"
"SUNPHARMA","07-Dec-2012","28-Feb-2013","0","0","0","725.6","0","713.9","0","0","0","0","        699.90"
"SUNPHARMA","10-Dec-2012","27-Dec-2012","703.3","713.9","700","709.35","712","709.35","1115","3933.88","3540000","-28000","        704.60"
"SUNPHARMA","10-Dec-2012","31-Jan-2013","708.45","717.8","705.45","714.2","717.8","714.2","13","46.31","30500","0","        704.60"
"SUNPHARMA","10-Dec-2012","28-Feb-2013","0","0","0","725.6","0","718.2","0","0","0","0","        704.60"
"SUNPHARMA","11-Dec-2012","27-Dec-2012","711.6","738.9","711.6","720","720","720","3097","11233.95","3534000","-6000","        715.60"
