"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SUNPHARMA","01-Sep-2010","30-Sep-2010","1760","1760","1738","1749.55","1750.2","1749.55","1134","2474.42","690750","21750","       1750.55"
"SUNPHARMA","01-Sep-2010","28-Oct-2010","1751.15","1757.25","1742.45","1753.9","1753","1753.9","158","345.34","27000","18000","       1750.55"
"SUNPHARMA","01-Sep-2010","25-Nov-2010","0","0","0","1812.95","0","1779.15","0","0","0","0","       1750.55"
"SUNPHARMA","02-Sep-2010","30-Sep-2010","1759.95","1764.75","1727","1732.45","1731","1732.45","710","1544.2","724875","34125","       1733.25"
"SUNPHARMA","02-Sep-2010","28-Oct-2010","1761.25","1761.25","1734","1736.95","1734","1736.95","88","191.96","34750","7750","       1733.25"
"SUNPHARMA","02-Sep-2010","25-Nov-2010","0","0","0","1812.95","0","1761.1","0","0","0","0","       1733.25"
"SUNPHARMA","03-Sep-2010","30-Sep-2010","1735.05","1743.85","1715","1727.15","1725","1727.15","843","1821.96","747500","22625","       1725.05"
"SUNPHARMA","03-Sep-2010","28-Oct-2010","1741.4","1741.6","1720","1731.15","1731.7","1731.15","71","153.57","39625","4875","       1725.05"
"SUNPHARMA","03-Sep-2010","25-Nov-2010","0","0","0","1812.95","0","1752.45","0","0","0","0","       1725.05"
"SUNPHARMA","06-Sep-2010","30-Sep-2010","1730","1735.75","1715.55","1728.6","1730","1728.6","915","1972.51","777500","30000","       1728.50"
"SUNPHARMA","06-Sep-2010","28-Oct-2010","1725","1737.65","1718","1730.8","1730","1730.8","191","411.95","56500","16875","       1728.50"
"SUNPHARMA","06-Sep-2010","25-Nov-2010","0","0","0","1812.95","0","1754.9","0","0","0","0","       1728.50"
"SUNPHARMA","07-Sep-2010","30-Sep-2010","1731","1743.55","1716.05","1720.65","1721.35","1720.65","1095","2360.32","808000","30500","       1722.75"
"SUNPHARMA","07-Sep-2010","28-Oct-2010","1739.2","1742.1","1719.45","1724.25","1723.6","1724.25","36","77.67","56875","375","       1722.75"
"SUNPHARMA","07-Sep-2010","25-Nov-2010","0","0","0","1812.95","0","1748.9","0","0","0","0","       1722.75"
"SUNPHARMA","08-Sep-2010","30-Sep-2010","1760","1820.25","1747","1753.65","1752","1753.65","7802","17305.51","883750","75750","       1753.85"
"SUNPHARMA","08-Sep-2010","28-Oct-2010","1785","1836.85","1752.75","1755.9","1754.55","1755.9","126","280.69","59625","2750","       1753.85"
"SUNPHARMA","08-Sep-2010","25-Nov-2010","0","0","0","1812.95","0","1780.3","0","0","0","0","       1753.85"
"SUNPHARMA","09-Sep-2010","30-Sep-2010","1758","1771.9","1748.1","1752.7","1748.5","1752.7","2092","4601.07","866625","-17125","       1745.55"
"SUNPHARMA","09-Sep-2010","28-Oct-2010","1770.2","1770.35","1752.9","1757.45","1756.95","1757.45","32","70.54","61125","1500","       1745.55"
"SUNPHARMA","09-Sep-2010","25-Nov-2010","0","0","0","1812.95","0","1771.35","0","0","0","0","       1745.55"
"SUNPHARMA","13-Sep-2010","30-Sep-2010","1757.7","1765","1745","1757.35","1755","1757.35","2032","4454.21","820125","-46500","       1754.50"
"SUNPHARMA","13-Sep-2010","28-Oct-2010","1756","1760.7","1750","1758","1757","1758","35","76.82","62750","1625","       1754.50"
