"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TATAMOTORS","01-Mar-2007","29-Mar-2007","799","815.25","771.1","792.7","792","792.7","6620","21702.93","3798228","326304","        789.05"
"TATAMOTORS","01-Mar-2007","26-Apr-2007","810","817","798.25","803.65","803.65","803.65","14","46.47","5768","1648","        789.05"
"TATAMOTORS","01-Mar-2007","31-May-2007","0","0","0","857.95","0","809.65","0","0","0","0","        789.05"
"TATAMOTORS","02-Mar-2007","29-Mar-2007","793","798.25","772.65","777","773","777","4233","13679.54","3813060","14832","        775.40"
"TATAMOTORS","02-Mar-2007","26-Apr-2007","788.6","797","772.5","772.8","772.5","772.8","10","32.32","7004","1236","        775.40"
"TATAMOTORS","02-Mar-2007","31-May-2007","0","0","0","857.95","0","795.4","0","0","0","0","        775.40"
"TATAMOTORS","05-Mar-2007","29-Mar-2007","770","776","730.15","739.2","734","739.2","5992","18596.05","3945312","132252","        739.90"
"TATAMOTORS","05-Mar-2007","26-Apr-2007","775.55","775.55","736.65","749.35","736.65","749.35","171","529.64","57680","50676","        739.90"
"TATAMOTORS","05-Mar-2007","31-May-2007","0","0","0","857.95","0","758.35","0","0","0","0","        739.90"
"TATAMOTORS","06-Mar-2007","29-Mar-2007","748.9","770","721","733.45","743","733.45","9125","27902.27","4411284","465972","        726.60"
"TATAMOTORS","06-Mar-2007","26-Apr-2007","760.9","772.05","731.05","744.1","747.9","744.1","45","138.67","58092","412","        726.60"
"TATAMOTORS","06-Mar-2007","31-May-2007","0","0","0","857.95","0","744.35","0","0","0","0","        726.60"
"TATAMOTORS","07-Mar-2007","29-Mar-2007","750","755","713.5","739.65","746","739.65","6065","18326.98","4184684","-226600","        738.60"
"TATAMOTORS","07-Mar-2007","26-Apr-2007","752","755","720.05","741.25","748","741.25","263","802.47","109592","51500","        738.60"
"TATAMOTORS","07-Mar-2007","31-May-2007","0","0","0","857.95","0","756.7","0","0","0","0","        738.60"
"TATAMOTORS","08-Mar-2007","29-Mar-2007","750.9","774.4","742.65","771.6","771","771.6","5030","15776.8","3931304","-253380","        766.85"
"TATAMOTORS","08-Mar-2007","26-Apr-2007","746.15","782","746.15","778.15","778","778.15","298","949.77","162740","53148","        766.85"
"TATAMOTORS","08-Mar-2007","31-May-2007","0","0","0","857.95","0","785.45","0","0","0","0","        766.85"
"TATAMOTORS","09-Mar-2007","29-Mar-2007","774","784.25","745","758.05","756","758.05","5110","16044.14","3910292","-21012","        757.15"
"TATAMOTORS","09-Mar-2007","26-Apr-2007","776.9","784.8","752.2","762.85","760.15","762.85","44","139.77","164388","1648","        757.15"
"TATAMOTORS","09-Mar-2007","31-May-2007","0","0","0","857.95","0","775.25","0","0","0","0","        757.15"
"TATAMOTORS","12-Mar-2007","29-Mar-2007","761.7","775.8","756.5","765.85","765.15","765.85","3106","9806.56","3862912","-47380","        764.70"
"TATAMOTORS","12-Mar-2007","26-Apr-2007","769.95","781","765","772.45","772.45","772.45","30","95.42","165624","1236","        764.70"
"TATAMOTORS","12-Mar-2007","31-May-2007","0","0","0","857.95","0","782.45","0","0","0","0","        764.70"
"TATAMOTORS","13-Mar-2007","29-Mar-2007","769","778","757.6","775.2","777","775.2","2956","9361.87","3773920","-88992","        773.10"
"TATAMOTORS","13-Mar-2007","26-Apr-2007","772","786.65","742.65","773.75","782.2","773.75","159","506.2","173040","7416","        773.10"
"TATAMOTORS","13-Mar-2007","31-May-2007","0","0","0","857.95","0","791","0","0","0","0","        773.10"
"TATAMOTORS","14-Mar-2007","29-Mar-2007","753.1","755","710","743","742.3","743","4841","14745.47","3829952","56032","        743.65"
"TATAMOTORS","14-Mar-2007","26-Apr-2007","748.4","757.5","735","748.05","748","748.05","121","370.6","180868","7828","        743.65"
"TATAMOTORS","14-Mar-2007","31-May-2007","0","0","0","857.95","0","760.5","0","0","0","0","        743.65"
"TATAMOTORS","15-Mar-2007","29-Mar-2007","752","758.4","724.4","728","730.25","728","3361","10270.17","3928008","98056","        725.95"
"TATAMOTORS","15-Mar-2007","26-Apr-2007","768","768","730.5","737.25","737.4","737.25","143","439.89","187460","6592","        725.95"
"TATAMOTORS","15-Mar-2007","31-May-2007","0","0","0","857.95","0","742.1","0","0","0","0","        725.95"
"TATAMOTORS","16-Mar-2007","29-Mar-2007","735","751","728.55","747.3","748.4","747.3","5505","16778.6","3751672","-176336","        748.25"
"TATAMOTORS","16-Mar-2007","26-Apr-2007","740","754.45","736.05","753.5","750","753.5","94","288.26","193228","5768","        748.25"
"TATAMOTORS","16-Mar-2007","31-May-2007","0","0","0","857.95","0","764.85","0","0","0","0","        748.25"
"TATAMOTORS","19-Mar-2007","29-Mar-2007","760","774","746.2","770.95","773.75","770.95","3627","11372.47","3668036","-83636","        771.70"
"TATAMOTORS","19-Mar-2007","26-Apr-2007","757.3","778","750.5","775.75","778","775.75","107","338.17","205176","11948","        771.70"
"TATAMOTORS","19-Mar-2007","31-May-2007","0","0","0","857.95","0","788.15","0","0","0","0","        771.70"
"TATAMOTORS","20-Mar-2007","29-Mar-2007","774.95","779.8","760.05","769.1","770","769.1","4144","13142.49","3569156","-98880","        769.25"
"TATAMOTORS","20-Mar-2007","26-Apr-2007","781.1","783.5","766.15","773.8","774.35","773.8","317","1011.54","248848","43672","        769.25"
"TATAMOTORS","20-Mar-2007","31-May-2007","0","0","0","857.95","0","785.75","0","0","0","0","        769.25"
"TATAMOTORS","21-Mar-2007","29-Mar-2007","770","780.05","762.05","778.05","778","778.05","3687","11714.7","3509004","-60152","        775.80"
"TATAMOTORS","21-Mar-2007","26-Apr-2007","772","784","768","783.05","784","783.05","526","1680.29","320536","71688","        775.80"
"TATAMOTORS","21-Mar-2007","31-May-2007","0","0","0","857.95","0","793.45","0","0","0","0","        775.80"
"TATAMOTORS","22-Mar-2007","29-Mar-2007","787","809","785","804.7","804","804.7","6886","22614.15","3184760","-324244","        805.10"
"TATAMOTORS","22-Mar-2007","26-Apr-2007","791.55","815","791.55","811.35","810.8","811.35","1019","3370.18","498108","177572","        805.10"
"TATAMOTORS","22-Mar-2007","31-May-2007","0","0","0","857.95","0","823.15","0","0","0","0","        805.10"
"TATAMOTORS","23-Mar-2007","29-Mar-2007","806.65","806.65","785.6","793.15","792","793.15","4944","16197.96","3010072","-174688","        789.55"
"TATAMOTORS","23-Mar-2007","26-Apr-2007","806","812","790.6","797.9","797","797.9","1273","4203.89","709052","210944","        789.55"
"TATAMOTORS","23-Mar-2007","31-May-2007","805","805","805","805","805","806.25","3","9.95","1236","1236","        789.55"
"TATAMOTORS","26-Mar-2007","29-Mar-2007","798","798","751.5","755.9","759","755.9","6410","20213.59","2716728","-293344","        752.55"
"TATAMOTORS","26-Mar-2007","26-Apr-2007","796.95","796.95","757","760.85","764","760.85","2669","8455.21","1454360","745308","        752.55"
