"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TATAMOTORS","02-May-2018","31-May-2018","348.7","352.6","335.85","337.35","337.4","337.35","23118","119577.19","75172500","856500","        336.05"
"TATAMOTORS","02-May-2018","28-Jun-2018","351","353.75","337.55","339","339","339","446","2313.07","1083000","120000","        336.05"
"TATAMOTORS","02-May-2018","26-Jul-2018","355.3","355.3","340.5","340.85","341.15","340.85","23","120.32","28500","16500","        336.05"
"TATAMOTORS","03-May-2018","31-May-2018","336","336.55","330.6","334.7","334.6","334.7","9878","49401.5","74229000","-943500","        333.50"
"TATAMOTORS","03-May-2018","28-Jun-2018","335.15","337.45","332.45","336.35","335.7","336.35","287","1441.32","1173000","90000","        333.50"
"TATAMOTORS","03-May-2018","26-Jul-2018","336.4","336.4","334","336","336","338.95","12","60.37","36000","7500","        333.50"
"TATAMOTORS","04-May-2018","31-May-2018","334.45","339.3","330.35","335.65","336.25","335.65","12951","65019.77","76135500","1906500","        334.40"
"TATAMOTORS","04-May-2018","28-Jun-2018","335.55","340.8","332.05","337.3","338","337.3","349","1757.7","1303500","130500","        334.40"
"TATAMOTORS","04-May-2018","26-Jul-2018","339.5","341","339.5","341","341","339.8","3","15.31","37500","1500","        334.40"
"TATAMOTORS","07-May-2018","31-May-2018","338","338.7","334.75","336.45","336.65","336.45","6575","33200.81","75093000","-1042500","        335.15"
"TATAMOTORS","07-May-2018","28-Jun-2018","340.2","340.35","336.6","338","338","338","141","715.2","1353000","49500","        335.15"
"TATAMOTORS","07-May-2018","26-Jul-2018","339.6","340.4","339","336.45","340","336.45","11","55.95","48000","10500","        335.15"
"TATAMOTORS","08-May-2018","31-May-2018","337.35","337.85","332.2","334.35","333.3","334.35","8686","43525.11","75379500","286500","        332.15"
"TATAMOTORS","08-May-2018","28-Jun-2018","339","339","333.85","335.85","335.05","335.85","761","3831.61","1902000","549000","        332.15"
"TATAMOTORS","08-May-2018","26-Jul-2018","339","339.05","336.2","337.65","336.5","337.65","18","91.07","63000","15000","        332.15"
"TATAMOTORS","09-May-2018","31-May-2018","332.75","347.8","332.75","343.4","343.1","343.4","25866","132963.33","72913500","-2466000","        341.95"
"TATAMOTORS","09-May-2018","28-Jun-2018","335.1","349.15","335.1","344.95","344.4","344.95","711","3665.81","1890000","-12000","        341.95"
"TATAMOTORS","09-May-2018","26-Jul-2018","338","348.4","338","346","346","346","25","129.25","75000","12000","        341.95"
"TATAMOTORS","10-May-2018","31-May-2018","344.3","345","333.2","334.75","334.8","334.75","17054","86474.93","74271000","1357500","        333.60"
"TATAMOTORS","10-May-2018","28-Jun-2018","344.4","345.45","335.2","336.35","336.4","336.35","777","3954.73","2274000","384000","        333.60"
"TATAMOTORS","10-May-2018","26-Jul-2018","343.5","344","337.55","338","338.15","338","20","102.06","88500","13500","        333.60"
"TATAMOTORS","11-May-2018","31-May-2018","334.55","335.45","330.45","331.4","331.55","331.4","12196","60829.12","76669500","2398500","        330.80"
"TATAMOTORS","11-May-2018","28-Jun-2018","336.75","336.75","332.2","333.05","333.15","333.05","448","2244.1","2427000","153000","        330.80"
"TATAMOTORS","11-May-2018","26-Jul-2018","336.65","336.65","334","334.95","334.8","334.95","16","80.45","103500","15000","        330.80"
"TATAMOTORS","14-May-2018","31-May-2018","332.25","332.8","322.25","325.05","325.15","325.05","12779","62610.68","79695000","3025500","        323.60"
"TATAMOTORS","14-May-2018","28-Jun-2018","333.15","333.9","325.3","326.45","326.5","326.45","953","4682.69","3154500","727500","        323.60"
"TATAMOTORS","14-May-2018","26-Jul-2018","335.15","335.15","326.45","327.9","327.95","327.9","42","207.58","126000","22500","        323.60"
"TATAMOTORS","15-May-2018","31-May-2018","323.4","325.05","307","311.65","312.1","311.65","25798","122302.54","82378500","2683500","        310.10"
