"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TATASTEEL","01-Jan-2013","31-Jan-2013","435.5","444.15","433.65","442.5","443","442.5","8214","36180.14","12560000","433000","        438.20"
"TATASTEEL","01-Jan-2013","28-Feb-2013","436.35","446.4","436.35","444.7","445.7","444.7","126","557.39","177000","21000","        438.20"
"TATASTEEL","01-Jan-2013","28-Mar-2013","441.35","447.9","441.35","447.9","447.9","447.9","6","26.62","4000","2000","        438.20"
"TATASTEEL","02-Jan-2013","31-Jan-2013","447.1","447.35","440.7","442.2","441.4","442.2","6440","28642.14","12457000","-103000","        438.15"
"TATASTEEL","02-Jan-2013","28-Feb-2013","448.45","449.55","443.15","444.45","444.1","444.45","160","714.73","222000","45000","        438.15"
"TATASTEEL","02-Jan-2013","28-Mar-2013","448.2","448.2","446.2","446.6","447","446.6","3","13.41","7000","3000","        438.15"
"TATASTEEL","03-Jan-2013","31-Jan-2013","443","447.7","442","444.55","444","444.55","6080","27053.23","12236000","-221000","        442.30"
"TATASTEEL","03-Jan-2013","28-Feb-2013","445.1","450","444.55","447.05","447.35","447.05","86","384.66","244000","22000","        442.30"
"TATASTEEL","03-Jan-2013","28-Mar-2013","449.95","449.95","449.95","449.95","449.95","451.5","1","4.5","6000","-1000","        442.30"
"TATASTEEL","04-Jan-2013","31-Jan-2013","442.35","443.05","435.05","437.2","437.7","437.2","6867","30092.95","12449000","213000","        433.50"
"TATASTEEL","04-Jan-2013","28-Feb-2013","445.3","445.4","437.55","439.75","439.7","439.75","225","992.03","327000","83000","        433.50"
"TATASTEEL","04-Jan-2013","28-Mar-2013","446.7","446.7","442","442.45","442.25","442.45","8","35.47","10000","4000","        433.50"
"TATASTEEL","07-Jan-2013","31-Jan-2013","438.15","451.9","433.3","444.45","442.1","444.45","22917","101719.94","14092000","1643000","        440.90"
"TATASTEEL","07-Jan-2013","28-Feb-2013","439.55","454.15","436.4","446.75","444.95","446.75","269","1200.21","353000","26000","        440.90"
"TATASTEEL","07-Jan-2013","28-Mar-2013","442.7","446","440.1","446","446","446","13","57.5","17000","7000","        440.90"
"TATASTEEL","08-Jan-2013","31-Jan-2013","444.05","444.2","433.55","437.1","437","437.1","10154","44414.21","14228000","136000","        433.35"
"TATASTEEL","08-Jan-2013","28-Feb-2013","444.55","444.75","436.45","439.7","439.8","439.7","176","774.19","397000","44000","        433.35"
"TATASTEEL","08-Jan-2013","28-Mar-2013","444.55","444.55","439.5","439.5","439.5","441.65","4","17.67","20000","3000","        433.35"
"TATASTEEL","09-Jan-2013","31-Jan-2013","437.25","438.65","424.5","425.65","425","425.65","12925","55694.98","15819000","1591000","        422.30"
"TATASTEEL","09-Jan-2013","28-Feb-2013","440.35","441","427.5","428.55","427.65","428.55","309","1340.86","485000","88000","        422.30"
"TATASTEEL","09-Jan-2013","28-Mar-2013","441","441.3","430.85","431.45","430.85","431.45","74","325.07","63000","43000","        422.30"
"TATASTEEL","10-Jan-2013","31-Jan-2013","427.05","430.4","421.5","423.9","423","423.9","10922","46492.16","16528000","709000","        420.50"
"TATASTEEL","10-Jan-2013","28-Feb-2013","430.5","433","424.45","426.65","426.1","426.65","215","920.62","512000","27000","        420.50"
"TATASTEEL","10-Jan-2013","28-Mar-2013","429.75","429.75","423.4","423.4","423.4","428.35","2","8.53","62000","-1000","        420.50"
