"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TATASTEEL","03-Mar-2014","27-Mar-2014","346.4","351.4","342.6","346.9","345.3","346.9","15376","53461.53","16701000","-266000","        345.30"
"TATASTEEL","03-Mar-2014","24-Apr-2014","347","353.45","345.9","349.2","348.35","349.2","260","909.58","395000","9000","        345.30"
"TATASTEEL","03-Mar-2014","29-May-2014","353","355.45","349.65","351","351","351","10","35.21","18000","6000","        345.30"
"TATASTEEL","04-Mar-2014","27-Mar-2014","348.05","355.25","347.15","354.45","354.65","354.45","16114","56798.72","16304000","-397000","        351.75"
"TATASTEEL","04-Mar-2014","24-Apr-2014","350","357.25","350","356.85","357.05","356.85","171","606.31","423000","28000","        351.75"
"TATASTEEL","04-Mar-2014","29-May-2014","354","360","354","359.85","360","359.85","7","25.01","21000","3000","        351.75"
"TATASTEEL","05-Mar-2014","27-Mar-2014","357","361.5","353.15","357.55","356.95","357.55","15733","56312.7","16001000","-303000","        355.95"
"TATASTEEL","05-Mar-2014","24-Apr-2014","361.1","363.7","356","359.9","359.45","359.9","194","699.12","434000","11000","        355.95"
"TATASTEEL","05-Mar-2014","29-May-2014","363.4","364.15","361.85","362.25","362.25","364.25","5","18.14","22000","1000","        355.95"
"TATASTEEL","06-Mar-2014","27-Mar-2014","359.25","367.5","357.2","366.6","367.45","366.6","18603","67471.32","15645000","-356000","        364.20"
"TATASTEEL","06-Mar-2014","24-Apr-2014","360.8","370","360","369","370","369","506","1853.84","685000","251000","        364.20"
"TATASTEEL","06-Mar-2014","29-May-2014","362.45","372.3","362.45","372.2","372.3","372.2","9","33.08","25000","3000","        364.20"
"TATASTEEL","07-Mar-2014","27-Mar-2014","368.9","374.7","365.7","372.2","371.3","372.2","17219","63891.58","13829000","-1816000","        371.10"
"TATASTEEL","07-Mar-2014","24-Apr-2014","370.5","377","368.65","375.15","374","375.15","369","1378.33","682000","-3000","        371.10"
"TATASTEEL","07-Mar-2014","29-May-2014","375.1","378.6","372.5","376.9","376.9","376.9","20","75.24","28000","3000","        371.10"
"TATASTEEL","10-Mar-2014","27-Mar-2014","369","372.3","363.5","365.15","364.6","365.15","16200","59542.62","14966000","1137000","        364.15"
"TATASTEEL","10-Mar-2014","24-Apr-2014","370.65","375","366.5","368","367.4","368","374","1385.28","677000","-5000","        364.15"
"TATASTEEL","10-Mar-2014","29-May-2014","372.4","376","369.7","369.85","369.7","369.85","26","96.71","38000","10000","        364.15"
"TATASTEEL","11-Mar-2014","27-Mar-2014","364","365.15","343.65","344.75","344.8","344.75","20888","73338.76","16762000","1796000","        343.75"
"TATASTEEL","11-Mar-2014","24-Apr-2014","367.35","367.35","346.1","347.4","347.5","347.4","795","2812.22","954000","277000","        343.75"
"TATASTEEL","11-Mar-2014","29-May-2014","365","365","350","350.4","350.1","350.4","44","157.13","65000","27000","        343.75"
"TATASTEEL","12-Mar-2014","27-Mar-2014","341","350.3","338.55","341.8","342","341.8","21122","72802.8","17663000","901000","        339.60"
"TATASTEEL","12-Mar-2014","24-Apr-2014","345","352.85","341","344.5","344.75","344.5","580","2009.45","1121000","167000","        339.60"
"TATASTEEL","12-Mar-2014","29-May-2014","345.5","352.75","345.5","347.35","347","347.35","23","80.14","74000","9000","        339.60"
"TATASTEEL","13-Mar-2014","27-Mar-2014","343.7","349.9","335","337.6","337","337.6","19111","65867.66","18136000","473000","        336.85"
"TATASTEEL","13-Mar-2014","24-Apr-2014","346.55","352.3","337.6","339.8","339","339.8","749","2601.25","1376000","255000","        336.85"
"TATASTEEL","13-Mar-2014","29-May-2014","348.55","352.95","342","343.25","342.25","343.25","19","66.09","78000","4000","        336.85"
"TATASTEEL","14-Mar-2014","27-Mar-2014","334","344.65","333.35","343.7","344.5","343.7","17092","58109.12","18001000","-135000","        341.70"
"TATASTEEL","14-Mar-2014","24-Apr-2014","336.05","347.25","336","346.55","347.1","346.55","571","1957.61","1418000","42000","        341.70"
"TATASTEEL","14-Mar-2014","29-May-2014","339.75","349.7","339.5","349.7","349.7","349.7","26","89.04","66000","-12000","        341.70"
"TATASTEEL","18-Mar-2014","27-Mar-2014","348","350","339.55","341.45","341.1","341.45","13258","45806.07","18352000","351000","        340.70"
"TATASTEEL","18-Mar-2014","24-Apr-2014","350.45","352.65","342.7","344.3","344","344.3","567","1973.07","1490000","72000","        340.70"
"TATASTEEL","18-Mar-2014","29-May-2014","352.95","354.95","347","347","347","347","15","52.77","68000","2000","        340.70"
"TATASTEEL","19-Mar-2014","27-Mar-2014","344.5","361.25","341.3","358.3","358","358.3","27022","95680.25","17147000","-1205000","        356.60"
"TATASTEEL","19-Mar-2014","24-Apr-2014","346.5","363.9","344.5","361.4","360.55","361.4","1237","4423.37","1712000","222000","        356.60"
"TATASTEEL","19-Mar-2014","29-May-2014","349.75","365.95","349.75","363.8","363.55","363.8","54","194.89","70000","2000","        356.60"
"TATASTEEL","20-Mar-2014","27-Mar-2014","358.3","361.2","348.25","350.7","351.4","350.7","18196","64520.69","16579000","-568000","        349.95"
"TATASTEEL","20-Mar-2014","24-Apr-2014","360","363.75","351.3","353.75","354.35","353.75","1270","4537.27","1858000","146000","        349.95"
"TATASTEEL","20-Mar-2014","29-May-2014","362.35","363.2","355.05","356.6","356.6","356.6","24","86.18","66000","-4000","        349.95"
"TATASTEEL","21-Mar-2014","27-Mar-2014","353.75","366.8","352.4","363.7","363.7","363.7","25860","93518.38","14887000","-1692000","        362.85"
"TATASTEEL","21-Mar-2014","24-Apr-2014","356","369.8","355.85","366.65","366.8","366.65","2446","8902.65","2373000","515000","        362.85"
"TATASTEEL","21-Mar-2014","29-May-2014","358.3","372","358.3","368.75","368.45","368.75","33","121","68000","2000","        362.85"
"TATASTEEL","22-Mar-2014","27-Mar-2014","362.95","364.4","361.1","362.8","363.3","362.8","1407","5102.17","14803000","-84000","        362.30"
"TATASTEEL","22-Mar-2014","24-Apr-2014","366.35","366.6","364.4","365.85","366.25","365.85","159","581.22","2414000","41000","        362.30"
"TATASTEEL","22-Mar-2014","29-May-2014","0","0","0","368.75","368.45","369.15","0","0","68000","0","        362.30"
"TATASTEEL","24-Mar-2014","27-Mar-2014","366.25","367.35","356.6","363.6","363.2","363.6","19759","71603.13","12749000","-2054000","        363.10"
"TATASTEEL","24-Mar-2014","24-Apr-2014","368.9","371","359.8","366.55","366.3","366.55","5122","18697.13","4602000","2188000","        363.10"
"TATASTEEL","24-Mar-2014","29-May-2014","370.4","371.5","362.9","370.15","370.15","370.15","54","197.63","74000","6000","        363.10"
"TATASTEEL","25-Mar-2014","27-Mar-2014","362.5","372.4","362.4","368.2","367.95","368.2","20551","75872.49","9733000","-3016000","        367.10"
"TATASTEEL","25-Mar-2014","24-Apr-2014","365.9","375.5","365","371.25","371","371.25","7946","29604.65","8067000","3465000","        367.10"
"TATASTEEL","25-Mar-2014","29-May-2014","371","377.7","370.8","373.75","373.5","373.75","61","228.7","82000","8000","        367.10"
"TATASTEEL","26-Mar-2014","27-Mar-2014","371.5","376.8","371","375.25","375.8","375.25","16582","61999.28","7108000","-2625000","        374.80"
"TATASTEEL","26-Mar-2014","24-Apr-2014","374.5","379.95","374","378.5","379","378.5","7964","30035.95","10410000","2343000","        374.80"
"TATASTEEL","26-Mar-2014","29-May-2014","377.95","382.35","377.45","380.9","381.65","380.9","78","295.92","95000","13000","        374.80"
"TATASTEEL","27-Mar-2014","27-Mar-2014","375","379.6","373.6","375.8","375.35","375.4","13585","51179.09","4392000","-2716000","        375.40"
"TATASTEEL","27-Mar-2014","24-Apr-2014","378.5","382.5","376.3","378.55","378.6","378.55","11536","43800.23","12999000","2589000","        375.40"
"TATASTEEL","27-Mar-2014","29-May-2014","382.45","384.6","379.2","381.7","380.9","381.7","113","432.23","169000","74000","        375.40"
"TATASTEEL","28-Mar-2014","24-Apr-2014","379.45","385.3","378.7","383.5","383.9","383.5","10112","38663.5","12801000","-198000","        381.50"
"TATASTEEL","28-Mar-2014","29-May-2014","384.75","387.75","381.7","386.15","386.85","386.15","197","758.05","246000","77000","        381.50"
"TATASTEEL","28-Mar-2014","26-Jun-2014","383.65","386.15","383.65","386.15","386.15","386.15","3","11.53","3000","3000","        381.50"
"TATASTEEL","31-Mar-2014","24-Apr-2014","382.1","399.3","382.1","396.85","396.55","396.85","25473","100064.34","13546000","745000","        393.95"
"TATASTEEL","31-Mar-2014","29-May-2014","388.75","401.75","387.9","399.6","399.7","399.6","324","1279.34","288000","42000","        393.95"
"TATASTEEL","31-Mar-2014","26-Jun-2014","394.05","403.05","391.85","402","402","402","24","95.25","14000","11000","        393.95"
"TATASTEEL","01-Apr-2014","24-Apr-2014","398.6","404.5","388.4","402.4","403","402.4","23611","93880.49","12179000","-1367000","        401.15"
"TATASTEEL","01-Apr-2014","29-May-2014","401.65","407","392.1","405.3","406.1","405.3","260","1038.96","301000","13000","        401.15"
"TATASTEEL","01-Apr-2014","26-Jun-2014","396.3","408.7","396.3","408.7","408.7","410.5","11","44.53","14000","0","        401.15"
"TATASTEEL","02-Apr-2014","24-Apr-2014","404","406.6","400.2","404.9","404.9","404.9","13219","53369.46","11281000","-898000","        403.45"
"TATASTEEL","02-Apr-2014","29-May-2014","408","409.3","403.2","407.95","409.2","407.95","146","593.84","304000","3000","        403.45"
