"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TISCO","02-May-2003","29-May-2003","132.85","133.9","131.8","132.95","133","132.95","1355","3247.6","8895600","25200","        132.40"
"TISCO","02-May-2003","26-Jun-2003","129","130.3","128.1","129.95","129.95","129.95","125","291.54","847800","43200","        132.40"
"TISCO","02-May-2003","31-Jul-2003","0","0","0","128","128","135.1","0","0","9000","0","        132.40"
"TISCO","05-May-2003","29-May-2003","133.9","136.7","133.9","136.05","136.3","136.05","2170","5290.55","8843400","-52200","        135.50"
"TISCO","05-May-2003","26-Jun-2003","131","132.7","131","132.15","132.4","132.15","183","434.9","977400","129600","        135.50"
"TISCO","05-May-2003","31-Jul-2003","0","0","0","128","128","138.15","0","0","9000","0","        135.50"
"TISCO","06-May-2003","29-May-2003","136.1","137.25","135.2","136.1","136.25","136.1","1609","3946.84","8658000","-185400","        135.65"
"TISCO","06-May-2003","26-Jun-2003","132.95","133.5","131.65","132.3","132.35","132.3","147","350.49","1045800","68400","        135.65"
"TISCO","06-May-2003","31-Jul-2003","132","132.5","132","132.5","132.5","138.3","7","16.68","21600","12600","        135.65"
"TISCO","07-May-2003","29-May-2003","137","137","133.4","134.2","134.3","134.2","1526","3696.72","8433000","-225000","        133.80"
"TISCO","07-May-2003","26-Jun-2003","132.1","132.5","129.5","130.2","130.15","130.2","175","411.65","1215000","169200","        133.80"
"TISCO","07-May-2003","31-Jul-2003","131.5","131.5","130.5","130.5","130.5","136.35","4","9.44","23400","1800","        133.80"
"TISCO","08-May-2003","29-May-2003","133","133.5","131.6","132.2","132.1","132.2","1259","3002.35","8512200","79200","        131.90"
"TISCO","08-May-2003","26-Jun-2003","129.7","129.7","127.8","128.25","128.15","128.25","139","321.61","1362600","147600","        131.90"
"TISCO","08-May-2003","31-Jul-2003","129","129","128","128","128","134.45","2","4.63","25200","1800","        131.90"
"TISCO","09-May-2003","29-May-2003","132.6","134.5","131.4","134.1","134.25","134.1","1716","4123.13","8521200","9000","        133.60"
"TISCO","09-May-2003","26-Jun-2003","127.8","130","127","129.6","129.85","129.6","247","572.52","1395000","32400","        133.60"
"TISCO","09-May-2003","31-Jul-2003","128","130.3","128","130","130","130","16","37.21","34200","9000","        133.60"
"TISCO","12-May-2003","29-May-2003","134.5","135.5","133.75","134.1","134.1","134.1","1022","2477.86","8463600","-57600","        133.80"
"TISCO","12-May-2003","26-Jun-2003","130.25","130.95","129.5","129.9","129.85","129.9","90","211.05","1416600","21600","        133.80"
