"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TATASTEEL","01-Nov-2012","29-Nov-2012","393.85","403.1","393.85","400.5","400.2","400.5","11258","22443.7","13901500","-147500","        397.45"
"TATASTEEL","01-Nov-2012","27-Dec-2012","397.25","405","396.8","402.4","402.35","402.4","145","290.69","247500","500","        397.45"
"TATASTEEL","01-Nov-2012","31-Jan-2013","400.75","404.9","400","404.75","404.65","404.75","6","24.17","10000","0","        397.45"
"TATASTEEL","02-Nov-2012","29-Nov-2012","403","406.85","401.35","404.7","405","404.7","9702","19626.81","13668500","-233000","        402.35"
"TATASTEEL","02-Nov-2012","27-Dec-2012","406.85","408.7","403.7","406.75","407.25","406.75","148","300.92","236000","-11500","        402.35"
"TATASTEEL","02-Nov-2012","31-Jan-2013","408.65","409.1","408.65","409.1","409.1","411.05","2","8.18","10000","0","        402.35"
"TATASTEEL","05-Nov-2012","29-Nov-2012","402.4","403.1","398","400.4","400.35","400.4","7484","14966","13865500","197000","        397.65"
"TATASTEEL","05-Nov-2012","27-Dec-2012","403.3","403.8","397.8","402.55","402.6","402.55","176","353.8","261000","25000","        397.65"
"TATASTEEL","05-Nov-2012","31-Jan-2013","405.3","405.3","402.55","402.55","402.55","406","2","8.08","12000","2000","        397.65"
"TATASTEEL","06-Nov-2012","29-Nov-2012","398","402.8","396.5","402.05","402.3","402.05","7676","15331.37","13933500","68000","        398.95"
"TATASTEEL","06-Nov-2012","27-Dec-2012","399.55","404.9","399.05","404.2","404.55","404.2","209","419.04","285500","24500","        398.95"
"TATASTEEL","06-Nov-2012","31-Jan-2013","402.8","402.8","402.5","402.5","402.5","407.2","5","20.13","17000","5000","        398.95"
"TATASTEEL","07-Nov-2012","29-Nov-2012","401.45","408.3","400.25","405.15","405.75","405.15","11134","22595.04","14388500","455000","        401.95"
"TATASTEEL","07-Nov-2012","27-Dec-2012","403.15","410.45","403.15","407.45","407.7","407.45","212","432.48","294000","8500","        401.95"
"TATASTEEL","07-Nov-2012","31-Jan-2013","406.3","412.4","406.3","410.15","410.15","410.1","5","20.47","18000","1000","        401.95"
"TATASTEEL","08-Nov-2012","29-Nov-2012","401.8","408","399.9","406.6","406.4","406.6","10834","21922.67","14630000","241500","        403.95"
"TATASTEEL","08-Nov-2012","27-Dec-2012","402.55","410.05","402.15","408.8","409.1","408.8","188","382.3","315500","21500","        403.95"
