"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TCS","02-Jan-2006","25-Jan-2006","1712.2","1718","1692","1696.65","1697.45","1696.65","2484","10585.41","1629500","172250","       1687.60"
"TCS","02-Jan-2006","23-Feb-2006","1701.2","1701.2","1701.2","1701.2","1701.2","1704","1","4.25","1000","250","       1687.60"
"TCS","02-Jan-2006","30-Mar-2006","0","0","0","1739.55","0","1715.05","0","0","0","0","       1687.60"
"TCS","03-Jan-2006","25-Jan-2006","1698","1739","1692.55","1734","1728","1734","5848","25136.7","1617500","-11250","       1733.20"
"TCS","03-Jan-2006","23-Feb-2006","1710","1735","1710","1733.85","1732.7","1733.85","9","38.68","2500","1500","       1733.20"
"TCS","03-Jan-2006","30-Mar-2006","0","0","0","1739.55","0","1761.15","0","0","0","0","       1733.20"
"TCS","04-Jan-2006","25-Jan-2006","1735","1741.65","1720.2","1735.6","1732.5","1735.6","4388","19004.56","1570750","-46750","       1743.10"
"TCS","04-Jan-2006","23-Feb-2006","1765","1765","1730","1740","1740","1759.05","6","26.15","3250","750","       1743.10"
"TCS","04-Jan-2006","30-Mar-2006","0","0","0","1739.55","0","1770.3","0","0","0","0","       1743.10"
"TCS","05-Jan-2006","25-Jan-2006","1740","1740","1718.35","1722.3","1723.85","1722.3","2628","11341.54","1656750","86000","       1732.35"
"TCS","05-Jan-2006","23-Feb-2006","0","0","0","1740","1740","1747.95","0","0","3250","0","       1732.35"
"TCS","05-Jan-2006","30-Mar-2006","0","0","0","1739.55","0","1759.15","0","0","0","0","       1732.35"
"TCS","06-Jan-2006","25-Jan-2006","1732.3","1732.3","1691","1709.05","1708","1709.05","3953","16892.88","1715250","58500","       1705.60"
"TCS","06-Jan-2006","23-Feb-2006","1721","1721","1700","1716","1716","1716","13","55.53","4750","1500","       1705.60"
"TCS","06-Jan-2006","30-Mar-2006","0","0","0","1739.55","0","1731.85","0","0","0","0","       1705.60"
"TCS","09-Jan-2006","25-Jan-2006","1718","1720","1681.65","1689.6","1689","1689.6","3162","13416.8","1886500","171250","       1688.95"
"TCS","09-Jan-2006","23-Feb-2006","1720","1720","1695","1695","1695","1695","19","81.09","7500","2750","       1688.95"
"TCS","09-Jan-2006","30-Mar-2006","0","0","0","1739.55","0","1714","0","0","0","0","       1688.95"
"TCS","10-Jan-2006","25-Jan-2006","1689","1690","1660","1664.05","1662.1","1664.05","3600","15033.83","2002250","115750","       1672.50"
"TCS","10-Jan-2006","23-Feb-2006","1684","1690","1670","1671.95","1670","1671.95","22","92.13","12000","4500","       1672.50"
"TCS","10-Jan-2006","30-Mar-2006","0","0","0","1739.55","0","1697.5","0","0","0","0","       1672.50"
"TCS","12-Jan-2006","25-Jan-2006","1650","1689.75","1610","1677.1","1672","1677.1","17496","72414.46","2278750","276500","       1673.70"
"TCS","12-Jan-2006","23-Feb-2006","1650","1698.5","1620","1683.75","1682","1683.75","254","1052.69","30750","18750","       1673.70"
"TCS","12-Jan-2006","30-Mar-2006","0","0","0","1739.55","0","1699.15","0","0","0","0","       1673.70"
"TCS","13-Jan-2006","25-Jan-2006","1679","1686.9","1645","1651.8","1646","1651.8","4621","19244.62","2309750","31000","       1651.75"
"TCS","13-Jan-2006","23-Feb-2006","1687","1692.7","1599.95","1660.1","1659.5","1660.1","86","359.43","43250","12500","       1651.75"
"TCS","13-Jan-2006","30-Mar-2006","1664.5","1664.5","1662","1663.25","1662","1663.25","2","8.32","500","500","       1651.75"
"TCS","16-Jan-2006","25-Jan-2006","1640.25","1650.9","1609.05","1615.1","1612","1615.1","5768","23551.85","2345750","36000","       1608.75"
"TCS","16-Jan-2006","23-Feb-2006","1648","1657.1","1619","1624.8","1624.25","1624.8","273","1121.73","92250","49000","       1608.75"
"TCS","16-Jan-2006","30-Mar-2006","0","0","0","1663.25","1662","1632.35","0","0","500","0","       1608.75"
"TCS","17-Jan-2006","25-Jan-2006","1620","1644.5","1611.25","1619.7","1618.25","1619.7","5146","20941.55","2246000","-99750","       1623.40"
"TCS","17-Jan-2006","23-Feb-2006","1586.7","1653.9","1585","1631.2","1631.85","1631.2","185","757.42","110250","18000","       1623.40"
"TCS","17-Jan-2006","30-Mar-2006","0","0","0","1663.25","1662","1646.65","0","0","500","0","       1623.40"
"TCS","18-Jan-2006","25-Jan-2006","1605","1629.5","1604.5","1625.85","1623.7","1625.85","5008","20275.85","2179750","-66250","       1619.55"
"TCS","18-Jan-2006","23-Feb-2006","1624","1639.7","1619.15","1634.75","1634","1634.75","384","1563.22","154500","44250","       1619.55"
"TCS","18-Jan-2006","30-Mar-2006","0","0","0","1663.25","1662","1642.25","0","0","500","0","       1619.55"
"TCS","19-Jan-2006","25-Jan-2006","1630","1665.9","1630","1661.9","1661","1661.9","5245","21632.49","2127500","-52250","       1650.35"
"TCS","19-Jan-2006","23-Feb-2006","1636","1671.5","1624","1668.45","1671.5","1668.45","862","3567.95","261250","106750","       1650.35"
"TCS","19-Jan-2006","30-Mar-2006","0","0","0","1663.25","1662","1673.05","0","0","500","0","       1650.35"
"TCS","20-Jan-2006","25-Jan-2006","1665","1672","1646","1655.1","1648.05","1655.1","4647","19282.12","2015250","-112250","       1644.00"
"TCS","20-Jan-2006","23-Feb-2006","1679","1688","1658","1664.4","1658.2","1664.4","1619","6742.14","537750","276500","       1644.00"
"TCS","20-Jan-2006","30-Mar-2006","1735.9","1739.95","1672","1672","1672","1666.35","8","34.17","1750","1250","       1644.00"
"TCS","23-Jan-2006","25-Jan-2006","1626.1","1643.3","1615.05","1630.6","1633.8","1630.6","3983","16223.86","1734750","-280500","       1622.15"
"TCS","23-Jan-2006","23-Feb-2006","1620","1650.35","1620","1638.7","1642","1638.7","2110","8628.79","850000","312250","       1622.15"
"TCS","23-Jan-2006","30-Mar-2006","1679.35","1679.35","1679.35","1679.35","1679.35","1643.2","1","4.2","2000","250","       1622.15"
"TCS","24-Jan-2006","25-Jan-2006","1635.2","1650","1635.2","1646.05","1645.6","1646.05","3589","14751.44","1279000","-455750","       1642.60"
"TCS","24-Jan-2006","23-Feb-2006","1649","1660","1646.15","1656.95","1652.55","1656.95","2515","10391.68","1203000","353000","       1642.60"
"TCS","24-Jan-2006","30-Mar-2006","0","0","0","1679.35","1679.35","1663.65","0","0","2000","0","       1642.60"
"TCS","25-Jan-2006","25-Jan-2006","1645.15","1659.25","1644.65","1648.4","1650.2","1651.2","4957","20464.3","574500","-704500","       1651.20"
"TCS","25-Jan-2006","23-Feb-2006","1657","1669.75","1655","1659","1661","1659","3946","16400.54","1796750","593750","       1651.20"
"TCS","25-Jan-2006","30-Mar-2006","0","0","0","1679.35","1679.35","1673.3","0","0","2000","0","       1651.20"
"TCS","27-Jan-2006","23-Feb-2006","1665","1676","1662","1672.25","1672","1672.25","2530","10558.56","1805500","8750","       1659.15"
"TCS","27-Jan-2006","30-Mar-2006","1681","1685.95","1681","1685.95","1685.95","1685.95","3","12.62","2500","500","       1659.15"
"TCS","27-Jan-2006","27-Apr-2006","0","0","0","1683.05","0","1690.15","0","0","0","0","       1659.15"
"TCS","30-Jan-2006","23-Feb-2006","1684","1684","1658","1667.05","1669.35","1667.05","2406","10042.83","1743250","-62250","       1658.90"
"TCS","30-Jan-2006","30-Mar-2006","1681","1681","1681","1681","1681","1679.2","1","4.2","2500","0","       1658.90"
"TCS","30-Jan-2006","27-Apr-2006","0","0","0","1683.05","0","1688.9","0","0","0","0","       1658.90"
