"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TCS","01-Mar-2019","28-Mar-2019","2014","2019.9","1993","2004.35","2004","2004.35","13246","66361.83","14498250","-152500","       1995.40"
"TCS","01-Mar-2019","25-Apr-2019","2010","2024.5","2003","2013.75","2012.9","2013.75","172","865.04","58250","8500","       1995.40"
"TCS","01-Mar-2019","30-May-2019","0","0","0","2020.9","0","2032.6","0","0","0","0","       1995.40"
"TCS","05-Mar-2019","28-Mar-2019","2006.55","2013.8","1983.6","1995","1992","1995","10084","50266.41","14569750","71500","       1988.10"
"TCS","05-Mar-2019","25-Apr-2019","2007","2008.15","1993.5","2002.55","1999.7","2002.55","93","465.53","57750","-500","       1988.10"
"TCS","05-Mar-2019","30-May-2019","2011.75","2011.75","2011.75","2011.75","2011.75","2023.55","1","5.03","250","250","       1988.10"
"TCS","06-Mar-2019","28-Mar-2019","1999.95","2027.75","1991.5","2011.55","2016.1","2011.55","12518","62952.52","14592500","22750","       1999.60"
"TCS","06-Mar-2019","25-Apr-2019","2003.75","2035","2001.7","2020.85","2021","2020.85","136","687.56","55000","-2750","       1999.60"
"TCS","06-Mar-2019","30-May-2019","2017.95","2022","2017.95","2022","2022","2034.85","2","10.1","500","250","       1999.60"
"TCS","07-Mar-2019","28-Mar-2019","2012.05","2032.7","2008.65","2023.75","2023.6","2023.75","10130","51220.69","14691000","98500","       2013.30"
"TCS","07-Mar-2019","25-Apr-2019","2020","2041.05","2020","2032.85","2033.45","2032.85","169","856.97","66250","11250","       2013.30"
"TCS","07-Mar-2019","30-May-2019","2033.05","2039.95","2032.4","2039.95","2039.95","2048.4","7","35.61","1500","1000","       2013.30"
"TCS","08-Mar-2019","28-Mar-2019","2022.95","2039","2016.1","2032.65","2031.25","2032.65","8486","43059.38","14654250","-36750","       2022.70"
"TCS","08-Mar-2019","25-Apr-2019","2034.5","2048.7","2026.8","2041.7","2042.65","2041.7","254","1293.71","80000","13750","       2022.70"
"TCS","08-Mar-2019","30-May-2019","2045.7","2050.05","2045.7","2050.05","2050.05","2057.6","2","10.24","2000","500","       2022.70"
"TCS","11-Mar-2019","28-Mar-2019","2036.1","2038","2010.8","2020.5","2021.8","2020.5","8708","43995.22","14791250","137000","       2014.80"
"TCS","11-Mar-2019","25-Apr-2019","2037.65","2046.3","2020.75","2029.7","2032.2","2029.7","159","806.92","82000","2000","       2014.80"
"TCS","11-Mar-2019","30-May-2019","2027.55","2037.55","2027.55","2037.55","2037.55","2048.35","2","10.16","2250","250","       2014.80"
"TCS","12-Mar-2019","28-Mar-2019","2024.9","2030.6","2006.6","2019.6","2020.85","2019.6","10601","53532.64","14812250","21000","       2012.45"
