"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TCS","02-May-2019","30-May-2019","2248","2253","2211.2","2215.75","2217.15","2215.75","8595","47817.07","6041750","-410750","       2215.40"
"TCS","02-May-2019","27-Jun-2019","2260","2260","2222.25","2225.7","2228","2225.7","503","2809.24","5826000","45750","       2215.40"
"TCS","02-May-2019","25-Jul-2019","2235.65","2235.65","2233.65","2233.65","2233.65","2252.05","2","11.17","1250","250","       2215.40"
"TCS","03-May-2019","30-May-2019","2190.9","2190.9","2135","2142.35","2148.65","2142.35","17798","96005.68","6358750","317000","       2132.00"
"TCS","03-May-2019","27-Jun-2019","2197.65","2197.65","2140.85","2148.35","2153.55","2148.35","727","3927.38","5822750","-3250","       2132.00"
"TCS","03-May-2019","25-Jul-2019","2178.4","2184","2178.4","2180.25","2180.25","2166.9","3","16.36","1500","250","       2132.00"
"TCS","06-May-2019","30-May-2019","2126.35","2173.4","2118.1","2165.6","2165.4","2165.6","10738","57947.2","6162000","-196750","       2157.85"
"TCS","06-May-2019","27-Jun-2019","2137.15","2178","2132.05","2170.4","2170","2170.4","402","2175.46","5828250","5500","       2157.85"
"TCS","06-May-2019","25-Jul-2019","2151.3","2168.15","2151.3","2168.15","2168.15","2191.85","5","27.02","2000","500","       2157.85"
"TCS","07-May-2019","30-May-2019","2162.85","2181.95","2143.2","2150.05","2153.05","2150.05","7825","42277.63","6172000","10000","       2151.95"
"TCS","07-May-2019","27-Jun-2019","2179.85","2186.9","2152.5","2157.05","2162","2157.05","209","1134.19","5823500","-4750","       2151.95"
"TCS","07-May-2019","25-Jul-2019","2182","2182","2160.25","2160.25","2160.25","2160.25","6","32.6","3250","1250","       2151.95"
"TCS","08-May-2019","30-May-2019","2150","2176.7","2138.1","2161.75","2163","2161.75","8162","44064.32","6020000","-152000","       2152.85"
"TCS","08-May-2019","27-Jun-2019","2151.75","2182.25","2147.55","2167.1","2165.55","2167.1","700","3792.22","5835000","11500","       2152.85"
"TCS","08-May-2019","25-Jul-2019","2158.6","2177.45","2158.6","2170.2","2170.2","2170.2","5","27.08","3500","250","       2152.85"
"TCS","09-May-2019","30-May-2019","2150.25","2181","2145.05","2166.7","2169.95","2166.7","8735","47290.44","5972750","-47250","       2172.55"
"TCS","09-May-2019","27-Jun-2019","2162.9","2187.9","2155.8","2173.95","2176.95","2173.95","275","1495.49","5831500","-3500","       2172.55"
"TCS","09-May-2019","25-Jul-2019","2175.2","2190","2170","2190","2190","2205.5","9","49.07","5000","1500","       2172.55"
