"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TCS","01-Nov-2006","30-Nov-2006","1095","1105.9","1085","1087.25","1089","1087.25","4512","12347.32","3010250","135500","       1083.20"
"TCS","01-Nov-2006","28-Dec-2006","1105","1105","1092","1094.05","1095","1094.05","17","46.64","16000","3500","       1083.20"
"TCS","01-Nov-2006","25-Jan-2007","1131","1131","1130","1130","1130","1102.9","2","5.65","500","500","       1083.20"
"TCS","02-Nov-2006","30-Nov-2006","1085","1093","1079.15","1088.55","1088.8","1088.55","3835","10410.31","3066250","56000","       1080.05"
"TCS","02-Nov-2006","28-Dec-2006","1120","1120","1085","1091","1091","1092.9","22","60","19250","3250","       1080.05"
"TCS","02-Nov-2006","25-Jan-2007","1129.95","1129.95","1100","1124.6","1124.6","1099.4","3","8.39","1250","750","       1080.05"
"TCS","03-Nov-2006","30-Nov-2006","1093","1094.5","1062.2","1075.85","1078","1075.85","5468","14698.26","3281000","214750","       1066.95"
"TCS","03-Nov-2006","28-Dec-2006","1091","1091","1069","1081.65","1080.25","1081.65","38","102.5","23000","3750","       1066.95"
"TCS","03-Nov-2006","25-Jan-2007","1106","1106","1088.7","1090","1090","1090","6","16.42","2500","1250","       1066.95"
"TCS","06-Nov-2006","30-Nov-2006","1070.1","1076","1064.05","1065.95","1065","1065.95","3857","10298.72","3455750","174750","       1059.40"
"TCS","06-Nov-2006","28-Dec-2006","1069.9","1078.35","1069.9","1071.8","1071.55","1071.8","26","69.75","26250","3250","       1059.40"
"TCS","06-Nov-2006","25-Jan-2007","1085","1085","1081","1081","1081","1077.45","4","10.83","3000","500","       1059.40"
"TCS","07-Nov-2006","30-Nov-2006","1074.9","1081","1065","1069.1","1066.95","1069.1","7158","19220.2","3658500","202750","       1065.15"
"TCS","07-Nov-2006","28-Dec-2006","1099.8","1099.8","1071.55","1074.8","1071.55","1074.8","36","97.2","29250","3000","       1065.15"
"TCS","07-Nov-2006","25-Jan-2007","1090","1090","1080","1081.7","1080","1081.7","7","19.01","4000","1000","       1065.15"
