"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TCS","01-Sep-2016","29-Sep-2016","2542.75","2543.9","2505.15","2524.25","2523.8","2524.25","3370","21266.35","5311750","168500","       2507.50"
"TCS","01-Sep-2016","27-Oct-2016","2522.3","2543.05","2522.3","2530.55","2533.5","2530.55","23","145.47","24500","250","       2507.50"
"TCS","01-Sep-2016","24-Nov-2016","0","0","0","2560","2560","2547.85","0","0","250","0","       2507.50"
"TCS","02-Sep-2016","29-Sep-2016","2525.05","2526.8","2505.05","2521.15","2520","2521.15","5454","34331.79","5040000","-271750","       2514.80"
"TCS","02-Sep-2016","27-Oct-2016","2525","2530","2514.15","2528","2529","2528","27","170.42","28250","3750","       2514.80"
"TCS","02-Sep-2016","24-Nov-2016","0","0","0","2560","2560","2554.9","0","0","250","0","       2514.80"
"TCS","06-Sep-2016","29-Sep-2016","2530","2532.9","2492.6","2496","2495.95","2496","4647","29104.71","5111500","71500","       2484.05"
"TCS","06-Sep-2016","27-Oct-2016","2535.5","2535.5","2503.4","2505.1","2508.6","2505.1","43","270.13","30000","1750","       2484.05"
"TCS","06-Sep-2016","24-Nov-2016","0","0","0","2560","2560","2521.9","0","0","250","0","       2484.05"
"TCS","07-Sep-2016","29-Sep-2016","2504.7","2504.95","2437","2454.25","2465.05","2454.25","9779","60526.87","5369000","257500","       2440.55"
"TCS","07-Sep-2016","27-Oct-2016","2492","2511.1","2445.85","2458.1","2457.2","2458.1","201","1243.23","53250","23250","       2440.55"
"TCS","07-Sep-2016","24-Nov-2016","0","0","0","2560","2560","2477.25","0","0","250","0","       2440.55"
"TCS","08-Sep-2016","29-Sep-2016","2372.6","2375.4","2296.7","2329.75","2332.75","2329.75","16827","97822.33","5616250","247250","       2322.10"
"TCS","08-Sep-2016","27-Oct-2016","2388","2388","2307.85","2337.45","2343","2337.45","528","3080.64","111500","58250","       2322.10"
"TCS","08-Sep-2016","24-Nov-2016","2360","2364.55","2337","2354","2355","2354","15","88.13","3000","2750","       2322.10"
"TCS","09-Sep-2016","29-Sep-2016","2334.05","2370","2324.55","2355.9","2355.65","2355.9","7471","43913.85","5451000","-165250","       2352.45"
"TCS","09-Sep-2016","27-Oct-2016","2340","2376","2340","2363.6","2366.95","2363.6","176","1037.88","107750","-3750","       2352.45"
"TCS","09-Sep-2016","24-Nov-2016","2360","2375.1","2360","2375.1","2375.1","2375.1","5","29.61","2500","-500","       2352.45"
"TCS","12-Sep-2016","29-Sep-2016","2345.85","2369.1","2331.6","2362.75","2365","2362.75","6246","36815.17","5402250","-48750","       2359.05"
"TCS","12-Sep-2016","27-Oct-2016","2341.85","2377","2340","2372.65","2372.55","2372.65","225","1332.15","117500","9750","       2359.05"
"TCS","12-Sep-2016","24-Nov-2016","2372.65","2383","2372.65","2377","2377","2392","4","23.78","2750","250","       2359.05"
"TCS","14-Sep-2016","29-Sep-2016","2376.35","2380","2321.25","2340.2","2343","2340.2","5565","32584.16","5420750","18500","       2328.45"
"TCS","14-Sep-2016","27-Oct-2016","2381","2385","2334.05","2350.05","2352","2350.05","203","1191.96","136250","18750","       2328.45"
