"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TECHM","01-Jul-2014","31-Jul-2014","2146.4","2156","2093","2107","2108.4","2107","8995","23937.37","2398250","-51375","       2108.90"
"TECHM","01-Jul-2014","28-Aug-2014","2158","2166.3","2108.25","2122","2128.8","2122","75","200.48","21250","3125","       2108.90"
"TECHM","01-Jul-2014","25-Sep-2014","0","0","0","2160","2160","2152.85","0","0","125","0","       2108.90"
"TECHM","02-Jul-2014","31-Jul-2014","2119.65","2125","2086.1","2099.65","2102","2099.65","5614","14743.8","2528375","130125","       2100.70"
"TECHM","02-Jul-2014","28-Aug-2014","2136.05","2136.05","2103.25","2116.5","2116.5","2116.5","23","60.78","21500","250","       2100.70"
"TECHM","02-Jul-2014","25-Sep-2014","0","0","0","2160","2160","2143.7","0","0","125","0","       2100.70"
"TECHM","03-Jul-2014","31-Jul-2014","2114.9","2147.9","2100","2108.35","2113.75","2108.35","7660","20353.17","2570000","41625","       2113.45"
"TECHM","03-Jul-2014","28-Aug-2014","2114.7","2160.45","2114.7","2129.45","2129.45","2141.7","20","53.47","22375","875","       2113.45"
"TECHM","03-Jul-2014","25-Sep-2014","0","0","0","2160","2160","2155.95","0","0","125","0","       2113.45"
"TECHM","04-Jul-2014","31-Jul-2014","2125.05","2125.05","2095.5","2110.9","2110.8","2110.9","4551","12001.8","2613750","43750","       2115.90"
"TECHM","04-Jul-2014","28-Aug-2014","2115","2128.45","2114.2","2128.45","2128.45","2143.55","10","26.54","23000","625","       2115.90"
"TECHM","04-Jul-2014","25-Sep-2014","0","0","0","2160","2160","2157.75","0","0","125","0","       2115.90"
"TECHM","07-Jul-2014","31-Jul-2014","2111","2143.55","2111","2127.8","2124","2127.8","7783","20699.63","2776000","162250","       2137.30"
"TECHM","07-Jul-2014","28-Aug-2014","2141","2154.55","2126.3","2139.1","2136.45","2139.1","71","189.87","26125","3125","       2137.30"
