"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TITAN","02-Jan-2007","25-Jan-2007","864.55","901.4","864.55","885.5","885","885.5","8802","32070.38","2467233","16851","        877.65"
"TITAN","02-Jan-2007","22-Feb-2007","880","907","880","894.3","894.3","889.5","20","73.6","4521","411","        877.65"
"TITAN","02-Jan-2007","29-Mar-2007","0","0","0","855","855","897.7","0","0","411","0","        877.65"
"TITAN","03-Jan-2007","25-Jan-2007","850","913.9","850","903","910","903","8772","32090.11","2574915","107682","        895.40"
"TITAN","03-Jan-2007","22-Feb-2007","880","913","865","908.25","913","908.25","17","61.86","9453","4932","        895.40"
"TITAN","03-Jan-2007","29-Mar-2007","0","0","0","855","855","914.25","0","0","411","0","        895.40"
"TITAN","04-Jan-2007","25-Jan-2007","905","919","884.25","894.5","885","894.5","9114","33918.67","2482440","-92475","        890.25"
"TITAN","04-Jan-2007","22-Feb-2007","940","940","890","893","890","893","11","41.06","8631","-822","        890.25"
"TITAN","04-Jan-2007","29-Mar-2007","0","0","0","855","855","909","0","0","411","0","        890.25"
"TITAN","05-Jan-2007","25-Jan-2007","891.5","911","876.8","881.85","881.5","881.85","6237","22924.32","2499702","17262","        877.15"
"TITAN","05-Jan-2007","22-Feb-2007","893.05","913","885","885","885","887.8","13","47.77","10686","2055","        877.15"
"TITAN","05-Jan-2007","29-Mar-2007","0","0","0","855","855","895.65","0","0","411","0","        877.15"
"TITAN","08-Jan-2007","25-Jan-2007","870","891.9","866.1","882.1","881.5","882.1","4275","15448.17","2444628","-55074","        878.45"
"TITAN","08-Jan-2007","22-Feb-2007","875.7","891","871","884.2","884.2","888.5","12","43.66","10275","-411","        878.45"
"TITAN","08-Jan-2007","29-Mar-2007","0","0","0","855","855","896.35","0","0","411","0","        878.45"
"TITAN","09-Jan-2007","25-Jan-2007","878","893.9","856.65","862.45","867","862.45","3477","12481.58","2436819","-7809","        857.15"
"TITAN","09-Jan-2007","22-Feb-2007","900","900","863","865.7","865.7","865.7","9","32.39","9453","-822","        857.15"
"TITAN","09-Jan-2007","29-Mar-2007","0","0","0","855","855","874.45","0","0","411","0","        857.15"
"TITAN","10-Jan-2007","25-Jan-2007","874","881","851.2","854.2","853.1","854.2","2681","9539","2367771","-69048","        850.60"
"TITAN","10-Jan-2007","22-Feb-2007","865","871.95","865","871.95","871.95","859.75","5","17.83","9453","0","        850.60"
"TITAN","10-Jan-2007","29-Mar-2007","0","0","0","855","855","867.2","0","0","411","0","        850.60"
"TITAN","11-Jan-2007","25-Jan-2007","858","892","842","888.55","891.65","888.55","3721","13313.66","2360373","-7398","        882.80"
"TITAN","11-Jan-2007","22-Feb-2007","860.1","891.35","852.25","888.2","891.35","888.2","17","60.39","14796","5343","        882.80"
"TITAN","11-Jan-2007","29-Mar-2007","0","0","0","855","855","900.2","0","0","411","0","        882.80"
"TITAN","12-Jan-2007","25-Jan-2007","895","915.5","883.4","902.65","900","902.65","6085","22567.42","2517375","157002","        895.10"
"TITAN","12-Jan-2007","22-Feb-2007","899.2","918","895","910","910","910","16","59.1","18906","4110","        895.10"
"TITAN","12-Jan-2007","29-Mar-2007","0","0","0","855","855","912.3","0","0","411","0","        895.10"
"TITAN","15-Jan-2007","25-Jan-2007","905","924.8","898.5","904.95","905","904.95","5074","19025.06","2576559","59184","        899.00"
"TITAN","15-Jan-2007","22-Feb-2007","910","930","910","915.5","915.5","915.5","41","154.96","16029","-2877","        899.00"
"TITAN","15-Jan-2007","29-Mar-2007","0","0","0","855","855","915.85","0","0","411","0","        899.00"
"TITAN","16-Jan-2007","25-Jan-2007","912","916.25","897","909.75","909.1","909.75","3672","13718.69","2541624","-34935","        904.40"
"TITAN","16-Jan-2007","22-Feb-2007","920","927","905.25","917.85","915","917.85","29","109.22","19317","3288","        904.40"
"TITAN","16-Jan-2007","29-Mar-2007","0","0","0","855","855","921.2","0","0","411","0","        904.40"
"TITAN","17-Jan-2007","25-Jan-2007","925.05","932.2","909.1","912.15","913","912.15","5680","21528.67","2533815","-7809","        907.35"
"TITAN","17-Jan-2007","22-Feb-2007","930","937.95","919","919.55","919","919.55","45","171.96","23016","3699","        907.35"
"TITAN","17-Jan-2007","29-Mar-2007","0","0","0","855","855","923.85","0","0","411","0","        907.35"
"TITAN","18-Jan-2007","25-Jan-2007","915.7","922.8","887","895.7","898.25","895.7","3973","14840.71","2344344","-189471","        892.70"
"TITAN","18-Jan-2007","22-Feb-2007","921","933.75","900","903.8","907","903.8","797","3036.83","182073","159057","        892.70"
"TITAN","18-Jan-2007","29-Mar-2007","0","0","0","855","855","908.75","0","0","411","0","        892.70"
"TITAN","19-Jan-2007","25-Jan-2007","904.9","946.8","877.2","941.45","938.5","941.45","10088","38341.47","2448327","103983","        936.05"
"TITAN","19-Jan-2007","22-Feb-2007","907","954","886","947.95","946","947.95","1073","4077.97","346884","164811","        936.05"
"TITAN","19-Jan-2007","29-Mar-2007","954","954","954","954","954","952.75","1","3.92","822","411","        936.05"
"TITAN","22-Jan-2007","25-Jan-2007","943.8","951","925","939.4","936.5","939.4","7836","30282.39","2111307","-337020","        937.20"
"TITAN","22-Jan-2007","22-Feb-2007","947","959.7","934","947.75","944.85","947.75","1294","5032.02","633762","286878","        937.20"
"TITAN","22-Jan-2007","29-Mar-2007","0","0","0","954","954","953.2","0","0","822","0","        937.20"
"TITAN","23-Jan-2007","25-Jan-2007","926","950.45","926","933.45","931.5","933.45","5058","19551.71","1810455","-300852","        931.60"
"TITAN","23-Jan-2007","22-Feb-2007","936.25","958","935.1","939.65","939","939.65","1533","5959.94","967905","334143","        931.60"
"TITAN","23-Jan-2007","29-Mar-2007","925","959","925","959","959","959","40","154.86","822","0","        931.60"
"TITAN","24-Jan-2007","25-Jan-2007","925.6","938","902","913","915","913","3126","11830.1","1478367","-332088","        908.80"
"TITAN","24-Jan-2007","22-Feb-2007","935.1","945","908","920.85","923.25","920.85","1792","6827.8","1277388","309483","        908.80"
"TITAN","24-Jan-2007","29-Mar-2007","0","0","0","959","959","923.65","0","0","822","0","        908.80"
"TITAN","25-Jan-2007","25-Jan-2007","935","948.7","906","943.75","943.8","943.1","5172","19786.99","420042","-1058325","        943.10"
"TITAN","25-Jan-2007","22-Feb-2007","923","956","914","950.2","947","950.2","5733","22149.41","2369415","1092027","        943.10"
"TITAN","25-Jan-2007","29-Mar-2007","0","0","0","959","959","958.25","0","0","822","0","        943.10"
"TITAN","29-Jan-2007","22-Feb-2007","956.3","974","942.9","956.8","956","956.8","4125","16264.06","2325849","-43566","        956.75"
"TITAN","29-Jan-2007","29-Mar-2007","976.1","982.1","962.1","962.1","962.1","971.3","21","83.98","2466","1644","        956.75"
"TITAN","29-Jan-2007","26-Apr-2007","0","0","0","965.05","0","978.3","0","0","0","0","        956.75"
"TITAN","31-Jan-2007","22-Feb-2007","958","969.25","948","958.4","958.3","958.4","3890","15344.21","2065686","-260163","        958.75"
"TITAN","31-Jan-2007","29-Mar-2007","964","964","964","964","964","972.65","1","3.96","2877","411","        958.75"
"TITAN","31-Jan-2007","26-Apr-2007","0","0","0","965.05","0","979.5","0","0","0","0","        958.75"
"TITAN","01-Feb-2007","22-Feb-2007","963","997.4","935.1","992.3","989.5","992.3","9538","38190.13","2038971","-26715","        988.65"
"TITAN","01-Feb-2007","29-Mar-2007","950","1002","950","998.35","999.5","998.35","28","113.5","6165","3288","        988.65"
"TITAN","01-Feb-2007","26-Apr-2007","0","0","0","965.05","0","1009.8","0","0","0","0","        988.65"
"TITAN","02-Feb-2007","22-Feb-2007","990","1032.8","987","1016.65","1014","1016.65","9310","38693.99","1791549","-247422","       1010.40"
"TITAN","02-Feb-2007","29-Mar-2007","1008.4","1039","1008","1024.6","1024","1024.6","22","92.82","9453","3288","       1010.40"
