"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TITAN","03-Jul-2017","27-Jul-2017","537","537","526.5","531.85","533","531.85","2552","20350.39","3904500","-10500","        532.40"
"TITAN","03-Jul-2017","31-Aug-2017","532.8","533.85","529.15","533.15","533.15","533.15","11","87.87","39000","6000","        532.40"
"TITAN","03-Jul-2017","28-Sep-2017","0","0","0","518","0","540.8","0","0","0","0","        532.40"
"TITAN","04-Jul-2017","27-Jul-2017","534.6","541.5","525.1","537.8","536.1","537.8","3601","28878.09","4464000","559500","        535.55"
"TITAN","04-Jul-2017","31-Aug-2017","528.5","539.45","528.5","537.25","537.15","537.25","6","48.06","39000","0","        535.55"
"TITAN","04-Jul-2017","28-Sep-2017","0","0","0","518","0","543.9","0","0","0","0","        535.55"
"TITAN","05-Jul-2017","27-Jul-2017","539.3","539.4","532.15","534.05","534.85","534.05","1579","12672.18","4566000","102000","        531.80"
"TITAN","05-Jul-2017","31-Aug-2017","537.15","537.15","534.8","534.8","534.8","534.8","7","56.31","39000","0","        531.80"
"TITAN","05-Jul-2017","28-Sep-2017","0","0","0","518","0","539.95","0","0","0","0","        531.80"
"TITAN","06-Jul-2017","27-Jul-2017","535","537.5","527.25","532.85","533","532.85","2122","16965.13","4564500","-1500","        533.95"
"TITAN","06-Jul-2017","31-Aug-2017","536.5","538.15","532.35","535.1","535.4","535.1","71","570.71","99000","60000","        533.95"
"TITAN","06-Jul-2017","28-Sep-2017","0","0","0","518","0","542.05","0","0","0","0","        533.95"
"TITAN","07-Jul-2017","27-Jul-2017","532.3","538.65","528.05","532.85","534.4","532.85","1617","12944.91","4578000","13500","        532.50"
"TITAN","07-Jul-2017","31-Aug-2017","535.6","538.65","530.9","534.7","534.7","534.7","21","168.96","102000","3000","        532.50"
"TITAN","07-Jul-2017","28-Sep-2017","0","0","0","518","0","540.5","0","0","0","0","        532.50"
"TITAN","10-Jul-2017","27-Jul-2017","532.5","536.7","522.7","535.5","536","535.5","1154","9201.54","4393500","-184500","        536.75"
"TITAN","10-Jul-2017","31-Aug-2017","534.2","535.8","525.55","534.75","534.75","541.8","20","159.49","105000","3000","        536.75"
"TITAN","10-Jul-2017","28-Sep-2017","0","0","0","518","0","544.5","0","0","0","0","        536.75"
"TITAN","11-Jul-2017","27-Jul-2017","534.65","535.05","526.95","528.3","528","528.3","932","7409.84","4402500","9000","        528.70"
"TITAN","11-Jul-2017","31-Aug-2017","532.55","532.55","530.55","530.85","530.55","530.85","9","71.83","114000","9000","        528.70"
"TITAN","11-Jul-2017","28-Sep-2017","0","0","0","518","0","536.25","0","0","0","0","        528.70"
