"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TITAN","02-May-2017","25-May-2017","474.35","490.4","474.05","488.2","489","488.2","1999","14518.06","5938500","193500","        485.10"
"TITAN","02-May-2017","29-Jun-2017","483.9","490.9","482.55","488.55","488.75","488.55","33","241.35","42000","12000","        485.10"
"TITAN","02-May-2017","27-Jul-2017","0","0","0","486.2","0","492.65","0","0","0","0","        485.10"
"TITAN","03-May-2017","25-May-2017","488.8","493.7","482","484.75","483.95","484.75","1569","11496.37","5886000","-52500","        483.40"
"TITAN","03-May-2017","29-Jun-2017","488","491","485.35","485.35","485.35","485.35","6","43.97","46500","4500","        483.40"
"TITAN","03-May-2017","27-Jul-2017","0","0","0","486.2","0","490.85","0","0","0","0","        483.40"
"TITAN","04-May-2017","25-May-2017","483.25","497.1","482","494.15","496.5","494.15","2050","15114.17","5893500","7500","        492.65"
"TITAN","04-May-2017","29-Jun-2017","489.05","495","488.95","492.75","492.85","492.75","22","161.99","52500","6000","        492.65"
"TITAN","04-May-2017","27-Jul-2017","0","0","0","486.2","0","500.2","0","0","0","0","        492.65"
"TITAN","05-May-2017","25-May-2017","496.6","505.7","492","493.3","492","493.3","2515","18833.23","5998500","105000","        491.20"
"TITAN","05-May-2017","29-Jun-2017","500","503","495","495","495","496.1","25","186.84","69000","16500","        491.20"
"TITAN","05-May-2017","27-Jul-2017","0","0","0","486.2","0","498.6","0","0","0","0","        491.20"
"TITAN","08-May-2017","25-May-2017","493.1","496.3","485","486.85","486","486.85","1439","10590.73","5877000","-121500","        484.55"
"TITAN","08-May-2017","29-Jun-2017","495","495","486.7","487.5","487.5","489.1","14","102.6","79500","10500","        484.55"
"TITAN","08-May-2017","27-Jul-2017","0","0","0","486.2","0","491.6","0","0","0","0","        484.55"
"TITAN","09-May-2017","25-May-2017","486.1","486.45","467","469.7","470.05","469.7","2999","21374.07","6352500","475500","        467.15"
"TITAN","09-May-2017","29-Jun-2017","484","485.4","469.1","471.3","471.55","471.3","80","572.55","66000","-13500","        467.15"
"TITAN","09-May-2017","27-Jul-2017","0","0","0","486.2","0","473.85","0","0","0","0","        467.15"
"TITAN","10-May-2017","25-May-2017","468.95","484","466.4","483","482.85","483","2278","16317.66","5755500","-597000","        482.40"
"TITAN","10-May-2017","29-Jun-2017","473.75","483.85","472.05","483","483","486.75","25","179.04","81000","15000","        482.40"
"TITAN","10-May-2017","27-Jul-2017","0","0","0","486.2","0","489.25","0","0","0","0","        482.40"
"TITAN","11-May-2017","25-May-2017","482.9","505.65","479.15","503.6","503.65","503.6","4282","31815.84","5977500","222000","        501.15"
"TITAN","11-May-2017","29-Jun-2017","488.8","507","488.8","505.65","507","505.65","38","284.79","99000","18000","        501.15"
"TITAN","11-May-2017","27-Jul-2017","0","0","0","486.2","0","508.15","0","0","0","0","        501.15"
