"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TITAN","01-Nov-2010","25-Nov-2010","3585","3830","3585","3809.25","3828","3809.25","8133","37980.78","502000","99500","       3792.50"
"TITAN","01-Nov-2010","30-Dec-2010","3644.55","3845","3626.1","3828.3","3845","3828.3","142","663.39","16125","12375","       3792.50"
"TITAN","01-Nov-2010","27-Jan-2011","3772","3825","3772","3825","3825","3864.6","2","9.5","250","250","       3792.50"
"TITAN","02-Nov-2010","25-Nov-2010","3824.9","3890","3790","3830.65","3828","3830.65","5866","28203.67","489500","-12500","       3818.70"
"TITAN","02-Nov-2010","30-Dec-2010","3850.95","3906.05","3820.9","3839","3839","3867.1","76","366.86","18125","2000","       3818.70"
"TITAN","02-Nov-2010","27-Jan-2011","3915","3915","3915","3915","3915","3890.65","1","4.89","375","125","       3818.70"
"TITAN","03-Nov-2010","25-Nov-2010","3850","3872.45","3823","3845.3","3858","3845.3","2135","10267.43","496375","6875","       3833.05"
"TITAN","03-Nov-2010","30-Dec-2010","3875.45","3880","3852","3867.7","3873.15","3867.7","44","212.56","18500","375","       3833.05"
"TITAN","03-Nov-2010","27-Jan-2011","0","0","0","3915","3915","3904.4","0","0","375","0","       3833.05"
"TITAN","04-Nov-2010","25-Nov-2010","3869","3883","3830.3","3851","3851","3851","2418","11661.04","509625","13250","       3822.35"
"TITAN","04-Nov-2010","30-Dec-2010","3860","3897.9","3858.35","3869.15","3868.6","3869.15","23","111.23","19625","1125","       3822.35"
"TITAN","04-Nov-2010","27-Jan-2011","0","0","0","3915","3915","3892.75","0","0","375","0","       3822.35"
"TITAN","05-Nov-2010","25-Nov-2010","3868","3875","3828","3843.85","3829","3843.85","427","2055.34","508750","-875","       3837.45"
"TITAN","05-Nov-2010","30-Dec-2010","3886.85","3886.85","3852.75","3871.95","3852.75","3871.95","13","62.92","19750","125","       3837.45"
"TITAN","05-Nov-2010","27-Jan-2011","0","0","0","3915","3915","3907.3","0","0","375","0","       3837.45"
"TITAN","08-Nov-2010","25-Nov-2010","3845.95","3875","3812.2","3848.85","3849","3848.85","1753","8432.77","503250","-5500","       3817.65"
"TITAN","08-Nov-2010","30-Dec-2010","3840.65","3889.05","3840.65","3864.85","3864.85","3864.85","22","106.15","20250","500","       3817.65"
"TITAN","08-Nov-2010","27-Jan-2011","0","0","0","3915","3915","3884.85","0","0","375","0","       3817.65"
"TITAN","09-Nov-2010","25-Nov-2010","3840","3870.5","3819.2","3840.9","3849","3840.9","1418","6814.68","483750","-19500","       3822.30"
"TITAN","09-Nov-2010","30-Dec-2010","3884.35","3890.25","3850","3865","3865","3864.75","24","116.13","21000","750","       3822.30"
"TITAN","09-Nov-2010","27-Jan-2011","0","0","0","3915","3915","3888.25","0","0","375","0","       3822.30"
"TITAN","10-Nov-2010","25-Nov-2010","3858","4226.9","3833","4179.95","4175","4179.95","21074","107794.22","607250","123500","       4146.75"
"TITAN","10-Nov-2010","30-Dec-2010","3874.8","4249","3854.55","4205.35","4196","4205.35","359","1859.57","39500","18500","       4146.75"
"TITAN","10-Nov-2010","27-Jan-2011","4036","4230","4000","4230","4230","4217.75","8","40.95","1000","625","       4146.75"
"TITAN","11-Nov-2010","25-Nov-2010","4185.05","4265.1","4130","4151.95","4142","4151.95","10515","55225.46","555625","-51625","       4124.80"
"TITAN","11-Nov-2010","30-Dec-2010","4210.2","4290","4163.15","4175.05","4178.7","4175.05","199","1049.42","41875","2375","       4124.80"
"TITAN","11-Nov-2010","27-Jan-2011","4290.75","4291.85","4201.2","4201.2","4201.2","4194.95","6","32.07","1625","625","       4124.80"
"TITAN","12-Nov-2010","25-Nov-2010","4110","4167.7","3975","3987.65","3982.5","3987.65","7327","37088.18","549500","-6125","       3955.55"
"TITAN","12-Nov-2010","30-Dec-2010","4167.15","4190.8","4005.7","4016.2","4021.9","4016.2","395","2008.67","39000","-2875","       3955.55"
"TITAN","12-Nov-2010","27-Jan-2011","4189.85","4189.85","4189.85","4189.85","4189.85","4021.95","1","5.24","1750","125","       3955.55"
"TITAN","15-Nov-2010","25-Nov-2010","3985.05","4014","3872.5","3933.95","3926.2","3933.95","4565","22405.47","577250","27750","       3907.00"
"TITAN","15-Nov-2010","30-Dec-2010","3994.8","4042","3908","3963.9","3960","3963.9","394","1946.22","36125","-2875","       3907.00"
"TITAN","15-Nov-2010","27-Jan-2011","4020.55","4020.55","4020.55","4020.55","4020.55","3969.8","1","5.03","1875","125","       3907.00"
"TITAN","16-Nov-2010","25-Nov-2010","3935.65","4039.65","3791.15","3811.55","3805","3811.55","7924","38777.95","620250","43000","       3790.65"
"TITAN","16-Nov-2010","30-Dec-2010","3975.1","4068","3825","3837.75","3829","3837.75","500","2453.86","44875","8750","       3790.65"
"TITAN","16-Nov-2010","27-Jan-2011","4071","4071","3900","3900","3900","3851.05","8","39.34","2750","875","       3790.65"
"TITAN","18-Nov-2010","25-Nov-2010","3826","3889.7","3620.2","3745.95","3755","3745.95","7148","33481.36","653000","32750","       3719.15"
"TITAN","18-Nov-2010","30-Dec-2010","3867.4","3918.25","3662.75","3776.7","3788","3776.7","425","2003.48","57375","12500","       3719.15"
"TITAN","18-Nov-2010","27-Jan-2011","3795.7","3795.7","3750","3779.35","3779.35","3776.9","5","23.57","2875","125","       3719.15"
"TITAN","19-Nov-2010","25-Nov-2010","3752.55","3845","3665","3684.55","3676","3684.55","7496","35314.14","642625","-10375","       3672.75"
"TITAN","19-Nov-2010","30-Dec-2010","3777.1","3875","3682.25","3714.85","3707","3714.85","682","3224.79","83625","26250","       3672.75"
"TITAN","19-Nov-2010","27-Jan-2011","0","0","0","3779.35","3779.35","3729.3","0","0","2875","0","       3672.75"
"TITAN","22-Nov-2010","25-Nov-2010","3727.95","3854.9","3712","3825.25","3818","3825.25","4836","22925.07","598375","-44250","       3811.80"
"TITAN","22-Nov-2010","30-Dec-2010","3740","3889.7","3740","3858.95","3846.05","3858.95","1093","5219.27","138625","55000","       3811.80"
"TITAN","22-Nov-2010","27-Jan-2011","3813.1","3900.85","3813.1","3900.85","3900.85","3867.8","8","38.44","3375","500","       3811.80"
"TITAN","23-Nov-2010","25-Nov-2010","3782.25","3810.9","3652","3763","3750","3763","4757","22286.83","486250","-112125","       3756.60"
"TITAN","23-Nov-2010","30-Dec-2010","3790.75","3837.05","3681.3","3792.75","3783","3792.75","1610","7603.94","210250","71625","       3756.60"
"TITAN","23-Nov-2010","27-Jan-2011","0","0","0","3900.85","3900.85","3811.4","0","0","3375","0","       3756.60"
"TITAN","24-Nov-2010","25-Nov-2010","3777.95","3835","3695","3721.5","3716","3721.5","4505","21357.45","304375","-181875","       3720.05"
"TITAN","24-Nov-2010","30-Dec-2010","3811.6","3868.8","3730","3753.8","3752","3753.8","2912","13910.85","372875","162625","       3720.05"
"TITAN","24-Nov-2010","27-Jan-2011","3875.7","3875.7","3875.7","3875.7","3875.7","3773.5","1","4.84","3375","0","       3720.05"
"TITAN","25-Nov-2010","25-Nov-2010","3757.95","3797.95","3662","3674.85","3674.85","3673.95","3638","16965.76","124000","-180375","       3673.95"
"TITAN","25-Nov-2010","30-Dec-2010","3794.2","3829.9","3701.35","3716.15","3715","3716.15","3213","15120.98","562625","189750","       3673.95"
"TITAN","25-Nov-2010","27-Jan-2011","3784.45","3784.45","3784.45","3784.45","3784.45","3726.1","1","4.73","3500","125","       3673.95"
"TITAN","26-Nov-2010","30-Dec-2010","3735","3760.7","3431","3592.15","3617.05","3592.15","5296","23835.23","537875","-24750","       3573.50"
"TITAN","26-Nov-2010","27-Jan-2011","3620","3665.8","3517.5","3610.6","3640.1","3610.6","16","72.26","4750","1250","       3573.50"
"TITAN","26-Nov-2010","24-Feb-2011","0","0","0","3749.5","0","3646.85","0","0","0","0","       3573.50"
"TITAN","29-Nov-2010","30-Dec-2010","3637","3744.7","3551.45","3713.35","3697","3713.35","3772","17281.42","552625","14750","       3683.70"
"TITAN","29-Nov-2010","27-Jan-2011","3627.45","3743.15","3591.85","3731.25","3720","3731.25","39","179.73","7750","3000","       3683.70"
"TITAN","29-Nov-2010","24-Feb-2011","3642","3714.85","3642","3714.85","3714.85","3756.7","2","9.2","125","125","       3683.70"
"TITAN","30-Nov-2010","30-Dec-2010","3692.4","3766","3644.15","3722.95","3711","3722.95","4067","18907.79","578500","25875","       3693.00"
"TITAN","30-Nov-2010","27-Jan-2011","3730.6","3790","3720","3761.7","3761.7","3761.7","13","60.85","7375","-375","       3693.00"
"TITAN","30-Nov-2010","24-Feb-2011","0","0","0","3714.85","3714.85","3765","0","0","125","0","       3693.00"
"TITAN","01-Dec-2010","30-Dec-2010","3732","3849","3718","3809.1","3807","3809.1","4857","23108.17","577625","-875","       3781.90"
"TITAN","01-Dec-2010","27-Jan-2011","3805.65","3861.7","3805.65","3840.8","3840","3840.8","35","167.99","9250","1875","       3781.90"
"TITAN","01-Dec-2010","24-Feb-2011","0","0","0","3714.85","3714.85","3855.65","0","0","125","0","       3781.90"
"TITAN","02-Dec-2010","30-Dec-2010","3840","3884","3791.25","3805.9","3810","3805.9","2718","13036.75","559500","-18125","       3784.20"
"TITAN","02-Dec-2010","27-Jan-2011","3892.7","3892.7","3825","3833.95","3832.65","3833.95","15","72.22","10250","1000","       3784.20"
"TITAN","02-Dec-2010","24-Feb-2011","0","0","0","3714.85","3714.85","3856.95","0","0","125","0","       3784.20"
"TITAN","03-Dec-2010","30-Dec-2010","3829.95","3829.95","3697.5","3723.7","3726.35","3723.7","2362","11077.58","570000","10500","       3696.45"
"TITAN","03-Dec-2010","27-Jan-2011","3818.05","3818.05","3740","3756.85","3758.85","3756.85","30","141.85","10250","0","       3696.45"
"TITAN","03-Dec-2010","24-Feb-2011","0","0","0","3714.85","3714.85","3767.85","0","0","125","0","       3696.45"
"TITAN","06-Dec-2010","30-Dec-2010","3740","3814","3704.05","3715.95","3711","3715.95","2211","10398.01","573500","3500","       3693.25"
"TITAN","06-Dec-2010","27-Jan-2011","3792.55","3840","3739","3743.1","3740.1","3743.1","41","194.36","10500","250","       3693.25"
"TITAN","06-Dec-2010","24-Feb-2011","0","0","0","3714.85","3714.85","3762.3","0","0","125","0","       3693.25"
"TITAN","07-Dec-2010","30-Dec-2010","3726","3750","3678","3727.95","3738.1","3727.95","2170","10083.5","596875","23375","       3694.00"
"TITAN","07-Dec-2010","27-Jan-2011","3637.05","3763","3637.05","3756.6","3762","3756.6","33","154.25","11000","500","       3694.00"
"TITAN","07-Dec-2010","24-Feb-2011","0","0","0","3714.85","3714.85","3761.65","0","0","125","0","       3694.00"
"TITAN","08-Dec-2010","30-Dec-2010","3700.05","3715.4","3570.5","3590.9","3607","3590.9","3594","16368.17","602750","5875","       3572.70"
"TITAN","08-Dec-2010","27-Jan-2011","3717.9","3717.9","3605","3615.45","3629.55","3615.45","58","266.77","12250","1250","       3572.70"
"TITAN","08-Dec-2010","24-Feb-2011","0","0","0","3714.85","3714.85","3638.5","0","0","125","0","       3572.70"
"TITAN","09-Dec-2010","30-Dec-2010","3582.1","3615","3315.55","3364.25","3360","3364.25","7327","31245.61","519000","-83750","       3352.70"
"TITAN","09-Dec-2010","27-Jan-2011","3579.3","3579.3","3341.3","3390.1","3379.9","3390.1","143","611.77","15750","3500","       3352.70"
"TITAN","09-Dec-2010","24-Feb-2011","0","0","0","3714.85","3714.85","3413.95","0","0","125","0","       3352.70"
"TITAN","10-Dec-2010","30-Dec-2010","3302.3","3490","3165.9","3468.05","3481.85","3468.05","5044","21545.08","522875","3875","       3447.00"
"TITAN","10-Dec-2010","27-Jan-2011","3320","3517.85","3288","3493.95","3500","3493.95","74","318.25","15500","-250","       3447.00"
"TITAN","10-Dec-2010","24-Feb-2011","0","0","0","3714.85","3714.85","3509.3","0","0","125","0","       3447.00"
