"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TITAN","01-Sep-2015","24-Sep-2015","333.85","337.5","323.6","329.05","330","329.05","1652","5462.6","10035000","52000","        334.95"
"TITAN","01-Sep-2015","29-Oct-2015","332.6","336.2","322.7","328.35","328","328.35","29","95.2","51000","7000","        334.95"
"TITAN","01-Sep-2015","26-Nov-2015","0","0","0","336","336","341.15","0","0","1500","0","        334.95"
"TITAN","02-Sep-2015","24-Sep-2015","330.2","332.15","318","320.05","321.35","320.05","1594","5151.17","10247000","212000","        323.10"
"TITAN","02-Sep-2015","29-Oct-2015","320.8","320.8","315.65","315.65","315.65","315.65","5","16.08","54000","3000","        323.10"
"TITAN","02-Sep-2015","26-Nov-2015","0","0","0","336","336","329.05","0","0","1500","0","        323.10"
"TITAN","03-Sep-2015","24-Sep-2015","323.3","327.4","318.85","325.4","327.35","325.4","1177","3801.96","10271000","24000","        327.20"
"TITAN","03-Sep-2015","29-Oct-2015","321","324.75","320.5","324.75","324.75","324.75","19","60.97","62000","8000","        327.20"
"TITAN","03-Sep-2015","26-Nov-2015","0","0","0","336","336","333.1","0","0","1500","0","        327.20"
"TITAN","04-Sep-2015","24-Sep-2015","325.4","333.3","314.45","332","332.5","332","2019","6547.82","10390000","119000","        332.95"
"TITAN","04-Sep-2015","29-Oct-2015","322.35","331.95","313.35","329.95","331.95","329.95","81","261.62","96000","34000","        332.95"
"TITAN","04-Sep-2015","26-Nov-2015","0","0","0","336","336","338.85","0","0","1500","0","        332.95"
"TITAN","07-Sep-2015","24-Sep-2015","332.35","336.35","328.05","331.7","331.3","331.7","1240","4109.95","10335000","-55000","        332.40"
"TITAN","07-Sep-2015","29-Oct-2015","330.35","331.05","327.3","328.3","328.3","336.1","46","151.61","113000","17000","        332.40"
"TITAN","07-Sep-2015","26-Nov-2015","0","0","0","336","336","338.1","0","0","1500","0","        332.40"
"TITAN","08-Sep-2015","24-Sep-2015","333.25","333.25","315.25","321.65","322.25","321.65","2826","9084.68","10620000","285000","        322.00"
"TITAN","08-Sep-2015","29-Oct-2015","325.9","325.9","315","319.8","321.1","319.8","44","140.37","125000","12000","        322.00"
"TITAN","08-Sep-2015","26-Nov-2015","0","0","0","336","336","327.45","0","0","1500","0","        322.00"
