"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ULTRACEMCO","01-Jul-2013","25-Jul-2013","1855.95","1913.2","1851.05","1903.5","1894.7","1903.5","1468","3474.48","603000","4125","       1932.30"
"ULTRACEMCO","01-Jul-2013","29-Aug-2013","1881.1","1915","1873","1906.65","1884.65","1906.65","127","301.93","22750","9625","       1932.30"
"ULTRACEMCO","01-Jul-2013","26-Sep-2013","0","0","0","1918.05","0","1971.95","0","0","0","0","       1932.30"
"ULTRACEMCO","02-Jul-2013","25-Jul-2013","1893.7","1908.95","1880.05","1892.8","1897","1892.8","790","1869.04","619000","16000","       1923.20"
"ULTRACEMCO","02-Jul-2013","29-Aug-2013","1888.55","1908.4","1881.15","1889","1889","1949.15","149","353.16","36250","13500","       1923.20"
"ULTRACEMCO","02-Jul-2013","26-Sep-2013","1919.15","1919.15","1889","1896.5","1896.5","1896.5","68","162.22","8375","8375","       1923.20"
"ULTRACEMCO","03-Jul-2013","25-Jul-2013","1877","1889.8","1856.3","1870.35","1870","1870.35","997","2331.24","632875","13875","       1909.00"
"ULTRACEMCO","03-Jul-2013","29-Aug-2013","1874.25","1874.25","1859","1863.95","1861.35","1863.95","94","218.86","40625","4375","       1909.00"
"ULTRACEMCO","03-Jul-2013","26-Sep-2013","1880","1880","1861","1868.25","1865","1868.25","39","91.04","13250","4875","       1909.00"
"ULTRACEMCO","04-Jul-2013","25-Jul-2013","1878.95","1888","1860","1868.65","1875","1868.65","467","1093.61","640125","7250","       1907.00"
"ULTRACEMCO","04-Jul-2013","29-Aug-2013","1859","1859","1859","1862.95","1859","1862.95","12","27.91","41375","750","       1907.00"
"ULTRACEMCO","04-Jul-2013","26-Sep-2013","0","0","0","1868.25","1865","1943.65","0","0","13250","0","       1907.00"
"ULTRACEMCO","05-Jul-2013","25-Jul-2013","1875.55","1900.9","1845.25","1895.5","1895.05","1895.5","535","1263.09","641250","1125","       1926.25"
"ULTRACEMCO","05-Jul-2013","29-Aug-2013","1879.6","1892","1879.6","1891","1892","1891","26","60.91","42000","625","       1926.25"
"ULTRACEMCO","05-Jul-2013","26-Sep-2013","1876.95","1876.95","1876.95","1876.95","1876.95","1962.3","12","27.96","13375","125","       1926.25"
"ULTRACEMCO","08-Jul-2013","25-Jul-2013","1889.95","1908","1838","1877.75","1895","1877.75","2627","6148.28","633875","-7375","       1888.05"
"ULTRACEMCO","08-Jul-2013","29-Aug-2013","1877.55","1895","1840.7","1874.5","1877","1874.5","242","564.69","48000","6000","       1888.05"
"ULTRACEMCO","08-Jul-2013","26-Sep-2013","1875","1875","1850.85","1842.7","1850.85","1842.7","28","65.33","14250","875","       1888.05"
"ULTRACEMCO","09-Jul-2013","25-Jul-2013","1906.95","1916","1885.4","1911.1","1910","1911.1","573","1363.49","633750","-125","       1930.25"
"ULTRACEMCO","09-Jul-2013","29-Aug-2013","1895","1911","1892.45","1906.4","1906.9","1906.4","18","42.75","49250","1250","       1930.25"
"ULTRACEMCO","09-Jul-2013","26-Sep-2013","0","0","0","1842.7","1850.85","1965.15","0","0","14250","0","       1930.25"
"ULTRACEMCO","10-Jul-2013","25-Jul-2013","1913.55","1949","1910.05","1926.8","1939.95","1926.8","1655","3999.55","658375","24625","       1953.20"
"ULTRACEMCO","10-Jul-2013","29-Aug-2013","1912.05","1942","1912.05","1921.75","1927","1921.75","75","180.87","53125","3875","       1953.20"
"ULTRACEMCO","10-Jul-2013","26-Sep-2013","0","0","0","1921.95","1850.85","1921.95","2","4.8","14500","250","       1953.20"
"ULTRACEMCO","11-Jul-2013","25-Jul-2013","2109.95","2109.95","1945","1963.8","1963.15","1963.8","846","2079.69","641500","-16875","       1980.15"
"ULTRACEMCO","11-Jul-2013","29-Aug-2013","1955.3","1966","1955.3","1960.45","1960.85","1960.45","22","53.97","53500","375","       1980.15"
"ULTRACEMCO","11-Jul-2013","26-Sep-2013","1922","1922","1922","1922","1922","2014.95","1","2.4","14375","-125","       1980.15"
"ULTRACEMCO","12-Jul-2013","25-Jul-2013","1955.65","1955.65","1892.05","1924.9","1930.15","1924.9","1034","2472.94","637750","-3750","       1939.70"
"ULTRACEMCO","12-Jul-2013","29-Aug-2013","1902.6","1919.3","1898.4","1917.55","1919.3","1917.55","28","66.63","52250","-1250","       1939.70"
"ULTRACEMCO","12-Jul-2013","26-Sep-2013","1907.2","1907.2","1907.2","1907.2","1907.2","1973.45","7","16.65","15250","875","       1939.70"
"ULTRACEMCO","15-Jul-2013","25-Jul-2013","1929.95","1929.95","1906.1","1923.5","1918","1923.5","462","1108.14","640000","2250","       1941.65"
"ULTRACEMCO","15-Jul-2013","29-Aug-2013","1905","1920","1905","1918.1","1912.3","1918.1","25","59.65","53125","875","       1941.65"
"ULTRACEMCO","15-Jul-2013","26-Sep-2013","0","0","0","1907.2","1907.2","1973.8","0","0","15250","0","       1941.65"
"ULTRACEMCO","16-Jul-2013","25-Jul-2013","1891.95","1934.7","1890.05","1926.5","1928","1926.5","691","1660.82","623250","-16750","       1933.50"
"ULTRACEMCO","16-Jul-2013","29-Aug-2013","1891","1929.7","1891","1923.3","1924.3","1923.3","60","144.19","52000","-1125","       1933.50"
"ULTRACEMCO","16-Jul-2013","26-Sep-2013","1925.8","1925.8","1925.8","1930","1925.8","1930","9","21.64","16125","875","       1933.50"
