"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ULTRACEMCO","01-Mar-2012","29-Mar-2012","1407.1","1431","1386.1","1420.2","1421.7","1420.2","657","2302.39","642250","3500","       1416.85"
"ULTRACEMCO","01-Mar-2012","26-Apr-2012","1402","1402","1402","1402","1402","1439.85","1","3.51","1250","250","       1416.85"
"ULTRACEMCO","01-Mar-2012","31-May-2012","0","0","0","1485.55","0","1454.4","0","0","0","0","       1416.85"
"ULTRACEMCO","02-Mar-2012","29-Mar-2012","1427","1445.5","1416.05","1433.25","1430","1433.25","794","2840.75","541250","-101000","       1424.55"
"ULTRACEMCO","02-Mar-2012","26-Apr-2012","1436","1436","1436","1438.55","1436","1438.55","407","1461.63","101250","100000","       1424.55"
"ULTRACEMCO","02-Mar-2012","31-May-2012","0","0","0","1485.55","0","1461.65","0","0","0","0","       1424.55"
"ULTRACEMCO","03-Mar-2012","29-Mar-2012","1343.7","1425","1343.7","1412.05","1413.8","1412.05","101","356.76","541250","0","       1401.85"
"ULTRACEMCO","03-Mar-2012","26-Apr-2012","1436","1436","1436","1436","1436","1423.65","1","3.59","101250","0","       1401.85"
"ULTRACEMCO","03-Mar-2012","31-May-2012","0","0","0","1485.55","0","1437.95","0","0","0","0","       1401.85"
"ULTRACEMCO","05-Mar-2012","29-Mar-2012","1401.1","1403","1372.05","1392.1","1386.5","1392.1","440","1528.73","509500","-31750","       1390.25"
"ULTRACEMCO","05-Mar-2012","26-Apr-2012","1391.05","1398.9","1391.05","1406.8","1398.9","1406.8","104","362.51","127000","25750","       1390.25"
"ULTRACEMCO","05-Mar-2012","31-May-2012","0","0","0","1485.55","0","1426.25","0","0","0","0","       1390.25"
"ULTRACEMCO","06-Mar-2012","29-Mar-2012","1375.05","1430","1375","1402.1","1403.45","1402.1","599","2109.59","496000","-13500","       1405.60"
"ULTRACEMCO","06-Mar-2012","26-Apr-2012","1420","1420","1404.25","1404.25","1404.25","1404.25","102","362.26","152250","25250","       1405.60"
