"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"UPL","01-Jan-2015","29-Jan-2015","346.05","347.25","341","344.5","344.05","344.5","1429","4911.11","6427000","31000","        341.60"
"UPL","01-Jan-2015","26-Feb-2015","346.3","346.3","345.35","345.35","345.35","346.15","3","10.37","41000","0","        341.60"
"UPL","01-Jan-2015","26-Mar-2015","0","0","0","350.4","350.4","348.45","0","0","2000","0","        341.60"
"UPL","02-Jan-2015","29-Jan-2015","345.7","357","345.7","353.8","352","353.8","3749","13171.31","5822000","-605000","        352.25"
"UPL","02-Jan-2015","26-Feb-2015","351.3","358.5","351.3","358.5","358.5","356.85","6","21.37","40000","-1000","        352.25"
"UPL","02-Jan-2015","26-Mar-2015","0","0","0","350.4","350.4","359.25","0","0","2000","0","        352.25"
"UPL","05-Jan-2015","29-Jan-2015","352.95","355.2","346.65","348.2","348.8","348.2","1702","5962.57","5811000","-11000","        345.70"
"UPL","05-Jan-2015","26-Feb-2015","353","356.25","351.5","351.5","351.5","350","6","21.2","41000","1000","        345.70"
"UPL","05-Jan-2015","26-Mar-2015","0","0","0","350.4","350.4","352.3","0","0","2000","0","        345.70"
"UPL","06-Jan-2015","29-Jan-2015","344.6","344.8","328.3","331.25","329.2","331.25","2028","6852.73","5705000","-106000","        328.95"
"UPL","06-Jan-2015","26-Feb-2015","344.1","344.1","333","333","333","333","6","20.4","43000","2000","        328.95"
"UPL","06-Jan-2015","26-Mar-2015","0","0","0","350.4","350.4","335.15","0","0","2000","0","        328.95"
"UPL","07-Jan-2015","29-Jan-2015","329","336.85","317.85","325.25","326.25","325.25","2652","8705.16","5884000","179000","        323.05"
"UPL","07-Jan-2015","26-Feb-2015","335.9","335.9","322","329.05","329.05","329.05","15","49.14","47000","4000","        323.05"
"UPL","07-Jan-2015","26-Mar-2015","332","332","332","332","332","329.05","1","3.32","2000","0","        323.05"
"UPL","08-Jan-2015","29-Jan-2015","329","336","325.95","334.6","334.2","334.6","2019","6711.04","5815000","-69000","        332.80"
"UPL","08-Jan-2015","26-Feb-2015","334","338","330","336.7","338","336.7","7","23.44","47000","0","        332.80"
"UPL","08-Jan-2015","26-Mar-2015","0","0","0","332","332","338.9","0","0","2000","0","        332.80"
"UPL","09-Jan-2015","29-Jan-2015","336.6","339.95","328.7","333.05","332","333.05","1892","6301.5","5723000","-92000","        332.35"
"UPL","09-Jan-2015","26-Feb-2015","341","341.9","331.5","334.7","333.95","334.7","19","63.75","50000","3000","        332.35"
"UPL","09-Jan-2015","26-Mar-2015","0","0","0","332","332","338.4","0","0","2000","0","        332.35"
"UPL","12-Jan-2015","29-Jan-2015","333.15","336.85","329","332.8","333","332.8","1535","5118.61","5919000","196000","        330.60"
"UPL","12-Jan-2015","26-Feb-2015","336.6","337.5","334.45","334.6","334.45","334.6","10","33.62","49000","-1000","        330.60"
"UPL","12-Jan-2015","26-Mar-2015","0","0","0","332","332","336.4","0","0","2000","0","        330.60"
"UPL","13-Jan-2015","29-Jan-2015","333.45","358.35","333.45","345.2","346.2","345.2","9388","32694.39","5835000","-84000","        344.75"
"UPL","13-Jan-2015","26-Feb-2015","345","358.15","343","347.25","346.8","347.25","80","280.7","57000","8000","        344.75"
"UPL","13-Jan-2015","26-Mar-2015","0","0","0","332","332","350.7","0","0","2000","0","        344.75"
"UPL","14-Jan-2015","29-Jan-2015","346.8","360.95","344.15","359.45","358.85","359.45","6784","24041.6","5926000","91000","        358.20"
"UPL","14-Jan-2015","26-Feb-2015","348","361.8","347.75","361.7","361.3","361.7","55","195.97","63000","6000","        358.20"
"UPL","14-Jan-2015","26-Mar-2015","356.55","356.55","356.55","356.55","356.55","364.3","1","3.57","3000","1000","        358.20"
"UPL","15-Jan-2015","29-Jan-2015","362.85","364.9","353.95","362.35","359.9","362.35","3480","12544.6","5566000","-360000","        362.50"
"UPL","15-Jan-2015","26-Feb-2015","363.65","365.95","358","362.9","361.4","362.9","36","130.51","68000","5000","        362.50"
"UPL","15-Jan-2015","26-Mar-2015","0","0","0","356.55","356.55","368.55","0","0","3000","0","        362.50"
"UPL","16-Jan-2015","29-Jan-2015","360.05","374.2","358.7","371.15","368.6","371.15","3952","14570.15","5552000","-14000","        370.15"
"UPL","16-Jan-2015","26-Feb-2015","363.05","376","363.05","374","372.05","374","79","293.56","89000","21000","        370.15"
"UPL","16-Jan-2015","26-Mar-2015","0","0","0","356.55","356.55","376.2","0","0","3000","0","        370.15"
"UPL","19-Jan-2015","29-Jan-2015","371.75","374.7","367.95","371.55","370.95","371.55","2332","8657.99","5467000","-85000","        371.05"
